year,month,day,AQI
2013,3,1,1
2013,3,2,2
2013,3,3,2
2013,3,4,1
2013,3,5,3
2013,3,6,5
2013,3,7,5
2013,3,8,5
2013,3,9,3
2013,3,10,1
2013,3,11,4
2013,3,12,4
2013,3,13,1
2013,3,14,3
2013,3,15,5
2013,3,16,5
2013,3,17,6
2013,3,18,2
2013,3,19,2
2013,3,20,1
2013,3,21,4
2013,3,22,2
2013,3,23,2
2013,3,24,1
2013,3,25,3
2013,3,26,5
2013,3,27,3
2013,3,28,1
2013,3,29,2
2013,3,30,3
2013,3,31,4
2013,4,1,3
2013,4,2,2
2013,4,3,4
2013,4,4,2
2013,4,5,2
2013,4,6,1
2013,4,7,2
2013,4,8,2
2013,4,9,1
2013,4,10,1
2013,4,11,1
2013,4,12,2
2013,4,13,2
2013,4,14,2
2013,4,15,3
2013,4,16,2
2013,4,17,2
2013,4,18,1
2013,4,19,2
2013,4,20,3
2013,4,21,3
2013,4,22,5
2013,4,23,5
2013,4,24,3
2013,4,25,1
2013,4,26,2
2013,4,27,2
2013,4,28,3
2013,4,29,1
2013,4,30,1
2013,5,1,2
2013,5,2,3
2013,5,3,3
2013,5,4,3
2013,5,5,5
2013,5,6,5
2013,5,7,4
2013,5,8,5
2013,5,9,2
2013,5,10,2
2013,5,11,2
2013,5,12,2
2013,5,13,3
2013,5,14,3
2013,5,15,2
2013,5,16,2
2013,5,17,4
2013,5,18,4
2013,5,19,3
2013,5,20,2
2013,5,21,3
2013,5,22,3
2013,5,23,2
2013,5,24,2
2013,5,25,2
2013,5,26,3
2013,5,27,2
2013,5,28,2
2013,5,29,2
2013,5,30,2
2013,5,31,3
2013,6,1,2
2013,6,2,5
2013,6,3,4
2013,6,4,4
2013,6,5,4
2013,6,6,3
2013,6,7,4
2013,6,8,4
2013,6,9,2
2013,6,10,1
2013,6,11,2
2013,6,12,2
2013,6,13,2
2013,6,14,3
2013,6,15,4
2013,6,16,5
2013,6,17,2
2013,6,18,2
2013,6,19,2
2013,6,20,2
2013,6,21,2
2013,6,22,1
2013,6,23,1
2013,6,24,2
2013,6,25,2
2013,6,26,3
2013,6,27,2
2013,6,28,5
2013,6,29,3
2013,6,30,5
2013,7,1,5
2013,7,2,1
2013,7,3,1
2013,7,4,1
2013,7,5,1
2013,7,6,2
2013,7,7,2
2013,7,8,2
2013,7,9,2
2013,7,10,1
2013,7,11,1
2013,7,12,2
2013,7,13,4
2013,7,14,4
2013,7,15,1
2013,7,16,1
2013,7,17,2
2013,7,18,5
2013,7,19,3
2013,7,20,2
2013,7,21,3
2013,7,22,3
