Epoca,Perdida_Entrenamiento,Perdida_Validacion
1,0.06962885707616806,0.08494521677494049
2,0.06784919649362564,0.08107727766036987
3,0.06442201137542725,0.080423504114151
4,0.06308500468730927,0.07995656877756119
5,0.0666704997420311,0.07827763259410858
6,0.06167622655630112,0.07844462990760803
7,0.06139247864484787,0.0836540162563324
8,0.06730640679597855,0.08010783046483994
9,0.061323221772909164,0.07953573763370514
10,0.06025389954447746,0.0809144675731659
11,0.06002257764339447,0.08323462307453156
12,0.059732332825660706,0.0775170773267746
13,0.06123674660921097,0.07794153690338135
14,0.05998232588171959,0.08038206398487091
15,0.05876963585615158,0.07675033062696457
16,0.059016671031713486,0.08373617380857468
17,0.058493271470069885,0.0739489272236824
18,0.06122922524809837,0.07539084553718567
19,0.05780492722988129,0.07260987907648087
20,0.05836537480354309,0.07617724686861038
21,0.05786673352122307,0.07785315811634064
22,0.058039091527462006,0.07357301563024521
23,0.05817819759249687,0.07624739408493042
24,0.06280104070901871,0.07849002629518509
25,0.05592121556401253,0.0782470703125
26,0.05734372138977051,0.07527707517147064
27,0.058127835392951965,0.0740143284201622
28,0.057149145752191544,0.07338272035121918
29,0.05794600769877434,0.07434064894914627
30,0.05715501680970192,0.08743543177843094
31,0.05721791088581085,0.0753571018576622
32,0.0564550943672657,0.07611678540706635
33,0.057268742471933365,0.08008076250553131
34,0.05835383012890816,0.07314544916152954
35,0.05536823347210884,0.07394663244485855
36,0.05625073239207268,0.07296930253505707
37,0.05930719152092934,0.07322899997234344
38,0.05615948513150215,0.07440672069787979
39,0.05513353645801544,0.07216164469718933
40,0.05622344836592674,0.0733090341091156
41,0.056824736297130585,0.07407654076814651
42,0.054431065917015076,0.07502767443656921
43,0.06876006722450256,0.0726122036576271
44,0.05418817698955536,0.07104487717151642
45,0.05386649817228317,0.07746884971857071
46,0.05521705746650696,0.07480346411466599
47,0.05600966140627861,0.07439982891082764
48,0.05494042485952377,0.07424382865428925
49,0.05730190873146057,0.07581483572721481
50,0.05447160452604294,0.07341178506612778
