Epoca,Perdida_Entrenamiento,Perdida_Validacion
1,0.28385379910469055,0.14454521238803864
2,0.17896007001399994,0.13227833807468414
3,0.15506191551685333,0.11707725375890732
4,0.14342834055423737,0.0999162420630455
5,0.13433900475502014,0.10945264250040054
6,0.12723535299301147,0.10470149666070938
7,0.121734619140625,0.09260395914316177
8,0.11990717798471451,0.10017015039920807
9,0.11366619169712067,0.0981769785284996
10,0.11143626272678375,0.09312175214290619
11,0.107323557138443,0.10031361132860184
12,0.108475461602211,0.10031517595052719
13,0.10671635717153549,0.0951153039932251
14,0.10069763660430908,0.09070434421300888
15,0.0991089940071106,0.07879748195409775
16,0.09840628504753113,0.08828946202993393
17,0.09353595972061157,0.08697506785392761
18,0.09619846194982529,0.07745146006345749
19,0.08911509066820145,0.07869330048561096
20,0.08016061037778854,0.08307252824306488
21,0.07523784786462784,0.07372206449508667
22,0.07138827443122864,0.06921727955341339
23,0.07089520245790482,0.07265779376029968
24,0.06663364917039871,0.07627546787261963
25,0.07238242775201797,0.07977741956710815
26,0.06788064539432526,0.07111238688230515
27,0.0641012191772461,0.06906852126121521
28,0.06517031788825989,0.06500659883022308
29,0.06303714215755463,0.06410402804613113
30,0.06976667791604996,0.06763283908367157
31,0.06075930595397949,0.06314003467559814
32,0.06128935143351555,0.07097569853067398
33,0.06213679537177086,0.09719859808683395
34,0.06672395765781403,0.06944140791893005
35,0.059917859733104706,0.06196267530322075
36,0.05864278972148895,0.06312873959541321
37,0.05956011265516281,0.06291824579238892
38,0.06644564121961594,0.06267587840557098
39,0.06065604090690613,0.10154419392347336
40,0.06179701164364815,0.06204184144735336
41,0.05634322762489319,0.06192207708954811
42,0.056624870747327805,0.06724350899457932
43,0.06353986263275146,0.0649595633149147
44,0.055494289845228195,0.06130488961935043
45,0.05728798732161522,0.06044333428144455
46,0.054699309170246124,0.06192808970808983
47,0.05555380508303642,0.06246202811598778
48,0.054095443338155746,0.06134817376732826
49,0.05487934872508049,0.06301338970661163
50,0.05452162027359009,0.060907792299985886
