Epoca,Perdida_Entrenamiento,Perdida_Validacion
1,0.2752666771411896,0.2310006022453308
2,0.16434165835380554,0.20438428223133087
3,0.14367803931236267,0.19351951777935028
4,0.13073387742042542,0.19496455788612366
5,0.12346196174621582,0.18769830465316772
6,0.11386416852474213,0.17586380243301392
7,0.10879422724246979,0.17486461997032166
8,0.1038581132888794,0.1613023430109024
9,0.10172834247350693,0.16687776148319244
10,0.09546222537755966,0.1679496169090271
11,0.09366349875926971,0.1555941104888916
12,0.08945130556821823,0.14267343282699585
13,0.09092945605516434,0.1395817995071411
14,0.08536472916603088,0.1566287726163864
15,0.08525769412517548,0.13579830527305603
16,0.08289739489555359,0.1337696611881256
17,0.07911968976259232,0.12891340255737305
18,0.07993645966053009,0.13264493644237518
19,0.07813839614391327,0.11993077397346497
20,0.0786673054099083,0.12041936069726944
21,0.07227511703968048,0.11550398170948029
22,0.07918119430541992,0.12511834502220154
23,0.07064694166183472,0.11310575902462006
24,0.06911759823560715,0.10774262994527817
25,0.07090900093317032,0.13598275184631348
26,0.0703180804848671,0.10379025340080261
27,0.06518566608428955,0.10397608578205109
28,0.06743450462818146,0.10286388546228409
29,0.06468261033296585,0.10047223418951035
30,0.06348724663257599,0.10747279226779938
31,0.06161881238222122,0.09652887284755707
32,0.061005283147096634,0.10058923810720444
33,0.06086580827832222,0.10116500407457352
34,0.0641661211848259,0.10057192295789719
35,0.05916469544172287,0.09231460094451904
36,0.059381868690252304,0.10004676878452301
37,0.06020249053835869,0.09676233679056168
38,0.05653580278158188,0.09788329899311066
39,0.056663401424884796,0.0938403531908989
40,0.05989314988255501,0.11897189915180206
41,0.056829556822776794,0.10292639583349228
42,0.055910345166921616,0.09015665203332901
43,0.053924351930618286,0.09147457778453827
44,0.0556328147649765,0.1083420068025589
45,0.057225193828344345,0.10479211807250977
46,0.05494705215096474,0.0921560749411583
47,0.055288027971982956,0.09263952076435089
48,0.053590964525938034,0.09388615190982819
49,0.05369973182678223,0.0929952934384346
50,0.053485821932554245,0.09385624527931213
