Epoca,Perdida_Entrenamiento,Perdida_Validacion
1,0.05388566106557846,0.07957742363214493
2,0.051231883466243744,0.07627448439598083
3,0.049420155584812164,0.07215041667222977
4,0.048415396362543106,0.08119314908981323
5,0.050091132521629333,0.07577846944332123
6,0.04704920947551727,0.07660578936338425
7,0.04752947762608528,0.0761609748005867
8,0.046672407537698746,0.07602334767580032
9,0.04792177677154541,0.08716326951980591
10,0.046041686087846756,0.07783865183591843
11,0.0458846278488636,0.0837007537484169
12,0.04564069211483002,0.08041758090257645
13,0.04699654504656792,0.07957625389099121
14,0.0458182729780674,0.07580156624317169
15,0.04436061531305313,0.08131853491067886
16,0.0448894165456295,0.08098693192005157
17,0.04484565183520317,0.07541795819997787
18,0.04546360671520233,0.07944206893444061
19,0.04639168456196785,0.07863947749137878
20,0.04340348765254021,0.07672351598739624
21,0.04472992196679115,0.07978665828704834
22,0.044666439294815063,0.08885268121957779
23,0.0461101196706295,0.0794297307729721
24,0.042900241911411285,0.08727703243494034
25,0.04468517377972603,0.07796292752027512
26,0.04405103996396065,0.07900386303663254
27,0.04292083904147148,0.08470460027456284
28,0.04360690712928772,0.07588958740234375
29,0.04565875232219696,0.07628095149993896
30,0.04295792430639267,0.08403925597667694
31,0.0428745411336422,0.08467607945203781
32,0.043709516525268555,0.08079177886247635
33,0.043076250702142715,0.07923240214586258
34,0.043569933623075485,0.08521904051303864
35,0.04323378950357437,0.08017683774232864
36,0.04242248088121414,0.08398817479610443
37,0.04348082095384598,0.08469261229038239
38,0.04361657053232193,0.0835871547460556
39,0.0426352322101593,0.08244511485099792
40,0.043624963611364365,0.08723806589841843
41,0.0418129488825798,0.08463574945926666
42,0.04268893972039223,0.08231417834758759
43,0.04795913025736809,0.08348777145147324
44,0.041267894208431244,0.08092084527015686
45,0.04208826646208763,0.08227017521858215
46,0.043053992092609406,0.07926886528730392
47,0.042622506618499756,0.08881700783967972
48,0.04250697046518326,0.07998435944318771
49,0.041642703115940094,0.08366092294454575
50,0.04256391152739525,0.0858800858259201
