PCA1,PCA2
8.597278594970703125e-02,-4.591809272766113281e+00
1.629906892776489258e-01,-4.537004947662353516e+00
2.361326217651367188e-01,-4.497351169586181641e+00
2.227202653884887695e-01,-4.491842269897460938e+00
2.030085325241088867e-01,-4.476569175720214844e+00
2.216720581054687500e-01,-4.462219238281250000e+00
3.106971979141235352e-01,-4.413966178894042969e+00
3.303428888320922852e-01,-4.406088829040527344e+00
3.288544416427612305e-01,-4.416644573211669922e+00
3.243440389633178711e-01,-4.404308795928955078e+00
3.515149354934692383e-01,-4.405253410339355469e+00
4.305721521377563477e-01,-4.340338230133056641e+00
5.662971735000610352e-01,-4.261149406433105469e+00
7.275131940841674805e-01,-4.165507316589355469e+00
8.491152524948120117e-01,-4.072329521179199219e+00
9.176551103591918945e-01,-4.017418861389160156e+00
9.654737710952758789e-01,-3.973893642425537109e+00
1.012066483497619629e+00,-3.934165000915527344e+00
1.088501095771789551e+00,-3.876419067382812500e+00
1.124354004859924316e+00,-3.799340963363647461e+00
1.181152701377868652e+00,-3.687747001647949219e+00
1.324444651603698730e+00,-3.509673595428466797e+00
1.502102732658386230e+00,-3.310847282409667969e+00
1.613811612129211426e+00,-3.126025676727294922e+00
1.749851584434509277e+00,-2.931447029113769531e+00
1.914005398750305176e+00,-2.695182323455810547e+00
2.111289024353027344e+00,-2.485775232315063477e+00
2.294786930084228516e+00,-2.282152175903320312e+00
2.376328468322753906e+00,-2.127784729003906250e+00
2.491759300231933594e+00,-1.942911148071289062e+00
2.592123031616210938e+00,-1.832563996315002441e+00
2.727329730987548828e+00,-1.678891420364379883e+00
2.896035671234130859e+00,-1.515458106994628906e+00
3.063213348388671875e+00,-1.297814607620239258e+00
3.211185932159423828e+00,-1.085324168205261230e+00
3.316755771636962891e+00,-9.028531908988952637e-01
3.365036487579345703e+00,-7.032629251480102539e-01
3.406972885131835938e+00,-5.449794530868530273e-01
3.434937953948974609e+00,-4.183942079544067383e-01
3.423911094665527344e+00,-2.939150333404541016e-01
3.401089668273925781e+00,-2.466802597045898438e-01
3.306052207946777344e+00,-3.025766611099243164e-01
3.121019363403320312e+00,-4.049600362777709961e-01
2.879073619842529297e+00,-5.274814367294311523e-01
2.663174152374267578e+00,-6.426109075546264648e-01
2.503862380981445312e+00,-6.666035652160644531e-01
2.365985870361328125e+00,-7.793107032775878906e-01
2.351292133331298828e+00,-7.919186949729919434e-01
2.453055858612060547e+00,-6.371642351150512695e-01
2.487514972686767578e+00,-5.110102891921997070e-01
2.442839622497558594e+00,-5.386322736740112305e-01
2.192832946777343750e+00,-5.678334236145019531e-01
1.840462565422058105e+00,-7.445480823516845703e-01
1.437058568000793457e+00,-8.715109825134277344e-01
9.967406988143920898e-01,-1.150486230850219727e+00
8.527473211288452148e-01,-1.305354833602905273e+00
6.754204034805297852e-01,-1.385228157043457031e+00
4.441245794296264648e-01,-1.497025966644287109e+00
3.437465429306030273e-01,-1.647230982780456543e+00
3.784724473953247070e-01,-1.636737704277038574e+00
4.214361906051635742e-01,-1.628850340843200684e+00
3.931144475936889648e-01,-1.678713321685791016e+00
9.858560562133789062e-02,-2.023947477340698242e+00
-7.683348655700683594e-02,-2.296447992324829102e+00
-1.790130138397216797e-01,-2.476178169250488281e+00
-3.069208860397338867e-01,-2.535981655120849609e+00
-2.994685173034667969e-01,-2.521118402481079102e+00
-3.453111648559570312e-01,-2.556371688842773438e+00
-4.766614437103271484e-01,-2.613137006759643555e+00
-4.908367395401000977e-01,-2.645190238952636719e+00
-4.071779251098632812e-01,-2.580502510070800781e+00
-2.724332809448242188e-01,-2.405380964279174805e+00
-2.310448884963989258e-01,-2.245766401290893555e+00
-3.248753547668457031e-01,-2.217907667160034180e+00
-3.046299219131469727e-01,-2.100449323654174805e+00
-2.438598871231079102e-01,-1.915331840515136719e+00
-2.627855539321899414e-01,-1.717788577079772949e+00
-1.680629253387451172e-01,-1.491724729537963867e+00
-5.998730659484863281e-03,-1.246617078781127930e+00
1.153451204299926758e-01,-1.020576000213623047e+00
1.893523931503295898e-01,-8.631278276443481445e-01
3.209215402603149414e-01,-6.786546707153320312e-01
5.531765222549438477e-01,-4.209368228912353516e-01
7.510694265365600586e-01,-1.961956024169921875e-01
9.502755403518676758e-01,1.511514186859130859e-02
1.197737574577331543e+00,2.513186931610107422e-01
1.383727669715881348e+00,5.509779453277587891e-01
1.619308114051818848e+00,8.192107677459716797e-01
1.827733397483825684e+00,1.129321098327636719e+00
2.075531005859375000e+00,1.447480916976928711e+00
2.332392692565917969e+00,1.748413801193237305e+00
2.592308044433593750e+00,2.092909097671508789e+00
2.801560878753662109e+00,2.431228160858154297e+00
3.046369552612304688e+00,2.745821475982666016e+00
3.262704849243164062e+00,3.013245105743408203e+00
3.479184627532958984e+00,3.221849918365478516e+00
