tSNE1,tSNE2
1.566588401794433594e+00,-9.330314636230468750e+00
1.582354545593261719e+00,-9.340025901794433594e+00
1.589520335197448730e+00,-9.344637870788574219e+00
1.603622555732727051e+00,-9.322683334350585938e+00
1.641773939132690430e+00,-9.248028755187988281e+00
1.737718105316162109e+00,-9.100922584533691406e+00
1.977114796638488770e+00,-8.816845893859863281e+00
2.074499845504760742e+00,-8.724207878112792969e+00
2.187842845916748047e+00,-8.673493385314941406e+00
2.314176797866821289e+00,-8.610383987426757812e+00
2.400758743286132812e+00,-8.585084915161132812e+00
2.497140407562255859e+00,-8.529576301574707031e+00
2.645674943923950195e+00,-8.457636833190917969e+00
2.843570709228515625e+00,-8.370100975036621094e+00
3.025695562362670898e+00,-8.297584533691406250e+00
3.197282314300537109e+00,-8.243047714233398438e+00
3.376233577728271484e+00,-8.200827598571777344e+00
3.708226680755615234e+00,-8.094637870788574219e+00
4.780653953552246094e+00,-7.587179660797119141e+00
5.380910396575927734e+00,-7.289812564849853516e+00
5.808031082153320312e+00,-7.033345699310302734e+00
6.588738918304443359e+00,-6.464331626892089844e+00
8.070202827453613281e+00,-5.200574398040771484e+00
8.774471282958984375e+00,-4.500592231750488281e+00
9.098882675170898438e+00,-4.099204063415527344e+00
9.284387588500976562e+00,-3.823105812072753906e+00
9.403376579284667969e+00,-3.605381011962890625e+00
9.510085105895996094e+00,-3.414228439331054688e+00
9.567882537841796875e+00,-3.294475555419921875e+00
9.620810508728027344e+00,-3.168924331665039062e+00
9.667614936828613281e+00,-3.066925048828125000e+00
9.697214126586914062e+00,-2.957168817520141602e+00
9.723157882690429688e+00,-2.843239784240722656e+00
9.763090133666992188e+00,-2.595015764236450195e+00
9.788929939270019531e+00,-2.351880788803100586e+00
9.777803421020507812e+00,-2.115342378616333008e+00
9.716773033142089844e+00,-1.761246919631958008e+00
9.634258270263671875e+00,-1.537132501602172852e+00
9.460948944091796875e+00,-1.260727882385253906e+00
9.001973152160644531e+00,-7.876791954040527344e-01
8.599034309387207031e+00,-5.301889181137084961e-01
8.360670089721679688e+00,-4.499320387840270996e-01
8.072441101074218750e+00,-4.066310822963714600e-01
7.711843967437744141e+00,-3.975895345211029053e-01
7.271244049072265625e+00,-4.709177911281585693e-01
6.743443489074707031e+00,-6.773896217346191406e-01
6.445739746093750000e+00,-8.148262500762939453e-01
6.108793258666992188e+00,-9.719855785369873047e-01
5.925785541534423828e+00,-1.080606222152709961e+00
5.798077106475830078e+00,-1.175838589668273926e+00
5.591507911682128906e+00,-1.365874052047729492e+00
5.439679145812988281e+00,-1.587870836257934570e+00
5.220279216766357422e+00,-1.902669429779052734e+00
5.002936840057373047e+00,-2.220360994338989258e+00
3.923715829849243164e+00,-3.605498552322387695e+00
3.537017345428466797e+00,-4.150095939636230469e+00
