PCA1,PCA2
5.421820878982543945e-01,3.533995628356933594e+00
4.869787693023681641e-01,3.531506299972534180e+00
4.703799486160278320e-01,3.570650815963745117e+00
3.799474239349365234e-01,3.531424522399902344e+00
2.725182771682739258e-01,3.482702016830444336e+00
2.079033851623535156e-01,3.521637678146362305e+00
1.571562290191650391e-01,3.565792560577392578e+00
1.195082664489746094e-01,3.563088178634643555e+00
1.024184226989746094e-01,3.499050855636596680e+00
1.453193426132202148e-01,3.483554124832153320e+00
8.557546138763427734e-02,3.399547338485717773e+00
2.431488037109375000e-02,3.301925182342529297e+00
-1.204044818878173828e-01,3.232295751571655273e+00
-1.839246749877929688e-01,3.199244260787963867e+00
-2.517149448394775391e-01,3.139781236648559570e+00
-3.112223148345947266e-01,3.091774702072143555e+00
-4.048066139221191406e-01,2.974895000457763672e+00
-4.970049858093261719e-01,2.926917314529418945e+00
-6.006586551666259766e-01,2.856769084930419922e+00
-6.698765754699707031e-01,2.814296722412109375e+00
-7.872941493988037109e-01,2.736279487609863281e+00
-8.849780559539794922e-01,2.724928617477416992e+00
-9.518196582794189453e-01,2.682422161102294922e+00
-1.035152196884155273e+00,2.608721733093261719e+00
-1.143628358840942383e+00,2.537238836288452148e+00
-1.272316694259643555e+00,2.463214397430419922e+00
-1.387701988220214844e+00,2.438397884368896484e+00
-1.470033645629882812e+00,2.414398670196533203e+00
-1.599201679229736328e+00,2.431512355804443359e+00
-1.608628749847412109e+00,2.379525184631347656e+00
-1.646993637084960938e+00,2.313765048980712891e+00
-1.683480024337768555e+00,2.210858345031738281e+00
-1.719263553619384766e+00,2.144666194915771484e+00
-1.720917701721191406e+00,2.104144811630249023e+00
-1.703774690628051758e+00,2.054742813110351562e+00
-1.647200345993041992e+00,1.913433790206909180e+00
-1.607094049453735352e+00,1.725326776504516602e+00
-1.571730375289916992e+00,1.543764591217041016e+00
-1.614994287490844727e+00,1.372886657714843750e+00
-1.591100931167602539e+00,1.248168230056762695e+00
-1.629738092422485352e+00,1.186254858970642090e+00
-1.614228487014770508e+00,1.149879217147827148e+00
-1.607287168502807617e+00,1.109409570693969727e+00
