tSNE1,tSNE2
-4.957200050354003906e+00,1.004675102233886719e+01
-5.000335216522216797e+00,1.003671455383300781e+01
-5.050660610198974609e+00,1.001517486572265625e+01
-5.131713390350341797e+00,9.976894378662109375e+00
-5.190865516662597656e+00,9.940848350524902344e+00
-5.246497631072998047e+00,9.904282569885253906e+00
-5.357248306274414062e+00,9.810849189758300781e+00
-5.430417060852050781e+00,9.738541603088378906e+00
-5.486333847045898438e+00,9.673484802246093750e+00
-5.595759391784667969e+00,9.524640083312988281e+00
-5.679695129394531250e+00,9.381403923034667969e+00
-5.749486923217773438e+00,9.243977546691894531e+00
-5.790703296661376953e+00,9.152823448181152344e+00
-5.826814651489257812e+00,9.035725593566894531e+00
-5.881082534790039062e+00,8.777880668640136719e+00
-5.922364234924316406e+00,8.572068214416503906e+00
-5.976729393005371094e+00,8.352396011352539062e+00
-6.074121952056884766e+00,7.988197803497314453e+00
-6.135169029235839844e+00,7.735138893127441406e+00
-6.207161903381347656e+00,7.474936962127685547e+00
-6.403214931488037109e+00,6.794726371765136719e+00
-6.858889102935791016e+00,5.728766918182373047e+00
-6.996437072753906250e+00,5.479169368743896484e+00
-7.077861785888671875e+00,5.348538875579833984e+00
-7.176082611083984375e+00,5.203520774841308594e+00
-7.290914535522460938e+00,5.091413021087646484e+00
-7.401977539062500000e+00,4.998359680175781250e+00
-7.522997379302978516e+00,4.899370670318603516e+00
-7.641238689422607422e+00,4.812216281890869141e+00
-7.720110416412353516e+00,4.743024826049804688e+00
-7.762998104095458984e+00,4.697737693786621094e+00
-7.790562629699707031e+00,4.655790328979492188e+00
-7.812529563903808594e+00,4.623908519744873047e+00
-7.853514671325683594e+00,4.586760044097900391e+00
-7.912027835845947266e+00,4.527357101440429688e+00
-7.991795063018798828e+00,4.404379367828369141e+00
-8.098663330078125000e+00,4.222543716430664062e+00
-8.188244819641113281e+00,3.991553544998168945e+00
-8.212615966796875000e+00,3.719755172729492188e+00
-8.181819915771484375e+00,3.441631317138671875e+00
-8.058796882629394531e+00,3.104441642761230469e+00
-7.943255901336669922e+00,2.853631496429443359e+00
-7.836946964263916016e+00,2.688105583190917969e+00
-7.724704265594482422e+00,2.586202859878540039e+00
-7.603880405426025391e+00,2.557435989379882812e+00
-7.365918636322021484e+00,2.596361637115478516e+00
-7.122012615203857422e+00,2.641844511032104492e+00
-6.835955142974853516e+00,2.703814029693603516e+00
-6.532514095306396484e+00,2.841564416885375977e+00
-6.293327808380126953e+00,3.010761022567749023e+00
-6.092157840728759766e+00,3.201371908187866211e+00
-5.699407100677490234e+00,3.646333694458007812e+00
-5.492209434509277344e+00,3.891974687576293945e+00
-5.297109603881835938e+00,4.106405258178710938e+00
-5.126831531524658203e+00,4.278102874755859375e+00
-4.897557735443115234e+00,4.501877784729003906e+00
-4.676641464233398438e+00,4.695362091064453125e+00
-4.296412467956542969e+00,4.958218097686767578e+00
-3.800395011901855469e+00,5.251186847686767578e+00
-3.153293371200561523e+00,5.587376117706298828e+00
-2.735362052917480469e+00,5.782608032226562500e+00
-1.474203586578369141e+00,6.419224262237548828e+00
-1.028761863708496094e+00,6.693545818328857422e+00
-5.868934988975524902e-01,7.204144001007080078e+00
-5.094152092933654785e-01,7.417267799377441406e+00
-5.360841155052185059e-01,7.544169425964355469e+00
-5.927142500877380371e-01,7.612279891967773438e+00
-7.826747894287109375e-01,7.638238430023193359e+00
-1.087420821189880371e+00,7.633561611175537109e+00
-3.274994850158691406e+00,7.962182044982910156e+00
-3.528676271438598633e+00,8.072425842285156250e+00
-4.067045211791992188e+00,8.384861946105957031e+00
-4.357475280761718750e+00,8.470582962036132812e+00
-4.778537273406982422e+00,8.423892974853515625e+00
-5.081131935119628906e+00,8.208601951599121094e+00
-5.398941040039062500e+00,7.872169494628906250e+00
-5.497411251068115234e+00,7.609868049621582031e+00
-5.292164325714111328e+00,6.427499294281005859e+00
-5.144073009490966797e+00,5.966173171997070312e+00
