PCA1,PCA2
-9.097154140472412109e-01,-2.971351623535156250e+00
-8.999739885330200195e-01,-3.015655994415283203e+00
-8.081904649734497070e-01,-3.057101249694824219e+00
-6.068106889724731445e-01,-3.114005088806152344e+00
-3.873003721237182617e-01,-3.295350074768066406e+00
-2.959743738174438477e-01,-3.396383762359619141e+00
-2.875107526779174805e-01,-3.392582893371582031e+00
-2.833108901977539062e-01,-3.334078311920166016e+00
-2.804831266403198242e-01,-3.274543762207031250e+00
-7.148993015289306641e-02,-3.288800239562988281e+00
2.819657325744628906e-02,-3.312021732330322266e+00
7.037758827209472656e-02,-3.343737602233886719e+00
1.159858703613281250e-01,-3.284896373748779297e+00
1.394946575164794922e-01,-3.254667758941650391e+00
1.637506484985351562e-01,-3.241112232208251953e+00
2.021634578704833984e-01,-3.249417781829833984e+00
3.447790145874023438e-01,-3.221750736236572266e+00
6.246290206909179688e-01,-3.129607200622558594e+00
7.878038883209228516e-01,-3.111348628997802734e+00
9.898071289062500000e-01,-3.094172000885009766e+00
1.128321170806884766e+00,-3.015765666961669922e+00
1.187404870986938477e+00,-2.980062961578369141e+00
1.218629837036132812e+00,-2.950779438018798828e+00
1.182321310043334961e+00,-2.935356616973876953e+00
1.211797237396240234e+00,-2.903640270233154297e+00
1.383469104766845703e+00,-2.822857379913330078e+00
1.530035734176635742e+00,-2.703627109527587891e+00
1.555106163024902344e+00,-2.649897575378417969e+00
1.545333623886108398e+00,-2.577982425689697266e+00
1.552617073059082031e+00,-2.551329612731933594e+00
1.637455940246582031e+00,-2.532226562500000000e+00
1.738342761993408203e+00,-2.537718772888183594e+00
1.839881181716918945e+00,-2.484179973602294922e+00
1.913435697555541992e+00,-2.415292263031005859e+00
1.894884586334228516e+00,-2.360738277435302734e+00
2.005973577499389648e+00,-2.256353378295898438e+00
2.011871099472045898e+00,-2.198194026947021484e+00
2.034853458404541016e+00,-2.160198211669921875e+00
2.001425027847290039e+00,-2.015270709991455078e+00
1.891893148422241211e+00,-1.789694666862487793e+00
1.724175214767456055e+00,-1.574717521667480469e+00
1.626242637634277344e+00,-1.469042778015136719e+00
1.431646823883056641e+00,-1.419478774070739746e+00
1.351170778274536133e+00,-1.353813290596008301e+00
1.311972379684448242e+00,-1.254473328590393066e+00
1.258294820785522461e+00,-1.140322566032409668e+00
1.092329502105712891e+00,-1.109256267547607422e+00
9.364323616027832031e-01,-1.088910818099975586e+00
7.246851921081542969e-01,-1.050580739974975586e+00
6.042313575744628906e-01,-1.047192811965942383e+00
4.459314346313476562e-01,-1.065376996994018555e+00
3.782625198364257812e-01,-1.054932594299316406e+00
1.974158287048339844e-01,-1.080792188644409180e+00
1.214036941528320312e-01,-1.093602895736694336e+00
-1.306380033493041992e-01,-1.159262180328369141e+00
-4.293905496597290039e-01,-1.217411398887634277e+00
-6.025857925415039062e-01,-1.286262750625610352e+00
-6.923648118972778320e-01,-1.355717182159423828e+00
-8.560439348220825195e-01,-1.421976208686828613e+00
-9.336024522781372070e-01,-1.463466525077819824e+00
-9.936710596084594727e-01,-1.555237770080566406e+00
-1.117299556732177734e+00,-1.643878102302551270e+00
-1.270585417747497559e+00,-1.728997945785522461e+00
-1.334376811981201172e+00,-1.824470281600952148e+00
-1.307341575622558594e+00,-1.854022383689880371e+00
-1.289174318313598633e+00,-1.890745520591735840e+00
-1.345268249511718750e+00,-1.919420361518859863e+00
-1.372802972793579102e+00,-1.965646028518676758e+00
-1.325669646263122559e+00,-1.952023029327392578e+00
-1.278956890106201172e+00,-1.989654302597045898e+00
-1.297438025474548340e+00,-1.939039468765258789e+00
-1.267249941825866699e+00,-1.943056344985961914e+00
-1.226588129997253418e+00,-1.937359571456909180e+00
-1.232134103775024414e+00,-1.963822960853576660e+00
-1.194904804229736328e+00,-1.965501308441162109e+00
-1.110107421875000000e+00,-1.979412198066711426e+00
-9.780862927436828613e-01,-1.950825810432434082e+00
-9.795529246330261230e-01,-1.963410019874572754e+00
-9.867998361587524414e-01,-1.962661266326904297e+00
-8.610020875930786133e-01,-1.858590960502624512e+00
-6.900875568389892578e-01,-1.749458789825439453e+00
-5.504106283187866211e-01,-1.657043814659118652e+00
-3.827254772186279297e-01,-1.570247292518615723e+00
-2.478971481323242188e-01,-1.466700315475463867e+00
-1.601338386535644531e-02,-1.410540819168090820e+00
1.272525787353515625e-01,-1.437763452529907227e+00
1.642115116119384766e-01,-1.330503702163696289e+00
6.726312637329101562e-02,-1.141877055168151855e+00
7.446503639221191406e-02,-1.053954362869262695e+00
2.519395351409912109e-01,-1.008899927139282227e+00
5.168406963348388672e-01,-9.353852272033691406e-01
7.247276306152343750e-01,-8.616247177124023438e-01
8.538246154785156250e-01,-6.993741393089294434e-01
9.515714645385742188e-01,-5.878975391387939453e-01
1.057057142257690430e+00,-4.508704543113708496e-01
1.226799249649047852e+00,-3.371928632259368896e-01
1.453967809677124023e+00,-1.962087452411651611e-01
1.743376255035400391e+00,-7.889152318239212036e-02
2.042212963104248047e+00,7.233968377113342285e-02
2.232719421386718750e+00,1.716336607933044434e-01
2.374882221221923828e+00,2.427261471748352051e-01
2.476527690887451172e+00,2.540215253829956055e-01
2.519054412841796875e+00,3.491898775100708008e-01
2.649950027465820312e+00,4.917699694633483887e-01
2.846285343170166016e+00,5.852316021919250488e-01
3.054795742034912109e+00,6.833152174949645996e-01
3.254443168640136719e+00,8.149622678756713867e-01
3.376640319824218750e+00,9.047412872314453125e-01
3.510765075683593750e+00,8.876173496246337891e-01
3.536250591278076172e+00,8.894588947296142578e-01
3.551433563232421875e+00,9.864708185195922852e-01
3.533510208129882812e+00,1.125199198722839355e+00
3.550305843353271484e+00,1.124560713768005371e+00
3.704955577850341797e+00,1.135710597038269043e+00
3.848540306091308594e+00,1.189753174781799316e+00
3.937234401702880859e+00,1.262655973434448242e+00
4.063884735107421875e+00,1.291375279426574707e+00
4.285459518432617188e+00,1.323501467704772949e+00
4.527967929840087891e+00,1.393624305725097656e+00
4.735063076019287109e+00,1.488789916038513184e+00
4.863126754760742188e+00,1.574972748756408691e+00
5.084088802337646484e+00,1.630856990814208984e+00
5.289460659027099609e+00,1.713896155357360840e+00
5.358865261077880859e+00,1.844845414161682129e+00
5.363294124603271484e+00,1.912597060203552246e+00
5.413502216339111328e+00,1.965527415275573730e+00
5.450874805450439453e+00,1.925227999687194824e+00
5.519595146179199219e+00,1.921502470970153809e+00
5.527436733245849609e+00,1.876257300376892090e+00
5.477495670318603516e+00,1.863684535026550293e+00
5.376413345336914062e+00,1.805895924568176270e+00
5.390794277191162109e+00,1.694182395935058594e+00
5.495014667510986328e+00,1.382295608520507812e+00
5.132039070129394531e+00,1.402320027351379395e+00
4.412352561950683594e+00,1.626894950866699219e+00
4.057749748229980469e+00,1.602112412452697754e+00
3.746686935424804688e+00,1.324646472930908203e+00
3.578200340270996094e+00,1.033467650413513184e+00
3.436921596527099609e+00,7.990816831588745117e-01
3.123951435089111328e+00,8.610466718673706055e-01
2.959954738616943359e+00,1.132520318031311035e+00
2.637541294097900391e+00,1.167037606239318848e+00
2.438455581665039062e+00,1.080535531044006348e+00
2.351037979125976562e+00,1.087550163269042969e+00
2.560360908508300781e+00,1.275593757629394531e+00
2.785358905792236328e+00,1.214740157127380371e+00
3.137535095214843750e+00,1.249539732933044434e+00
3.377264499664306641e+00,1.309258460998535156e+00
3.387513160705566406e+00,1.339725494384765625e+00
3.168872833251953125e+00,1.501378893852233887e+00
3.022661685943603516e+00,1.835893630981445312e+00
3.268653869628906250e+00,2.082278251647949219e+00
3.459788799285888672e+00,2.253809928894042969e+00
3.815935611724853516e+00,2.433799743652343750e+00
4.019313812255859375e+00,2.518159866333007812e+00
3.978773593902587891e+00,2.457678318023681641e+00
3.740649700164794922e+00,2.410157680511474609e+00
3.200318813323974609e+00,2.461544990539550781e+00
3.022380828857421875e+00,2.577729701995849609e+00
2.944191455841064453e+00,2.599775314331054688e+00
3.247231006622314453e+00,2.583456039428710938e+00
3.304296493530273438e+00,2.561582088470458984e+00
2.763324737548828125e+00,2.615907669067382812e+00
2.227498054504394531e+00,2.732158184051513672e+00
1.764874219894409180e+00,2.375442504882812500e+00
1.719245672225952148e+00,2.271206378936767578e+00
1.685646295547485352e+00,1.995484709739685059e+00
1.994721412658691406e+00,1.978771090507507324e+00
2.018414020538330078e+00,1.863115906715393066e+00
2.276805400848388672e+00,2.083073616027832031e+00
2.282106876373291016e+00,1.994295001029968262e+00
2.362642288208007812e+00,2.013340473175048828e+00
2.286877155303955078e+00,1.905357480049133301e+00
2.448573112487792969e+00,1.964013218879699707e+00
2.616120815277099609e+00,1.867649197578430176e+00
2.924732208251953125e+00,1.967052578926086426e+00
2.955951213836669922e+00,1.854010462760925293e+00
2.886871814727783203e+00,1.917030692100524902e+00
2.844417572021484375e+00,1.956802964210510254e+00
2.461238384246826172e+00,2.186285018920898438e+00
1.880422353744506836e+00,2.337627887725830078e+00
1.752336740493774414e+00,2.401629447937011719e+00
2.044983863830566406e+00,2.490686416625976562e+00
2.230206966400146484e+00,2.663594245910644531e+00
1.815454244613647461e+00,2.426717758178710938e+00
1.387022256851196289e+00,2.232930183410644531e+00
1.086819171905517578e+00,2.048931121826171875e+00
9.401888847351074219e-01,2.033098697662353516e+00
9.341707229614257812e-01,1.852010846138000488e+00
8.880794048309326172e-01,1.656589388847351074e+00
9.130833148956298828e-01,1.309306025505065918e+00
1.039291381835937500e+00,1.106008529663085938e+00
1.118462800979614258e+00,8.808870315551757812e-01
1.015515565872192383e+00,6.022949814796447754e-01
7.042009830474853516e-01,2.884447872638702393e-01
4.047677516937255859e-01,9.039793908596038818e-02
3.562355041503906250e-01,-1.341603547334671021e-01
2.303564548492431641e-01,-3.981228768825531006e-01
1.048815250396728516e-01,-6.518342494964599609e-01
1.584601402282714844e-02,-8.180945515632629395e-01
-1.341236829757690430e-01,-1.039215445518493652e+00
-3.451528549194335938e-01,-1.380717992782592773e+00
-8.341000080108642578e-01,-1.693965911865234375e+00
-9.798225164413452148e-01,-1.829762697219848633e+00
-1.027689814567565918e+00,-1.973185777664184570e+00
-1.124451160430908203e+00,-2.135157585144042969e+00
-1.146767258644104004e+00,-2.193789482116699219e+00
-1.141850948333740234e+00,-2.237625598907470703e+00
-1.164705038070678711e+00,-2.281609058380126953e+00
-1.193341374397277832e+00,-2.300544261932373047e+00
-1.210274577140808105e+00,-2.294472217559814453e+00
-1.180302858352661133e+00,-2.264233112335205078e+00
-1.160844326019287109e+00,-2.241890430450439453e+00
-1.133491873741149902e+00,-2.228853702545166016e+00
-1.122192978858947754e+00,-2.203163146972656250e+00
-1.111762881278991699e+00,-2.191624641418457031e+00
-1.010112047195434570e+00,-2.134201765060424805e+00
-8.679463863372802734e-01,-2.084334611892700195e+00
-7.298053503036499023e-01,-2.031942844390869141e+00
-6.319721937179565430e-01,-1.946987390518188477e+00
-5.486030578613281250e-01,-1.867705345153808594e+00
-4.262270927429199219e-01,-1.788801908493041992e+00
-3.067915439605712891e-01,-1.723947525024414062e+00
-2.044444084167480469e-01,-1.648419022560119629e+00
-8.397543430328369141e-02,-1.578656315803527832e+00
5.819940567016601562e-02,-1.488141059875488281e+00
1.979117393493652344e-01,-1.409365773200988770e+00
3.345763683319091797e-01,-1.319037914276123047e+00
4.298169612884521484e-01,-1.248025178909301758e+00
5.122399330139160156e-01,-1.140176773071289062e+00
6.403965950012207031e-01,-1.062103986740112305e+00
8.050065040588378906e-01,-9.977707862854003906e-01
1.010621786117553711e+00,-9.606447815895080566e-01
1.181675195693969727e+00,-8.845551609992980957e-01
1.337139129638671875e+00,-7.969626188278198242e-01
1.474234580993652344e+00,-7.377060055732727051e-01
1.609107017517089844e+00,-6.973841190338134766e-01
1.810296297073364258e+00,-6.690623760223388672e-01
2.046744346618652344e+00,-5.836458206176757812e-01
2.215366363525390625e+00,-4.811183810234069824e-01
2.443122863769531250e+00,-3.743711411952972412e-01
2.688849449157714844e+00,-2.793243527412414551e-01
2.964848518371582031e+00,-2.007887363433837891e-01
3.235871315002441406e+00,-9.190578013658523560e-02
3.431064128875732422e+00,3.584983944892883301e-02
3.572519302368164062e+00,1.913291513919830322e-01
3.720726490020751953e+00,3.275237679481506348e-01
3.832039356231689453e+00,4.775613546371459961e-01
3.956048488616943359e+00,5.430421829223632812e-01
4.048874378204345703e+00,6.669365167617797852e-01
4.128626346588134766e+00,7.253012061119079590e-01
4.184796810150146484e+00,7.629033327102661133e-01
4.155462741851806641e+00,8.037062883377075195e-01
4.184424400329589844e+00,8.213412165641784668e-01
4.123425960540771484e+00,9.081155061721801758e-01
4.043912410736083984e+00,9.496831893920898438e-01
3.860459327697753906e+00,1.025599479675292969e+00
3.755145072937011719e+00,9.783506393432617188e-01
3.719732284545898438e+00,1.013268589973449707e+00
3.699022769927978516e+00,9.824582338333129883e-01
3.619188785552978516e+00,9.964178800582885742e-01
3.514545440673828125e+00,1.043588519096374512e+00
3.211861610412597656e+00,1.022669434547424316e+00
2.905674457550048828e+00,9.576336145401000977e-01
2.751516819000244141e+00,9.092277288436889648e-01
2.664616107940673828e+00,8.001726865768432617e-01
2.568248748779296875e+00,6.582317948341369629e-01
2.458096981048583984e+00,5.170930027961730957e-01
2.375361442565917969e+00,4.218991398811340332e-01
2.250299930572509766e+00,3.215224444866180420e-01
2.024785518646240234e+00,1.325330436229705811e-01
1.806596994400024414e+00,-1.075796782970428467e-02
1.558177709579467773e+00,-1.296228468418121338e-01
1.369455575942993164e+00,-2.401599287986755371e-01
1.163412332534790039e+00,-4.147274494171142578e-01
9.712951183319091797e-01,-5.867921113967895508e-01
6.988775730133056641e-01,-7.311102151870727539e-01
3.985579013824462891e-01,-8.904374837875366211e-01
-1.015734672546386719e-01,-1.054596900939941406e+00
-5.143947601318359375e-01,-1.267386555671691895e+00
-8.221820592880249023e-01,-1.405555129051208496e+00
-1.052335023880004883e+00,-1.574841380119323730e+00
-1.275521993637084961e+00,-1.761543869972229004e+00
-1.349183797836303711e+00,-2.006963968276977539e+00
-1.335475087165832520e+00,-2.210671901702880859e+00
-1.353757500648498535e+00,-2.391094684600830078e+00
-1.404541969299316406e+00,-2.462295055389404297e+00
-1.369402885437011719e+00,-2.477038383483886719e+00
-1.304625034332275391e+00,-2.454545497894287109e+00
-1.209621310234069824e+00,-2.409996032714843750e+00
-1.131206750869750977e+00,-2.365590572357177734e+00
