tSNE1,tSNE2
-3.659084796905517578e+00,-9.721038818359375000e+00
-3.617779254913330078e+00,-9.717943191528320312e+00
-3.575958967208862305e+00,-9.725063323974609375e+00
-3.489752054214477539e+00,-9.719549179077148438e+00
1.890629291534423828e+00,-7.948227882385253906e+00
1.993570923805236816e+00,-7.891144275665283203e+00
2.135378360748291016e+00,-7.803395271301269531e+00
2.356733560562133789e+00,-7.697483062744140625e+00
2.540707588195800781e+00,-7.646922111511230469e+00
2.962460756301879883e+00,-7.604368209838867188e+00
3.176020145416259766e+00,-7.596059322357177734e+00
3.378424167633056641e+00,-7.592698097229003906e+00
3.558656454086303711e+00,-7.570139408111572266e+00
3.833572864532470703e+00,-7.530016899108886719e+00
4.032873630523681641e+00,-7.533259868621826172e+00
4.411935329437255859e+00,-7.556675910949707031e+00
4.741202831268310547e+00,-7.590416908264160156e+00
5.216870307922363281e+00,-7.662806034088134766e+00
5.514871120452880859e+00,-7.685307502746582031e+00
5.925945281982421875e+00,-7.614215850830078125e+00
6.277225971221923828e+00,-7.483438968658447266e+00
6.686865329742431641e+00,-7.223132610321044922e+00
6.922642707824707031e+00,-6.976510047912597656e+00
7.047307491302490234e+00,-6.780322551727294922e+00
7.134625434875488281e+00,-6.627147197723388672e+00
7.270983695983886719e+00,-6.381026268005371094e+00
7.428117275238037109e+00,-6.018122673034667969e+00
7.481656074523925781e+00,-5.855716228485107422e+00
7.512047290802001953e+00,-5.746298789978027344e+00
7.548128604888916016e+00,-5.619791507720947266e+00
7.616776466369628906e+00,-5.486312389373779297e+00
7.727223396301269531e+00,-5.280026912689208984e+00
7.814543724060058594e+00,-5.063806533813476562e+00
7.885330200195312500e+00,-4.845937252044677734e+00
7.916950702667236328e+00,-4.667975425720214844e+00
7.927910804748535156e+00,-4.503912448883056641e+00
7.880389213562011719e+00,-4.330287456512451172e+00
7.801249027252197266e+00,-4.153469562530517578e+00
7.639113903045654297e+00,-3.955748558044433594e+00
7.135101318359375000e+00,-3.502759456634521484e+00
6.474793434143066406e+00,-3.010096549987792969e+00
6.159137248992919922e+00,-2.771667718887329102e+00
5.898700714111328125e+00,-2.592450141906738281e+00
5.671280384063720703e+00,-2.469104528427124023e+00
5.462908267974853516e+00,-2.380737543106079102e+00
5.289017677307128906e+00,-2.356066703796386719e+00
5.108941555023193359e+00,-2.392301559448242188e+00
4.880218029022216797e+00,-2.491160631179809570e+00
4.555070877075195312e+00,-2.680789232254028320e+00
