PCA1,PCA2
7.010983228683471680e-01,4.448158740997314453e+00
6.047351360321044922e-01,4.433806896209716797e+00
5.670015811920166016e-01,4.427216529846191406e+00
5.242769718170166016e-01,4.432455539703369141e+00
5.054019689559936523e-01,4.437962532043457031e+00
4.850381612777709961e-01,4.452255725860595703e+00
4.612724781036376953e-01,4.485289096832275391e+00
4.133753776550292969e-01,4.547364234924316406e+00
4.148974418640136719e-01,4.564307689666748047e+00
4.129455089569091797e-01,4.568220138549804688e+00
4.199445247650146484e-01,4.519036769866943359e+00
4.065859317779541016e-01,4.455954551696777344e+00
3.776893615722656250e-01,4.413236618041992188e+00
2.978947162628173828e-01,4.356312274932861328e+00
2.082178592681884766e-01,4.301411628723144531e+00
1.164195537567138672e-01,4.244627475738525391e+00
3.067111968994140625e-02,4.194419860839843750e+00
-7.861471176147460938e-02,4.172943115234375000e+00
-1.662976741790771484e-01,4.142133235931396484e+00
-2.342226505279541016e-01,4.087240219116210938e+00
-2.860622406005859375e-01,4.030143737792968750e+00
-3.728735446929931641e-01,3.967035770416259766e+00
-4.588944911956787109e-01,3.884908199310302734e+00
-5.740270614624023438e-01,3.776390075683593750e+00
-7.224454879760742188e-01,3.612494468688964844e+00
-8.952386379241943359e-01,3.444599390029907227e+00
-1.061266422271728516e+00,3.272068023681640625e+00
-1.222653865814208984e+00,3.123602390289306641e+00
-1.406147480010986328e+00,2.948608398437500000e+00
-1.682772159576416016e+00,2.819555997848510742e+00
-1.894018173217773438e+00,2.713696479797363281e+00
-2.105007648468017578e+00,2.550174474716186523e+00
-2.268501758575439453e+00,2.449026584625244141e+00
-2.429585933685302734e+00,2.342005252838134766e+00
-2.520059108734130859e+00,2.222501516342163086e+00
-2.646589279174804688e+00,2.033962965011596680e+00
-2.788023948669433594e+00,1.850930571556091309e+00
-2.899945735931396484e+00,1.624915361404418945e+00
-3.002596855163574219e+00,1.434828758239746094e+00
-3.108229637145996094e+00,1.236346006393432617e+00
-3.154671192169189453e+00,1.043719649314880371e+00
-3.177694797515869141e+00,8.920617103576660156e-01
-3.120658397674560547e+00,9.716017246246337891e-01
-3.099213123321533203e+00,1.103790879249572754e+00
-3.013454437255859375e+00,1.287608742713928223e+00
-2.997871398925781250e+00,1.350310325622558594e+00
-2.931184291839599609e+00,1.351153254508972168e+00
-2.860546112060546875e+00,1.256088018417358398e+00
