tSNE1,tSNE2
-1.057154893875122070e+00,1.045231056213378906e+01
-1.105273842811584473e+00,1.047596454620361328e+01
-1.152898907661437988e+00,1.049662208557128906e+01
-1.191352486610412598e+00,1.049490356445312500e+01
-1.217766642570495605e+00,1.046264171600341797e+01
-1.253524541854858398e+00,1.041225910186767578e+01
-1.348845362663269043e+00,1.030297279357910156e+01
-1.482002019882202148e+00,1.018617820739746094e+01
-1.562164425849914551e+00,1.013403606414794922e+01
-1.665368318557739258e+00,1.009514045715332031e+01
-1.795345902442932129e+00,1.007400703430175781e+01
-1.956763863563537598e+00,1.006141853332519531e+01
-2.116109371185302734e+00,1.005741024017333984e+01
-2.331132173538208008e+00,1.006461620330810547e+01
-2.545150518417358398e+00,1.006092929840087891e+01
-2.787935495376586914e+00,1.004652786254882812e+01
-3.082250833511352539e+00,1.001043510437011719e+01
-3.784228563308715820e+00,9.955241203308105469e+00
-4.031993389129638672e+00,9.894603729248046875e+00
-4.147928237915039062e+00,9.839387893676757812e+00
-4.226144313812255859e+00,9.789306640625000000e+00
-4.350595951080322266e+00,9.669434547424316406e+00
-4.482070446014404297e+00,9.534439086914062500e+00
-4.663619995117187500e+00,9.376544952392578125e+00
-7.733127593994140625e+00,7.174644947052001953e+00
-7.867526531219482422e+00,7.005486488342285156e+00
-8.006578445434570312e+00,6.810197830200195312e+00
-8.116255760192871094e+00,6.627872467041015625e+00
-8.240724563598632812e+00,6.416762828826904297e+00
-8.370965957641601562e+00,6.169929981231689453e+00
-8.457384109497070312e+00,5.996325492858886719e+00
-8.528166770935058594e+00,5.845241069793701172e+00
-8.586591720581054688e+00,5.712133884429931641e+00
-8.633760452270507812e+00,5.575669288635253906e+00
-8.685282707214355469e+00,5.463083267211914062e+00
-8.726104736328125000e+00,5.347815036773681641e+00
-8.745546340942382812e+00,5.203080177307128906e+00
-8.738680839538574219e+00,5.025584697723388672e+00
-8.622551918029785156e+00,4.646426677703857422e+00
-7.905240535736083984e+00,3.352038145065307617e+00
-7.665204048156738281e+00,3.076156616210937500e+00
-7.529054641723632812e+00,2.977022647857666016e+00
-7.386767387390136719e+00,2.954111814498901367e+00
-7.244190216064453125e+00,3.019060850143432617e+00
-7.230255126953125000e+00,3.297138214111328125e+00
-7.272435665130615234e+00,3.390292167663574219e+00
-7.266643524169921875e+00,3.437597751617431641e+00
-7.204926013946533203e+00,3.435927152633666992e+00
-7.176893234252929688e+00,3.406140565872192383e+00
-7.162438392639160156e+00,3.386275529861450195e+00
-7.128249645233154297e+00,3.356036901473999023e+00
-7.073643684387207031e+00,3.317128419876098633e+00
-6.950574874877929688e+00,3.289311885833740234e+00
-6.754828453063964844e+00,3.252725124359130859e+00
-6.480371475219726562e+00,3.233190059661865234e+00
-6.171181201934814453e+00,3.203208446502685547e+00
-5.850275993347167969e+00,3.204124689102172852e+00
-5.456816673278808594e+00,3.283326387405395508e+00
-4.794171333312988281e+00,3.393264293670654297e+00
-4.273515224456787109e+00,3.487504005432128906e+00
-3.923234939575195312e+00,3.583759784698486328e+00
-3.602419853210449219e+00,3.725993871688842773e+00
-3.343136072158813477e+00,4.044615268707275391e+00
-3.155841350555419922e+00,4.135997295379638672e+00
-2.916804790496826172e+00,4.265609741210937500e+00
-2.672885179519653320e+00,4.494729518890380859e+00
-2.380490541458129883e+00,4.837833881378173828e+00
-1.964337110519409180e+00,5.276474475860595703e+00
-1.541944265365600586e+00,5.676904678344726562e+00
-1.079240202903747559e+00,6.082852840423583984e+00
-6.884737014770507812e-01,6.305162906646728516e+00
-2.641530930995941162e-01,6.437414646148681641e+00
-1.202097088098526001e-01,6.497736454010009766e+00
-5.707581996917724609e+00,8.371587753295898438e+00
-6.055378437042236328e+00,8.197196006774902344e+00
