PCA1,PCA2
-8.783411979675292969e-02,-4.611680030822753906e+00
-1.583793163299560547e-01,-4.655635833740234375e+00
-2.072634696960449219e-01,-4.694795131683349609e+00
-2.085237503051757812e-01,-4.742728233337402344e+00
-2.120802402496337891e-01,-4.760607242584228516e+00
-2.283957004547119141e-01,-4.737709522247314453e+00
-2.562658786773681641e-01,-4.674989700317382812e+00
-2.747881412506103516e-01,-4.650507926940917969e+00
-3.285672664642333984e-01,-4.592757701873779297e+00
-3.552646636962890625e-01,-4.593506813049316406e+00
-3.910129070281982422e-01,-4.606270790100097656e+00
-4.070703983306884766e-01,-4.596735000610351562e+00
-4.871933460235595703e-01,-4.500125408172607422e+00
-5.157990455627441406e-01,-4.494491100311279297e+00
-5.111706256866455078e-01,-4.449646472930908203e+00
-5.005328655242919922e-01,-4.390436649322509766e+00
-5.061781406402587891e-01,-4.332878589630126953e+00
-4.713172912597656250e-01,-4.221959114074707031e+00
-4.681239128112792969e-01,-4.117928981781005859e+00
-5.585844516754150391e-01,-3.999191999435424805e+00
-7.909710407257080078e-01,-3.833140611648559570e+00
-9.703347682952880859e-01,-3.736792087554931641e+00
-1.131441354751586914e+00,-3.613428592681884766e+00
-1.266560316085815430e+00,-3.546280622482299805e+00
-1.427170038223266602e+00,-3.516614198684692383e+00
-1.529012918472290039e+00,-3.443159818649291992e+00
-1.602016210556030273e+00,-3.359579801559448242e+00
-1.815491914749145508e+00,-3.229908227920532227e+00
-2.003960371017456055e+00,-3.054084062576293945e+00
-2.139859914779663086e+00,-2.915107011795043945e+00
-2.321337461471557617e+00,-2.763213157653808594e+00
-2.466309785842895508e+00,-2.582123279571533203e+00
-2.455651998519897461e+00,-2.454686880111694336e+00
-2.536058664321899414e+00,-2.269639968872070312e+00
-2.755497694015502930e+00,-1.970085501670837402e+00
-2.875443696975708008e+00,-1.755251407623291016e+00
-2.877176046371459961e+00,-1.621974229812622070e+00
-2.910008668899536133e+00,-1.480696320533752441e+00
-3.056881189346313477e+00,-1.234240055084228516e+00
-3.278273344039916992e+00,-1.006419897079467773e+00
-3.383173227310180664e+00,-8.137136101722717285e-01
-3.294027566909790039e+00,-7.313154339790344238e-01
-3.089765310287475586e+00,-5.521887540817260742e-01
-2.884124994277954102e+00,-4.226284623146057129e-01
-2.782267808914184570e+00,-3.314768671989440918e-01
-2.644526720046997070e+00,-2.230079174041748047e-01
-2.660799741744995117e+00,-1.925151348114013672e-01
-2.836215257644653320e+00,-2.752968072891235352e-01
-3.238916158676147461e+00,-2.327134609222412109e-01
-3.486066102981567383e+00,-3.429120779037475586e-01
-3.537342786788940430e+00,-5.949746370315551758e-01
-3.166491746902465820e+00,-8.790585398674011230e-01
-2.642260789871215820e+00,-1.019712090492248535e+00
-2.215063810348510742e+00,-1.178347110748291016e+00
-1.924583196640014648e+00,-1.201306581497192383e+00
-1.784297227859497070e+00,-1.292774677276611328e+00
-1.728422403335571289e+00,-1.102155089378356934e+00
-1.783879995346069336e+00,-1.084337115287780762e+00
-1.550997018814086914e+00,-1.161495089530944824e+00
-1.304205179214477539e+00,-1.347167491912841797e+00
-8.845334053039550781e-01,-1.540871858596801758e+00
-4.268443584442138672e-01,-1.869271993637084961e+00
-9.878969192504882812e-02,-2.071711540222167969e+00
-2.123267650604248047e-01,-2.005610227584838867e+00
-2.730460166931152344e-01,-1.982075452804565430e+00
-3.029737472534179688e-01,-1.963305473327636719e+00
-1.596083641052246094e-01,-1.998045444488525391e+00
-3.351259231567382812e-02,-2.045364856719970703e+00
4.019095897674560547e-01,-2.147995710372924805e+00
7.124187946319580078e-01,-2.325675725936889648e+00
7.068428993225097656e-01,-2.409759283065795898e+00
5.846631526947021484e-01,-2.366873025894165039e+00
4.538974761962890625e-01,-2.471510410308837891e+00
4.866497516632080078e-01,-2.562579154968261719e+00
6.461627483367919922e-01,-2.660061359405517578e+00
5.914669036865234375e-01,-2.620921134948730469e+00
4.306135177612304688e-01,-2.500777244567871094e+00
2.371025085449218750e-01,-2.322494506835937500e+00
3.065609931945800781e-02,-2.083516836166381836e+00
-1.572549343109130859e-01,-1.877929687500000000e+00
-2.937841415405273438e-01,-1.716387748718261719e+00
-3.837821483612060547e-01,-1.642449378967285156e+00
-4.315214157104492188e-01,-1.501330375671386719e+00
-6.328125000000000000e-01,-1.341137051582336426e+00
-7.831075191497802734e-01,-1.165574908256530762e+00
-9.228022098541259766e-01,-1.010312199592590332e+00
-1.146362543106079102e+00,-8.359994888305664062e-01
-1.334489583969116211e+00,-6.427935361862182617e-01
-1.528106451034545898e+00,-3.978748917579650879e-01
-1.718124628067016602e+00,-1.362009048461914062e-01
-1.929980993270874023e+00,1.707059741020202637e-01
-2.189232110977172852e+00,4.688752293586730957e-01
-2.514933347702026367e+00,7.481788992881774902e-01
-2.725125551223754883e+00,9.712007641792297363e-01
-2.971748113632202148e+00,1.200318336486816406e+00
-3.190714120864868164e+00,1.332361459732055664e+00
-3.475873231887817383e+00,1.467870712280273438e+00
-3.775236845016479492e+00,1.615525960922241211e+00
-3.958829641342163086e+00,1.781899213790893555e+00
-4.103429794311523438e+00,1.834000349044799805e+00
-4.112236022949218750e+00,1.923259735107421875e+00
-4.194490432739257812e+00,2.079919338226318359e+00
-4.245626449584960938e+00,2.248428106307983398e+00
-4.232249259948730469e+00,2.376582622528076172e+00
-4.248867988586425781e+00,2.447171688079833984e+00
-4.187088012695312500e+00,2.470251083374023438e+00
-4.103754043579101562e+00,2.592211484909057617e+00
-4.205067634582519531e+00,2.731739044189453125e+00
-4.161889076232910156e+00,2.839118957519531250e+00
-4.274095535278320312e+00,2.954407453536987305e+00
-4.500334739685058594e+00,3.085162401199340820e+00
-4.821798324584960938e+00,3.251746892929077148e+00
-4.967696189880371094e+00,3.295373201370239258e+00
-5.113295555114746094e+00,3.312007665634155273e+00
-5.120691299438476562e+00,3.320070981979370117e+00
-5.234775543212890625e+00,3.401602983474731445e+00
-5.341406822204589844e+00,3.425685644149780273e+00
-5.587489128112792969e+00,3.500530958175659180e+00
-5.662305831909179688e+00,3.528831243515014648e+00
-5.722879409790039062e+00,3.483012914657592773e+00
-5.516038894653320312e+00,3.396722555160522461e+00
-5.210609436035156250e+00,3.357485055923461914e+00
-5.084485054016113281e+00,3.218394517898559570e+00
-5.333737373352050781e+00,3.283135652542114258e+00
-5.464913368225097656e+00,3.384124994277954102e+00
-5.569849967956542969e+00,3.451206922531127930e+00
-5.601955413818359375e+00,3.369007825851440430e+00
-5.573621749877929688e+00,3.322248220443725586e+00
-5.607937812805175781e+00,3.324905157089233398e+00
-5.706320762634277344e+00,3.386441946029663086e+00
-5.942440986633300781e+00,3.568007230758666992e+00
-6.193924903869628906e+00,3.741491079330444336e+00
-6.557651519775390625e+00,3.839936017990112305e+00
-6.854373931884765625e+00,3.936017751693725586e+00
-7.055156707763671875e+00,4.058267116546630859e+00
-7.094578742980957031e+00,4.143694400787353516e+00
-7.021574020385742188e+00,4.263339519500732422e+00
-6.797800064086914062e+00,4.358496665954589844e+00
-6.486877441406250000e+00,4.548887252807617188e+00
-6.132586479187011719e+00,4.704674243927001953e+00
-5.842229843139648438e+00,5.007606506347656250e+00
-5.608966827392578125e+00,5.326543807983398438e+00
-5.593734741210937500e+00,5.553704738616943359e+00
-5.562753677368164062e+00,5.672418117523193359e+00
-5.754302024841308594e+00,5.634520053863525391e+00
-5.861322402954101562e+00,5.532298088073730469e+00
-5.940796852111816406e+00,5.374268054962158203e+00
-5.972772598266601562e+00,5.210312366485595703e+00
-5.991002082824707031e+00,5.066655635833740234e+00
-6.222101211547851562e+00,5.091697692871093750e+00
-6.174287796020507812e+00,5.200674533843994141e+00
-6.216399192810058594e+00,5.282040596008300781e+00
-6.360832214355468750e+00,5.536149978637695312e+00
-6.468136787414550781e+00,5.720904827117919922e+00
-6.369290351867675781e+00,5.807210445404052734e+00
-6.310190200805664062e+00,5.905964374542236328e+00
-6.100161552429199219e+00,5.718283653259277344e+00
-5.656725883483886719e+00,5.426472663879394531e+00
-5.234727859497070312e+00,5.213470935821533203e+00
-4.852682113647460938e+00,5.140994071960449219e+00
-4.684611320495605469e+00,5.287479877471923828e+00
-4.745727539062500000e+00,5.460287094116210938e+00
-4.778166770935058594e+00,5.679583072662353516e+00
-4.918866157531738281e+00,5.846919059753417969e+00
-5.037538528442382812e+00,5.866397380828857422e+00
-5.042538642883300781e+00,5.771603107452392578e+00
-4.732777595520019531e+00,5.603422641754150391e+00
-4.554709434509277344e+00,5.299216747283935547e+00
