tSNE1,tSNE2
-2.585420608520507812e+00,-9.527375221252441406e+00
-2.619038820266723633e+00,-9.516101837158203125e+00
-2.638870477676391602e+00,-9.471783638000488281e+00
-2.639552116394042969e+00,-9.432555198669433594e+00
-2.650462865829467773e+00,-9.381305694580078125e+00
-2.692876577377319336e+00,-9.329417228698730469e+00
-2.759608030319213867e+00,-9.297916412353515625e+00
-2.812117576599121094e+00,-9.287233352661132812e+00
-2.887829780578613281e+00,-9.279191970825195312e+00
-3.009202003479003906e+00,-9.274957656860351562e+00
-3.233076810836791992e+00,-9.197286605834960938e+00
-3.289571046829223633e+00,-9.140741348266601562e+00
-3.356783151626586914e+00,-9.082920074462890625e+00
-3.477221012115478516e+00,-8.992238998413085938e+00
-3.602997064590454102e+00,-8.878039360046386719e+00
-3.701977252960205078e+00,-8.757819175720214844e+00
-3.908762931823730469e+00,-8.552563667297363281e+00
-4.215077400207519531e+00,-8.300985336303710938e+00
-4.465221405029296875e+00,-8.116452217102050781e+00
-4.732364177703857422e+00,-7.937635898590087891e+00
-5.243339538574218750e+00,-7.628155708312988281e+00
-5.762225151062011719e+00,-7.322821617126464844e+00
-6.072658061981201172e+00,-7.124459266662597656e+00
-6.428192138671875000e+00,-6.903883457183837891e+00
-6.781725406646728516e+00,-6.699582099914550781e+00
-6.941058158874511719e+00,-6.574866771697998047e+00
-7.211853504180908203e+00,-6.391595363616943359e+00
-7.759234428405761719e+00,-6.072539806365966797e+00
-8.212618827819824219e+00,-5.736136436462402344e+00
-8.975161552429199219e+00,-4.891186714172363281e+00
-9.375908851623535156e+00,-4.366551399230957031e+00
-9.502860069274902344e+00,-4.172745227813720703e+00
-9.577028274536132812e+00,-3.967803955078125000e+00
-9.629425048828125000e+00,-3.786034345626831055e+00
-9.691095352172851562e+00,-3.467365741729736328e+00
-9.702209472656250000e+00,-3.175179719924926758e+00
-9.621531486511230469e+00,-2.670578002929687500e+00
-9.431239128112792969e+00,-1.867774367332458496e+00
-9.293447494506835938e+00,-1.446110010147094727e+00
-9.193044662475585938e+00,-1.246482729911804199e+00
-8.995721817016601562e+00,-1.008694052696228027e+00
-8.839085578918457031e+00,-9.275516271591186523e-01
-8.597261428833007812e+00,-9.836022853851318359e-01
-8.523938179016113281e+00,-1.014737129211425781e+00
-8.511340141296386719e+00,-1.103824734687805176e+00
-8.495107650756835938e+00,-1.194753646850585938e+00
-8.447729110717773438e+00,-1.223861813545227051e+00
-8.471198081970214844e+00,-1.141501307487487793e+00
-8.529043197631835938e+00,-9.555826187133789062e-01
-8.391169548034667969e+00,-8.427789211273193359e-01
-8.093683242797851562e+00,-7.726911306381225586e-01
-7.819582462310791016e+00,-7.286097407341003418e-01
-7.363275051116943359e+00,-7.099260687828063965e-01
-6.663438796997070312e+00,-7.943862080574035645e-01
-6.300178527832031250e+00,-9.084029793739318848e-01
-5.978731155395507812e+00,-1.056458115577697754e+00
-5.268615722656250000e+00,-1.568666219711303711e+00
-4.769295692443847656e+00,-2.188629150390625000e+00
-4.588612556457519531e+00,-2.475940704345703125e+00
-4.457432270050048828e+00,-2.718786954879760742e+00
-4.328794479370117188e+00,-2.975321531295776367e+00
-4.064755916595458984e+00,-3.606053113937377930e+00
-3.968304395675659180e+00,-3.809248208999633789e+00
-3.868241548538208008e+00,-3.956818819046020508e+00
-3.626834392547607422e+00,-4.182053089141845703e+00
-3.281228065490722656e+00,-4.485601902008056641e+00
-2.863408565521240234e+00,-4.899230003356933594e+00
-2.418041229248046875e+00,-5.358905792236328125e+00
-1.810540914535522461e+00,-5.895410060882568359e+00
-1.034560561180114746e+00,-6.571503639221191406e+00
-8.601578474044799805e-01,-6.676763057708740234e+00
-8.857536315917968750e-01,-6.738262653350830078e+00
-1.094241738319396973e+00,-6.783234119415283203e+00
-1.222986936569213867e+00,-6.776411056518554688e+00
-1.632104992866516113e+00,-6.732893943786621094e+00
-1.769508481025695801e+00,-6.698716163635253906e+00
-1.890693545341491699e+00,-6.654247760772705078e+00
-1.952468395233154297e+00,-6.573766708374023438e+00
-6.093677043914794922e+00,-2.650877475738525391e+00
-6.201746940612792969e+00,-2.468446493148803711e+00
-6.307123661041259766e+00,-2.264894247055053711e+00
-6.445453643798828125e+00,-1.976019620895385742e+00
-6.590533256530761719e+00,-1.634983301162719727e+00
-6.676862716674804688e+00,-1.423763751983642578e+00
-6.766729831695556641e+00,-1.192801594734191895e+00
-6.871521949768066406e+00,-9.206026196479797363e-01
-6.994968414306640625e+00,-6.084246635437011719e-01
-7.117013454437255859e+00,-3.112320303916931152e-01
-7.278658390045166016e+00,4.988283291459083557e-02
-7.471519947052001953e+00,4.693999886512756348e-01
-7.641112804412841797e+00,8.015044331550598145e-01
-7.772866249084472656e+00,1.036955952644348145e+00
-7.915295124053955078e+00,1.261336922645568848e+00
-8.062524795532226562e+00,1.443893432617187500e+00
-8.225049018859863281e+00,1.597441196441650391e+00
-8.365131378173828125e+00,1.702518582344055176e+00
-8.510659217834472656e+00,1.812104463577270508e+00
-8.653645515441894531e+00,1.905690193176269531e+00
-8.787210464477539062e+00,1.991192698478698730e+00
-8.986071586608886719e+00,2.115933895111083984e+00
-9.142708778381347656e+00,2.224623918533325195e+00
-9.298850059509277344e+00,2.347597360610961914e+00
-9.507560729980468750e+00,2.537183523178100586e+00
-9.666299819946289062e+00,2.680996179580688477e+00
-9.715716361999511719e+00,2.731067180633544922e+00
-9.739939689636230469e+00,2.761687278747558594e+00
