PCA1,PCA2
-4.832408428192138672e-01,4.040376663208007812e+00
-3.536605834960937500e-01,4.102114677429199219e+00
-2.701001167297363281e-01,4.217006683349609375e+00
-1.680896282196044922e-01,4.274847030639648438e+00
-1.695404052734375000e-01,4.385956287384033203e+00
-1.466917991638183594e-01,4.412008285522460938e+00
-8.858418464660644531e-02,4.473164081573486328e+00
5.538702011108398438e-03,4.488860607147216797e+00
4.477977752685546875e-02,4.576000213623046875e+00
8.777761459350585938e-02,4.628948688507080078e+00
1.305880546569824219e-01,4.697817802429199219e+00
2.105424404144287109e-01,4.667576789855957031e+00
2.642784118652343750e-01,4.666778564453125000e+00
2.504754066467285156e-01,4.674217224121093750e+00
2.464659214019775391e-01,4.755060195922851562e+00
3.035268783569335938e-01,4.737462997436523438e+00
4.212176799774169922e-01,4.750100135803222656e+00
5.381302833557128906e-01,4.696875572204589844e+00
6.594219207763671875e-01,4.660981178283691406e+00
7.495801448822021484e-01,4.590043544769287109e+00
9.078571796417236328e-01,4.521423816680908203e+00
1.125782012939453125e+00,4.310492038726806641e+00
1.295145034790039062e+00,4.126588344573974609e+00
1.489836692810058594e+00,3.879761934280395508e+00
1.671713829040527344e+00,3.669544219970703125e+00
1.771485328674316406e+00,3.537866353988647461e+00
1.912913799285888672e+00,3.409439802169799805e+00
2.105585575103759766e+00,3.236231803894042969e+00
2.302827835083007812e+00,3.115568161010742188e+00
2.400132656097412109e+00,3.036492347717285156e+00
2.526286602020263672e+00,2.889916896820068359e+00
2.676330089569091797e+00,2.763513565063476562e+00
2.818651676177978516e+00,2.669885158538818359e+00
2.957183361053466797e+00,2.575578451156616211e+00
3.007078647613525391e+00,2.450927734375000000e+00
3.076156139373779297e+00,2.290834426879882812e+00
3.119711875915527344e+00,2.131555557250976562e+00
3.223200798034667969e+00,1.812708616256713867e+00
3.311388015747070312e+00,1.618926286697387695e+00
3.361789226531982422e+00,1.418563127517700195e+00
3.344856262207031250e+00,1.312597990036010742e+00
3.319236755371093750e+00,1.238657832145690918e+00
3.269289016723632812e+00,1.199258804321289062e+00
3.252314090728759766e+00,1.116035461425781250e+00
