tSNE1,tSNE2
2.767271280288696289e+00,1.135855579376220703e+01
2.771713256835937500e+00,1.135344505310058594e+01
2.783602237701416016e+00,1.134499073028564453e+01
2.801272630691528320e+00,1.133343219757080078e+01
2.811489105224609375e+00,1.131976699829101562e+01
2.815164566040039062e+00,1.131533622741699219e+01
2.828739881515502930e+00,1.130225086212158203e+01
2.841539144515991211e+00,1.128421115875244141e+01
2.856204509735107422e+00,1.125965499877929688e+01
2.873656034469604492e+00,1.123126125335693359e+01
2.894355535507202148e+00,1.119654178619384766e+01
2.925678491592407227e+00,1.114243125915527344e+01
2.961247444152832031e+00,1.107730388641357422e+01
2.997709989547729492e+00,1.100041770935058594e+01
3.065021038055419922e+00,1.087026882171630859e+01
3.177259445190429688e+00,1.066280269622802734e+01
3.389426469802856445e+00,1.041034030914306641e+01
3.742498874664306641e+00,1.013580799102783203e+01
4.149891853332519531e+00,9.873403549194335938e+00
4.502266883850097656e+00,9.665395736694335938e+00
4.914790153503417969e+00,9.410164833068847656e+00
5.388431072235107422e+00,9.102033615112304688e+00
5.823139667510986328e+00,8.797862052917480469e+00
6.293979167938232422e+00,8.431107521057128906e+00
6.611081600189208984e+00,8.151969909667968750e+00
6.942440509796142578e+00,7.852020740509033203e+00
7.170869827270507812e+00,7.628993511199951172e+00
7.357099533081054688e+00,7.421317577362060547e+00
7.625900268554687500e+00,7.061964988708496094e+00
8.123086929321289062e+00,6.279504299163818359e+00
8.343100547790527344e+00,5.870440959930419922e+00
8.505259513854980469e+00,5.553948879241943359e+00
8.637436866760253906e+00,5.215617179870605469e+00
8.738300323486328125e+00,4.942152976989746094e+00
8.822736740112304688e+00,4.706352233886718750e+00
8.869929313659667969e+00,4.410578250885009766e+00
8.883687019348144531e+00,4.094661235809326172e+00
8.860547065734863281e+00,3.668024301528930664e+00
8.870773315429687500e+00,3.353587865829467773e+00
8.897723197937011719e+00,3.115898132324218750e+00
8.884703636169433594e+00,2.790356397628784180e+00
8.834157943725585938e+00,2.578660011291503906e+00
8.773778915405273438e+00,2.461718082427978516e+00
8.662514686584472656e+00,2.272330522537231445e+00
8.619085311889648438e+00,2.229854583740234375e+00
8.545997619628906250e+00,2.238458395004272461e+00
8.191264152526855469e+00,2.372569322586059570e+00
7.932868480682373047e+00,2.500831842422485352e+00
7.659405708312988281e+00,2.666587829589843750e+00
7.455589294433593750e+00,2.846680164337158203e+00
7.179480552673339844e+00,3.138804912567138672e+00
4.815639972686767578e+00,5.178878307342529297e+00
4.481870651245117188e+00,5.339650630950927734e+00
4.240735054016113281e+00,5.405105113983154297e+00
3.901183605194091797e+00,5.437037467956542969e+00
2.457541227340698242e+00,5.430442810058593750e+00
1.844363689422607422e+00,5.467378616333007812e+00
1.317508697509765625e+00,5.508365631103515625e+00
8.640652298927307129e-01,5.537375926971435547e+00
5.453987121582031250e-01,5.555167198181152344e+00
1.933018416166305542e-01,5.541181564331054688e+00
-1.150899976491928101e-01,5.510738849639892578e+00
-1.445601135492324829e-01,5.721386432647705078e+00
-9.697667509317398071e-02,5.900155067443847656e+00
-9.129279106855392456e-02,6.031072139739990234e+00
-5.329067632555961609e-02,6.171767234802246094e+00
-2.637794241309165955e-02,6.265684604644775391e+00
-1.386574953794479370e-01,6.240925312042236328e+00
-3.053668737411499023e-01,6.142467975616455078e+00
-2.319881319999694824e-01,6.082854270935058594e+00
-1.478941142559051514e-01,6.069809436798095703e+00
-9.584755636751651764e-03,6.019299030303955078e+00
1.377318501472473145e-01,5.912693023681640625e+00
3.466036915779113770e-01,5.745608806610107422e+00
6.101292371749877930e-01,5.530323505401611328e+00
8.826481699943542480e-01,5.308386325836181641e+00
1.091199994087219238e+00,5.140729427337646484e+00
1.378371953964233398e+00,4.883835792541503906e+00
1.755295991897583008e+00,4.559446811676025391e+00
2.064319610595703125e+00,4.278842449188232422e+00
2.404523134231567383e+00,3.994887113571166992e+00
2.617408752441406250e+00,3.797731399536132812e+00
2.800478219985961914e+00,3.627624273300170898e+00
3.017157554626464844e+00,3.420143604278564453e+00
3.316344499588012695e+00,3.155204057693481445e+00
3.585572481155395508e+00,2.905869245529174805e+00
3.946236610412597656e+00,2.572620391845703125e+00
4.369578838348388672e+00,2.208317756652832031e+00
