PCA1,PCA2
-8.966135978698730469e-02,4.380841255187988281e+00
4.355549812316894531e-02,4.289593696594238281e+00
2.281203269958496094e-01,4.260135650634765625e+00
2.882213592529296875e-01,4.221514225006103516e+00
3.546912670135498047e-01,4.161882877349853516e+00
3.490841388702392578e-01,4.126996040344238281e+00
4.385709762573242188e-01,4.040348529815673828e+00
4.489150047302246094e-01,4.096601486206054688e+00
5.669713020324707031e-01,4.139623165130615234e+00
4.882347583770751953e-01,4.075016021728515625e+00
3.991272449493408203e-01,3.962517261505126953e+00
4.738802909851074219e-01,3.929800033569335938e+00
4.962611198425292969e-01,3.907282352447509766e+00
6.330471038818359375e-01,3.812207221984863281e+00
7.136020660400390625e-01,3.727953433990478516e+00
8.343224525451660156e-01,3.587689876556396484e+00
9.561827182769775391e-01,3.424916744232177734e+00
1.086889505386352539e+00,3.234315395355224609e+00
1.157138824462890625e+00,3.105148315429687500e+00
1.359006881713867188e+00,2.973593950271606445e+00
1.483037710189819336e+00,2.921900272369384766e+00
1.679068088531494141e+00,2.822921276092529297e+00
1.869671344757080078e+00,2.712502479553222656e+00
2.020556449890136719e+00,2.591370582580566406e+00
2.101878643035888672e+00,2.400560855865478516e+00
2.181949138641357422e+00,2.279488086700439453e+00
2.304761409759521484e+00,2.203572511672973633e+00
2.426567077636718750e+00,2.103424072265625000e+00
2.524353027343750000e+00,1.998550295829772949e+00
2.640030384063720703e+00,1.873523712158203125e+00
2.619932174682617188e+00,1.802408099174499512e+00
2.740852355957031250e+00,1.747200131416320801e+00
2.727436542510986328e+00,1.736399412155151367e+00
2.676589965820312500e+00,1.754831314086914062e+00
2.505268096923828125e+00,1.720844507217407227e+00
2.438344001770019531e+00,1.586319088935852051e+00
2.451930046081542969e+00,1.512368917465209961e+00
2.407797336578369141e+00,1.370929479598999023e+00
2.386014461517333984e+00,1.093706727027893066e+00
2.363061904907226562e+00,7.616622447967529297e-01
2.364850044250488281e+00,4.833854436874389648e-01
2.333656787872314453e+00,3.532369732856750488e-01
2.387653350830078125e+00,4.826014637947082520e-01
2.404289722442626953e+00,6.293202638626098633e-01
2.314661979675292969e+00,7.060532569885253906e-01
2.142518520355224609e+00,8.222746253013610840e-01
1.916949272155761719e+00,9.890236258506774902e-01
1.716434955596923828e+00,9.880486130714416504e-01
1.458627223968505859e+00,1.099616765975952148e+00
1.307092189788818359e+00,1.350830316543579102e+00
1.247663497924804688e+00,1.433173179626464844e+00
1.159321784973144531e+00,1.491366863250732422e+00
9.395258426666259766e-01,1.374296188354492188e+00
7.258896827697753906e-01,1.339676618576049805e+00
5.007984638214111328e-01,1.172977328300476074e+00
4.249823093414306641e-01,1.286278843879699707e+00
3.478708267211914062e-01,1.389510393142700195e+00
3.553004264831542969e-01,1.369683980941772461e+00
4.957516193389892578e-01,1.428169012069702148e+00
5.603380203247070312e-01,1.662473797798156738e+00
4.911818504333496094e-01,1.762913465499877930e+00
3.106195926666259766e-01,1.851451754570007324e+00
1.483035087585449219e-01,2.054394483566284180e+00
8.478951454162597656e-02,2.230118751525878906e+00
7.870197296142578125e-03,2.279912233352661133e+00
-9.282946586608886719e-02,2.336333274841308594e+00
-1.292386054992675781e-01,2.354464054107666016e+00
-8.482289314270019531e-02,2.301835775375366211e+00
-1.460933685302734375e-01,2.326367855072021484e+00
-1.422319412231445312e-01,2.331475019454956055e+00
-9.445166587829589844e-02,2.431532144546508789e+00
5.470299720764160156e-02,2.403512954711914062e+00
7.539415359497070312e-02,2.300463199615478516e+00
6.267046928405761719e-02,2.204220771789550781e+00
2.006857395172119141e-01,2.040217161178588867e+00
3.196489810943603516e-01,1.905879259109497070e+00
3.723976612091064453e-01,1.743124246597290039e+00
4.029698371887207031e-01,1.743461608886718750e+00
3.986618518829345703e-01,1.795560240745544434e+00
4.049944877624511719e-01,1.829561948776245117e+00
4.270234107971191406e-01,1.798122763633728027e+00
2.563834190368652344e-01,1.750783681869506836e+00
1.362237930297851562e-01,1.637905597686767578e+00
7.495832443237304688e-02,1.497186660766601562e+00
5.023789405822753906e-02,1.271972060203552246e+00
1.141862869262695312e-01,1.084068775177001953e+00
2.680191993713378906e-01,7.858225703239440918e-01
4.313852787017822266e-01,4.816647171974182129e-01
5.415573120117187500e-01,1.550568342208862305e-01
6.120829582214355469e-01,-2.165484428405761719e-02
6.531493663787841797e-01,-1.173602342605590820e-01
7.888326644897460938e-01,-1.711407899856567383e-01
9.928736686706542969e-01,-3.592662811279296875e-01
1.142320632934570312e+00,-5.264488458633422852e-01
1.278709888458251953e+00,-7.046656608581542969e-01
1.478319406509399414e+00,-8.425446748733520508e-01
1.627591609954833984e+00,-9.984585046768188477e-01
1.750938892364501953e+00,-1.090589642524719238e+00
1.790255546569824219e+00,-1.113606095314025879e+00
1.880058765411376953e+00,-1.272754549980163574e+00
2.013885021209716797e+00,-1.453242421150207520e+00
2.112163066864013672e+00,-1.592126727104187012e+00
2.106003284454345703e+00,-1.701937079429626465e+00
2.097216606140136719e+00,-1.870024085044860840e+00
2.136133193969726562e+00,-2.010723590850830078e+00
2.135951519012451172e+00,-2.069132804870605469e+00
2.067892074584960938e+00,-2.080691814422607422e+00
2.031709194183349609e+00,-2.171900272369384766e+00
2.094259262084960938e+00,-2.319954872131347656e+00
2.111815452575683594e+00,-2.443690776824951172e+00
2.159064769744873047e+00,-2.543001174926757812e+00
2.226430416107177734e+00,-2.675739288330078125e+00
2.312933444976806641e+00,-2.838717937469482422e+00
2.351725578308105469e+00,-2.910189151763916016e+00
2.400941371917724609e+00,-2.896131992340087891e+00
2.507695674896240234e+00,-2.878446578979492188e+00
2.553717136383056641e+00,-2.861768245697021484e+00
2.668765544891357422e+00,-3.053474426269531250e+00
2.786362171173095703e+00,-3.276404380798339844e+00
2.946674346923828125e+00,-3.409622192382812500e+00
3.289838790893554688e+00,-3.540688991546630859e+00
3.595782279968261719e+00,-3.624111652374267578e+00
3.775960922241210938e+00,-3.685550689697265625e+00
3.892166614532470703e+00,-3.830941677093505859e+00
3.971179962158203125e+00,-3.920205116271972656e+00
4.145767688751220703e+00,-4.080478191375732422e+00
4.177128314971923828e+00,-4.090866088867187500e+00
4.178531169891357422e+00,-4.040004253387451172e+00
4.136018276214599609e+00,-4.010552883148193359e+00
4.096793651580810547e+00,-4.003097534179687500e+00
3.881669521331787109e+00,-3.886055469512939453e+00
3.723708152770996094e+00,-3.832320213317871094e+00
3.605193614959716797e+00,-3.840203762054443359e+00
3.610614299774169922e+00,-3.991230964660644531e+00
3.554112434387207031e+00,-4.071206569671630859e+00
3.666323184967041016e+00,-4.158029079437255859e+00
3.752019405364990234e+00,-4.331017971038818359e+00
3.869435787200927734e+00,-4.529394149780273438e+00
3.873941421508789062e+00,-4.772965431213378906e+00
4.069224357604980469e+00,-4.751118659973144531e+00
4.194131374359130859e+00,-4.741821289062500000e+00
4.412709712982177734e+00,-4.945232868194580078e+00
4.546609401702880859e+00,-4.988041877746582031e+00
4.596653938293457031e+00,-4.915075778961181641e+00
4.569382190704345703e+00,-4.913211822509765625e+00
4.575336456298828125e+00,-5.105028152465820312e+00
4.508401870727539062e+00,-5.236421585083007812e+00
4.508478641510009766e+00,-5.237616539001464844e+00
4.474681854248046875e+00,-5.324623584747314453e+00
4.417868137359619141e+00,-5.388340950012207031e+00
4.418632507324218750e+00,-5.469854831695556641e+00
4.247042655944824219e+00,-5.507354736328125000e+00
4.007844448089599609e+00,-5.436561107635498047e+00
3.869859218597412109e+00,-5.566264152526855469e+00
3.806425094604492188e+00,-5.611365318298339844e+00
3.869124412536621094e+00,-5.563930988311767578e+00
3.793833255767822266e+00,-5.405287742614746094e+00
3.679666519165039062e+00,-5.466459751129150391e+00
3.610838890075683594e+00,-5.558945655822753906e+00
3.751211166381835938e+00,-6.184727191925048828e+00
4.087161064147949219e+00,-6.426290512084960938e+00
4.350926399230957031e+00,-6.043229103088378906e+00
4.622253894805908203e+00,-5.784621715545654297e+00
4.564282894134521484e+00,-5.557095050811767578e+00
4.147768020629882812e+00,-5.478378772735595703e+00
3.776387214660644531e+00,-5.313579082489013672e+00
3.356223106384277344e+00,-5.467145442962646484e+00
3.207018375396728516e+00,-5.119598388671875000e+00
3.156863689422607422e+00,-4.829428672790527344e+00
3.167794227600097656e+00,-4.531448841094970703e+00
2.972455501556396484e+00,-4.297079086303710938e+00
2.585254669189453125e+00,-4.159364700317382812e+00
2.187661170959472656e+00,-4.028378486633300781e+00
1.901419639587402344e+00,-3.706568241119384766e+00
1.495784282684326172e+00,-3.392823696136474609e+00
1.418157100677490234e+00,-3.325942993164062500e+00
1.504373311996459961e+00,-3.357077121734619141e+00
1.557568788528442383e+00,-3.476593494415283203e+00
1.543370485305786133e+00,-3.500056266784667969e+00
1.617166042327880859e+00,-3.350187778472900391e+00
1.679748535156250000e+00,-2.906874179840087891e+00
1.627859592437744141e+00,-2.252746105194091797e+00
1.608900547027587891e+00,-1.602231621742248535e+00
1.043324708938598633e+00,-1.150298953056335449e+00
3.524379730224609375e-01,-9.359661340713500977e-01
2.738261222839355469e-01,-7.073403596878051758e-01
1.720998287200927734e-01,-4.234592914581298828e-01
-4.608297348022460938e-02,-8.127200603485107422e-02
-2.670722007751464844e-01,2.157260775566101074e-01
-4.211382865905761719e-01,4.462670683860778809e-01
-6.475952863693237305e-01,7.206425666809082031e-01
-8.242284059524536133e-01,8.291074633598327637e-01
-9.421130418777465820e-01,1.126595020294189453e+00
-9.819254875183105469e-01,1.209797978401184082e+00
-1.055192708969116211e+00,1.237238168716430664e+00
-9.855803251266479492e-01,1.232022643089294434e+00
-9.241267442703247070e-01,1.323345661163330078e+00
-8.100758790969848633e-01,1.350818872451782227e+00
-8.777693510055541992e-01,1.638122320175170898e+00
-7.114986181259155273e-01,1.883378982543945312e+00
-6.912286281585693359e-01,2.208956241607666016e+00
-6.505748033523559570e-01,2.442596673965454102e+00
-6.777026653289794922e-01,2.654906988143920898e+00
-6.198618412017822266e-01,2.783446788787841797e+00
-4.744023084640502930e-01,2.826980590820312500e+00
-3.011109828948974609e-01,2.778652191162109375e+00
-1.379272937774658203e-01,2.682199716567993164e+00
-9.894132614135742188e-03,2.310110807418823242e+00
5.793499946594238281e-02,2.126956462860107422e+00
7.636809349060058594e-02,2.070482254028320312e+00
1.377253532409667969e-01,2.060218811035156250e+00
2.526404857635498047e-01,2.105772256851196289e+00
3.568279743194580078e-01,2.101754665374755859e+00
4.309906959533691406e-01,2.002817869186401367e+00
4.277081489562988281e-01,1.829456567764282227e+00
4.821779727935791016e-01,1.689851760864257812e+00
5.927352905273437500e-01,1.547498226165771484e+00
7.401142120361328125e-01,1.354900479316711426e+00
8.779757022857666016e-01,1.311800837516784668e+00
9.516098499298095703e-01,1.222393751144409180e+00
1.026075839996337891e+00,1.099792122840881348e+00
1.099082946777343750e+00,9.899965524673461914e-01
1.082070827484130859e+00,9.769080281257629395e-01
1.133754014968872070e+00,1.035455703735351562e+00
1.081581115722656250e+00,1.082963466644287109e+00
1.062663078308105469e+00,1.090357899665832520e+00
1.012461423873901367e+00,1.059715867042541504e+00
8.660354614257812500e-01,9.641152620315551758e-01
7.616748809814453125e-01,8.175920248031616211e-01
7.641887664794921875e-01,6.895594596862792969e-01
8.059401512145996094e-01,4.733796119689941406e-01
8.938860893249511719e-01,1.265251636505126953e-01
1.038578271865844727e+00,-2.524421215057373047e-01
1.221330404281616211e+00,-5.520387887954711914e-01
1.333330392837524414e+00,-8.279505968093872070e-01
1.546901464462280273e+00,-9.983030557632446289e-01
1.748365879058837891e+00,-1.220063328742980957e+00
1.880965709686279297e+00,-1.423997044563293457e+00
1.996087074279785156e+00,-1.623668551445007324e+00
2.200934886932373047e+00,-1.744883656501770020e+00
2.302583694458007812e+00,-1.774296164512634277e+00
2.437898159027099609e+00,-1.795235753059387207e+00
2.601285457611083984e+00,-1.918642878532409668e+00
2.767963886260986328e+00,-2.083953857421875000e+00
2.848702430725097656e+00,-2.213425159454345703e+00
2.890461444854736328e+00,-2.379571914672851562e+00
2.934651851654052734e+00,-2.518162250518798828e+00
2.984603404998779297e+00,-2.683795452117919922e+00
3.054852008819580078e+00,-2.805311203002929688e+00
3.098450660705566406e+00,-2.860340595245361328e+00
3.135693550109863281e+00,-2.933849811553955078e+00
3.066429615020751953e+00,-2.995881080627441406e+00
2.993216514587402344e+00,-2.953274250030517578e+00
2.952796936035156250e+00,-2.825966835021972656e+00
2.951436996459960938e+00,-2.737115383148193359e+00
2.862957477569580078e+00,-2.572440147399902344e+00
2.815042018890380859e+00,-2.470664024353027344e+00
2.724092960357666016e+00,-2.373596191406250000e+00
2.616689205169677734e+00,-2.341701030731201172e+00
2.514029026031494141e+00,-2.269758224487304688e+00
2.482434749603271484e+00,-2.191464900970458984e+00
2.442701339721679688e+00,-1.945520520210266113e+00
2.335590839385986328e+00,-1.797342419624328613e+00
2.226369380950927734e+00,-1.579150557518005371e+00
2.023901462554931641e+00,-1.363972067832946777e+00
1.875917911529541016e+00,-1.056138157844543457e+00
1.684785366058349609e+00,-7.647206783294677734e-01
1.474696874618530273e+00,-4.799451828002929688e-01
1.345715045928955078e+00,-2.028189897537231445e-01
1.234792470932006836e+00,3.390455245971679688e-02
1.142115592956542969e+00,2.291970252990722656e-01
9.759526252746582031e-01,4.007367491722106934e-01
7.685093879699707031e-01,6.918504834175109863e-01
6.608669757843017578e-01,9.633860588073730469e-01
6.001899242401123047e-01,1.237864851951599121e+00
5.200750827789306641e-01,1.493052482604980469e+00
4.291381835937500000e-01,1.706681728363037109e+00
2.877674102783203125e-01,1.929199218750000000e+00
1.951839923858642578e-01,2.086317062377929688e+00
1.313099861145019531e-01,2.261170864105224609e+00
3.236031532287597656e-02,2.476595878601074219e+00
-9.913516044616699219e-02,2.829206466674804688e+00
-1.482818126678466797e-01,3.050829172134399414e+00
-2.653710842132568359e-01,3.202022075653076172e+00
-3.995268344879150391e-01,3.310382843017578125e+00
-4.651390314102172852e-01,3.354405403137207031e+00
-4.190413951873779297e-01,3.410919666290283203e+00
-4.004395008087158203e-01,3.406664371490478516e+00
-3.982098102569580078e-01,3.345175266265869141e+00
-3.575363159179687500e-01,3.154369354248046875e+00
-2.268810272216796875e-01,2.964985609054565430e+00
-2.080917358398437500e-03,2.887595891952514648e+00
1.275701522827148438e-01,2.779955387115478516e+00
3.093562126159667969e-01,2.627602815628051758e+00
4.390711784362792969e-01,2.511840820312500000e+00
5.322244167327880859e-01,2.424935579299926758e+00
6.436026096343994141e-01,2.367443561553955078e+00
7.405481338500976562e-01,2.271030902862548828e+00
