tSNE1,tSNE2
5.900269985198974609e+00,9.117984771728515625e+00
5.982745170593261719e+00,9.134149551391601562e+00
6.037404537200927734e+00,9.140640258789062500e+00
6.070325374603271484e+00,9.144281387329101562e+00
6.071510314941406250e+00,9.138447761535644531e+00
6.098937988281250000e+00,9.126634597778320312e+00
6.111251831054687500e+00,9.107740402221679688e+00
6.131310462951660156e+00,9.087645530700683594e+00
6.133711814880371094e+00,9.063424110412597656e+00
6.192004680633544922e+00,9.058107376098632812e+00
6.288085937500000000e+00,9.033502578735351562e+00
6.350407123565673828e+00,9.002702713012695312e+00
6.497591018676757812e+00,8.949131011962890625e+00
6.618185997009277344e+00,8.892494201660156250e+00
6.757982730865478516e+00,8.789075851440429688e+00
6.969517230987548828e+00,8.599559783935546875e+00
7.268516540527343750e+00,8.289196968078613281e+00
7.778200626373291016e+00,7.743122100830078125e+00
8.398395538330078125e+00,7.011955738067626953e+00
8.730338096618652344e+00,6.571290016174316406e+00
8.990597724914550781e+00,6.155638694763183594e+00
9.352881431579589844e+00,5.512477874755859375e+00
9.704673767089843750e+00,4.749042987823486328e+00
9.845587730407714844e+00,4.379119873046875000e+00
9.907803535461425781e+00,4.217756271362304688e+00
9.963288307189941406e+00,4.090866088867187500e+00
9.984617233276367188e+00,4.031903266906738281e+00
9.988818168640136719e+00,3.956278085708618164e+00
9.945376396179199219e+00,3.901581287384033203e+00
9.838198661804199219e+00,3.768555879592895508e+00
9.703893661499023438e+00,3.630221366882324219e+00
9.515996932983398438e+00,3.477441072463989258e+00
9.268407821655273438e+00,3.309467077255249023e+00
9.096178054809570312e+00,3.188905000686645508e+00
8.832475662231445312e+00,2.885458946228027344e+00
8.265925407409667969e+00,1.854917526245117188e+00
8.150504112243652344e+00,1.665015935897827148e+00
7.991866111755371094e+00,1.450167179107666016e+00
8.007599830627441406e+00,1.259535789489746094e+00
8.133704185485839844e+00,1.126221656799316406e+00
8.226123809814453125e+00,1.071014046669006348e+00
8.238903045654296875e+00,1.089568972587585449e+00
8.024648666381835938e+00,1.197598934173583984e+00
7.733120918273925781e+00,1.249413847923278809e+00
7.231357574462890625e+00,1.338672757148742676e+00
6.725829601287841797e+00,1.482995867729187012e+00
6.129635810852050781e+00,1.728212833404541016e+00
5.292346000671386719e+00,2.162536859512329102e+00
4.581201553344726562e+00,2.717530250549316406e+00
4.312498569488525391e+00,2.985100507736206055e+00
3.868407487869262695e+00,3.481236219406127930e+00
3.639406919479370117e+00,3.711938619613647461e+00
3.386248826980590820e+00,3.958023786544799805e+00
3.235404968261718750e+00,4.103743076324462891e+00
2.905458688735961914e+00,4.472723007202148438e+00
2.761441469192504883e+00,4.669765949249267578e+00
2.644507169723510742e+00,4.911475181579589844e+00
2.570804119110107422e+00,5.128797531127929688e+00
2.538863658905029297e+00,5.355674743652343750e+00
2.498325586318969727e+00,5.536740303039550781e+00
2.431065797805786133e+00,5.699080467224121094e+00
2.357524633407592773e+00,5.850751399993896484e+00
2.254118680953979492e+00,6.108717918395996094e+00
2.220097541809082031e+00,6.399786472320556641e+00
2.279370307922363281e+00,6.669853210449218750e+00
2.405075311660766602e+00,6.944044113159179688e+00
