PCA1,PCA2
1.239438891410827637e+00,-3.769478797912597656e+00
1.300043940544128418e+00,-3.720332622528076172e+00
1.376205086708068848e+00,-3.703489542007446289e+00
1.430250287055969238e+00,-3.660342216491699219e+00
1.474630236625671387e+00,-3.628038644790649414e+00
1.489382624626159668e+00,-3.608997821807861328e+00
1.508173823356628418e+00,-3.607430934906005859e+00
1.531294226646423340e+00,-3.561631202697753906e+00
1.552792906761169434e+00,-3.574692726135253906e+00
1.576118826866149902e+00,-3.605766773223876953e+00
1.594282984733581543e+00,-3.599126338958740234e+00
1.597861170768737793e+00,-3.574994564056396484e+00
1.620961546897888184e+00,-3.447771072387695312e+00
1.614239811897277832e+00,-3.334685802459716797e+00
1.619440913200378418e+00,-3.227994918823242188e+00
1.677567124366760254e+00,-3.142031431198120117e+00
1.734604716300964355e+00,-3.060366630554199219e+00
1.784924387931823730e+00,-2.979620456695556641e+00
1.801310181617736816e+00,-2.895543098449707031e+00
1.829087615013122559e+00,-2.817578315734863281e+00
1.879632353782653809e+00,-2.671391010284423828e+00
1.916956543922424316e+00,-2.531427383422851562e+00
1.957873940467834473e+00,-2.373626232147216797e+00
1.998380541801452637e+00,-2.226422786712646484e+00
2.067627906799316406e+00,-2.063533306121826172e+00
2.174829483032226562e+00,-1.892400503158569336e+00
2.306650638580322266e+00,-1.698182702064514160e+00
2.387444019317626953e+00,-1.522265076637268066e+00
2.446475982666015625e+00,-1.355420708656311035e+00
2.516850471496582031e+00,-1.206189870834350586e+00
2.615132331848144531e+00,-9.723334312438964844e-01
2.699992179870605469e+00,-7.798701524734497070e-01
2.821683883666992188e+00,-5.855288505554199219e-01
2.900006294250488281e+00,-4.372584819793701172e-01
2.936945915222167969e+00,-3.143198490142822266e-01
2.908658981323242188e+00,-1.998262405395507812e-01
2.905704021453857422e+00,-4.288244247436523438e-02
2.885230541229248047e+00,1.574814319610595703e-01
2.845386505126953125e+00,3.438282012939453125e-01
2.805671215057373047e+00,4.444062709808349609e-01
2.761877536773681641e+00,4.933917522430419922e-01
2.631996631622314453e+00,4.996038675308227539e-01
2.457937240600585938e+00,5.120551586151123047e-01
2.269488334655761719e+00,5.971976518630981445e-01
2.150440216064453125e+00,6.431992053985595703e-01
2.058362960815429688e+00,7.223596572875976562e-01
2.039522647857666016e+00,7.331275939941406250e-01
2.000077724456787109e+00,7.035291194915771484e-01
1.970636487007141113e+00,6.464411020278930664e-01
1.918823599815368652e+00,6.204030513763427734e-01
1.827842354774475098e+00,4.842427968978881836e-01
1.744479775428771973e+00,4.169683456420898438e-01
1.658671259880065918e+00,3.129595518112182617e-01
1.562495350837707520e+00,1.965585947036743164e-01
1.477876543998718262e+00,-7.672548294067382812e-03
1.385731816291809082e+00,-1.843426227569580078e-01
1.378819584846496582e+00,-3.100645542144775391e-01
1.324065566062927246e+00,-4.868058562278747559e-01
1.212848782539367676e+00,-7.227995991706848145e-01
9.688843488693237305e-01,-8.980056643486022949e-01
7.389472723007202148e-01,-1.048220992088317871e+00
5.657302141189575195e-01,-1.248086929321289062e+00
5.329736471176147461e-01,-1.409299135208129883e+00
5.131121873855590820e-01,-1.481457233428955078e+00
4.925414323806762695e-01,-1.480561137199401855e+00
4.546238183975219727e-01,-1.470601558685302734e+00
4.311667680740356445e-01,-1.590574860572814941e+00
4.087029695510864258e-01,-1.766436934471130371e+00
3.834179639816284180e-01,-1.925775289535522461e+00
3.328396081924438477e-01,-2.084643125534057617e+00
2.544916868209838867e-01,-2.186589002609252930e+00
1.646051406860351562e-01,-2.237803697586059570e+00
1.390116214752197266e-01,-2.233121156692504883e+00
1.139291524887084961e-01,-2.281021118164062500e+00
1.586089134216308594e-01,-2.234760046005249023e+00
2.524205446243286133e-01,-2.114278078079223633e+00
3.232597112655639648e-01,-1.936586022377014160e+00
3.937166929244995117e-01,-1.735229015350341797e+00
4.821487665176391602e-01,-1.559272408485412598e+00
5.464819669723510742e-01,-1.335809707641601562e+00
6.158894300460815430e-01,-1.178956985473632812e+00
7.205270528793334961e-01,-9.949991703033447266e-01
7.833656072616577148e-01,-8.339799642562866211e-01
8.312858343124389648e-01,-6.104735732078552246e-01
8.688958883285522461e-01,-3.978987932205200195e-01
9.661623239517211914e-01,-1.380983591079711914e-01
1.095783591270446777e+00,1.249443292617797852e-01
1.187300562858581543e+00,4.337196350097656250e-01
1.254173874855041504e+00,7.660622596740722656e-01
1.345717072486877441e+00,1.076511859893798828e+00
1.461999297142028809e+00,1.302798748016357422e+00
1.543692469596862793e+00,1.549469709396362305e+00
1.603785395622253418e+00,1.789242982864379883e+00
1.679259181022644043e+00,2.026545047760009766e+00
1.722294688224792480e+00,2.249521017074584961e+00
1.835043072700500488e+00,2.489116191864013672e+00
1.907256007194519043e+00,2.685664176940917969e+00
2.026315212249755859e+00,2.910483837127685547e+00
2.058536529541015625e+00,3.098364830017089844e+00
2.100315093994140625e+00,3.225370407104492188e+00
2.053574562072753906e+00,3.302816390991210938e+00
2.033662319183349609e+00,3.329879760742187500e+00
1.896841406822204590e+00,3.288492202758789062e+00
1.913460612297058105e+00,3.341419696807861328e+00
1.863833308219909668e+00,3.357768058776855469e+00
1.841041445732116699e+00,3.292836189270019531e+00
1.827148795127868652e+00,3.228279113769531250e+00
1.783385872840881348e+00,3.152995109558105469e+00
1.745076537132263184e+00,3.106410980224609375e+00
1.683660626411437988e+00,3.154499053955078125e+00
1.579869627952575684e+00,3.162392139434814453e+00
1.533116221427917480e+00,3.125575065612792969e+00
1.544924855232238770e+00,3.133267879486083984e+00
1.551317334175109863e+00,3.233876705169677734e+00
1.604201197624206543e+00,3.269217491149902344e+00
1.702024102210998535e+00,3.351276874542236328e+00
1.785273194313049316e+00,3.410318851470947266e+00
1.848864912986755371e+00,3.518528461456298828e+00
1.880453944206237793e+00,3.538960933685302734e+00
1.912469744682312012e+00,3.553596973419189453e+00
1.952853322029113770e+00,3.579063415527343750e+00
2.048541545867919922e+00,3.620965480804443359e+00
2.165307521820068359e+00,3.697713375091552734e+00
2.316325187683105469e+00,3.754601955413818359e+00
2.380366802215576172e+00,3.820253849029541016e+00
2.467629432678222656e+00,3.947007179260253906e+00
2.605458259582519531e+00,4.072605133056640625e+00
2.734262943267822266e+00,4.139157772064208984e+00
2.832031726837158203e+00,4.147111892700195312e+00
2.870237827301025391e+00,4.141214370727539062e+00
2.899216651916503906e+00,4.205901622772216797e+00
2.952631473541259766e+00,4.347125530242919922e+00
2.960368633270263672e+00,4.616698741912841797e+00
2.978474140167236328e+00,4.988033771514892578e+00
3.032290935516357422e+00,5.275375843048095703e+00
3.134782791137695312e+00,5.444467067718505859e+00
3.163746356964111328e+00,5.508337974548339844e+00
3.098213672637939453e+00,5.514740943908691406e+00
2.915985584259033203e+00,5.470563888549804688e+00
2.721424102783203125e+00,5.436971664428710938e+00
2.596083164215087891e+00,5.394874572753906250e+00
2.428318023681640625e+00,5.387771129608154297e+00
2.242897510528564453e+00,5.422984123229980469e+00
2.076890468597412109e+00,5.418203830718994141e+00
2.081263542175292969e+00,5.501992702484130859e+00
2.121969699859619141e+00,5.609546661376953125e+00
2.015233039855957031e+00,5.750955581665039062e+00
1.965639948844909668e+00,5.935598373413085938e+00
1.840511202812194824e+00,6.019219398498535156e+00
1.729309916496276855e+00,6.106917858123779297e+00
1.819943308830261230e+00,6.171938419342041016e+00
2.017076015472412109e+00,6.107990741729736328e+00
2.130179882049560547e+00,6.075023174285888672e+00
2.135115623474121094e+00,6.084772109985351562e+00
2.122639656066894531e+00,6.067447662353515625e+00
2.017549514770507812e+00,5.951544284820556641e+00
1.869830250740051270e+00,5.858959197998046875e+00
1.695046067237854004e+00,5.654326438903808594e+00
1.455600380897521973e+00,5.634482383728027344e+00
1.235987305641174316e+00,5.696830272674560547e+00
1.240234494209289551e+00,5.626232624053955078e+00
1.381817460060119629e+00,5.569885253906250000e+00
1.353248953819274902e+00,5.396131515502929688e+00
1.337189316749572754e+00,5.275988101959228516e+00
1.227846980094909668e+00,5.010387420654296875e+00
1.110748171806335449e+00,4.796674728393554688e+00
8.427637815475463867e-01,4.364094257354736328e+00
6.869906187057495117e-01,4.011090278625488281e+00
5.138052701950073242e-01,3.449049472808837891e+00
3.535488843917846680e-01,3.068104743957519531e+00
1.249759197235107422e-01,2.620310783386230469e+00
1.271939277648925781e-01,2.330811977386474609e+00
1.086151599884033203e-01,2.061101436614990234e+00
7.540178298950195312e-02,1.986737251281738281e+00
-5.979418754577636719e-03,1.807194948196411133e+00
-1.150858402252197266e-02,1.694819211959838867e+00
4.154133796691894531e-02,1.496765851974487305e+00
1.339997053146362305e-01,1.322755098342895508e+00
1.800534725189208984e-01,1.164158821105957031e+00
2.961412668228149414e-01,1.157671928405761719e+00
4.113613367080688477e-01,1.089478969573974609e+00
3.618968725204467773e-01,1.072484254837036133e+00
3.932114839553833008e-01,8.792343139648437500e-01
3.069790601730346680e-01,7.423219680786132812e-01
1.574767827987670898e-01,7.355947494506835938e-01
