tSNE1,tSNE2
6.870861053466796875e+00,-8.628267288208007812e+00
6.889498233795166016e+00,-8.640691757202148438e+00
6.897748947143554688e+00,-8.645911216735839844e+00
6.881027221679687500e+00,-8.618358612060546875e+00
6.826941013336181641e+00,-8.591489791870117188e+00
6.759397983551025391e+00,-8.544459342956542969e+00
6.698418140411376953e+00,-8.465447425842285156e+00
6.674992084503173828e+00,-8.375164985656738281e+00
6.681191444396972656e+00,-8.338989257812500000e+00
6.686897754669189453e+00,-8.254549980163574219e+00
6.668327808380126953e+00,-8.156904220581054688e+00
6.647254943847656250e+00,-8.073248863220214844e+00
6.665402412414550781e+00,-7.961422920227050781e+00
6.854512691497802734e+00,-7.705177307128906250e+00
6.944393157958984375e+00,-7.569053173065185547e+00
7.149088859558105469e+00,-7.232545375823974609e+00
7.264790058135986328e+00,-7.071619987487792969e+00
7.465702056884765625e+00,-6.734239101409912109e+00
7.701889991760253906e+00,-6.353127479553222656e+00
7.933707714080810547e+00,-5.935124874114990234e+00
8.186224937438964844e+00,-5.473887920379638672e+00
8.426444053649902344e+00,-5.042818069458007812e+00
8.724195480346679688e+00,-4.589848995208740234e+00
9.174612998962402344e+00,-3.930650234222412109e+00
9.403841972351074219e+00,-3.514698266983032227e+00
9.571434020996093750e+00,-3.165329933166503906e+00
9.662425041198730469e+00,-2.880873680114746094e+00
9.799444198608398438e+00,-2.425765991210937500e+00
9.877017021179199219e+00,-2.002122640609741211e+00
9.926630973815917969e+00,-1.706783890724182129e+00
9.959564208984375000e+00,-1.358655333518981934e+00
9.986879348754882812e+00,-1.015776991844177246e+00
9.995882987976074219e+00,-6.197336912155151367e-01
9.977581024169921875e+00,-3.154018521308898926e-01
9.943591117858886719e+00,-6.480867415666580200e-02
9.885158538818359375e+00,1.606185287237167358e-01
9.804066658020019531e+00,3.799696564674377441e-01
9.701353073120117188e+00,5.986132621765136719e-01
9.507955551147460938e+00,8.556181192398071289e-01
8.806554794311523438e+00,1.377743244171142578e+00
8.273850440979003906e+00,1.703161478042602539e+00
7.954874038696289062e+00,1.856530189514160156e+00
7.712408065795898438e+00,1.891100049018859863e+00
7.336489677429199219e+00,1.740154266357421875e+00
7.119854450225830078e+00,1.561029314994812012e+00
7.022790431976318359e+00,1.430261611938476562e+00
6.943310260772705078e+00,1.287896275520324707e+00
6.829709529876708984e+00,1.059439659118652344e+00
6.762825965881347656e+00,8.781919479370117188e-01
6.738663196563720703e+00,7.668036222457885742e-01
6.709670066833496094e+00,6.825801134109497070e-01
6.523628234863281250e+00,4.845427572727203369e-01
6.293470382690429688e+00,3.558223843574523926e-01
6.036084175109863281e+00,2.162024676799774170e-01
5.754537105560302734e+00,-2.177014574408531189e-02
5.486472606658935547e+00,-3.446185588836669922e-01
5.263529300689697266e+00,-6.358780860900878906e-01
5.072082996368408203e+00,-9.628359079360961914e-01
4.905745029449462891e+00,-1.351491212844848633e+00
4.749325752258300781e+00,-1.691152334213256836e+00
4.508295536041259766e+00,-2.293776750564575195e+00
4.425093173980712891e+00,-2.587014913558959961e+00
4.231617450714111328e+00,-3.370032787322998047e+00
4.040738105773925781e+00,-3.713037490844726562e+00
3.855756282806396484e+00,-3.999724864959716797e+00
3.636625528335571289e+00,-4.339561939239501953e+00
3.395738124847412109e+00,-4.724295139312744141e+00
3.110228300094604492e+00,-5.171555042266845703e+00
2.949281454086303711e+00,-5.422488212585449219e+00
2.731745004653930664e+00,-5.759155273437500000e+00
2.528512477874755859e+00,-6.095066547393798828e+00
2.454927921295166016e+00,-6.284814834594726562e+00
2.506718158721923828e+00,-6.432102203369140625e+00
2.694354057312011719e+00,-6.519855976104736328e+00
6.979324340820312500e+00,-4.640076160430908203e+00
7.386171817779541016e+00,-4.426581859588623047e+00
8.019266128540039062e+00,-4.010876655578613281e+00
8.872719764709472656e+00,-3.145873308181762695e+00
9.106857299804687500e+00,-2.754637718200683594e+00
9.254509925842285156e+00,-2.392578601837158203e+00
9.341459274291992188e+00,-2.112281322479248047e+00
9.394951820373535156e+00,-1.843583941459655762e+00
9.416206359863281250e+00,-1.599893093109130859e+00
9.413640975952148438e+00,-1.318035840988159180e+00
9.383944511413574219e+00,-1.029658913612365723e+00
9.319645881652832031e+00,-7.393899559974670410e-01
9.173494338989257812e+00,-3.616273105144500732e-01
8.579754829406738281e+00,8.096836805343627930e-01
8.261872291564941406e+00,1.519284367561340332e+00
8.146411895751953125e+00,1.859015822410583496e+00
8.039658546447753906e+00,2.242000341415405273e+00
7.955170631408691406e+00,2.579997777938842773e+00
7.903705596923828125e+00,2.874343633651733398e+00
7.865545749664306641e+00,3.225952148437500000e+00
7.814205169677734375e+00,3.822255849838256836e+00
7.796340942382812500e+00,4.185195446014404297e+00
7.797241210937500000e+00,4.306134223937988281e+00
7.803343296051025391e+00,4.364205837249755859e+00
7.803737163543701172e+00,4.435111522674560547e+00
7.807168006896972656e+00,4.496872901916503906e+00
7.797848224639892578e+00,4.550292491912841797e+00
7.793822288513183594e+00,4.588846683502197266e+00
7.788226604461669922e+00,4.644575595855712891e+00
7.788737773895263672e+00,4.702136516571044922e+00
7.787298202514648438e+00,4.744960308074951172e+00
7.774113655090332031e+00,4.774073123931884766e+00
7.764609336853027344e+00,4.781910896301269531e+00
7.757814884185791016e+00,4.787345409393310547e+00
7.756603240966796875e+00,4.782843589782714844e+00
7.764573574066162109e+00,4.782804012298583984e+00
7.772674083709716797e+00,4.780487537384033203e+00
7.787825584411621094e+00,4.778780460357666016e+00
7.799160003662109375e+00,4.779828548431396484e+00
7.801001071929931641e+00,4.786689281463623047e+00
7.806272506713867188e+00,4.789273738861083984e+00
7.818439960479736328e+00,4.794017791748046875e+00
7.837158679962158203e+00,4.792563438415527344e+00
7.854857444763183594e+00,4.785642623901367188e+00
7.869610786437988281e+00,4.773516178131103516e+00
7.881256103515625000e+00,4.753015041351318359e+00
7.889163970947265625e+00,4.721037864685058594e+00
7.890818119049072266e+00,4.694156646728515625e+00
7.893045425415039062e+00,4.674316883087158203e+00
7.905974864959716797e+00,4.679901599884033203e+00
7.911918163299560547e+00,4.682352542877197266e+00
7.921817302703857422e+00,4.704674720764160156e+00
7.938716888427734375e+00,4.716863155364990234e+00
7.951292514801025391e+00,4.724623203277587891e+00
7.953630924224853516e+00,4.737951755523681641e+00
7.957986354827880859e+00,4.749305725097656250e+00
7.970930099487304688e+00,4.768171310424804688e+00
7.993532180786132812e+00,4.794633388519287109e+00
8.008754730224609375e+00,4.832757472991943359e+00
8.031439781188964844e+00,4.886568069458007812e+00
8.045933723449707031e+00,4.915634155273437500e+00
8.067198753356933594e+00,4.926402091979980469e+00
8.087430000305175781e+00,4.919847965240478516e+00
8.106645584106445312e+00,4.893500328063964844e+00
8.103830337524414062e+00,4.850871562957763672e+00
8.092155456542968750e+00,4.822703361511230469e+00
8.072560310363769531e+00,4.819736480712890625e+00
8.017839431762695312e+00,4.838616847991943359e+00
7.928925514221191406e+00,4.891506671905517578e+00
7.835072994232177734e+00,4.950228214263916016e+00
7.781438827514648438e+00,4.996665477752685547e+00
7.726075172424316406e+00,5.058304309844970703e+00
7.699133396148681641e+00,5.109163284301757812e+00
7.710251331329345703e+00,5.137050628662109375e+00
7.727478504180908203e+00,5.128798007965087891e+00
7.739235401153564453e+00,5.114428043365478516e+00
7.751363277435302734e+00,5.111533641815185547e+00
7.772414684295654297e+00,5.124435901641845703e+00
7.786548614501953125e+00,5.147830963134765625e+00
7.786280632019042969e+00,5.194577217102050781e+00
7.782724380493164062e+00,5.250564575195312500e+00
7.763428688049316406e+00,5.306694030761718750e+00
7.726356029510498047e+00,5.322143077850341797e+00
7.652876853942871094e+00,5.298771381378173828e+00
7.535083293914794922e+00,5.267944812774658203e+00
7.248853206634521484e+00,5.224699497222900391e+00
7.068411827087402344e+00,5.208427429199218750e+00
6.753226280212402344e+00,5.154109477996826172e+00
6.578907012939453125e+00,5.124311923980712891e+00
6.310516834259033203e+00,5.083454132080078125e+00
5.989491462707519531e+00,5.050590038299560547e+00
5.666212081909179688e+00,5.014836788177490234e+00
5.416020870208740234e+00,4.990310192108154297e+00
5.151052951812744141e+00,4.948992729187011719e+00
4.972975730895996094e+00,4.905425548553466797e+00
4.768461704254150391e+00,4.864522457122802734e+00
4.423473834991455078e+00,4.822862625122070312e+00
4.225142002105712891e+00,4.803258419036865234e+00
3.987554550170898438e+00,4.801069259643554688e+00
3.514084100723266602e+00,4.802689552307128906e+00
3.142384529113769531e+00,4.802063941955566406e+00
2.887333631515502930e+00,4.782320976257324219e+00
2.495662689208984375e+00,4.729149341583251953e+00
2.055227279663085938e+00,4.636923789978027344e+00
1.693420648574829102e+00,4.510641574859619141e+00
1.563702225685119629e+00,4.437679767608642578e+00
1.496581912040710449e+00,4.341821670532226562e+00
1.442260980606079102e+00,4.040907859802246094e+00
1.447808146476745605e+00,3.844966173171997070e+00
1.508252859115600586e+00,3.695343494415283203e+00
1.565905690193176270e+00,3.512837886810302734e+00
2.640335798263549805e+00,-1.001559197902679443e-01
2.568006277084350586e+00,-2.416196584701538086e+00
2.498059272766113281e+00,-2.671983718872070312e+00
2.396571397781372070e+00,-2.900538921356201172e+00
2.229130268096923828e+00,-3.209984064102172852e+00
1.887777566909790039e+00,-3.681264400482177734e+00
1.590339899063110352e+00,-4.100903511047363281e+00
2.192120701074600220e-01,-6.280279159545898438e+00
8.031339198350906372e-02,-6.513886928558349609e+00
-4.997607320547103882e-02,-6.763783454895019531e+00
-1.624401360750198364e-01,-7.031906604766845703e+00
-2.762248814105987549e-01,-7.419842243194580078e+00
-3.604601025581359863e-01,-7.877502441406250000e+00
-4.186927378177642822e-01,-8.647420883178710938e+00
-3.857774138450622559e-01,-9.007520675659179688e+00
-1.999486684799194336e-01,-9.572016716003417969e+00
-2.500108629465103149e-02,-9.827735900878906250e+00
5.060202479362487793e-01,-1.024107646942138672e+01
7.840975522994995117e-01,-1.037027359008789062e+01
9.569406509399414062e-01,-1.041913700103759766e+01
1.065349936485290527e+00,-1.043172931671142578e+01
1.215707182884216309e+00,-1.042219448089599609e+01
1.264233589172363281e+00,-1.039786052703857422e+01
5.343074798583984375e+00,-6.343147754669189453e+00
5.428124904632568359e+00,-6.297727584838867188e+00
5.531376838684082031e+00,-6.217783451080322266e+00
5.673624038696289062e+00,-6.111154556274414062e+00
5.823231697082519531e+00,-5.985078334808349609e+00
6.078538894653320312e+00,-5.752082347869873047e+00
6.383243560791015625e+00,-5.472176551818847656e+00
6.600639820098876953e+00,-5.260569095611572266e+00
6.827872276306152344e+00,-5.054003715515136719e+00
7.117333412170410156e+00,-4.832754611968994141e+00
7.658032894134521484e+00,-4.401910305023193359e+00
8.380318641662597656e+00,-3.732908725738525391e+00
8.918883323669433594e+00,-3.065072536468505859e+00
9.103173255920410156e+00,-2.738825082778930664e+00
9.220933914184570312e+00,-2.480211496353149414e+00
9.307312011718750000e+00,-2.200155973434448242e+00
9.360979080200195312e+00,-1.944919586181640625e+00
9.383507728576660156e+00,-1.739479660987854004e+00
9.391841888427734375e+00,-1.538673043251037598e+00
9.390183448791503906e+00,-1.260468006134033203e+00
9.381044387817382812e+00,-1.067794561386108398e+00
9.361640930175781250e+00,-9.329369664192199707e-01
