PCA1,PCA2
1.050904154777526855e+00,-4.424529075622558594e+00
1.063511371612548828e+00,-4.423831462860107422e+00
1.068803310394287109e+00,-4.433356285095214844e+00
1.054662585258483887e+00,-4.423660278320312500e+00
1.111204624176025391e+00,-4.421840190887451172e+00
1.158473968505859375e+00,-4.380006790161132812e+00
1.094197154045104980e+00,-4.388620376586914062e+00
1.071941494941711426e+00,-4.409884452819824219e+00
1.037028551101684570e+00,-4.386217594146728516e+00
1.066713094711303711e+00,-4.431809902191162109e+00
1.001224994659423828e+00,-4.421271800994873047e+00
9.691463708877563477e-01,-4.419816493988037109e+00
9.354531764984130859e-01,-4.373491287231445312e+00
8.512260913848876953e-01,-4.307288169860839844e+00
7.501832246780395508e-01,-4.228148460388183594e+00
6.196917295455932617e-01,-4.169448852539062500e+00
4.997466802597045898e-01,-4.094229221343994141e+00
4.053552150726318359e-01,-4.021349430084228516e+00
3.461480140686035156e-01,-3.959515094757080078e+00
2.996892929077148438e-01,-3.957182407379150391e+00
1.834115982055664062e-01,-3.926639556884765625e+00
5.616188049316406250e-03,-3.849214553833007812e+00
-1.899271011352539062e-01,-3.657411575317382812e+00
-3.395161628723144531e-01,-3.504140138626098633e+00
-5.057749748229980469e-01,-3.338846206665039062e+00
-6.532983779907226562e-01,-3.189284324645996094e+00
-8.149917125701904297e-01,-3.062135219573974609e+00
-1.043238162994384766e+00,-2.975918292999267578e+00
-1.276964426040649414e+00,-2.870879411697387695e+00
-1.519292593002319336e+00,-2.778714179992675781e+00
-1.717762470245361328e+00,-2.650938987731933594e+00
-1.879764556884765625e+00,-2.527226924896240234e+00
-2.063005447387695312e+00,-2.408530235290527344e+00
-2.163278102874755859e+00,-2.280985832214355469e+00
-2.300945281982421875e+00,-2.088783740997314453e+00
-2.441411018371582031e+00,-1.983729004859924316e+00
-2.642346858978271484e+00,-1.921531677246093750e+00
-2.807989120483398438e+00,-1.698248028755187988e+00
-2.890196323394775391e+00,-1.452638387680053711e+00
-2.871428966522216797e+00,-1.217516303062438965e+00
-2.852809906005859375e+00,-1.030585050582885742e+00
-2.722769737243652344e+00,-9.755440354347229004e-01
-2.648712158203125000e+00,-9.501358866691589355e-01
-2.498908519744873047e+00,-9.558147788047790527e-01
-2.458881378173828125e+00,-1.012488603591918945e+00
-2.385266304016113281e+00,-1.124212145805358887e+00
-2.266479015350341797e+00,-1.175793170928955078e+00
-2.037557125091552734e+00,-1.230563759803771973e+00
-1.789673805236816406e+00,-1.332919716835021973e+00
-1.588032007217407227e+00,-1.470073103904724121e+00
-1.448273658752441406e+00,-1.534843564033508301e+00
-1.271024227142333984e+00,-1.600170135498046875e+00
-1.150964498519897461e+00,-1.639806628227233887e+00
-9.262108802795410156e-01,-1.641427516937255859e+00
-7.305839061737060547e-01,-1.625128388404846191e+00
-5.285010337829589844e-01,-1.617443084716796875e+00
-3.566026687622070312e-01,-1.635779976844787598e+00
-2.217423915863037109e-01,-1.689156770706176758e+00
-6.072711944580078125e-02,-1.867849469184875488e+00
1.174914836883544922e-01,-2.026506662368774414e+00
2.876434326171875000e-01,-2.231183528900146484e+00
4.274171590805053711e-01,-2.321571826934814453e+00
5.170600414276123047e-01,-2.352933645248413086e+00
5.852837562561035156e-01,-2.343508958816528320e+00
7.279567718505859375e-01,-2.325413227081298828e+00
7.115043401718139648e-01,-2.264349222183227539e+00
7.629590034484863281e-01,-2.322184085845947266e+00
8.169908523559570312e-01,-2.386008262634277344e+00
8.679507970809936523e-01,-2.482097387313842773e+00
8.316634893417358398e-01,-2.572289228439331055e+00
7.736821174621582031e-01,-2.683599472045898438e+00
7.140945196151733398e-01,-2.721749782562255859e+00
7.803195714950561523e-01,-2.685581684112548828e+00
7.024611234664916992e-01,-2.497759819030761719e+00
6.008007526397705078e-01,-2.288515329360961914e+00
5.710142850875854492e-01,-2.071256875991821289e+00
4.480772018432617188e-01,-1.944250106811523438e+00
2.372152805328369141e-01,-1.690071344375610352e+00
2.952694892883300781e-02,-1.532838106155395508e+00
-1.036643981933593750e-01,-1.371705055236816406e+00
-1.363120079040527344e-01,-1.295760750770568848e+00
-1.313560009002685547e-01,-1.111361503601074219e+00
-1.783013343811035156e-01,-8.961256146430969238e-01
-3.035519123077392578e-01,-7.072491645812988281e-01
-4.837136268615722656e-01,-5.776249170303344727e-01
-6.971440315246582031e-01,-3.376374244689941406e-01
-8.330810070037841797e-01,-2.182683944702148438e-01
-1.074749469757080078e+00,3.803050518035888672e-02
-1.309414386749267578e+00,1.318968534469604492e-01
-1.464654445648193359e+00,2.245221138000488281e-01
-1.653205871582031250e+00,2.708225250244140625e-01
-1.883000850677490234e+00,4.271813631057739258e-01
-1.978414058685302734e+00,4.666684865951538086e-01
-1.995249271392822266e+00,5.096191167831420898e-01
-1.980528831481933594e+00,5.058687925338745117e-01
-2.084460258483886719e+00,6.439601182937622070e-01
-2.109464645385742188e+00,7.389820814132690430e-01
-2.216724872589111328e+00,9.285193681716918945e-01
-2.320498943328857422e+00,1.061280131340026855e+00
-2.546114921569824219e+00,1.311276793479919434e+00
-2.742888450622558594e+00,1.482998490333557129e+00
-2.836768627166748047e+00,1.657456517219543457e+00
-2.890823364257812500e+00,1.863041520118713379e+00
-2.892099380493164062e+00,1.963511586189270020e+00
-2.935723304748535156e+00,2.015851497650146484e+00
-3.003932476043701172e+00,2.054213047027587891e+00
-3.075402736663818359e+00,2.029685497283935547e+00
-3.117798328399658203e+00,2.031895160675048828e+00
-3.108162879943847656e+00,2.090591430664062500e+00
-3.179677963256835938e+00,2.167170524597167969e+00
-3.219469070434570312e+00,2.157938480377197266e+00
-3.176566600799560547e+00,2.076171875000000000e+00
-3.223338127136230469e+00,2.060425758361816406e+00
-3.261307716369628906e+00,2.011794090270996094e+00
-3.274764060974121094e+00,2.023859977722167969e+00
-3.219646453857421875e+00,2.014094829559326172e+00
-3.120824337005615234e+00,1.915994286537170410e+00
-3.051524162292480469e+00,1.856391549110412598e+00
-3.048702716827392578e+00,1.816511988639831543e+00
-3.126875400543212891e+00,1.780134320259094238e+00
-3.314790725708007812e+00,1.767765641212463379e+00
-3.514290809631347656e+00,1.818436741828918457e+00
-3.690536499023437500e+00,1.944935202598571777e+00
-3.774354457855224609e+00,2.013877391815185547e+00
-3.930947303771972656e+00,2.124055385589599609e+00
-4.124822139739990234e+00,2.245971202850341797e+00
-4.363667488098144531e+00,2.361917018890380859e+00
-4.532099723815917969e+00,2.450323104858398438e+00
-4.628945827484130859e+00,2.547363281250000000e+00
-4.674778461456298828e+00,2.627546310424804688e+00
-4.742440223693847656e+00,2.703557014465332031e+00
-4.887217521667480469e+00,2.909759044647216797e+00
-5.001466274261474609e+00,3.148251533508300781e+00
-5.117619037628173828e+00,3.290444850921630859e+00
-5.267063140869140625e+00,3.349077701568603516e+00
-5.363452911376953125e+00,3.398209095001220703e+00
-5.485834121704101562e+00,3.608903884887695312e+00
-5.394031047821044922e+00,3.680099964141845703e+00
-5.435922145843505859e+00,3.825090408325195312e+00
-5.461426734924316406e+00,3.918353557586669922e+00
-5.617424964904785156e+00,4.161409854888916016e+00
-5.795099258422851562e+00,4.541736602783203125e+00
-5.880850791931152344e+00,4.835643768310546875e+00
-5.787815093994140625e+00,4.911430358886718750e+00
-5.930775642395019531e+00,5.167660236358642578e+00
-6.113698005676269531e+00,5.313424110412597656e+00
-6.201986312866210938e+00,5.505711078643798828e+00
-6.078318595886230469e+00,5.780817508697509766e+00
-6.069829940795898438e+00,6.088153839111328125e+00
-6.178282737731933594e+00,6.416559696197509766e+00
-6.236823081970214844e+00,6.627675533294677734e+00
-6.273278236389160156e+00,6.786185741424560547e+00
-6.387871742248535156e+00,6.862532138824462891e+00
-6.517613410949707031e+00,6.806680202484130859e+00
-6.479128837585449219e+00,6.688013553619384766e+00
-6.305777549743652344e+00,6.532872676849365234e+00
-6.212596893310546875e+00,6.444722652435302734e+00
-6.006469726562500000e+00,6.311908245086669922e+00
-5.837574958801269531e+00,6.362117290496826172e+00
-6.039991378784179688e+00,6.645487308502197266e+00
-5.879777908325195312e+00,6.322597980499267578e+00
-5.631745815277099609e+00,6.070086956024169922e+00
-5.312856674194335938e+00,5.775089740753173828e+00
-5.204432010650634766e+00,5.562775611877441406e+00
-4.874711036682128906e+00,5.187892913818359375e+00
