tSNE1,tSNE2
4.587960243225097656e-01,-1.111438465118408203e+01
4.089359641075134277e-01,-1.111526298522949219e+01
3.711369931697845459e-01,-1.111286640167236328e+01
3.291288614273071289e-01,-1.111347293853759766e+01
2.902505695819854736e-01,-1.110469722747802734e+01
2.357925623655319214e-01,-1.109503650665283203e+01
-4.742554575204849243e-02,-1.105708694458007812e+01
-2.616911530494689941e-01,-1.100464725494384766e+01
-3.731775283813476562e-01,-1.097929859161376953e+01
-4.584391117095947266e-01,-1.089681339263916016e+01
-6.220188736915588379e-01,-1.084409523010253906e+01
-7.249269485473632812e-01,-1.080569171905517578e+01
-7.600399255752563477e-01,-1.075370883941650391e+01
-8.416293859481811523e-01,-1.071519565582275391e+01
-1.042515158653259277e+00,-1.068066596984863281e+01
-1.784594535827636719e+00,-1.057192993164062500e+01
-2.440779447555541992e+00,-1.038797760009765625e+01
-2.841712951660156250e+00,-1.022226333618164062e+01
-3.145662546157836914e+00,-1.005664253234863281e+01
-3.455253839492797852e+00,-9.850163459777832031e+00
-3.730926275253295898e+00,-9.684830665588378906e+00
-4.164597034454345703e+00,-9.513907432556152344e+00
-4.530228614807128906e+00,-9.411699295043945312e+00
-4.727754116058349609e+00,-9.323066711425781250e+00
-4.893385887145996094e+00,-9.240101814270019531e+00
-5.171142578125000000e+00,-9.027598381042480469e+00
-5.567247390747070312e+00,-8.674219131469726562e+00
-5.910139560699462891e+00,-8.346071243286132812e+00
-6.223632335662841797e+00,-7.995120525360107422e+00
-6.581007957458496094e+00,-7.554461479187011719e+00
-6.802074432373046875e+00,-7.240036964416503906e+00
-6.979226589202880859e+00,-6.865370750427246094e+00
-7.128124713897705078e+00,-6.429672718048095703e+00
-7.196991920471191406e+00,-6.008986473083496094e+00
-7.270503520965576172e+00,-5.413193225860595703e+00
-7.325471878051757812e+00,-4.886338233947753906e+00
-7.348582744598388672e+00,-4.526664257049560547e+00
-7.340319156646728516e+00,-4.153828144073486328e+00
-7.280249118804931641e+00,-3.834612607955932617e+00
-6.999667644500732422e+00,-3.481603622436523438e+00
-6.379505634307861328e+00,-3.076144695281982422e+00
-6.050672054290771484e+00,-2.892907142639160156e+00
-5.842039585113525391e+00,-2.747890710830688477e+00
-5.657565116882324219e+00,-2.615066766738891602e+00
-5.483730316162109375e+00,-2.542047262191772461e+00
-5.311091899871826172e+00,-2.562284946441650391e+00
-5.101713657379150391e+00,-2.679420232772827148e+00
-4.848645687103271484e+00,-2.822118520736694336e+00
-4.492180347442626953e+00,-3.071424007415771484e+00
-4.249224185943603516e+00,-3.256920099258422852e+00
-3.903730630874633789e+00,-3.471320867538452148e+00
-3.307681560516357422e+00,-3.863997936248779297e+00
-3.021059751510620117e+00,-4.148084163665771484e+00
-2.818110942840576172e+00,-4.381232738494873047e+00
-2.617771387100219727e+00,-4.687930107116699219e+00
-2.428788185119628906e+00,-4.964955329895019531e+00
-2.001235246658325195e+00,-5.424335956573486328e+00
-1.730600237846374512e+00,-5.716548919677734375e+00
-1.453989624977111816e+00,-5.972640514373779297e+00
-1.139482378959655762e+00,-6.205399990081787109e+00
-7.107100486755371094e-01,-6.425568103790283203e+00
-3.515236079692840576e-01,-6.522007942199707031e+00
-1.320206969976425171e-01,-6.557418823242187500e+00
4.147209227085113525e-02,-6.608131885528564453e+00
2.087237089872360229e-01,-6.675475120544433594e+00
3.181065618991851807e-01,-6.742512226104736328e+00
2.806313931941986084e-01,-6.762017250061035156e+00
2.333602458238601685e-01,-6.799762248992919922e+00
1.082413494586944580e-01,-6.862140178680419922e+00
-7.775276899337768555e-02,-6.968240261077880859e+00
-8.915127515792846680e-01,-7.347979545593261719e+00
-1.568134069442749023e+00,-7.576842308044433594e+00
-2.070106983184814453e+00,-7.671802997589111328e+00
-2.368807554244995117e+00,-7.660871028900146484e+00
-2.562000513076782227e+00,-7.569100379943847656e+00
-2.686090946197509766e+00,-7.330415248870849609e+00
-2.753543615341186523e+00,-7.109888553619384766e+00
-2.755410909652709961e+00,-6.806960582733154297e+00
-2.766657114028930664e+00,-6.403462886810302734e+00
-2.823709487915039062e+00,-6.080751419067382812e+00
-2.903313398361206055e+00,-5.770564556121826172e+00
-3.063916206359863281e+00,-5.312450408935546875e+00
-3.847394943237304688e+00,-3.602367639541625977e+00
-4.073569774627685547e+00,-3.210961103439331055e+00
-4.293053150177001953e+00,-2.833813667297363281e+00
-4.516254425048828125e+00,-2.456533670425415039e+00
-4.692837715148925781e+00,-2.165452957153320312e+00
-4.831071853637695312e+00,-1.932735204696655273e+00
-4.963951110839843750e+00,-1.712310910224914551e+00
-5.093481540679931641e+00,-1.459500074386596680e+00
-5.221081256866455078e+00,-1.210889935493469238e+00
-5.358791828155517578e+00,-8.999460935592651367e-01
-5.540806770324707031e+00,-4.789499938488006592e-01
-5.800597190856933594e+00,1.359638422727584839e-01
-6.062577247619628906e+00,7.952304482460021973e-01
-6.312956809997558594e+00,1.569562792778015137e+00
-6.759107589721679688e+00,2.962093830108642578e+00
-6.835962295532226562e+00,3.186001062393188477e+00
-6.884084701538085938e+00,3.312627077102661133e+00
-6.924519538879394531e+00,3.409613847732543945e+00
-6.970814228057861328e+00,3.505634546279907227e+00
-7.032712459564208984e+00,3.622982501983642578e+00
-7.096176624298095703e+00,3.734893798828125000e+00
-7.136107444763183594e+00,3.804576396942138672e+00
-7.178209781646728516e+00,3.868866443634033203e+00
-7.205222606658935547e+00,3.909336328506469727e+00
-7.229572296142578125e+00,3.946879148483276367e+00
-7.248418331146240234e+00,3.977138519287109375e+00
-7.256158828735351562e+00,3.993472099304199219e+00
-7.263391494750976562e+00,4.003175258636474609e+00
-7.253707885742187500e+00,3.989703893661499023e+00
-7.241906642913818359e+00,3.972321748733520508e+00
-7.238348007202148438e+00,3.966084957122802734e+00
-7.226816654205322266e+00,3.956559419631958008e+00
-7.209412574768066406e+00,3.931014537811279297e+00
-7.193495750427246094e+00,3.896555662155151367e+00
-7.171100139617919922e+00,3.851657152175903320e+00
-7.149611473083496094e+00,3.801896810531616211e+00
-7.127756118774414062e+00,3.754033565521240234e+00
-7.126555442810058594e+00,3.730186462402343750e+00
-7.132784366607666016e+00,3.709760189056396484e+00
-7.148184776306152344e+00,3.704513788223266602e+00
-7.167293071746826172e+00,3.696900844573974609e+00
-7.192245006561279297e+00,3.694084882736206055e+00
-7.227925300598144531e+00,3.693369865417480469e+00
-7.264869689941406250e+00,3.691102266311645508e+00
-7.293135643005371094e+00,3.682867050170898438e+00
-7.338847637176513672e+00,3.675687551498413086e+00
-7.395139694213867188e+00,3.668853044509887695e+00
-7.478672981262207031e+00,3.664702415466308594e+00
-7.611509323120117188e+00,3.685298919677734375e+00
-7.789352416992187500e+00,3.851355791091918945e+00
-7.838546276092529297e+00,3.994216203689575195e+00
-7.861724853515625000e+00,4.165051460266113281e+00
-7.890468120574951172e+00,4.386804580688476562e+00
-7.934827804565429688e+00,4.572241306304931641e+00
-8.001031875610351562e+00,4.767116069793701172e+00
-8.068906784057617188e+00,4.961290359497070312e+00
-8.117341041564941406e+00,5.108203887939453125e+00
-8.150575637817382812e+00,5.209507465362548828e+00
-8.181582450866699219e+00,5.307199954986572266e+00
-8.203866958618164062e+00,5.408775806427001953e+00
-8.235463142395019531e+00,5.513945579528808594e+00
-8.265248298645019531e+00,5.598307609558105469e+00
-8.288563728332519531e+00,5.635703563690185547e+00
-8.314209938049316406e+00,5.661924362182617188e+00
-8.338586807250976562e+00,5.674435615539550781e+00
-8.355022430419921875e+00,5.678460121154785156e+00
-8.365339279174804688e+00,5.665555953979492188e+00
-8.373808860778808594e+00,5.626227855682373047e+00
-8.371668815612792969e+00,5.571022033691406250e+00
-8.362700462341308594e+00,5.502198696136474609e+00
-8.351080894470214844e+00,5.447999477386474609e+00
-8.340128898620605469e+00,5.412459373474121094e+00
-8.333778381347656250e+00,5.389081001281738281e+00
-8.323935508728027344e+00,5.379402160644531250e+00
-8.328809738159179688e+00,5.372216224670410156e+00
-8.329125404357910156e+00,5.367621898651123047e+00
-8.346810340881347656e+00,5.369076728820800781e+00
-8.370571136474609375e+00,5.369825363159179688e+00
-8.359029769897460938e+00,5.377435684204101562e+00
-8.325050354003906250e+00,5.400535583496093750e+00
-8.269394874572753906e+00,5.416862010955810547e+00
-8.210664749145507812e+00,5.417705535888671875e+00
-8.155632019042968750e+00,5.403470993041992188e+00
-8.094370841979980469e+00,5.381758213043212891e+00
-8.018346786499023438e+00,5.349323272705078125e+00
-7.912913799285888672e+00,5.281424045562744141e+00
-7.833239555358886719e+00,5.231414318084716797e+00
-7.723672866821289062e+00,5.157617092132568359e+00
-7.577179431915283203e+00,5.078938484191894531e+00
-7.343883037567138672e+00,4.973049163818359375e+00
-7.156440734863281250e+00,4.916582107543945312e+00
-6.786550998687744141e+00,4.904918193817138672e+00
-6.375313282012939453e+00,4.969225883483886719e+00
-5.707258701324462891e+00,5.143897056579589844e+00
-5.255095481872558594e+00,5.283871650695800781e+00
-4.785827159881591797e+00,5.405175209045410156e+00
-4.473427772521972656e+00,5.454457759857177734e+00
-4.335267066955566406e+00,5.459539413452148438e+00
-4.249526023864746094e+00,5.469260692596435547e+00
-4.081266880035400391e+00,5.483222007751464844e+00
-3.905495166778564453e+00,5.501737117767333984e+00
-3.654302358627319336e+00,5.520104408264160156e+00
-3.526929378509521484e+00,5.439875125885009766e+00
-3.421725988388061523e+00,5.323230266571044922e+00
-3.354581832885742188e+00,5.239353656768798828e+00
-3.325009584426879883e+00,5.167285442352294922e+00
-2.332199096679687500e+00,-1.437955856323242188e+00
-2.153028011322021484e+00,-2.151437997817993164e+00
