PCA1,PCA2
4.022340774536132812e-01,-4.059031963348388672e+00
4.923747777938842773e-01,-4.096967697143554688e+00
6.040338277816772461e-01,-4.090623378753662109e+00
6.608204841613769531e-01,-4.113209247589111328e+00
6.921259164810180664e-01,-4.095623493194580078e+00
7.106461524963378906e-01,-4.113103389739990234e+00
7.801281213760375977e-01,-4.080647468566894531e+00
8.527592420578002930e-01,-4.044939517974853516e+00
9.430905580520629883e-01,-3.973964691162109375e+00
9.588476419448852539e-01,-3.924487113952636719e+00
1.033934712409973145e+00,-3.799118041992187500e+00
1.080135464668273926e+00,-3.688777923583984375e+00
1.114825129508972168e+00,-3.613563060760498047e+00
1.151628136634826660e+00,-3.589080333709716797e+00
1.186222672462463379e+00,-3.521546840667724609e+00
1.224308133125305176e+00,-3.522332668304443359e+00
1.230033755302429199e+00,-3.489164352416992188e+00
1.240115046501159668e+00,-3.396207809448242188e+00
1.256967186927795410e+00,-3.274214029312133789e+00
1.265295863151550293e+00,-3.143645763397216797e+00
1.305597901344299316e+00,-3.027787208557128906e+00
1.310558438301086426e+00,-2.942995071411132812e+00
1.349924921989440918e+00,-2.837139368057250977e+00
1.430675625801086426e+00,-2.738243579864501953e+00
1.521415114402770996e+00,-2.618527889251708984e+00
1.594495177268981934e+00,-2.509052276611328125e+00
1.679561495780944824e+00,-2.393420934677124023e+00
1.709518790245056152e+00,-2.264715433120727539e+00
1.738454461097717285e+00,-2.131635427474975586e+00
1.762260079383850098e+00,-2.019814968109130859e+00
1.817874550819396973e+00,-1.905397295951843262e+00
1.881503701210021973e+00,-1.825565099716186523e+00
1.965242743492126465e+00,-1.742397308349609375e+00
2.066591739654541016e+00,-1.627509832382202148e+00
2.158885955810546875e+00,-1.464507222175598145e+00
2.191880702972412109e+00,-1.243764042854309082e+00
2.257348060607910156e+00,-1.095502614974975586e+00
2.261880397796630859e+00,-9.033577442169189453e-01
2.260832309722900391e+00,-7.958292365074157715e-01
2.191648960113525391e+00,-6.902984380722045898e-01
2.158883094787597656e+00,-6.570942401885986328e-01
2.150903701782226562e+00,-5.588501691818237305e-01
2.200842857360839844e+00,-4.457368850708007812e-01
2.142403125762939453e+00,-3.677672147750854492e-01
2.139431476593017578e+00,-2.654023170471191406e-01
2.171679019927978516e+00,-1.191363334655761719e-01
2.191173076629638672e+00,-4.806256294250488281e-02
2.086483478546142578e+00,-3.172314167022705078e-02
1.971795201301574707e+00,-9.698200225830078125e-02
1.977381348609924316e+00,-1.379812955856323242e-01
1.998361706733703613e+00,-2.457367181777954102e-01
1.956949353218078613e+00,-3.040099143981933594e-01
1.871019721031188965e+00,-4.303703308105468750e-01
1.804384827613830566e+00,-5.214653015136718750e-01
1.793922781944274902e+00,-7.308626174926757812e-01
1.741568684577941895e+00,-8.552494645118713379e-01
1.707798123359680176e+00,-8.861424326896667480e-01
1.606820940971374512e+00,-9.707419276237487793e-01
1.563127875328063965e+00,-9.940651059150695801e-01
1.512520670890808105e+00,-1.043084740638732910e+00
1.401485323905944824e+00,-1.085266351699829102e+00
1.236344933509826660e+00,-1.293079733848571777e+00
1.155368447303771973e+00,-1.500264644622802734e+00
1.035919547080993652e+00,-1.746112823486328125e+00
9.560426473617553711e-01,-1.925758004188537598e+00
8.091353178024291992e-01,-2.111209630966186523e+00
7.578852176666259766e-01,-2.097287178039550781e+00
6.020380258560180664e-01,-2.171042919158935547e+00
4.010195732116699219e-01,-2.139943838119506836e+00
1.455212831497192383e-01,-2.166263818740844727e+00
5.914890766143798828e-02,-2.182025909423828125e+00
-1.702642440795898438e-02,-2.197492599487304688e+00
-7.761919498443603516e-02,-2.160464525222778320e+00
-1.964977979660034180e-01,-2.264896631240844727e+00
-2.344090342521667480e-01,-2.269307374954223633e+00
-2.263723611831665039e-01,-2.281870603561401367e+00
-2.486603260040283203e-01,-2.243303775787353516e+00
-1.892123222351074219e-01,-2.189969778060913086e+00
-1.296120882034301758e-01,-2.081643342971801758e+00
-8.524346351623535156e-02,-1.980908989906311035e+00
-2.446675300598144531e-02,-1.831296920776367188e+00
-4.902756214141845703e-02,-1.676399469375610352e+00
-3.013288974761962891e-02,-1.446722626686096191e+00
-6.318092346191406250e-05,-1.252313256263732910e+00
4.257690906524658203e-02,-1.029839992523193359e+00
7.968306541442871094e-02,-8.028854727745056152e-01
1.564147472381591797e-01,-5.836074352264404297e-01
2.711673974990844727e-01,-3.401666879653930664e-01
4.183323383331298828e-01,-1.311051845550537109e-01
5.171324014663696289e-01,2.902543544769287109e-02
6.696300506591796875e-01,1.904612779617309570e-01
7.521460056304931641e-01,2.866015434265136719e-01
9.236921072006225586e-01,4.188954830169677734e-01
1.087723374366760254e+00,5.912121534347534180e-01
1.251798510551452637e+00,7.404199838638305664e-01
1.384319424629211426e+00,9.341350793838500977e-01
1.454024672508239746e+00,1.102355599403381348e+00
1.550076365470886230e+00,1.286222815513610840e+00
1.657996058464050293e+00,1.454785466194152832e+00
1.755894303321838379e+00,1.563758492469787598e+00
1.678267836570739746e+00,1.545741915702819824e+00
1.655549645423889160e+00,1.516854405403137207e+00
1.684868216514587402e+00,1.523029208183288574e+00
1.748360991477966309e+00,1.545450329780578613e+00
1.735232710838317871e+00,1.521875023841857910e+00
1.825889945030212402e+00,1.631440043449401855e+00
1.857556939125061035e+00,1.680156826972961426e+00
1.928502440452575684e+00,1.703505873680114746e+00
1.923906922340393066e+00,1.691943049430847168e+00
1.902624011039733887e+00,1.688003659248352051e+00
1.885163664817810059e+00,1.690903544425964355e+00
1.862700819969177246e+00,1.702374577522277832e+00
1.793291449546813965e+00,1.737536072731018066e+00
1.761477589607238770e+00,1.873728156089782715e+00
1.690913081169128418e+00,1.986332774162292480e+00
1.710482001304626465e+00,2.149132728576660156e+00
1.724665284156799316e+00,2.168049335479736328e+00
1.848067164421081543e+00,2.144545555114746094e+00
2.015620231628417969e+00,2.154137611389160156e+00
2.152583122253417969e+00,2.195308685302734375e+00
2.286983489990234375e+00,2.191098690032958984e+00
2.413640975952148438e+00,2.290653228759765625e+00
2.503452301025390625e+00,2.339931011199951172e+00
2.625974655151367188e+00,2.405367851257324219e+00
2.766706466674804688e+00,2.485687732696533203e+00
2.908743858337402344e+00,2.585808753967285156e+00
3.056913852691650391e+00,2.593366622924804688e+00
3.214924335479736328e+00,2.617246627807617188e+00
3.356939792633056641e+00,2.720290660858154297e+00
3.543802738189697266e+00,2.824772834777832031e+00
3.716880798339843750e+00,2.944724559783935547e+00
3.893781661987304688e+00,3.193655014038085938e+00
4.009785652160644531e+00,3.483201503753662109e+00
4.026295185089111328e+00,3.720884799957275391e+00
4.001709938049316406e+00,3.785040855407714844e+00
4.034505844116210938e+00,3.859523296356201172e+00
3.953318595886230469e+00,3.941060543060302734e+00
3.933707714080810547e+00,4.025432109832763672e+00
3.931327819824218750e+00,3.987434864044189453e+00
3.845114231109619141e+00,4.061613082885742188e+00
3.765003204345703125e+00,4.173595905303955078e+00
3.674023151397705078e+00,4.359515190124511719e+00
3.569572925567626953e+00,4.538460254669189453e+00
3.418321609497070312e+00,4.728654384613037109e+00
3.336224555969238281e+00,4.974593639373779297e+00
3.233749866485595703e+00,5.198227882385253906e+00
3.188652992248535156e+00,5.211646080017089844e+00
3.277300357818603516e+00,5.224544525146484375e+00
3.437602996826171875e+00,5.186362266540527344e+00
3.540052890777587891e+00,5.089604377746582031e+00
3.618678569793701172e+00,4.886463165283203125e+00
3.687150478363037109e+00,4.551713466644287109e+00
3.707777023315429688e+00,4.338348865509033203e+00
3.584413528442382812e+00,4.092971324920654297e+00
3.352104187011718750e+00,4.120747566223144531e+00
3.145453453063964844e+00,4.238216876983642578e+00
2.993706703186035156e+00,4.583843231201171875e+00
2.760102748870849609e+00,4.562884330749511719e+00
2.680015563964843750e+00,4.648914813995361328e+00
2.439631462097167969e+00,4.504071235656738281e+00
2.312095642089843750e+00,4.377448081970214844e+00
2.160648345947265625e+00,4.087538719177246094e+00
2.406219959259033203e+00,3.938094615936279297e+00
2.439840316772460938e+00,3.580076694488525391e+00
2.567770957946777344e+00,3.441948413848876953e+00
2.214716434478759766e+00,3.173353195190429688e+00
2.072227478027343750e+00,3.087881088256835938e+00
1.658354163169860840e+00,2.844168186187744141e+00
1.448284983634948730e+00,2.584576606750488281e+00
1.128467202186584473e+00,2.375581741333007812e+00
9.699174165725708008e-01,2.034150600433349609e+00
8.231378793716430664e-01,1.765249133110046387e+00
6.319205760955810547e-01,1.471002936363220215e+00
3.752900362014770508e-01,1.198196768760681152e+00
3.373001813888549805e-01,8.422802686691284180e-01
4.277603626251220703e-01,7.116190195083618164e-01
4.448101520538330078e-01,6.381255388259887695e-01
2.903803586959838867e-01,4.936002492904663086e-01
1.930253505706787109e-01,5.526996850967407227e-01
7.435762882232666016e-02,7.124775648117065430e-01
-1.048310995101928711e-01,6.071428060531616211e-01
-9.961664676666259766e-02,6.117762327194213867e-01
-4.739212989807128906e-02,6.376248598098754883e-01
-6.741797924041748047e-02,7.160409688949584961e-01
-2.489762306213378906e-01,5.544666051864624023e-01
-2.296854257583618164e-01,3.919912576675415039e-01
-1.901843547821044922e-01,2.864979505538940430e-01
-9.830725193023681641e-02,2.110376358032226562e-01
-1.613808870315551758e-01,-2.180576324462890625e-02
-1.569528579711914062e-01,-8.954715728759765625e-02
