tSNE1,tSNE2
4.654883384704589844e+00,-9.861632347106933594e+00
4.710585594177246094e+00,-9.882432937622070312e+00
4.776511669158935547e+00,-9.880611419677734375e+00
4.843377590179443359e+00,-9.862535476684570312e+00
4.882612228393554688e+00,-9.829966545104980469e+00
4.911188125610351562e+00,-9.782989501953125000e+00
4.911027431488037109e+00,-9.748160362243652344e+00
4.904045104980468750e+00,-9.681581497192382812e+00
4.875340461730957031e+00,-9.592694282531738281e+00
4.847935199737548828e+00,-9.532672882080078125e+00
4.861781597137451172e+00,-9.427391052246093750e+00
4.916119098663330078e+00,-9.286654472351074219e+00
4.970981121063232422e+00,-9.176013946533203125e+00
5.040528774261474609e+00,-9.047798156738281250e+00
5.112819671630859375e+00,-8.930738449096679688e+00
5.173021316528320312e+00,-8.864725112915039062e+00
5.302133083343505859e+00,-8.766677856445312500e+00
5.477648258209228516e+00,-8.608465194702148438e+00
5.637311458587646484e+00,-8.459239959716796875e+00
5.886107921600341797e+00,-8.196059226989746094e+00
6.245941638946533203e+00,-7.846131324768066406e+00
6.734319686889648438e+00,-7.389308452606201172e+00
6.982990264892578125e+00,-7.136413097381591797e+00
7.217957496643066406e+00,-6.908570766448974609e+00
7.510551929473876953e+00,-6.628862857818603516e+00
7.944934844970703125e+00,-6.228998184204101562e+00
8.198342323303222656e+00,-5.992919921875000000e+00
8.583707809448242188e+00,-5.592490673065185547e+00
8.984188079833984375e+00,-5.048775196075439453e+00
9.137853622436523438e+00,-4.788295269012451172e+00
9.321790695190429688e+00,-4.364010334014892578e+00
9.527047157287597656e+00,-3.939169645309448242e+00
9.631629943847656250e+00,-3.731926918029785156e+00
9.698819160461425781e+00,-3.566090822219848633e+00
9.932349205017089844e+00,-2.700383186340332031e+00
1.004788494110107422e+01,-2.345525503158569336e+00
1.009573078155517578e+01,-2.067474842071533203e+00
1.009043121337890625e+01,-1.845859408378601074e+00
9.936088562011718750e+00,-1.394008755683898926e+00
9.726075172424316406e+00,-1.161855459213256836e+00
9.349570274353027344e+00,-8.690108656883239746e-01
9.110850334167480469e+00,-6.454337835311889648e-01
9.020465850830078125e+00,-4.786927700042724609e-01
9.020636558532714844e+00,-3.319090902805328369e-01
8.962494850158691406e+00,-9.349516034126281738e-02
8.876169204711914062e+00,5.929022282361984253e-02
8.712064743041992188e+00,1.684112846851348877e-01
8.470057487487792969e+00,2.183196544647216797e-01
8.308688163757324219e+00,2.208574116230010986e-01
8.292429924011230469e+00,1.997399479150772095e-01
8.308834075927734375e+00,1.289389878511428833e-01
8.285748481750488281e+00,1.401534955948591232e-02
8.146353721618652344e+00,-3.527336418628692627e-01
7.933554172515869141e+00,-8.565680980682373047e-01
7.823118686676025391e+00,-1.115950465202331543e+00
7.633153915405273438e+00,-1.439340472221374512e+00
7.406230926513671875e+00,-1.724812507629394531e+00
7.148960113525390625e+00,-2.002823829650878906e+00
6.965042114257812500e+00,-2.160861730575561523e+00
6.744139671325683594e+00,-2.316807031631469727e+00
6.527281284332275391e+00,-2.508430242538452148e+00
5.655941486358642578e+00,-3.426379919052124023e+00
5.320538997650146484e+00,-3.787151813507080078e+00
5.109558105468750000e+00,-4.003398418426513672e+00
4.781638145446777344e+00,-4.271543025970458984e+00
3.813186883926391602e+00,-5.094408988952636719e+00
3.424099206924438477e+00,-5.409594535827636719e+00
3.233404159545898438e+00,-5.559574604034423828e+00
2.848288774490356445e+00,-5.813125133514404297e+00
1.134300947189331055e+00,-6.691747188568115234e+00
1.001289248466491699e+00,-6.744666099548339844e+00
1.003154873847961426e+00,-6.735386848449707031e+00
1.059607625007629395e+00,-6.697355747222900391e+00
1.007984519004821777e+00,-6.480569362640380859e+00
4.246690273284912109e+00,-6.133872509002685547e+00
4.390253543853759766e+00,-6.076832294464111328e+00
4.594943523406982422e+00,-5.960999011993408203e+00
4.879327297210693359e+00,-5.752059459686279297e+00
5.134171962738037109e+00,-5.512566089630126953e+00
5.289367198944091797e+00,-5.356724262237548828e+00
5.352833747863769531e+00,-5.288614749908447266e+00
5.426805973052978516e+00,-5.190999031066894531e+00
6.854554653167724609e+00,-2.568471670150756836e+00
6.967165946960449219e+00,-2.292271137237548828e+00
7.060351848602294922e+00,-2.063931703567504883e+00
7.127957344055175781e+00,-1.883121490478515625e+00
7.192614555358886719e+00,-1.722068667411804199e+00
7.255017280578613281e+00,-1.592200994491577148e+00
7.356501102447509766e+00,-1.411762595176696777e+00
7.476722240447998047e+00,-1.216003060340881348e+00
7.616770267486572266e+00,-1.013126969337463379e+00
7.743379116058349609e+00,-8.241376876831054688e-01
7.989848613739013672e+00,-4.819855690002441406e-01
