PCA1,PCA2
4.320089817047119141e-01,-5.088185310363769531e+00
3.298325538635253906e-01,-5.099001407623291016e+00
2.823803424835205078e-01,-5.109739303588867188e+00
2.312192916870117188e-01,-5.124455451965332031e+00
1.904809474945068359e-01,-5.153831481933593750e+00
1.515350341796875000e-01,-5.147529602050781250e+00
4.632449150085449219e-02,-5.139913558959960938e+00
-4.898452758789062500e-02,-5.160508632659912109e+00
-1.574161052703857422e-01,-5.146395683288574219e+00
-2.204771041870117188e-01,-5.147347450256347656e+00
-2.481114864349365234e-01,-5.148322105407714844e+00
-2.204632759094238281e-01,-5.139819145202636719e+00
-2.242984771728515625e-01,-5.079167366027832031e+00
-2.742342948913574219e-01,-4.967710018157958984e+00
-3.431413173675537109e-01,-4.806658744812011719e+00
-3.573355674743652344e-01,-4.644108772277832031e+00
-3.798172473907470703e-01,-4.548927307128906250e+00
-4.401166439056396484e-01,-4.463736534118652344e+00
-5.298790931701660156e-01,-4.397211551666259766e+00
-6.454620361328125000e-01,-4.335640907287597656e+00
-7.280225753784179688e-01,-4.328203201293945312e+00
-8.354938030242919922e-01,-4.301243782043457031e+00
-9.673662185668945312e-01,-4.228896141052246094e+00
-1.059006690979003906e+00,-4.107979774475097656e+00
-1.143392562866210938e+00,-4.045562744140625000e+00
-1.329217672348022461e+00,-3.904899358749389648e+00
-1.576469182968139648e+00,-3.756992578506469727e+00
-1.829988718032836914e+00,-3.613753318786621094e+00
-2.066298246383666992e+00,-3.485052347183227539e+00
-2.263323068618774414e+00,-3.369423389434814453e+00
-2.396180868148803711e+00,-3.283308029174804688e+00
-2.557214498519897461e+00,-3.213150978088378906e+00
-2.804976701736450195e+00,-3.167639732360839844e+00
-3.088960409164428711e+00,-3.066684007644653320e+00
-3.251026868820190430e+00,-2.908433198928833008e+00
-3.327093362808227539e+00,-2.743571281433105469e+00
-3.288041830062866211e+00,-2.525789260864257812e+00
-3.298964738845825195e+00,-2.271201133728027344e+00
-3.322044134140014648e+00,-1.966980099678039551e+00
-3.234173059463500977e+00,-1.784874677658081055e+00
-3.116442918777465820e+00,-1.551975250244140625e+00
-3.048682928085327148e+00,-1.351007461547851562e+00
-3.061918020248413086e+00,-1.096074938774108887e+00
-3.079557657241821289e+00,-9.620193243026733398e-01
-3.170501470565795898e+00,-8.298811316490173340e-01
-3.254450559616088867e+00,-7.666812539100646973e-01
-3.164807081222534180e+00,-8.277335166931152344e-01
-3.014664411544799805e+00,-9.797947406768798828e-01
-2.958171129226684570e+00,-1.003896474838256836e+00
-2.925447702407836914e+00,-1.046903014183044434e+00
-2.892947435379028320e+00,-1.020353317260742188e+00
-2.630211591720581055e+00,-1.107585906982421875e+00
-2.451001405715942383e+00,-1.105000734329223633e+00
-2.300964117050170898e+00,-1.153449892997741699e+00
-2.191430807113647461e+00,-1.194143295288085938e+00
-2.007080316543579102e+00,-1.420998692512512207e+00
-1.880162477493286133e+00,-1.534311294555664062e+00
-1.641112565994262695e+00,-1.811824083328247070e+00
-1.422888994216918945e+00,-2.023842811584472656e+00
-1.202730417251586914e+00,-2.163792133331298828e+00
-8.673737049102783203e-01,-2.210281848907470703e+00
-6.376895904541015625e-01,-2.260960102081298828e+00
-3.144915103912353516e-01,-2.256538391113281250e+00
-2.235686779022216797e-01,-2.279621124267578125e+00
-1.809828281402587891e-01,-2.265659093856811523e+00
-1.301374435424804688e-01,-2.299773216247558594e+00
-2.897500991821289062e-03,-2.305053234100341797e+00
5.056619644165039062e-02,-2.298258543014526367e+00
1.271018981933593750e-01,-2.393344879150390625e+00
1.660747528076171875e-01,-2.533397197723388672e+00
1.021196842193603516e-01,-2.663790225982666016e+00
6.883955001831054688e-02,-2.684112787246704102e+00
5.764842033386230469e-02,-2.605607986450195312e+00
1.817011833190917969e-01,-2.515295028686523438e+00
2.265501022338867188e-01,-2.394004821777343750e+00
1.369552612304687500e-01,-2.288644790649414062e+00
-2.657580375671386719e-02,-2.128859043121337891e+00
-2.321953773498535156e-01,-1.994346380233764648e+00
-3.618891239166259766e-01,-1.960140347480773926e+00
-5.350432395935058594e-01,-1.941338539123535156e+00
-6.822743415832519531e-01,-1.867083549499511719e+00
-8.194904327392578125e-01,-1.744179368019104004e+00
-9.902448654174804688e-01,-1.648900270462036133e+00
-1.179133892059326172e+00,-1.503032445907592773e+00
-1.325239896774291992e+00,-1.364577174186706543e+00
-1.440043210983276367e+00,-1.181743621826171875e+00
-1.566009283065795898e+00,-1.058838605880737305e+00
-1.756247758865356445e+00,-8.402248620986938477e-01
-1.941438436508178711e+00,-5.392890572547912598e-01
-2.101204633712768555e+00,-2.443047165870666504e-01
-2.331005334854125977e+00,2.541899681091308594e-03
-2.598016977310180664e+00,1.905311346054077148e-01
-2.920474290847778320e+00,4.556261301040649414e-01
-3.140973329544067383e+00,5.994950532913208008e-01
-3.454151391983032227e+00,6.978019475936889648e-01
-3.685652494430541992e+00,8.090558052062988281e-01
-3.941067457199096680e+00,9.473366737365722656e-01
-4.084321022033691406e+00,1.105337142944335938e+00
-4.197101593017578125e+00,1.302738189697265625e+00
-4.318484306335449219e+00,1.420566320419311523e+00
-4.597420692443847656e+00,1.548106908798217773e+00
-4.853546142578125000e+00,1.646984815597534180e+00
-5.015233039855957031e+00,1.671875715255737305e+00
-5.157807350158691406e+00,1.716182708740234375e+00
-5.180321693420410156e+00,1.797230243682861328e+00
-5.210948944091796875e+00,1.880260705947875977e+00
-5.285993576049804688e+00,2.038666248321533203e+00
-5.321891784667968750e+00,2.120276212692260742e+00
-5.418238639831542969e+00,2.272472858428955078e+00
-5.503112792968750000e+00,2.508015871047973633e+00
-5.671832084655761719e+00,2.794155120849609375e+00
-5.784683227539062500e+00,3.002660274505615234e+00
-5.921656608581542969e+00,3.155369758605957031e+00
-6.135396003723144531e+00,3.283768653869628906e+00
-6.248522758483886719e+00,3.343320846557617188e+00
-6.299757957458496094e+00,3.299184322357177734e+00
-6.350396156311035156e+00,3.215945720672607422e+00
-6.432965278625488281e+00,3.169704437255859375e+00
-6.456617355346679688e+00,3.034865379333496094e+00
-6.531528472900390625e+00,2.913124561309814453e+00
-6.638108253479003906e+00,2.752519130706787109e+00
-6.814744949340820312e+00,2.664259433746337891e+00
-7.012551307678222656e+00,2.637884616851806641e+00
-7.180606842041015625e+00,2.662743568420410156e+00
-7.280673027038574219e+00,2.671273469924926758e+00
-7.437988281250000000e+00,2.656058788299560547e+00
-7.706164360046386719e+00,2.629758834838867188e+00
-7.997561454772949219e+00,2.621752977371215820e+00
-8.311053276062011719e+00,2.679002285003662109e+00
-8.532726287841796875e+00,2.795694351196289062e+00
-8.755530357360839844e+00,2.968009471893310547e+00
-8.881628036499023438e+00,3.159223556518554688e+00
-8.797552108764648438e+00,3.452825546264648438e+00
-8.724342346191406250e+00,3.716254711151123047e+00
-8.717418670654296875e+00,4.013494968414306641e+00
-8.567508697509765625e+00,4.148765563964843750e+00
-8.217352867126464844e+00,4.396085739135742188e+00
-7.906567573547363281e+00,4.630177497863769531e+00
-7.733186721801757812e+00,4.721933364868164062e+00
-7.684759140014648438e+00,4.903666019439697266e+00
-7.698307991027832031e+00,4.932697296142578125e+00
-7.695867538452148438e+00,4.982982158660888672e+00
-7.633518218994140625e+00,4.824166297912597656e+00
-7.471095085144042969e+00,4.799121379852294922e+00
-7.461944580078125000e+00,4.742849349975585938e+00
-7.578067779541015625e+00,4.840963840484619141e+00
