tSNE1,tSNE2
-1.483788967132568359e+00,-1.019183540344238281e+01
-1.503199696540832520e+00,-1.020949745178222656e+01
-1.521256446838378906e+00,-1.023040485382080078e+01
-1.549025535583496094e+00,-1.024391746520996094e+01
-1.618670344352722168e+00,-1.025621795654296875e+01
-1.710503220558166504e+00,-1.028386878967285156e+01
-1.875766277313232422e+00,-1.022467613220214844e+01
-2.039865732192993164e+00,-1.015199279785156250e+01
-2.187648057937622070e+00,-1.004683017730712891e+01
-2.335046052932739258e+00,-9.913350105285644531e+00
-2.457084894180297852e+00,-9.773417472839355469e+00
-2.538784980773925781e+00,-9.667936325073242188e+00
-2.617465257644653320e+00,-9.546338081359863281e+00
-2.713901519775390625e+00,-9.406956672668457031e+00
-2.842560529708862305e+00,-9.250806808471679688e+00
-3.038433551788330078e+00,-9.027283668518066406e+00
-3.282816648483276367e+00,-8.780111312866210938e+00
-3.594929933547973633e+00,-8.527374267578125000e+00
-3.841515302658081055e+00,-8.347908020019531250e+00
-4.067131519317626953e+00,-8.187267303466796875e+00
-4.341637134552001953e+00,-8.027227401733398438e+00
-4.758490562438964844e+00,-7.814727306365966797e+00
-5.053498268127441406e+00,-7.703197002410888672e+00
-5.275075912475585938e+00,-7.630408763885498047e+00
-5.594196796417236328e+00,-7.515305995941162109e+00
-6.146205902099609375e+00,-7.338528633117675781e+00
-6.738295555114746094e+00,-7.152377605438232422e+00
-7.326902389526367188e+00,-6.891865253448486328e+00
-8.067413330078125000e+00,-6.402019977569580078e+00
-8.631853103637695312e+00,-5.909724235534667969e+00
-8.797213554382324219e+00,-5.743305206298828125e+00
-8.908725738525390625e+00,-5.607314109802246094e+00
-9.079788208007812500e+00,-5.383534431457519531e+00
-9.244153976440429688e+00,-5.155724048614501953e+00
-9.363291740417480469e+00,-4.921434879302978516e+00
-9.466743469238281250e+00,-4.565656661987304688e+00
-9.549918174743652344e+00,-4.086488246917724609e+00
-9.567224502563476562e+00,-3.751924276351928711e+00
-9.500284194946289062e+00,-3.332044839859008789e+00
-9.399686813354492188e+00,-2.950163841247558594e+00
-9.274808883666992188e+00,-2.684967756271362305e+00
-9.106659889221191406e+00,-2.505618095397949219e+00
-8.884620666503906250e+00,-2.331140995025634766e+00
-8.686690330505371094e+00,-2.224304199218750000e+00
-8.426891326904296875e+00,-2.133222579956054688e+00
-8.314229965209960938e+00,-2.093902826309204102e+00
-7.983285903930664062e+00,-2.003416538238525391e+00
-7.621324062347412109e+00,-1.867007374763488770e+00
-7.395693778991699219e+00,-1.768135190010070801e+00
-7.248487472534179688e+00,-1.725847363471984863e+00
-7.070755004882812500e+00,-1.720958113670349121e+00
-6.911349296569824219e+00,-1.769670724868774414e+00
-6.689966201782226562e+00,-1.873714089393615723e+00
-6.445717811584472656e+00,-2.034986495971679688e+00
-6.188426017761230469e+00,-2.210213184356689453e+00
-5.977031230926513672e+00,-2.358896255493164062e+00
