PCA1,PCA2
-2.860993146896362305e-01,4.540981292724609375e+00
-2.581927776336669922e-01,4.569209098815917969e+00
-1.802361011505126953e-01,4.546463966369628906e+00
-1.901090145111083984e-01,4.542869567871093750e+00
-1.975760459899902344e-01,4.553946971893310547e+00
-2.505180835723876953e-01,4.552301406860351562e+00
-1.948378086090087891e-01,4.533897399902343750e+00
-1.736674308776855469e-01,4.528815746307373047e+00
-1.309251785278320312e-01,4.486651420593261719e+00
-1.083841323852539062e-01,4.463319778442382812e+00
-1.054325103759765625e-01,4.460461139678955078e+00
-1.067905426025390625e-01,4.429590225219726562e+00
-1.057176589965820312e-01,4.395140647888183594e+00
-7.855176925659179688e-02,4.341369628906250000e+00
-2.237272262573242188e-02,4.255276203155517578e+00
5.561876296997070312e-02,4.154430389404296875e+00
1.149103641510009766e-01,4.037071704864501953e+00
1.543211936950683594e-01,3.911117553710937500e+00
2.848830223083496094e-01,3.790818691253662109e+00
4.288499355316162109e-01,3.655086994171142578e+00
5.562622547149658203e-01,3.588481903076171875e+00
6.671085357666015625e-01,3.510255336761474609e+00
8.181185722351074219e-01,3.372675895690917969e+00
9.181981086730957031e-01,3.237752914428710938e+00
9.925124645233154297e-01,3.074802637100219727e+00
1.057747840881347656e+00,2.941612958908081055e+00
1.172329902648925781e+00,2.788061618804931641e+00
1.295798540115356445e+00,2.621812820434570312e+00
1.413070201873779297e+00,2.404399394989013672e+00
1.579497098922729492e+00,2.184724330902099609e+00
1.702435255050659180e+00,2.037524700164794922e+00
1.837817668914794922e+00,1.920808911323547363e+00
1.890052795410156250e+00,1.782812952995300293e+00
1.955318450927734375e+00,1.654053211212158203e+00
2.025989055633544922e+00,1.490671038627624512e+00
2.078147888183593750e+00,1.310104727745056152e+00
2.088257789611816406e+00,1.096642971038818359e+00
2.175759792327880859e+00,9.288392066955566406e-01
2.255724906921386719e+00,8.064476251602172852e-01
2.362774848937988281e+00,7.093242406845092773e-01
2.453328132629394531e+00,5.902669429779052734e-01
2.495807170867919922e+00,5.006819963455200195e-01
2.553865432739257812e+00,3.922518491744995117e-01
2.613407135009765625e+00,2.742025852203369141e-01
2.653476715087890625e+00,1.503394842147827148e-01
2.703942775726318359e+00,4.123318195343017578e-02
2.808499336242675781e+00,1.431397199630737305e-01
2.812377929687500000e+00,3.340566158294677734e-01
2.752988815307617188e+00,4.851198196411132812e-01
2.696321487426757812e+00,5.574368238449096680e-01
2.517633438110351562e+00,6.291116476058959961e-01
2.291445732116699219e+00,5.993415117263793945e-01
1.977186679840087891e+00,6.530129909515380859e-01
1.728724956512451172e+00,7.568436264991760254e-01
1.625925064086914062e+00,8.710938096046447754e-01
1.530744075775146484e+00,9.480280280113220215e-01
1.527493953704833984e+00,1.034131407737731934e+00
1.488672494888305664e+00,1.143063426017761230e+00
1.314371347427368164e+00,1.318065762519836426e+00
1.065991878509521484e+00,1.554982185363769531e+00
7.664823532104492188e-01,1.706941962242126465e+00
3.524396419525146484e-01,1.927501678466796875e+00
1.572105884552001953e-01,2.031788110733032227e+00
1.364138126373291016e-01,2.062547206878662109e+00
1.525602340698242188e-01,2.070709228515625000e+00
2.937262058258056641e-01,2.100499629974365234e+00
