tSNE1,tSNE2
1.810060262680053711e+00,1.040178871154785156e+01
1.848593711853027344e+00,1.039451313018798828e+01
1.863563656806945801e+00,1.035687160491943359e+01
1.831560134887695312e+00,1.027260303497314453e+01
1.820615530014038086e+00,1.019576263427734375e+01
1.836359262466430664e+00,1.011183547973632812e+01
1.839215874671936035e+00,9.988247871398925781e+00
1.847536563873291016e+00,9.798088073730468750e+00
1.876445531845092773e+00,9.562136650085449219e+00
1.913651943206787109e+00,9.422375679016113281e+00
1.976361870765686035e+00,9.312531471252441406e+00
2.110015153884887695e+00,9.213521957397460938e+00
2.263756513595581055e+00,9.149052619934082031e+00
2.466672420501708984e+00,9.087574958801269531e+00
2.621626138687133789e+00,9.032852172851562500e+00
2.800406694412231445e+00,8.981003761291503906e+00
3.172250747680664062e+00,8.874282836914062500e+00
3.757969617843627930e+00,8.724172592163085938e+00
4.134085178375244141e+00,8.614652633666992188e+00
4.512217044830322266e+00,8.511569976806640625e+00
4.963294029235839844e+00,8.391674995422363281e+00
5.463928222656250000e+00,8.249473571777343750e+00
5.895313262939453125e+00,8.103499412536621094e+00
6.322324275970458984e+00,7.944762706756591797e+00
6.755677700042724609e+00,7.713346481323242188e+00
7.193153858184814453e+00,7.407220363616943359e+00
7.509980678558349609e+00,7.128996372222900391e+00
7.780899047851562500e+00,6.853525161743164062e+00
8.193351745605468750e+00,6.351151943206787109e+00
9.128938674926757812e+00,4.732833385467529297e+00
9.378810882568359375e+00,4.134037494659423828e+00
9.466948509216308594e+00,3.863714456558227539e+00
9.504772186279296875e+00,3.665602445602416992e+00
9.522069931030273438e+00,3.447944879531860352e+00
9.522862434387207031e+00,3.154404163360595703e+00
9.528822898864746094e+00,2.824958324432373047e+00
9.514759063720703125e+00,2.395224094390869141e+00
9.486064910888671875e+00,2.006547212600708008e+00
9.422567367553710938e+00,1.707687139511108398e+00
9.328178405761718750e+00,1.474097013473510742e+00
9.226058959960937500e+00,1.321587562561035156e+00
9.107375144958496094e+00,1.210913658142089844e+00
9.000564575195312500e+00,1.163219451904296875e+00
8.904009819030761719e+00,1.154290199279785156e+00
8.859799385070800781e+00,1.137906432151794434e+00
8.850048065185546875e+00,1.104962825775146484e+00
8.756406784057617188e+00,1.071495175361633301e+00
8.549088478088378906e+00,9.973387122154235840e-01
8.441832542419433594e+00,9.598965644836425781e-01
8.287929534912109375e+00,9.543978571891784668e-01
8.093907356262207031e+00,1.032262802124023438e+00
7.955152511596679688e+00,1.106758713722229004e+00
7.719375610351562500e+00,1.284509181976318359e+00
7.323021888732910156e+00,1.735909700393676758e+00
7.099020957946777344e+00,2.057976245880126953e+00
6.995236873626708984e+00,2.226043224334716797e+00
6.848654270172119141e+00,2.444418668746948242e+00
6.502537727355957031e+00,2.807262182235717773e+00
6.106304645538330078e+00,3.076364040374755859e+00
5.726418495178222656e+00,3.269229412078857422e+00
5.257454395294189453e+00,3.461727857589721680e+00
3.570773839950561523e+00,4.243966102600097656e+00
3.265328407287597656e+00,4.432786464691162109e+00
3.048423051834106445e+00,4.600749492645263672e+00
2.802312850952148438e+00,4.807403564453125000e+00
2.269368886947631836e+00,5.282763004302978516e+00
1.908164739608764648e+00,5.604462146759033203e+00
1.676393270492553711e+00,5.809112548828125000e+00
1.399204492568969727e+00,6.127418994903564453e+00
9.797007441520690918e-01,6.603545665740966797e+00
8.688069581985473633e-01,6.801827430725097656e+00
8.914524316787719727e-01,6.855851173400878906e+00
1.184674859046936035e+00,6.892068862915039062e+00
1.641288638114929199e+00,6.770765304565429688e+00
2.034193992614746094e+00,6.581088542938232422e+00
2.230417728424072266e+00,6.420436859130859375e+00
2.637463331222534180e+00,6.019906997680664062e+00
2.976845741271972656e+00,5.604907989501953125e+00
3.285112857818603516e+00,5.045587062835693359e+00
3.491274356842041016e+00,4.523696422576904297e+00
3.677958965301513672e+00,4.091676235198974609e+00
4.898361206054687500e+00,1.838680505752563477e+00
5.050371170043945312e+00,1.599252581596374512e+00
5.189005851745605469e+00,1.392285823822021484e+00
5.300265312194824219e+00,1.244048953056335449e+00
5.423733711242675781e+00,1.097353935241699219e+00
5.603173732757568359e+00,8.974906802177429199e-01
5.950705528259277344e+00,5.199196338653564453e-01
6.440042495727539062e+00,6.044223159551620483e-02
