UMAP1,UMAP2
8.484186530113220215e-01,4.633717060089111328e+00
8.982990384101867676e-01,4.705656051635742188e+00
1.046378731727600098e+00,4.786875247955322266e+00
1.086876988410949707e+00,4.761620998382568359e+00
1.103012800216674805e+00,4.740725040435791016e+00
1.057996988296508789e+00,4.772469043731689453e+00
9.982178807258605957e-01,4.643045425415039062e+00
1.049685359001159668e+00,4.627898216247558594e+00
1.065496087074279785e+00,4.632378101348876953e+00
1.121567130088806152e+00,4.621731758117675781e+00
1.150418281555175781e+00,4.620794296264648438e+00
1.139174699783325195e+00,4.509154796600341797e+00
1.139952659606933594e+00,4.533492565155029297e+00
1.093198418617248535e+00,4.484177112579345703e+00
1.093462228775024414e+00,4.479351043701171875e+00
1.071884632110595703e+00,4.362354755401611328e+00
1.100519895553588867e+00,4.398045063018798828e+00
1.104779958724975586e+00,4.357922554016113281e+00
1.031659841537475586e+00,4.296880722045898438e+00
9.244710206985473633e-01,4.238154888153076172e+00
-1.360839605331420898e+00,1.753644943237304688e+00
-1.502303481101989746e+00,1.576132893562316895e+00
-1.490754127502441406e+00,1.492036342620849609e+00
-1.549607038497924805e+00,1.279953718185424805e+00
-1.606394171714782715e+00,1.230142712593078613e+00
-1.616541981697082520e+00,1.077851176261901855e+00
-1.670210003852844238e+00,8.775511384010314941e-01
-1.660325527191162109e+00,8.086354136466979980e-01
-1.698915481567382812e+00,7.075644731521606445e-01
-1.652846813201904297e+00,6.609220504760742188e-01
-1.663776516914367676e+00,6.930750608444213867e-01
-1.654454946517944336e+00,6.436229944229125977e-01
-1.627998232841491699e+00,5.498949289321899414e-01
-1.651591181755065918e+00,5.207658410072326660e-01
-1.607630729675292969e+00,5.284190177917480469e-01
-1.510085821151733398e+00,3.412855863571166992e-01
-1.441403031349182129e+00,2.720547318458557129e-01
-1.380459785461425781e+00,2.472362965345382690e-01
-1.269434094429016113e+00,1.777378022670745850e-01
-9.011573791503906250e-01,1.700105890631675720e-02
-6.655126810073852539e-01,-3.139895200729370117e-02
-5.434938073158264160e-01,-6.246830895543098450e-02
-4.579933285713195801e-01,-3.759505227208137512e-03
-3.536190390586853027e-01,-2.799711190164089203e-02
-1.930341422557830811e-01,7.390737533569335938e-02
-2.444131113588809967e-02,1.407263278961181641e-01
8.793136477470397949e-02,2.365691363811492920e-01
2.531824409961700439e-01,3.164578974246978760e-01
2.787697017192840576e-01,3.761713504791259766e-01
2.960740327835083008e-01,4.301669299602508545e-01
4.329012632369995117e-01,5.369673967361450195e-01
4.590611159801483154e-01,7.223010659217834473e-01
5.867760181427001953e-01,9.964042305946350098e-01
6.881630420684814453e-01,1.196517229080200195e+00
7.808077931404113770e-01,1.288800716400146484e+00
8.281189799308776855e-01,1.602651119232177734e+00
9.965797066688537598e-01,1.952868819236755371e+00
1.112829446792602539e+00,2.188158988952636719e+00
1.513857841491699219e+00,2.919880867004394531e+00
1.706265568733215332e+00,3.416508674621582031e+00
1.861113190650939941e+00,3.655221700668334961e+00
1.959877252578735352e+00,3.865535974502563477e+00
2.024456262588500977e+00,4.094763755798339844e+00
2.159852981567382812e+00,4.081786155700683594e+00
2.200528860092163086e+00,4.053099155426025391e+00
2.240229845046997070e+00,4.003906250000000000e+00
2.340982675552368164e+00,3.902124643325805664e+00
2.368877172470092773e+00,3.690667390823364258e+00
2.341416120529174805e+00,3.643514156341552734e+00
2.358969449996948242e+00,3.625157594680786133e+00
