UMAP1,UMAP2
-9.466373920440673828e-01,6.624900817871093750e+00
-9.107206463813781738e-01,6.637251377105712891e+00
-8.416703939437866211e-01,6.736411094665527344e+00
-8.102868795394897461e-01,6.785039424896240234e+00
-8.143236041069030762e-01,6.880110740661621094e+00
-7.669254541397094727e-01,6.881413459777832031e+00
-8.040822148323059082e-01,6.931748390197753906e+00
-7.588399052619934082e-01,7.005411148071289062e+00
-7.647020220756530762e-01,7.062018871307373047e+00
-8.118655085563659668e-01,7.236691951751708984e+00
-7.840917110443115234e-01,7.238485813140869141e+00
-8.503196835517883301e-01,7.403543472290039062e+00
-8.006712794303894043e-01,7.392706871032714844e+00
-8.170800209045410156e-01,7.439613342285156250e+00
-7.935369014739990234e-01,7.567880153656005859e+00
-7.865440249443054199e-01,7.631914138793945312e+00
-8.420560359954833984e-01,7.757391452789306641e+00
-8.537626266479492188e-01,7.980105400085449219e+00
-8.703728914260864258e-01,8.106349945068359375e+00
-8.769326210021972656e-01,8.196767807006835938e+00
-9.358767867088317871e-01,8.457669258117675781e+00
-1.020643472671508789e+00,8.679042816162109375e+00
-1.104674696922302246e+00,8.781044960021972656e+00
-1.100839018821716309e+00,8.857693672180175781e+00
-1.178092956542968750e+00,8.958341598510742188e+00
-1.278558611869812012e+00,9.083642005920410156e+00
-1.292383909225463867e+00,9.129928588867187500e+00
-1.410989522933959961e+00,9.286024093627929688e+00
-1.530854701995849609e+00,9.456127166748046875e+00
-1.546277165412902832e+00,9.485349655151367188e+00
-1.613270640373229980e+00,9.484819412231445312e+00
-1.670623660087585449e+00,9.560260772705078125e+00
-1.661374568939208984e+00,9.611884117126464844e+00
-1.663842320442199707e+00,9.684351921081542969e+00
-1.761667132377624512e+00,9.739413261413574219e+00
-1.799093365669250488e+00,9.798608779907226562e+00
-1.838324189186096191e+00,9.923909187316894531e+00
-1.841722965240478516e+00,9.968484878540039062e+00
-1.784480214118957520e+00,1.009618473052978516e+01
-1.708147764205932617e+00,1.023129272460937500e+01
-1.610382676124572754e+00,1.030754661560058594e+01
-1.493212342262268066e+00,1.039691638946533203e+01
-1.385362029075622559e+00,1.046095657348632812e+01
-1.285017967224121094e+00,1.052974033355712891e+01
-1.116186261177062988e+00,1.043849849700927734e+01
-8.629398345947265625e-01,1.031591892242431641e+01
-6.675102710723876953e-01,1.025995159149169922e+01
-5.429165959358215332e-01,1.017702388763427734e+01
-4.195590615272521973e-01,1.009841442108154297e+01
-3.008033633232116699e-01,9.927491188049316406e+00
-1.919898092746734619e-01,9.718663215637207031e+00
-1.269743442535400391e-01,9.437755584716796875e+00
-9.621027112007141113e-02,9.266507148742675781e+00
-8.372215181589126587e-02,9.114762306213378906e+00
-1.754588447511196136e-02,8.948035240173339844e+00
4.085231572389602661e-02,8.823300361633300781e+00
-3.548806160688400269e-02,8.674211502075195312e+00
3.566595166921615601e-02,8.484265327453613281e+00
1.746532134711742401e-02,8.209742546081542969e+00
4.811723157763481140e-02,7.940305709838867188e+00
9.710862487554550171e-02,7.744698524475097656e+00
6.946695595979690552e-02,7.507419109344482422e+00
-5.669752880930900574e-02,7.429537296295166016e+00
-1.589579284191131592e-01,7.367824077606201172e+00
-2.215312570333480835e-01,7.351303577423095703e+00
-2.105941623449325562e-01,7.296409606933593750e+00
-3.137991726398468018e-01,7.221656322479248047e+00
-3.567157685756683350e-01,7.204123020172119141e+00
-5.716254711151123047e-01,7.099451541900634766e+00
-9.690672755241394043e-01,6.983713150024414062e+00
-1.081395983695983887e+00,6.970574855804443359e+00
-1.278351068496704102e+00,6.957670211791992188e+00
-1.455801725387573242e+00,6.931161880493164062e+00
-1.590694308280944824e+00,7.007119655609130859e+00
-1.701150536537170410e+00,7.171915054321289062e+00
-1.714486002922058105e+00,7.330561161041259766e+00
-1.720258831977844238e+00,7.474161624908447266e+00
-1.764183521270751953e+00,7.760898590087890625e+00
-4.269173622131347656e+00,1.036661243438720703e+01
-4.378303527832031250e+00,1.046867275238037109e+01
-4.391631126403808594e+00,1.051696968078613281e+01
-4.407487869262695312e+00,1.056107521057128906e+01
-4.413429737091064453e+00,1.061750411987304688e+01
-4.414056301116943359e+00,1.066556739807128906e+01
-4.398613452911376953e+00,1.077033424377441406e+01
-4.370662689208984375e+00,1.088250350952148438e+01
-4.339308738708496094e+00,1.096511840820312500e+01
-4.323322296142578125e+00,1.100658130645751953e+01
-4.304387569427490234e+00,1.104874706268310547e+01
-4.242711067199707031e+00,1.115674972534179688e+01
-4.210606098175048828e+00,1.120564651489257812e+01
-4.165497779846191406e+00,1.126249217987060547e+01
-4.133656024932861328e+00,1.130074024200439453e+01
-4.102391719818115234e+00,1.134368801116943359e+01
-4.074283123016357422e+00,1.136306571960449219e+01
-4.058514595031738281e+00,1.137229442596435547e+01
-4.017739295959472656e+00,1.139736938476562500e+01
-3.988548278808593750e+00,1.141731452941894531e+01
-3.951355695724487305e+00,1.143796062469482422e+01
-3.857174396514892578e+00,1.147770977020263672e+01
-3.830009937286376953e+00,1.149692630767822266e+01
-3.784410238265991211e+00,1.152037906646728516e+01
-3.782498359680175781e+00,1.152766895294189453e+01
-3.693207502365112305e+00,1.157756233215332031e+01
-3.606106519699096680e+00,1.162530517578125000e+01
-3.543306827545166016e+00,1.163873291015625000e+01
-3.545216560363769531e+00,1.164170742034912109e+01
-3.539363145828247070e+00,1.166266250610351562e+01
