UMAP1,UMAP2
1.041500282287597656e+01,3.668552160263061523e+00
1.041382217407226562e+01,3.694343328475952148e+00
1.045073986053466797e+01,3.669710874557495117e+00
1.049607849121093750e+01,3.853377103805541992e+00
1.061602592468261719e+01,4.192039489746093750e+00
1.148541927337646484e+01,6.179900169372558594e+00
1.155860614776611328e+01,6.427206993103027344e+00
1.162193012237548828e+01,6.692751884460449219e+00
1.169744300842285156e+01,6.821806907653808594e+00
1.206195354461669922e+01,7.170104503631591797e+00
1.213483238220214844e+01,7.265420913696289062e+00
1.215455436706542969e+01,7.291982650756835938e+00
1.218798828125000000e+01,7.397067070007324219e+00
1.222722625732421875e+01,7.497828483581542969e+00
1.224373531341552734e+01,7.509607315063476562e+00
1.227574729919433594e+01,7.560747623443603516e+00
1.231482315063476562e+01,7.617340564727783203e+00
1.228031635284423828e+01,7.763073921203613281e+00
1.228137874603271484e+01,7.832396984100341797e+00
1.227041339874267578e+01,7.947866439819335938e+00
1.214176082611083984e+01,8.404772758483886719e+00
1.206414699554443359e+01,8.974725723266601562e+00
1.210176086425781250e+01,9.154885292053222656e+00
1.211108875274658203e+01,9.211609840393066406e+00
1.211080741882324219e+01,9.333663940429687500e+00
1.210841846466064453e+01,9.454409599304199219e+00
1.205202960968017578e+01,9.576637268066406250e+00
1.202958869934082031e+01,9.677450180053710938e+00
1.199412441253662109e+01,9.712439537048339844e+00
1.195066452026367188e+01,9.725808143615722656e+00
1.194961929321289062e+01,9.760612487792968750e+00
1.185557651519775391e+01,9.836554527282714844e+00
1.170443534851074219e+01,9.948807716369628906e+00
1.158228206634521484e+01,1.005082702636718750e+01
1.143210220336914062e+01,1.015403652191162109e+01
1.139300251007080078e+01,1.023148918151855469e+01
1.127238273620605469e+01,1.027306270599365234e+01
1.116541767120361328e+01,1.029051113128662109e+01
1.102552032470703125e+01,1.030215835571289062e+01
1.076439952850341797e+01,1.030210399627685547e+01
1.035439491271972656e+01,1.020902919769287109e+01
