UMAP1,UMAP2
9.499371528625488281e+00,-1.025734782218933105e+00
9.593425750732421875e+00,-1.041913747787475586e+00
9.589457511901855469e+00,-1.059577345848083496e+00
9.616095542907714844e+00,-1.048849582672119141e+00
9.586287498474121094e+00,-9.851295948028564453e-01
9.613083839416503906e+00,-1.007865071296691895e+00
9.614914894104003906e+00,-1.007723450660705566e+00
9.674124717712402344e+00,-9.283505082130432129e-01
9.657187461853027344e+00,-9.124625325202941895e-01
9.725628852844238281e+00,-8.812621235847473145e-01
9.739994049072265625e+00,-8.538028001785278320e-01
9.762236595153808594e+00,-8.360503315925598145e-01
9.769351005554199219e+00,-7.885854244232177734e-01
9.831566810607910156e+00,-7.756447792053222656e-01
9.860857963562011719e+00,-7.368545532226562500e-01
9.911919593811035156e+00,-6.781595349311828613e-01
9.869508743286132812e+00,-6.440286636352539062e-01
1.041532230377197266e+01,-1.440099328756332397e-01
1.061568737030029297e+01,1.215856149792671204e-01
1.070980739593505859e+01,2.426922619342803955e-01
1.069820690155029297e+01,2.858959734439849854e-01
1.072073745727539062e+01,4.415202736854553223e-01
1.069674682617187500e+01,6.410174965858459473e-01
1.075885009765625000e+01,7.919533252716064453e-01
1.082430076599121094e+01,1.074983596801757812e+00
1.082825851440429688e+01,1.341999888420104980e+00
1.085143184661865234e+01,1.610675692558288574e+00
1.088206672668457031e+01,1.842045187950134277e+00
1.090253448486328125e+01,2.097925186157226562e+00
1.085685348510742188e+01,2.377624034881591797e+00
1.081860256195068359e+01,2.494096279144287109e+00
1.072834396362304688e+01,2.660587072372436523e+00
1.074819183349609375e+01,2.727077960968017578e+00
1.073746395111083984e+01,2.841935157775878906e+00
1.070862960815429688e+01,2.920063257217407227e+00
1.064464569091796875e+01,3.013550519943237305e+00
1.058297634124755859e+01,3.071972846984863281e+00
1.050843906402587891e+01,3.093448638916015625e+00
1.031251716613769531e+01,3.182163000106811523e+00
9.820049285888671875e+00,3.255336761474609375e+00
9.684055328369140625e+00,3.183353662490844727e+00
9.560506820678710938e+00,3.236706495285034180e+00
9.486477851867675781e+00,3.230675458908081055e+00
9.417088508605957031e+00,2.969742298126220703e+00
9.419132232666015625e+00,2.991921186447143555e+00
9.440340995788574219e+00,2.893556356430053711e+00
9.452670097351074219e+00,2.969832181930541992e+00
9.423315048217773438e+00,2.986261844635009766e+00
9.459942817687988281e+00,3.066020727157592773e+00
9.444238662719726562e+00,3.109621047973632812e+00
9.377438545227050781e+00,3.194921970367431641e+00
9.305610656738281250e+00,3.263853788375854492e+00
9.225985527038574219e+00,3.280534744262695312e+00
9.022395133972167969e+00,3.203356027603149414e+00
8.898030281066894531e+00,3.182948112487792969e+00
8.793880462646484375e+00,3.075952529907226562e+00
8.643436431884765625e+00,2.993612766265869141e+00
8.622733116149902344e+00,2.859593629837036133e+00
8.363681793212890625e+00,2.574541330337524414e+00
8.154013633728027344e+00,2.298936605453491211e+00
8.047293663024902344e+00,2.184540987014770508e+00
7.991901874542236328e+00,2.065371513366699219e+00
8.004573822021484375e+00,1.929021000862121582e+00
7.858785152435302734e+00,1.797758340835571289e+00
7.782927989959716797e+00,1.685669898986816406e+00
7.694998741149902344e+00,1.567633390426635742e+00
7.740295886993408203e+00,1.391590356826782227e+00
7.708171367645263672e+00,1.202523589134216309e+00
7.761000156402587891e+00,9.396814703941345215e-01
7.677809715270996094e+00,6.323752403259277344e-01
7.529304981231689453e+00,4.123766124248504639e-01
7.372136116027832031e+00,2.459727972745895386e-01
7.291335582733154297e+00,7.842883467674255371e-03
7.531275749206542969e+00,6.644316673278808594e+00
7.533369064331054688e+00,6.706925868988037109e+00
7.540716171264648438e+00,6.716615200042724609e+00
7.537721157073974609e+00,6.752473354339599609e+00
7.520609378814697266e+00,6.782528877258300781e+00
7.504591464996337891e+00,6.825187683105468750e+00
7.494632720947265625e+00,6.883073806762695312e+00
7.467818260192871094e+00,6.888072013854980469e+00
7.440165996551513672e+00,6.941230297088623047e+00
7.429195880889892578e+00,6.960664272308349609e+00
7.402078151702880859e+00,7.016061305999755859e+00
7.362034797668457031e+00,7.143357276916503906e+00
7.353840351104736328e+00,7.160559177398681641e+00
7.275585651397705078e+00,7.414285659790039062e+00
7.232532978057861328e+00,7.543630123138427734e+00
7.163200378417968750e+00,7.754409790039062500e+00
7.112953186035156250e+00,7.916333675384521484e+00
7.075951576232910156e+00,8.035083770751953125e+00
7.057851314544677734e+00,8.091102600097656250e+00
7.015284538269042969e+00,8.230861663818359375e+00
7.003855705261230469e+00,8.264832496643066406e+00
6.968263626098632812e+00,8.413605690002441406e+00
6.916167259216308594e+00,8.537978172302246094e+00
6.869831562042236328e+00,8.669028282165527344e+00
6.814869403839111328e+00,8.840637207031250000e+00
6.746136188507080078e+00,9.046977996826171875e+00
6.671928405761718750e+00,9.265333175659179688e+00
6.665925979614257812e+00,9.286748886108398438e+00
6.641729831695556641e+00,9.363792419433593750e+00
6.612994670867919922e+00,9.434370994567871094e+00
6.592443943023681641e+00,9.485106468200683594e+00
6.561676025390625000e+00,9.524963378906250000e+00
6.565430641174316406e+00,9.534755706787109375e+00
6.561570644378662109e+00,9.542715072631835938e+00
6.560379028320312500e+00,9.520963668823242188e+00
6.558596611022949219e+00,9.541589736938476562e+00
6.556574821472167969e+00,9.547883987426757812e+00
6.549428462982177734e+00,9.547808647155761719e+00
6.542506217956542969e+00,9.552196502685546875e+00
6.541438102722167969e+00,9.557805061340332031e+00
6.539937496185302734e+00,9.566752433776855469e+00
6.535853862762451172e+00,9.617457389831542969e+00
6.533644199371337891e+00,9.626470565795898438e+00
6.508416652679443359e+00,9.661554336547851562e+00
6.529280185699462891e+00,9.640281677246093750e+00
6.531954765319824219e+00,9.637803077697753906e+00
6.532238483428955078e+00,9.641909599304199219e+00
6.535627365112304688e+00,9.642885208129882812e+00
6.542510509490966797e+00,9.634211540222167969e+00
6.543660640716552734e+00,9.629732131958007812e+00
6.543550491333007812e+00,9.627754211425781250e+00
6.545564651489257812e+00,9.623114585876464844e+00
6.546601295471191406e+00,9.615712165832519531e+00
6.536455631256103516e+00,9.629116058349609375e+00
6.545374870300292969e+00,9.627449989318847656e+00
6.545550823211669922e+00,9.628927230834960938e+00
6.543769836425781250e+00,9.634030342102050781e+00
6.540161132812500000e+00,9.640579223632812500e+00
6.536343574523925781e+00,9.651211738586425781e+00
6.533537387847900391e+00,9.659992218017578125e+00
6.532414436340332031e+00,9.658278465270996094e+00
6.532534599304199219e+00,9.658960342407226562e+00
6.537974357604980469e+00,9.655273437500000000e+00
6.540053844451904297e+00,9.650007247924804688e+00
6.544250965118408203e+00,9.638736724853515625e+00
6.549697875976562500e+00,9.634920120239257812e+00
6.547667980194091797e+00,9.637282371520996094e+00
6.553133010864257812e+00,9.607891082763671875e+00
6.539695739746093750e+00,9.643396377563476562e+00
6.529015064239501953e+00,9.657149314880371094e+00
6.540191173553466797e+00,9.632803916931152344e+00
6.533103942871093750e+00,9.647374153137207031e+00
6.529535770416259766e+00,9.650237083435058594e+00
6.527318000793457031e+00,9.659856796264648438e+00
