UMAP1,UMAP2
8.945469856262207031e+00,-2.732473850250244141e+00
8.975970268249511719e+00,-2.737850666046142578e+00
8.930144309997558594e+00,-2.761636495590209961e+00
8.862230300903320312e+00,-2.743466377258300781e+00
8.994561195373535156e+00,-2.695110082626342773e+00
8.926900863647460938e+00,-2.673837900161743164e+00
8.946888923645019531e+00,-2.608665466308593750e+00
8.900707244873046875e+00,-2.628293752670288086e+00
8.926446914672851562e+00,-2.590020418167114258e+00
8.926090240478515625e+00,-2.586162567138671875e+00
9.012541770935058594e+00,-2.565149545669555664e+00
9.022584915161132812e+00,-2.550668716430664062e+00
9.028635978698730469e+00,-2.506580352783203125e+00
9.093018531799316406e+00,-2.416303157806396484e+00
9.047011375427246094e+00,-2.288858413696289062e+00
9.184064865112304688e+00,-2.217132091522216797e+00
9.279826164245605469e+00,-2.053730249404907227e+00
9.405657768249511719e+00,-1.962504267692565918e+00
9.490800857543945312e+00,-1.887540936470031738e+00
9.602171897888183594e+00,-1.753395318984985352e+00
9.718252182006835938e+00,-1.631279945373535156e+00
9.872254371643066406e+00,-1.478874087333679199e+00
9.950373649597167969e+00,-1.349191427230834961e+00
1.011569118499755859e+01,-1.256480693817138672e+00
1.022649860382080078e+01,-1.193464756011962891e+00
1.028253841400146484e+01,-1.105320215225219727e+00
1.044430160522460938e+01,-1.078593969345092773e+00
1.076537322998046875e+01,-9.612939953804016113e-01
1.110303306579589844e+01,-6.795506477355957031e-01
1.152577209472656250e+01,-3.074365258216857910e-01
1.174939250946044922e+01,-6.916950643062591553e-02
1.176653671264648438e+01,-4.047213494777679443e-02
1.191200733184814453e+01,9.612770378589630127e-02
1.194107532501220703e+01,1.484234482049942017e-01
1.203795242309570312e+01,1.782651543617248535e-01
1.206480598449707031e+01,2.931291460990905762e-01
1.212240791320800781e+01,3.894942998886108398e-01
1.213745403289794922e+01,5.730599761009216309e-01
1.204373550415039062e+01,6.958456635475158691e-01
1.201966571807861328e+01,7.572730183601379395e-01
1.197947406768798828e+01,9.780994653701782227e-01
1.169291687011718750e+01,1.103265166282653809e+00
1.160281848907470703e+01,1.053002119064331055e+00
1.150374794006347656e+01,1.207695960998535156e+00
1.165821075439453125e+01,1.271541595458984375e+00
1.168045520782470703e+01,1.252096652984619141e+00
1.170367145538330078e+01,1.306310296058654785e+00
1.164619064331054688e+01,1.355766534805297852e+00
1.166154384613037109e+01,1.412382483482360840e+00
1.161356067657470703e+01,1.549371719360351562e+00
1.149222850799560547e+01,1.676418781280517578e+00
1.123059654235839844e+01,1.753062963485717773e+00
1.071313762664794922e+01,1.734861373901367188e+00
1.038448715209960938e+01,1.656918644905090332e+00
1.019013118743896484e+01,1.520120978355407715e+00
1.010492897033691406e+01,1.519631147384643555e+00
9.816312789916992188e+00,1.365680694580078125e+00
9.481945991516113281e+00,8.774213194847106934e-01
9.421259880065917969e+00,8.128936886787414551e-01
9.342486381530761719e+00,8.291212916374206543e-01
9.231627464294433594e+00,7.688196897506713867e-01
9.052520751953125000e+00,5.176655650138854980e-01
9.020831108093261719e+00,4.943074882030487061e-01
8.975952148437500000e+00,4.092540442943572998e-01
8.910166740417480469e+00,3.880392611026763916e-01
8.823208808898925781e+00,3.684487640857696533e-01
8.698230743408203125e+00,2.310109734535217285e-01
