UMAP1,UMAP2
1.289936065673828125e+01,1.486749649047851562e+01
1.289921760559082031e+01,1.488271617889404297e+01
1.289488315582275391e+01,1.488096523284912109e+01
1.289435672760009766e+01,1.488010406494140625e+01
1.288357830047607422e+01,1.487415122985839844e+01
1.287997055053710938e+01,1.487114524841308594e+01
1.288474273681640625e+01,1.487811279296875000e+01
1.287906932830810547e+01,1.487101936340332031e+01
1.286743164062500000e+01,1.486263561248779297e+01
1.284541988372802734e+01,1.484350681304931641e+01
1.284025192260742188e+01,1.482878875732421875e+01
1.280093383789062500e+01,1.479588222503662109e+01
1.276754570007324219e+01,1.474184417724609375e+01
1.272996711730957031e+01,1.473052215576171875e+01
1.263470363616943359e+01,1.462577915191650391e+01
1.252604103088378906e+01,1.455261802673339844e+01
1.232101631164550781e+01,1.445888042449951172e+01
1.217707538604736328e+01,1.446055889129638672e+01
1.207939338684082031e+01,1.445721721649169922e+01
1.194727897644042969e+01,1.444327354431152344e+01
1.181862640380859375e+01,1.447565174102783203e+01
1.167999172210693359e+01,1.447827148437500000e+01
1.135126972198486328e+01,1.454809951782226562e+01
1.106840419769287109e+01,1.460435867309570312e+01
1.087940120697021484e+01,1.462312793731689453e+01
1.053193092346191406e+01,1.471552371978759766e+01
1.048354721069335938e+01,1.467658424377441406e+01
1.031535053253173828e+01,1.468369388580322266e+01
1.008472633361816406e+01,1.469792842864990234e+01
9.686772346496582031e+00,1.474070930480957031e+01
9.473269462585449219e+00,1.472123050689697266e+01
9.307779312133789062e+00,1.476737689971923828e+01
9.169969558715820312e+00,1.472094249725341797e+01
9.059462547302246094e+00,1.470463752746582031e+01
8.976161003112792969e+00,1.470002460479736328e+01
8.831231117248535156e+00,1.473304271697998047e+01
8.651642799377441406e+00,1.474161720275878906e+01
8.508999824523925781e+00,1.465147876739501953e+01
8.345124244689941406e+00,1.458138751983642578e+01
8.199554443359375000e+00,1.449409675598144531e+01
7.990077018737792969e+00,1.437814235687255859e+01
7.782153606414794922e+00,1.413586044311523438e+01
7.791299819946289062e+00,1.397380542755126953e+01
7.805367469787597656e+00,1.401961231231689453e+01
7.790426254272460938e+00,1.395051574707031250e+01
7.870861053466796875e+00,1.381116580963134766e+01
8.127987861633300781e+00,1.311491012573242188e+01
