UMAP1,UMAP2
-1.574366092681884766e+00,3.620360851287841797e+00
-1.508380293846130371e+00,3.582579851150512695e+00
-1.644882321357727051e+00,3.611887216567993164e+00
-1.531730294227600098e+00,3.624147891998291016e+00
-1.619906544685363770e+00,3.603987932205200195e+00
-1.611012816429138184e+00,3.612507820129394531e+00
-1.520572423934936523e+00,3.613497495651245117e+00
-1.476207494735717773e+00,3.586809158325195312e+00
-1.409698486328125000e+00,3.541344165802001953e+00
-1.498895287513732910e+00,3.566176176071166992e+00
-1.622537612915039062e+00,3.547779083251953125e+00
-1.606910586357116699e+00,3.464453458786010742e+00
-1.624440908432006836e+00,3.387567043304443359e+00
-1.652364015579223633e+00,3.263782978057861328e+00
-1.589410066604614258e+00,3.319988012313842773e+00
-1.559844493865966797e+00,3.310091257095336914e+00
-1.524380207061767578e+00,3.264387130737304688e+00
-1.499792456626892090e+00,3.102639436721801758e+00
-1.555240035057067871e+00,3.053583860397338867e+00
-1.541835069656372070e+00,3.025443792343139648e+00
-1.435528635978698730e+00,3.036777734756469727e+00
-1.580186963081359863e+00,2.774459600448608398e+00
-1.792159795761108398e+00,1.133447647094726562e+00
-1.824528813362121582e+00,9.034909605979919434e-01
-1.807962894439697266e+00,7.177233099937438965e-01
-1.820921897888183594e+00,6.329852342605590820e-01
-1.816163778305053711e+00,6.469105482101440430e-01
-1.876451611518859863e+00,6.250666379928588867e-01
-1.916201472282409668e+00,7.113099098205566406e-01
-1.988070368766784668e+00,7.427330613136291504e-01
-2.180903434753417969e+00,7.586790323257446289e-01
-2.293569803237915039e+00,6.136595606803894043e-01
-2.414317131042480469e+00,6.349267363548278809e-01
-2.529468774795532227e+00,5.864478945732116699e-01
-2.694396495819091797e+00,4.189613461494445801e-01
-3.023514032363891602e+00,1.146569103002548218e-01
-3.073995590209960938e+00,3.115784563124179840e-02
-3.144699335098266602e+00,-3.486717119812965393e-02
-3.112330675125122070e+00,-1.572901606559753418e-01
-3.054316759109497070e+00,-2.275884151458740234e-01
-2.932437658309936523e+00,-2.716019153594970703e-01
-2.795358419418334961e+00,-2.275370806455612183e-01
-2.521978378295898438e+00,-1.690541803836822510e-01
-2.396300554275512695e+00,-5.767349898815155029e-02
-2.255658626556396484e+00,6.392665952444076538e-02
-2.161422014236450195e+00,1.901509016752243042e-01
-1.892116785049438477e+00,4.461088180541992188e-01
-1.755424380302429199e+00,6.438340544700622559e-01
-1.462133407592773438e+00,9.207466244697570801e-01
-1.274613738059997559e+00,1.138268709182739258e+00
-1.088284015655517578e+00,1.367220878601074219e+00
-9.055913686752319336e-01,1.530822873115539551e+00
-7.873062491416931152e-01,1.667895555496215820e+00
-7.183378934860229492e-01,1.727788805961608887e+00
-6.018868088722229004e-01,1.935426115989685059e+00
-6.445463895797729492e-01,2.100633621215820312e+00
-6.510788202285766602e-01,2.261687040328979492e+00
-6.792370080947875977e-01,2.374089241027832031e+00
-7.165304422378540039e-01,2.402161359786987305e+00
-7.301530838012695312e-01,2.470855474472045898e+00
-5.533988475799560547e-01,2.679879903793334961e+00
-4.769467711448669434e-01,2.860023260116577148e+00
-5.646921992301940918e-01,3.024833440780639648e+00
-5.941575169563293457e-01,3.203485012054443359e+00
-9.698149561882019043e-01,3.557565212249755859e+00
-1.247911095619201660e+00,3.666317701339721680e+00
-1.314387202262878418e+00,3.668992280960083008e+00
-1.252460956573486328e+00,3.579724788665771484e+00
-1.190630078315734863e+00,3.349703311920166016e+00
-1.220624208450317383e+00,3.208006620407104492e+00
-1.209983348846435547e+00,2.946170806884765625e+00
-1.323453426361083984e+00,2.832942008972167969e+00
-1.407402276992797852e+00,2.631484270095825195e+00
-1.496096730232238770e+00,2.504484415054321289e+00
-1.560278177261352539e+00,2.312788009643554688e+00
-1.653278827667236328e+00,2.073902130126953125e+00
-1.820768237113952637e+00,1.823797583580017090e+00
-1.941257238388061523e+00,1.522015571594238281e+00
-2.066236734390258789e+00,1.405782580375671387e+00
-2.316023588180541992e+00,1.069706201553344727e+00
-2.380290508270263672e+00,9.817270040512084961e-01
-2.478911161422729492e+00,8.972542881965637207e-01
-2.692627191543579102e+00,6.292427182197570801e-01
-3.021711826324462891e+00,3.592988848686218262e-01
-3.197802066802978516e+00,1.674961596727371216e-01
-3.261602163314819336e+00,-8.518000133335590363e-03
-3.282188177108764648e+00,-1.047038584947586060e-01
-3.286922216415405273e+00,-1.167371198534965515e-01
-3.233063459396362305e+00,-2.956557571887969971e-01
-3.105830430984497070e+00,-3.853472173213958740e-01
-3.070920228958129883e+00,-5.048429965972900391e-01
-2.972501516342163086e+00,-7.095211148262023926e-01
-2.880047321319580078e+00,-8.331665992736816406e-01
-2.699821710586547852e+00,-9.869850873947143555e-01
-2.591221332550048828e+00,-1.095330119132995605e+00
-2.354149103164672852e+00,-1.121518731117248535e+00
-2.276143789291381836e+00,-1.046371459960937500e+00
-2.200815439224243164e+00,-1.083608508110046387e+00
-2.219871520996093750e+00,-1.092297911643981934e+00
-2.137580633163452148e+00,-1.130108952522277832e+00
-2.157981634140014648e+00,-1.134877681732177734e+00
-1.952113151550292969e+00,-9.760181307792663574e-01
-1.876641035079956055e+00,-9.941046833992004395e-01
-1.731589555740356445e+00,-1.061116099357604980e+00
-1.609119415283203125e+00,-1.153839707374572754e+00
1.859507322311401367e+00,-2.553255558013916016e+00
1.893269896507263184e+00,-2.560030698776245117e+00
1.981582880020141602e+00,-2.565033674240112305e+00
1.966527581214904785e+00,-2.534406900405883789e+00
1.947548389434814453e+00,-2.554088115692138672e+00
1.907184004783630371e+00,-2.605637788772583008e+00
1.922180294990539551e+00,-2.603376626968383789e+00
1.882723093032836914e+00,-2.619168996810913086e+00
1.770095944404602051e+00,-2.611205816268920898e+00
1.713776230812072754e+00,-2.602109670639038086e+00
1.530493855476379395e+00,-2.636730194091796875e+00
1.470375180244445801e+00,-2.609776735305786133e+00
1.312656998634338379e+00,-2.630288124084472656e+00
-2.352234840393066406e+00,-1.257123351097106934e+00
-2.297311544418334961e+00,-1.284483432769775391e+00
-2.282036304473876953e+00,-1.257123470306396484e+00
-2.283131837844848633e+00,-1.295846939086914062e+00
-2.263295412063598633e+00,-1.314034104347229004e+00
-2.208108425140380859e+00,-1.352358102798461914e+00
-2.134200811386108398e+00,-1.466648340225219727e+00
1.351704359054565430e+00,-2.668741703033447266e+00
1.426384329795837402e+00,-2.662359714508056641e+00
1.508867383003234863e+00,-2.667747735977172852e+00
1.544076681137084961e+00,-2.646631002426147461e+00
1.704890727996826172e+00,-2.626655578613281250e+00
1.814252018928527832e+00,-2.615973472595214844e+00
1.830363035202026367e+00,-2.576599121093750000e+00
1.874702930450439453e+00,-2.594275951385498047e+00
1.891829133033752441e+00,-2.597971916198730469e+00
1.906982779502868652e+00,-2.603235721588134766e+00
1.893351674079895020e+00,-2.631685018539428711e+00
1.847685456275939941e+00,-2.650659799575805664e+00
1.730764508247375488e+00,-2.672616243362426758e+00
1.609728932380676270e+00,-2.673408269882202148e+00
1.476271510124206543e+00,-2.686086893081665039e+00
1.341401457786560059e+00,-2.726382970809936523e+00
1.211228013038635254e+00,-2.783008575439453125e+00
1.173677563667297363e+00,-2.804622888565063477e+00
1.166509985923767090e+00,-2.807460308074951172e+00
1.195145130157470703e+00,-2.801362037658691406e+00
1.211128592491149902e+00,-2.778144836425781250e+00
1.266582131385803223e+00,-2.724682569503784180e+00
1.339226007461547852e+00,-2.701584100723266602e+00
1.403109788894653320e+00,-2.721880197525024414e+00
1.491623759269714355e+00,-2.688265562057495117e+00
1.540822863578796387e+00,-2.665122985839843750e+00
1.581407308578491211e+00,-2.638849735260009766e+00
1.694072127342224121e+00,-2.635939598083496094e+00
1.727746367454528809e+00,-2.625224828720092773e+00
1.870440721511840820e+00,-2.633406400680541992e+00
1.898646712303161621e+00,-2.627074718475341797e+00
1.914269924163818359e+00,-2.640124559402465820e+00
1.879675149917602539e+00,-2.671593427658081055e+00
1.850564241409301758e+00,-2.704149007797241211e+00
1.760370850563049316e+00,-2.769788742065429688e+00
1.705551862716674805e+00,-2.749640226364135742e+00
1.668885827064514160e+00,-2.739023923873901367e+00
1.408054947853088379e+00,-2.718183279037475586e+00
1.041270256042480469e+00,-2.699545621871948242e+00
1.011096358299255371e+00,-2.706314563751220703e+00
1.087370514869689941e+00,-2.678116083145141602e+00
1.283207416534423828e+00,-2.641560554504394531e+00
1.347048163414001465e+00,-2.535508155822753906e+00
1.388412714004516602e+00,-2.466984748840332031e+00
1.490652918815612793e+00,-2.529999017715454102e+00
1.744715809822082520e+00,-2.500895500183105469e+00
2.017558336257934570e+00,-2.496640920639038086e+00
2.213642120361328125e+00,-2.457477331161499023e+00
6.774254798889160156e+00,-2.552045345306396484e+00
6.897399425506591797e+00,-2.642338037490844727e+00
6.844784736633300781e+00,-2.723407268524169922e+00
6.724855422973632812e+00,-2.587703227996826172e+00
