UMAP1,UMAP2
-5.640214085578918457e-01,5.840467453002929688e+00
-5.973728299140930176e-01,5.836038112640380859e+00
-6.099967360496520996e-01,5.821787357330322266e+00
-5.874961018562316895e-01,5.822082996368408203e+00
-5.581042766571044922e-01,5.830696582794189453e+00
-5.304731726646423340e-01,5.760560989379882812e+00
-4.433742165565490723e-01,5.770775318145751953e+00
-3.863408863544464111e-01,5.831624507904052734e+00
-4.470599889755249023e-01,5.800863742828369141e+00
-4.842898249626159668e-01,5.786373138427734375e+00
-4.352404177188873291e-01,5.845797061920166016e+00
-3.566830456256866455e-01,5.901360988616943359e+00
-3.957244753837585449e-01,5.927185535430908203e+00
-3.096721172332763672e-01,6.065073966979980469e+00
-3.496753573417663574e-01,6.207538604736328125e+00
-4.284701049327850342e-01,6.354675292968750000e+00
-4.539111554622650146e-01,6.430728435516357422e+00
-4.946927726268768311e-01,6.845997810363769531e+00
-6.359024047851562500e-01,7.080274581909179688e+00
-6.491783857345581055e-01,7.440980911254882812e+00
-6.987516283988952637e-01,7.636223793029785156e+00
-6.701025962829589844e-01,7.784085273742675781e+00
-7.348651289939880371e-01,8.019822120666503906e+00
-7.870625257492065430e-01,8.311721801757812500e+00
-8.393180370330810547e-01,8.539841651916503906e+00
-8.780286312103271484e-01,8.803991317749023438e+00
-9.139791727066040039e-01,9.004435539245605469e+00
-9.224760532379150391e-01,9.337725639343261719e+00
-9.186149835586547852e-01,9.541103363037109375e+00
-8.911154270172119141e-01,9.675035476684570312e+00
-8.528788089752197266e-01,9.862360000610351562e+00
-8.261640071868896484e-01,9.971981048583984375e+00
-7.722386717796325684e-01,1.020461368560791016e+01
-6.794292926788330078e-01,1.035529708862304688e+01
-6.482864618301391602e-01,1.049942302703857422e+01
-6.713193655014038086e-01,1.056452465057373047e+01
-5.955060720443725586e-01,1.065270233154296875e+01
-6.214797496795654297e-01,1.065886211395263672e+01
-5.688489675521850586e-01,1.074490165710449219e+01
-4.286700487136840820e-01,1.082071685791015625e+01
2.417430430650711060e-01,1.124865913391113281e+01
4.926591217517852783e-01,1.124611473083496094e+01
5.391274094581604004e-01,1.123030090332031250e+01
6.904679536819458008e-01,1.098043155670166016e+01
8.224187493324279785e-01,1.080198478698730469e+01
8.667908906936645508e-01,1.075774288177490234e+01
1.006196498870849609e+00,1.069980525970458984e+01
1.028629660606384277e+00,1.059771537780761719e+01
1.033915758132934570e+00,1.058360290527343750e+01
1.025384068489074707e+00,1.057724761962890625e+01
1.006348133087158203e+00,1.051657772064208984e+01
1.104773998260498047e+00,1.049066352844238281e+01
1.254845261573791504e+00,1.035444068908691406e+01
1.372624993324279785e+00,1.030367565155029297e+01
1.498245596885681152e+00,1.021145915985107422e+01
1.626275658607482910e+00,1.000785827636718750e+01
1.713698267936706543e+00,9.827486991882324219e+00
1.757106900215148926e+00,9.646747589111328125e+00
1.851140975952148438e+00,9.451664924621582031e+00
1.899371862411499023e+00,9.234693527221679688e+00
1.975980997085571289e+00,8.996090888977050781e+00
2.061784744262695312e+00,8.725982666015625000e+00
2.084616661071777344e+00,8.431077003479003906e+00
2.140213489532470703e+00,8.328952789306640625e+00
2.171853542327880859e+00,8.255671501159667969e+00
2.259966850280761719e+00,8.070946693420410156e+00
2.301206111907958984e+00,7.991756916046142578e+00
2.288739681243896484e+00,7.730962276458740234e+00
2.228670597076416016e+00,7.592737674713134766e+00
2.231084823608398438e+00,7.451339244842529297e+00
2.128553628921508789e+00,7.256286621093750000e+00
2.059443950653076172e+00,7.182537078857421875e+00
1.831957578659057617e+00,7.197504997253417969e+00
1.146167993545532227e+00,7.332255363464355469e+00
7.805213928222656250e-01,7.586363792419433594e+00
-1.441711425781250000e+00,8.879403114318847656e+00
-1.580866217613220215e+00,9.033840179443359375e+00
-1.614747405052185059e+00,9.098391532897949219e+00
-1.701841831207275391e+00,9.253935813903808594e+00
-1.744663357734680176e+00,9.413945198059082031e+00
-1.813830852508544922e+00,9.536623954772949219e+00
-1.838258028030395508e+00,9.644416809082031250e+00
-1.877053141593933105e+00,9.748893737792968750e+00
-1.871290087699890137e+00,9.791925430297851562e+00
-1.885473012924194336e+00,9.891549110412597656e+00
-1.882371544837951660e+00,9.978035926818847656e+00
-1.836222290992736816e+00,1.022620964050292969e+01
-1.684987902641296387e+00,1.070544433593750000e+01
-1.646292567253112793e+00,1.101909351348876953e+01
-1.508064031600952148e+00,1.118858242034912109e+01
-1.506696343421936035e+00,1.133165740966796875e+01
-1.511305689811706543e+00,1.141455841064453125e+01
-1.453474879264831543e+00,1.150689983367919922e+01
-1.396601438522338867e+00,1.166251850128173828e+01
-8.461092114448547363e-01,1.269517803192138672e+01
-4.776212573051452637e-01,1.329702949523925781e+01
-4.361661374568939209e-01,1.336919212341308594e+01
-4.225625395774841309e-01,1.337912940979003906e+01
-3.154167830944061279e-01,1.349764537811279297e+01
-2.356517314910888672e-01,1.358275127410888672e+01
-2.313171476125717163e-01,1.359802913665771484e+01
-1.330589950084686279e-01,1.360141468048095703e+01
-8.837310969829559326e-02,1.363819408416748047e+01
-7.573827169835567474e-03,1.370541095733642578e+01
8.995588868856430054e-02,1.370967388153076172e+01
9.782072901725769043e-02,1.371918392181396484e+01
8.330395817756652832e-02,1.374136257171630859e+01
1.457757800817489624e-01,1.370563411712646484e+01
9.990467876195907593e-02,1.376197910308837891e+01
4.844651743769645691e-02,1.381429958343505859e+01
4.404018819332122803e-02,1.380124568939208984e+01
6.922152638435363770e-02,1.379390239715576172e+01
3.781097382307052612e-02,1.380515289306640625e+01
1.815030165016651154e-02,1.380904960632324219e+01
2.088719420135021210e-02,1.381383037567138672e+01
1.166354399174451828e-02,1.381374549865722656e+01
-3.620588406920433044e-02,1.386492824554443359e+01
-4.346327856183052063e-03,1.381192874908447266e+01
-2.584946900606155396e-02,1.379941177368164062e+01
-3.965941444039344788e-02,1.380235290527343750e+01
-5.004675313830375671e-02,1.379259777069091797e+01
-5.899258702993392944e-02,1.379146194458007812e+01
-6.203475594520568848e-02,1.376905250549316406e+01
-3.089731559157371521e-02,1.377988910675048828e+01
-5.937702953815460205e-02,1.377884864807128906e+01
-5.783350020647048950e-02,1.381088638305664062e+01
-5.303826928138732910e-02,1.382819175720214844e+01
-6.512027978897094727e-02,1.383083248138427734e+01
-5.878378823399543762e-02,1.382724952697753906e+01
-4.727155342698097229e-02,1.382906055450439453e+01
-4.106882959604263306e-02,1.382937717437744141e+01
-3.016697242856025696e-02,1.383061027526855469e+01
-2.764378674328327179e-02,1.382600498199462891e+01
-4.977817181497812271e-03,1.381267452239990234e+01
2.799102105200290680e-03,1.379899406433105469e+01
8.634324185550212860e-03,1.377608203887939453e+01
3.123814426362514496e-02,1.367508697509765625e+01
6.839385628700256348e-02,1.350791835784912109e+01
6.163320690393447876e-02,1.342697906494140625e+01
7.286436855792999268e-02,1.337555599212646484e+01
8.297365903854370117e-02,1.331568050384521484e+01
1.067274883389472961e-01,1.323043060302734375e+01
1.634414345026016235e-01,1.323332881927490234e+01
2.149409055709838867e-01,1.324063968658447266e+01
2.915376126766204834e-01,1.326186561584472656e+01
3.677958846092224121e-01,1.333024406433105469e+01
3.235736191272735596e-01,1.330486869812011719e+01
2.958297133445739746e-01,1.336255741119384766e+01
2.061083912849426270e-01,1.342929172515869141e+01
1.574547439813613892e-01,1.348531150817871094e+01
1.735367476940155029e-01,1.357752609252929688e+01
1.391413956880569458e-01,1.360789108276367188e+01
1.470535099506378174e-01,1.365660476684570312e+01
1.718458682298660278e-01,1.364613437652587891e+01
2.303531020879745483e-01,1.362085723876953125e+01
2.829017043113708496e-01,1.356843566894531250e+01
3.187274634838104248e-01,1.355894565582275391e+01
3.186638951301574707e-01,1.352509593963623047e+01
4.232389926910400391e-01,1.345588397979736328e+01
5.891014933586120605e-01,1.338904857635498047e+01
7.039679288864135742e-01,1.335446262359619141e+01
7.783722281455993652e-01,1.333981132507324219e+01
7.895703911781311035e-01,1.336010265350341797e+01
7.928819060325622559e-01,1.340359306335449219e+01
7.669206857681274414e-01,1.344178295135498047e+01
7.375606298446655273e-01,1.351164054870605469e+01
7.473159432411193848e-01,1.351109981536865234e+01
7.249428629875183105e-01,1.354137802124023438e+01
7.122232913970947266e-01,1.355624961853027344e+01
7.488964796066284180e-01,1.353701591491699219e+01
9.094858169555664062e+00,1.102886962890625000e+01
9.082398414611816406e+00,1.106108093261718750e+01
9.083376884460449219e+00,1.096043109893798828e+01
9.127261161804199219e+00,1.082063770294189453e+01
9.137300491333007812e+00,1.077698898315429688e+01
9.128842353820800781e+00,1.068828678131103516e+01
9.081407546997070312e+00,1.054411697387695312e+01
9.072984695434570312e+00,1.040505599975585938e+01
9.011552810668945312e+00,1.029703807830810547e+01
9.028010368347167969e+00,1.026813030242919922e+01
9.023783683776855469e+00,1.022157287597656250e+01
8.920670509338378906e+00,1.001469612121582031e+01
8.857551574707031250e+00,9.970295906066894531e+00
8.841716766357421875e+00,9.878756523132324219e+00
8.816487312316894531e+00,9.766341209411621094e+00
8.225028038024902344e+00,7.298129081726074219e+00
8.176890373229980469e+00,7.183196544647216797e+00
8.110655784606933594e+00,7.109498977661132812e+00
8.036896705627441406e+00,7.002545833587646484e+00
7.891529560089111328e+00,6.893055438995361328e+00
7.849374294281005859e+00,6.812327384948730469e+00
7.721728324890136719e+00,6.695450305938720703e+00
7.523292064666748047e+00,6.524394035339355469e+00
7.333919048309326172e+00,6.409616470336914062e+00
7.251393318176269531e+00,6.337672710418701172e+00
7.143188476562500000e+00,6.313332557678222656e+00
7.012367725372314453e+00,6.257251262664794922e+00
6.949662208557128906e+00,6.248264312744140625e+00
6.849218368530273438e+00,6.227784633636474609e+00
6.728065013885498047e+00,6.194408893585205078e+00
1.272061109542846680e+00,4.987546443939208984e+00
1.086808562278747559e+00,4.988813877105712891e+00
1.009297370910644531e+00,4.935636997222900391e+00
9.578617215156555176e-01,4.926472663879394531e+00
8.900978565216064453e-01,4.972279548645019531e+00
8.418611288070678711e-01,5.024778366088867188e+00
8.237933516502380371e-01,5.031996726989746094e+00
7.446122765541076660e-01,5.143786430358886719e+00
2.811126708984375000e-01,6.491061210632324219e+00
2.402942031621932983e-01,6.569056987762451172e+00
1.925239115953445435e-01,6.619163990020751953e+00
9.055113047361373901e-02,6.705585479736328125e+00
4.763366654515266418e-02,6.802776813507080078e+00
-2.580831646919250488e-01,7.062887668609619141e+00
-4.450238645076751709e-01,7.322185039520263672e+00
-5.708069801330566406e-01,7.516465663909912109e+00
-6.611423492431640625e-01,7.633861064910888672e+00
-7.541621327400207520e-01,7.730660915374755859e+00
-1.520776629447937012e+00,8.837911605834960938e+00
-1.610612988471984863e+00,9.029651641845703125e+00
-1.706157684326171875e+00,9.170002937316894531e+00
-1.759301066398620605e+00,9.276116371154785156e+00
-1.800129055976867676e+00,9.416250228881835938e+00
-1.844871282577514648e+00,9.505741119384765625e+00
-1.884587526321411133e+00,9.613762855529785156e+00
-1.909848451614379883e+00,9.716444969177246094e+00
-1.920669794082641602e+00,9.731696128845214844e+00
-1.936035990715026855e+00,9.811540603637695312e+00
-1.935195803642272949e+00,9.818434715270996094e+00
-1.946452498435974121e+00,9.816499710083007812e+00
-1.943246006965637207e+00,9.812141418457031250e+00
-1.949379920959472656e+00,9.811505317687988281e+00
-1.958270430564880371e+00,9.788722038269042969e+00
-1.967107772827148438e+00,9.813445091247558594e+00
-1.974793314933776855e+00,9.807518959045410156e+00
-1.982620716094970703e+00,9.862546920776367188e+00
-1.988047957420349121e+00,9.894091606140136719e+00
