UMAP1,UMAP2
-6.845003366470336914e-01,4.235302448272705078e+00
-6.946056485176086426e-01,4.244505405426025391e+00
-6.749889254570007324e-01,4.249904632568359375e+00
-7.417001724243164062e-01,4.329750537872314453e+00
-7.068053483963012695e-01,4.289785385131835938e+00
-6.463492512702941895e-01,4.271413326263427734e+00
-6.423714160919189453e-01,4.380879878997802734e+00
-6.464334726333618164e-01,4.426120281219482422e+00
-6.067686676979064941e-01,4.451065540313720703e+00
-6.152408123016357422e-01,4.463342666625976562e+00
-6.186790466308593750e-01,4.572867870330810547e+00
-5.691578388214111328e-01,4.610943794250488281e+00
-5.018662214279174805e-01,4.662772655487060547e+00
-5.155553221702575684e-01,4.776234626770019531e+00
-5.924263596534729004e-01,4.872300624847412109e+00
-6.575084328651428223e-01,5.099313735961914062e+00
-7.815194725990295410e-01,5.307075977325439453e+00
-8.222988247871398926e-01,5.447301387786865234e+00
-8.832765817642211914e-01,5.740971565246582031e+00
-9.312285184860229492e-01,5.915586471557617188e+00
-9.373887181282043457e-01,6.202470779418945312e+00
-1.040183782577514648e+00,6.381076335906982422e+00
-1.102793455123901367e+00,6.546500682830810547e+00
-1.153862595558166504e+00,6.735609054565429688e+00
-1.169923663139343262e+00,6.819781780242919922e+00
-1.213459849357604980e+00,7.024838447570800781e+00
-1.268408179283142090e+00,7.358838558197021484e+00
-1.250317215919494629e+00,7.633277416229248047e+00
-1.282790660858154297e+00,7.826422691345214844e+00
-1.241809487342834473e+00,8.089366912841796875e+00
-1.227428197860717773e+00,8.265258789062500000e+00
-1.156050562858581543e+00,8.436901092529296875e+00
-1.010274648666381836e+00,8.640402793884277344e+00
-8.140296936035156250e-01,8.933008193969726562e+00
-7.641327977180480957e-01,9.078702926635742188e+00
-5.567551255226135254e-01,9.245633125305175781e+00
-4.861901700496673584e-01,9.483981132507324219e+00
-3.438714444637298584e-01,9.584236145019531250e+00
-2.062482088804244995e-01,9.693904876708984375e+00
-3.018812090158462524e-02,9.683030128479003906e+00
2.977225184440612793e-01,9.608774185180664062e+00
4.719997942447662354e-01,9.556894302368164062e+00
6.211952567100524902e-01,9.541125297546386719e+00
6.932142376899719238e-01,9.517948150634765625e+00
7.125834226608276367e-01,9.494147300720214844e+00
7.046728134155273438e-01,9.381411552429199219e+00
