UMAP1,UMAP2
4.745437145233154297e+00,1.427907276153564453e+01
4.738296031951904297e+00,1.427476596832275391e+01
4.747261524200439453e+00,1.432223606109619141e+01
4.654707908630371094e+00,1.441374588012695312e+01
4.742778778076171875e+00,1.435804748535156250e+01
4.786803722381591797e+00,1.438658809661865234e+01
4.823144912719726562e+00,1.441330623626708984e+01
4.796529769897460938e+00,1.439347839355468750e+01
4.891893863677978516e+00,1.443328475952148438e+01
4.852244853973388672e+00,1.438686180114746094e+01
4.838198184967041016e+00,1.431678009033203125e+01
4.927392005920410156e+00,1.421607303619384766e+01
4.907186031341552734e+00,1.417355918884277344e+01
4.934628009796142578e+00,1.410822582244873047e+01
4.919971942901611328e+00,1.392786884307861328e+01
4.944334983825683594e+00,1.385885429382324219e+01
4.945547580718994141e+00,1.376174354553222656e+01
4.989529132843017578e+00,1.361737823486328125e+01
5.079094886779785156e+00,1.351171398162841797e+01
5.142394542694091797e+00,1.344248771667480469e+01
5.373792648315429688e+00,1.335706329345703125e+01
5.536490917205810547e+00,1.329126071929931641e+01
5.672604560852050781e+00,1.328661918640136719e+01
5.783995628356933594e+00,1.326176357269287109e+01
5.884973526000976562e+00,1.322969913482666016e+01
6.209468841552734375e+00,1.323391246795654297e+01
6.352194309234619141e+00,1.320215606689453125e+01
6.548199176788330078e+00,1.321642303466796875e+01
6.825297832489013672e+00,1.322238636016845703e+01
7.314880847930908203e+00,1.324578762054443359e+01
7.685174942016601562e+00,1.324268531799316406e+01
8.123882293701171875e+00,1.320102024078369141e+01
8.352106094360351562e+00,1.318253707885742188e+01
8.392230987548828125e+00,1.317500972747802734e+01
8.578826904296875000e+00,1.314197731018066406e+01
8.744474411010742188e+00,1.315180397033691406e+01
8.936389923095703125e+00,1.307894229888916016e+01
9.092957496643066406e+00,1.308794593811035156e+01
9.300513267517089844e+00,1.313430500030517578e+01
9.421665191650390625e+00,1.312161731719970703e+01
9.446950912475585938e+00,1.301210403442382812e+01
9.599468231201171875e+00,1.293347835540771484e+01
9.674512863159179688e+00,1.285572719573974609e+01
9.750636100769042969e+00,1.286769580841064453e+01
9.872909545898437500e+00,1.286891937255859375e+01
9.884088516235351562e+00,1.286912345886230469e+01
9.973806381225585938e+00,1.274429988861083984e+01
1.010428428649902344e+01,1.266153812408447266e+01
1.012801456451416016e+01,1.262315654754638672e+01
1.013003444671630859e+01,1.280187034606933594e+01
1.006744098663330078e+01,1.287823200225830078e+01
1.002360439300537109e+01,1.291029644012451172e+01
9.877419471740722656e+00,1.293780612945556641e+01
9.463172912597656250e+00,1.327140712738037109e+01
9.280551910400390625e+00,1.338501644134521484e+01
9.154965400695800781e+00,1.361910820007324219e+01
8.785822868347167969e+00,1.391371536254882812e+01
8.656805992126464844e+00,1.402990531921386719e+01
8.562227249145507812e+00,1.416576480865478516e+01
8.496076583862304688e+00,1.427048492431640625e+01
8.325679779052734375e+00,1.432560348510742188e+01
8.039797782897949219e+00,1.455789661407470703e+01
7.945458412170410156e+00,1.458657836914062500e+01
7.910552501678466797e+00,1.460767555236816406e+01
7.742873668670654297e+00,1.470546531677246094e+01
7.435091018676757812e+00,1.478835296630859375e+01
7.328011512756347656e+00,1.483423423767089844e+01
7.265034675598144531e+00,1.479694461822509766e+01
7.041479587554931641e+00,1.464045906066894531e+01
5.913020610809326172e+00,1.185558795928955078e+01
5.904469013214111328e+00,1.173969554901123047e+01
5.904429912567138672e+00,1.181892776489257812e+01
5.936371803283691406e+00,1.188833808898925781e+01
6.206815242767333984e+00,1.179926681518554688e+01
6.775084018707275391e+00,1.185333538055419922e+01
6.871552944183349609e+00,1.193708896636962891e+01
7.027693748474121094e+00,1.194044208526611328e+01
7.173403739929199219e+00,1.191194438934326172e+01
7.393309116363525391e+00,1.193431282043457031e+01
7.549199104309082031e+00,1.189482402801513672e+01
7.549798011779785156e+00,1.182988166809082031e+01
7.657876491546630859e+00,1.180187702178955078e+01
8.029006004333496094e+00,1.168329334259033203e+01
8.339394569396972656e+00,1.172084331512451172e+01
8.570836067199707031e+00,1.167248630523681641e+01
8.642130851745605469e+00,1.167001914978027344e+01
8.749296188354492188e+00,1.166048526763916016e+01
8.868913650512695312e+00,1.167975044250488281e+01
8.924261093139648438e+00,1.166762161254882812e+01
9.058196067810058594e+00,1.166939067840576172e+01
9.189591407775878906e+00,1.171967029571533203e+01
9.214935302734375000e+00,1.170349216461181641e+01
9.214102745056152344e+00,1.169673824310302734e+01
9.368031501770019531e+00,1.174218559265136719e+01
9.576107025146484375e+00,1.177437686920166016e+01
1.237036132812500000e+01,1.241944026947021484e+01
1.243502998352050781e+01,1.245168876647949219e+01
1.245758533477783203e+01,1.246509742736816406e+01
1.245507049560546875e+01,1.246937561035156250e+01
1.246215820312500000e+01,1.246971035003662109e+01
1.248314285278320312e+01,1.245905590057373047e+01
1.243630981445312500e+01,1.250472164154052734e+01
1.249312496185302734e+01,1.242723178863525391e+01
1.251560401916503906e+01,1.241617870330810547e+01
1.251425075531005859e+01,1.242324352264404297e+01
