UMAP1,UMAP2
-6.917298436164855957e-01,8.918322563171386719e+00
-6.987347602844238281e-01,8.950861930847167969e+00
-6.598926186561584473e-01,8.891870498657226562e+00
-7.058495283126831055e-01,8.863860130310058594e+00
-6.557055115699768066e-01,8.872407913208007812e+00
-7.117127180099487305e-01,8.876445770263671875e+00
-7.139419317245483398e-01,8.839742660522460938e+00
-7.885059714317321777e-01,8.768464088439941406e+00
-8.207300901412963867e-01,8.654664039611816406e+00
-8.658454418182373047e-01,8.538373947143554688e+00
-8.747105002403259277e-01,8.451466560363769531e+00
-9.255484938621520996e-01,8.429346084594726562e+00
-9.404078125953674316e-01,8.402955055236816406e+00
-1.029086112976074219e+00,8.311697006225585938e+00
-1.129466414451599121e+00,8.244215011596679688e+00
-1.238674402236938477e+00,8.107875823974609375e+00
-1.328419208526611328e+00,7.961244583129882812e+00
-1.477603435516357422e+00,7.820129394531250000e+00
-1.535938858985900879e+00,7.682948112487792969e+00
-1.590713381767272949e+00,7.666256427764892578e+00
-1.771952033042907715e+00,7.430296421051025391e+00
-1.839785814285278320e+00,7.237534046173095703e+00
-1.986337423324584961e+00,7.155242919921875000e+00
-2.047965526580810547e+00,7.047108650207519531e+00
-2.142804861068725586e+00,6.983135700225830078e+00
-2.343238830566406250e+00,6.757727146148681641e+00
-2.432159185409545898e+00,6.647558212280273438e+00
-2.574993133544921875e+00,6.434031009674072266e+00
-2.686103820800781250e+00,6.070736885070800781e+00
-2.750804185867309570e+00,5.896224021911621094e+00
-2.742313623428344727e+00,5.752183914184570312e+00
-2.794167757034301758e+00,5.695838451385498047e+00
-2.801558256149291992e+00,5.465606689453125000e+00
-2.773989439010620117e+00,5.128518581390380859e+00
-2.737438678741455078e+00,5.059324741363525391e+00
-2.674149513244628906e+00,4.936423778533935547e+00
-2.560868978500366211e+00,4.598345756530761719e+00
-2.552065372467041016e+00,4.409188270568847656e+00
-2.400087594985961914e+00,4.196754932403564453e+00
-2.254652738571166992e+00,4.077109336853027344e+00
-2.077867984771728516e+00,3.994402170181274414e+00
-1.982804656028747559e+00,4.056789875030517578e+00
-1.897234559059143066e+00,3.965931653976440430e+00
-1.842502951622009277e+00,3.982062578201293945e+00
-1.860273122787475586e+00,4.017806529998779297e+00
-1.845670580863952637e+00,4.013275623321533203e+00
-1.703677296638488770e+00,3.998234033584594727e+00
-1.657893419265747070e+00,3.938653230667114258e+00
-1.506063938140869141e+00,3.953976154327392578e+00
-1.534576416015625000e+00,3.902158021926879883e+00
-1.495957016944885254e+00,4.019896030426025391e+00
-1.442225098609924316e+00,4.012321949005126953e+00
-1.348173141479492188e+00,4.021327972412109375e+00
-1.247483372688293457e+00,4.222115993499755859e+00
