UMAP1,UMAP2
-2.547037899494171143e-01,1.414740371704101562e+01
-1.681503802537918091e-01,1.418706703186035156e+01
-1.863050013780593872e-01,1.407730865478515625e+01
-1.693706214427947998e-01,1.404615116119384766e+01
-1.179783493280410767e-01,1.400036716461181641e+01
-1.103017926216125488e-01,1.408391094207763672e+01
-1.234427765011787415e-01,1.405376720428466797e+01
3.805246204137802124e-02,1.395295810699462891e+01
5.663434788584709167e-02,1.394970798492431641e+01
1.346169710159301758e-01,1.383184337615966797e+01
3.541376069188117981e-02,1.381434631347656250e+01
5.054481327533721924e-02,1.375638294219970703e+01
-4.912861809134483337e-02,1.365105724334716797e+01
-1.085981056094169617e-01,1.365414905548095703e+01
-1.310340613126754761e-01,1.360037422180175781e+01
-4.215350002050399780e-02,1.357443141937255859e+01
-2.896193563938140869e-01,1.333790493011474609e+01
-5.421239137649536133e-01,1.318925762176513672e+01
-6.614137291908264160e-01,1.301461219787597656e+01
-7.980703115463256836e-01,1.290905952453613281e+01
-8.578155040740966797e-01,1.284137248992919922e+01
-9.748723506927490234e-01,1.269320201873779297e+01
-1.074667453765869141e+00,1.247039985656738281e+01
-1.142176628112792969e+00,1.237052249908447266e+01
-1.307458281517028809e+00,1.209247493743896484e+01
-1.403119683265686035e+00,1.179979419708251953e+01
-1.516680121421813965e+00,1.158010864257812500e+01
-1.605397224426269531e+00,1.135729408264160156e+01
-1.691679000854492188e+00,1.100482845306396484e+01
-1.868620872497558594e+00,1.040350341796875000e+01
-1.885401248931884766e+00,1.010961532592773438e+01
-1.921062946319580078e+00,9.918642044067382812e+00
-1.928263545036315918e+00,9.814845085144042969e+00
-1.892093181610107422e+00,9.768127441406250000e+00
-1.851992845535278320e+00,9.572720527648925781e+00
-1.822098374366760254e+00,9.432623863220214844e+00
-1.776825428009033203e+00,9.267128944396972656e+00
-1.695325255393981934e+00,9.098070144653320312e+00
-1.655389428138732910e+00,8.924026489257812500e+00
-1.639792680740356445e+00,8.955163002014160156e+00
-1.515891909599304199e+00,8.916371345520019531e+00
-1.468063235282897949e+00,8.903530120849609375e+00
-1.393930435180664062e+00,8.856900215148925781e+00
-1.379251956939697266e+00,8.868648529052734375e+00
-1.350804805755615234e+00,8.760670661926269531e+00
-1.312949538230895996e+00,8.786085128784179688e+00
-1.249021649360656738e+00,8.750479698181152344e+00
-1.117488384246826172e+00,8.593220710754394531e+00
-1.066074252128601074e+00,8.673666000366210938e+00
-8.114687204360961914e-01,8.718405723571777344e+00
-7.275512218475341797e-01,8.757534980773925781e+00
-6.115515232086181641e-01,8.845359802246093750e+00
-3.858120441436767578e-01,8.978166580200195312e+00
-1.375058740377426147e-01,9.252065658569335938e+00
7.162661105394363403e-02,9.447557449340820312e+00
1.669712215662002563e-01,9.561331748962402344e+00
2.327197939157485962e-01,9.637115478515625000e+00
3.244434297084808350e-01,9.849548339843750000e+00
5.462419986724853516e-01,1.003454494476318359e+01
7.863582968711853027e-01,1.029676246643066406e+01
1.011611938476562500e+00,1.054726886749267578e+01
1.227052569389343262e+00,1.085998630523681641e+01
1.364692807197570801e+00,1.106479454040527344e+01
1.456929087638854980e+00,1.122170734405517578e+01
1.568231105804443359e+00,1.138016796112060547e+01
1.572167277336120605e+00,1.159357547760009766e+01
1.532808661460876465e+00,1.170237445831298828e+01
1.487381219863891602e+00,1.180240917205810547e+01
1.447217345237731934e+00,1.207983398437500000e+01
1.345397472381591797e+00,1.227118778228759766e+01
1.344902992248535156e+00,1.237695407867431641e+01
1.350097060203552246e+00,1.239152050018310547e+01
1.118528127670288086e+00,1.232897663116455078e+01
7.865678071975708008e-01,1.223803806304931641e+01
6.522783041000366211e-01,1.207401275634765625e+01
6.649683117866516113e-01,1.202252197265625000e+01
5.646180510520935059e-01,1.183391571044921875e+01
3.714077472686767578e-01,1.154771041870117188e+01
2.990861535072326660e-01,1.142524051666259766e+01
1.985366493463516235e-01,1.111545372009277344e+01
3.101986944675445557e-01,1.047887229919433594e+01
4.007848501205444336e-01,9.961016654968261719e+00
3.559236824512481689e-01,9.837668418884277344e+00
3.270660340785980225e-01,9.533416748046875000e+00
2.554926574230194092e-01,9.498894691467285156e+00
2.690973877906799316e-01,9.214639663696289062e+00
2.312263846397399902e-01,8.947467803955078125e+00
2.215246260166168213e-01,8.720039367675781250e+00
1.062363088130950928e-01,8.405146598815917969e+00
7.123269140720367432e-02,8.292342185974121094e+00
-8.391227573156356812e-03,8.176883697509765625e+00
-6.096044927835464478e-02,8.051844596862792969e+00
-1.175586581230163574e-01,8.024436950683593750e+00
-2.475898563861846924e-01,7.946363449096679688e+00
-2.668530941009521484e-01,7.860723972320556641e+00
-5.560402274131774902e-01,7.618599414825439453e+00
-1.187792301177978516e+00,7.257414340972900391e+00
-1.355738639831542969e+00,7.189118385314941406e+00
-1.393417000770568848e+00,7.160902023315429688e+00
-1.413009762763977051e+00,7.122790336608886719e+00
-1.462337970733642578e+00,7.130611419677734375e+00
-1.508563160896301270e+00,7.093035221099853516e+00
-1.580115199089050293e+00,7.073861598968505859e+00
-1.539200544357299805e+00,7.070383071899414062e+00
-1.587706685066223145e+00,7.055827140808105469e+00
-1.577204108238220215e+00,7.060783386230468750e+00
-1.558067560195922852e+00,7.061167240142822266e+00
-1.561035752296447754e+00,7.055017471313476562e+00
-1.595077395439147949e+00,7.047884941101074219e+00
-1.586538076400756836e+00,7.065264701843261719e+00
-1.597067832946777344e+00,7.040981292724609375e+00
-1.613324642181396484e+00,7.046559333801269531e+00
-1.624753832817077637e+00,7.049236297607421875e+00
-1.654268026351928711e+00,7.023622989654541016e+00
-1.678674936294555664e+00,7.009874820709228516e+00
-1.690906643867492676e+00,7.022446155548095703e+00
-1.746200084686279297e+00,7.048763751983642578e+00
-1.756940364837646484e+00,7.051759243011474609e+00
-1.771846055984497070e+00,7.043627262115478516e+00
-1.767671346664428711e+00,7.049270153045654297e+00
-1.811303853988647461e+00,7.061331272125244141e+00
-1.826678156852722168e+00,7.062680721282958984e+00
-1.838284969329833984e+00,7.066157817840576172e+00
-1.867920875549316406e+00,7.076442241668701172e+00
-1.846138119697570801e+00,7.060442447662353516e+00
-1.905371904373168945e+00,7.176858901977539062e+00
-1.934834957122802734e+00,7.090046405792236328e+00
-1.922520995140075684e+00,7.129457473754882812e+00
-1.937302827835083008e+00,7.190706729888916016e+00
-1.994550824165344238e+00,7.216097354888916016e+00
-2.023296833038330078e+00,7.294718265533447266e+00
-2.044748067855834961e+00,7.343312740325927734e+00
-2.076999664306640625e+00,7.443634986877441406e+00
-2.155841827392578125e+00,7.549516677856445312e+00
-2.277218341827392578e+00,7.668036937713623047e+00
-2.359835863113403320e+00,7.747277259826660156e+00
-2.320086240768432617e+00,7.702431201934814453e+00
-2.198107481002807617e+00,7.619840145111083984e+00
-2.161537408828735352e+00,7.544298648834228516e+00
-2.020474433898925781e+00,7.610704421997070312e+00
-1.843468427658081055e+00,7.702699184417724609e+00
-1.794382572174072266e+00,7.699611186981201172e+00
-1.657463550567626953e+00,7.731605052947998047e+00
-1.567312598228454590e+00,7.663823127746582031e+00
-1.527910351753234863e+00,7.550040245056152344e+00
-1.504309892654418945e+00,7.477259159088134766e+00
-1.483862757682800293e+00,7.401534557342529297e+00
-1.443374037742614746e+00,7.333384513854980469e+00
-1.465006589889526367e+00,7.332206726074218750e+00
-1.468999385833740234e+00,7.328631877899169922e+00
-1.510315299034118652e+00,7.278656959533691406e+00
-1.503599643707275391e+00,7.256636142730712891e+00
-1.491701483726501465e+00,7.259671688079833984e+00
-1.492927908897399902e+00,7.286506175994873047e+00
-1.479287266731262207e+00,7.194429397583007812e+00
-1.450102090835571289e+00,7.176692962646484375e+00
-1.433768630027770996e+00,7.164152622222900391e+00
-1.363864302635192871e+00,7.213080406188964844e+00
-1.307448863983154297e+00,7.261953830718994141e+00
-1.276004076004028320e+00,7.357227325439453125e+00
-1.309191346168518066e+00,7.450718402862548828e+00
-1.350650668144226074e+00,7.522329330444335938e+00
-1.157422780990600586e+00,7.574831962585449219e+00
-6.118486523628234863e-01,7.850461006164550781e+00
-4.020215570926666260e-01,7.929502010345458984e+00
