UMAP1,UMAP2
-3.1624763,-0.04692468
-1.0757282,4.699907
-3.332578,2.3933148
1.1432996,3.955922
2.1359208,6.675871
1.6939487,7.0774894
1.6914328,6.6456394
2.1959019,3.8229406
-3.9312556,0.48864806
1.3209673,3.2605479
1.930595,4.361032
-2.299228,2.692192
-0.7756059,2.484435
1.8660895,5.338698
1.6839677,6.7410245
1.8474402,6.316644
-1.5844398,4.963984
-2.8909655,0.4926224
-1.8651824,1.334641
-0.59299105,2.4367542
-1.357428,6.271955
1.1380521,2.5377119
-3.7175205,1.9107455
-0.97679377,2.6122472
1.7914033,3.6845996
0.64546907,4.682768
-3.6159437,0.9250303
-0.8287809,2.60758
0.83647615,4.488997
1.9371561,4.5238967
-0.65344316,4.8960485
-2.2915318,1.7736381
3.5900648,0.8456648
1.9209963,3.6006844
-0.13893004,3.6693318
-3.887742,0.6101096
-1.2827815,2.129355
0.9378095,1.6195112
-3.7058232,-2.777424
-3.126915,-1.5213038
-0.7523039,-1.2135817
-0.19985573,-0.15965985
1.901928,1.0756776
-3.2644312,0.31889495
0.50382715,1.9336238
1.8846477,2.2732117
0.32692188,0.6040828
-1.4508086,1.7175015
-1.6178703,0.74996585
1.1595411,0.9977141
2.8045795,0.693043
2.3949602,3.9758618
2.2900083,4.6606545
0.19198167,4.847675
-3.182072,0.50560606
0.44478622,-0.39588833
2.399844,2.1396143
2.1560194,3.759259
-1.3869977,1.6305286
-2.2365692,-1.8672684
-1.979905,-0.7463214
1.1503966,2.6005943
2.5817058,2.3586857
4.4660406,-0.8710763
3.9893034,-0.1344565
4.749643,1.0105373
4.036636,-1.8349589
3.2687027,2.3057864
1.7136234,3.39418
1.477026,0.6082464
1.4189545,-0.13139753
1.0572014,-0.14806445
1.7278086,2.6699436
-1.4876121,3.6379602
-0.021336397,2.5627835
2.9148083,1.3691856
3.29212,-1.3588969
3.3682652,-0.5318813
3.5929754,-0.26449645
-1.7578773,-2.8125308
2.8668115,-0.39387205
4.280232,-0.03657107
