UMAP1,UMAP2
-2.447109,0.7574303
1.15676,5.117848
-3.5639668,2.4871862
1.6978372,4.2433352
2.176243,6.874333
1.8499345,7.2390494
1.7095221,7.022053
1.6528001,3.6987123
-3.8456466,0.5403743
1.5842552,3.2926824
2.5203502,4.5134425
-2.6676128,3.157341
-0.38986722,1.9542061
2.2712612,5.620748
1.6357265,7.172205
2.0181968,6.5837703
-1.484145,5.2711034
-3.0435572,0.4925542
-2.42538,1.7199984
-1.5834522,3.140849
-1.2873243,5.7321715
1.1131294,2.6583278
-3.038087,2.2026136
-0.376441,2.226498
2.0679984,3.5692074
0.96674585,4.400477
-3.4676838,1.1765062
0.06512346,2.3289235
1.8427272,4.5716023
2.78031,3.9221973
0.32004285,3.9468327
-1.5049301,2.1451042
2.7658436,1.5040803
2.14375,3.7773848
0.53229165,4.0570292
-3.7583237,0.90349984
-0.43907562,1.9808329
-0.95035934,2.0677624
-3.9307003,-2.0993774
-2.9536428,-1.0734881
-0.827853,-0.7806918
-0.17480741,0.091530025
1.4915756,1.3173349
-3.5181272,1.0596559
0.72720367,2.358898
1.5415782,2.8135002
-0.80992943,0.49934474
-1.9584627,1.6236306
-0.6689126,1.2638087
-0.12803787,1.3368745
2.3130577,0.8155439
2.7292824,3.6547346
2.9038372,3.8773282
0.9367123,3.886798
-3.1360557,0.8162317
-0.11331996,0.06299811
2.0598104,2.258745
2.327737,3.8467867
-1.067461,2.0007946
-2.2032478,-1.1946068
-2.1597366,-0.40072384
0.6220823,2.0644948
2.6755745,2.2179873
3.9288168,-0.3535994
3.428943,-0.027212625
3.9344928,1.6615453
3.3701077,-1.4762406
3.1139538,2.634318
1.9770383,3.485243
0.84506273,0.67725015
0.86681414,-0.0038146507
0.26548487,0.10025977
1.8174418,2.4424593
-1.2190439,3.5889454
0.3854636,2.6762228
2.9471486,1.3147055
2.646981,-1.3943185
2.6757233,-0.017091222
2.1253724,-1.476973
-2.3898368,-2.340433
2.534133,0.22080825
3.5222104,0.039750777
2.0546882,0.965023
2.4565277,0.45885205
1.5036311,-0.39536428
0.91266155,-1.6709293
