UMAP1,UMAP2
-4.026175,0.4466069
-3.4020767,4.730702
-4.243527,2.312373
-3.6989737,4.7448525
-3.2601054,7.3156567
-2.4731293,7.620212
-2.1833432,7.529775
-1.0216931,5.1773534
-4.468061,0.97432655
-3.5116308,4.1568074
-2.787762,5.123867
-3.5297453,2.5179362
-3.3503234,2.3975646
-2.9516456,6.4702344
-2.1928756,7.7183213
-2.4132407,7.298613
-4.041743,5.354061
-3.8813531,0.7577955
-2.759385,0.73146147
-0.68508244,2.1183326
1.6593146,4.256449
-0.8078987,2.6866474
-4.323149,2.2862968
-3.4865592,2.7849743
-0.46361938,4.2350698
-0.85247666,4.8178754
-4.2481365,1.1442453
-2.9044454,2.8335295
-2.8675797,4.9187975
-0.7777295,4.4125943
-0.61015904,4.051748
-2.3367481,1.429828
3.2033393,2.0979762
-1.9467325,4.526073
-2.5892403,3.927398
-4.3523073,0.7845721
-2.9648645,2.2464492
-3.6993315,3.0192041
-3.9540958,-2.439089
-3.6476576,-0.96551013
-0.35728285,-1.6507307
0.45607182,-0.67802364
1.6259494,1.5031887
-3.9672499,0.6259963
-2.7713988,3.055912
-0.2386363,2.8184023
0.8711295,1.130102
-2.275206,0.9176836
-2.7884924,0.02685528
0.09238698,1.1135056
2.8251686,1.09799
2.2213562,3.1422844
1.2884592,4.0096607
0.5808312,4.13148
-3.6244237,0.44217885
0.41423205,-0.7435417
-0.5523266,2.6974573
-2.8062804,4.796353
-3.8239162,2.9356086
-1.3288823,-1.3926548
-2.196722,-0.913501
-2.9110348,2.4849684
1.187746,2.1790667
5.4511266,-0.60574085
3.8643272,0.9073878
3.7554467,3.1039581
4.3122296,0.05072299
0.06946641,3.976246
-2.5833688,4.03671
1.1169698,0.4363331
1.520737,0.045987155
0.86935425,-0.083581425
-1.6685821,3.2872543
-3.6340075,4.340672
-2.8297355,2.684909
1.5244292,0.9490044
2.3282144,0.040064324
3.4911578,0.7560055
2.8346748,0.82274556
1.7080193,0.91068417
3.3418005,1.3636312
3.7998807,0.9732557
2.868509,-1.3307053
3.3328736,1.7012628
2.2568119,0.2840227
2.331809,-1.5228614
-0.9674007,1.8487105
-0.046641503,1.8260514
-1.0059699,0.15456973
0.7841875,-1.0540384
3.5043895,0.14425243
3.6459777,-1.0429734
2.2838457,1.2038714
3.406017,0.34664166
3.556648,0.1443079
0.4750745,2.8026989
0.4013995,4.8002067
0.43063238,5.2779336
0.51605207,5.3663077
0.14946972,4.8040023
-0.7823569,0.56950194
1.0762287,-1.4467596
1.7769369,-1.7292279
3.6523695,-1.1530316
4.432775,0.48895058
4.363646,0.6146367
3.9611294,1.9968185
-0.11674554,3.3409183
1.5404935,-2.0379188
2.082487,-1.0400864
1.2874893,-1.7332915
2.0353887,-1.1636826
1.5032797,-0.9456778
0.25294733,0.4648384
3.4537618,-2.1741362
2.6761262,-1.3370372
2.7214592,1.6429496
3.9288003,-1.9537727
3.9098806,1.855436
-2.5604274,3.9428966
0.25086668,4.5819774
