UMAP1,UMAP2
11.522429,9.222068
7.252808,9.564775
8.379674,8.132205
7.0274463,10.848321
3.1125238,10.206693
2.9240263,10.021978
3.0648155,10.044183
6.6512284,7.181927
12.071705,7.873598
7.4459558,11.22002
4.9301066,10.278226
8.787283,7.5150375
8.141767,11.089439
4.808075,10.33957
3.3539124,9.905202
3.472212,9.8607855
5.9036384,8.273629
10.539344,5.6903
9.972968,6.2283745
8.366698,6.3318133
7.5598354,3.6748857
10.423486,6.632568
11.085744,7.967701
9.078582,9.580783
6.47977,8.098684
6.812731,7.981339
11.552715,7.231404
9.712969,8.672328
7.184172,8.265414
7.3387794,4.816891
6.279918,6.9321113
9.715595,9.053567
7.591022,1.365704
7.883249,5.9990425
8.093247,7.171723
12.206543,7.641484
9.613085,9.503176
10.278717,7.452392
15.002587,6.681668
14.378083,7.3822684
12.975658,4.5421753
12.677601,3.9512787
11.122615,2.3367126
11.964736,6.542498
10.75018,3.0496016
9.300975,3.4170835
11.306851,3.5857174
13.293897,5.96281
11.187252,8.098552
11.039115,3.7475626
10.245505,0.9567702
9.1274805,-0.016847912
5.908426,7.7697067
6.6408734,5.711265
12.084216,6.251612
11.992439,3.4493988
10.012302,1.4706206
9.833831,1.6002035
10.778178,4.492523
13.299546,5.6663423
13.189808,4.621385
10.590246,1.3269755
10.156859,1.5101177
10.423696,0.6199481
9.013041,0.28285295
8.035999,0.15153109
9.196965,0.034938008
9.223091,-0.07184673
9.673296,3.439167
11.970933,2.954564
11.894132,2.7957888
12.634311,4.0208783
10.177255,1.4378453
8.951972,5.0209756
10.012334,3.5379045
9.766923,2.2322598
9.974822,0.788611
8.726673,0.013401435
10.044471,1.5713139
14.517707,5.185518
10.256479,0.6301414
9.298747,-0.063189544
11.4083395,1.9203275
9.47025,0.53376704
11.012733,2.0227337
10.102653,1.5885997
8.898076,3.8548763
9.126841,4.6408725
11.029617,6.071099
12.069219,3.1961052
10.068742,0.09917513
9.599379,-0.057078525
9.92395,0.44581246
8.665522,-0.2880087
9.192509,1.1416404
8.175192,4.205263
7.1806087,4.581666
6.378466,5.15657
5.904124,5.6410766
6.521652,6.459349
11.438079,5.7340083
12.051854,2.5737321
11.788184,2.0045927
10.120635,0.38493028
9.290713,-0.29140413
9.24696,-0.16583462
8.760625,0.5551353
8.565799,2.8192341
12.26644,2.5037494
11.427358,1.5199207
12.206311,2.5842078
11.871074,2.151384
10.991192,3.2061527
10.430314,4.18078
10.623996,0.7624579
9.592923,1.7298998
7.456951,2.804578
10.010916,0.476617
9.173466,0.43180132
8.505091,2.9242117
6.9959826,3.2530944
7.490755,2.4938798
8.823754,5.60618
11.874912,3.824633
12.786889,3.7584164
12.199448,2.5814006
11.813746,2.0967257
10.76883,0.9898556
10.327183,1.4447365
8.192153,4.0524974
9.966212,6.231795
9.465301,7.520806
10.010098,3.3911903
10.697407,0.92156404
10.486278,0.7085624
10.388197,2.7250245
9.951283,5.622066
12.374415,3.3403091
10.446414,0.95023894
8.774667,0.9146554
10.122767,0.690818
10.753524,1.099596
10.815591,1.0145099
10.950082,1.1209406
11.961616,2.6642544
12.728805,3.381256
10.702011,3.0358613
7.8450065,5.6485085
8.318974,4.1682363
12.087776,2.712269
10.348571,2.0244694
10.397027,1.3957969
10.491058,2.316848
9.467927,3.7258022
11.855569,2.121217
10.972591,1.1798605
10.450287,1.1596707
10.663127,1.0408434
10.20103,1.7883233
11.515218,5.29027
11.310174,2.4649222
11.540502,2.067407
12.147817,2.9334447
16.24611,7.9547343
10.20023,3.2255528
11.054252,1.2645198
10.811273,1.1686376
9.920778,0.43588015
9.247847,0.14119588
12.259292,5.606127
13.006213,3.9872315
11.034874,1.140035
10.061016,1.2444793
10.289325,1.930201
8.309209,4.4016185
12.902377,3.6256933
12.482655,2.8817978
11.229121,1.3235738
10.76319,2.625259
9.204602,5.3666325
8.787783,6.3204875
12.750375,6.9350467
12.89046,4.7834606
12.874721,3.9240873
11.759994,1.8422713
11.30476,1.498848
10.726963,1.9457054
11.324451,5.230287
11.59685,4.416202
10.363923,3.3803365
12.480504,3.668918
9.923205,2.8034856
11.161004,2.3508496
12.659011,4.1131945
9.981065,1.1211377
7.995507,3.4973767
7.907763,5.491041
12.034671,4.712157
10.532547,5.6325283
8.109644,5.5631332
6.262813,5.5325255
8.879437,4.0771985
10.107501,3.9902408
12.620568,4.089209
10.9587145,2.771164
8.408875,6.146333
11.924422,6.3902664
12.751859,4.996532
12.046813,5.114218
9.227312,3.5455637
6.1838183,2.3048093
5.8100414,2.8658693
6.2998104,5.1206374
6.921078,7.7647004
11.814655,6.2518253
10.529542,6.8588905
7.2812343,8.332231
5.902327,2.7808673
5.6443954,2.9296417
6.1678376,5.6617856
8.321546,8.754429
7.4047675,5.941397
6.3392673,5.430671
11.331536,7.5883365
11.93774,4.9428296
9.103931,8.273124
9.4526,6.44852
11.900281,6.233134
11.180286,6.07719
8.181924,9.067445
5.5813565,7.0294585
6.254332,7.730589
11.556831,6.9548697
9.015063,6.364759
6.226805,6.886849
7.5168233,10.073153
12.920724,7.0532613
12.9375305,7.1759353
11.964419,5.0869703
7.8162103,7.8708954
5.0050397,5.417851
7.1183696,7.820355
9.268837,7.9906716
6.9994636,5.130965
5.6910343,4.5316052
5.5380874,4.2850785
6.864225,5.8985596
11.429076,7.1097484
8.084938,7.48699
5.746311,5.4754395
10.858776,7.999962
7.9561334,9.407405
5.541164,8.9507675
10.8230095,8.127972
11.992989,7.7352176
8.802133,9.023629
7.6213245,9.4557
6.268427,10.409677
8.29554,7.034523
7.722791,4.907953
11.232512,10.942134
11.289955,11.772288
11.160636,11.537773
8.644755,9.608922
7.2311287,9.6216755
6.571486,9.737546
5.354908,10.278357
6.035747,10.439867
10.656641,11.618492
10.987235,11.0673065
11.47076,12.104751
11.302414,11.892398
8.768871,9.787303
7.726894,9.203895
8.403854,9.610509
6.7699165,9.634563
6.651852,10.081936
7.265574,9.722781
7.5355096,9.310763
8.049435,9.719956
5.2371116,9.642549
4.5226436,10.039565
9.225316,10.5123415
10.972163,11.069867
11.312348,11.732036
10.983983,11.054006
10.72915,11.001522
8.100355,9.378457
8.415344,9.295772
7.7045345,9.780852
5.8714776,10.437237
10.642315,9.140281
9.081868,9.068166
8.903119,8.970395
10.565285,8.808534
6.614576,9.456859
4.9786606,9.422755
4.44842,9.338518
4.0128016,9.031313
10.89358,7.732578
12.398507,8.566823
11.436252,8.709866
8.657233,9.700331
8.37782,8.24681
8.8806925,8.869288
9.0292015,8.577796
7.237959,9.496939
7.160153,8.324216
8.423548,9.328858
6.0715804,8.900731
7.103253,9.497247
6.0464463,9.0689745
10.898987,8.27528
12.193527,8.630485
8.500389,9.872715
7.112721,10.385373
8.364591,9.0217085
8.370942,9.915784
6.090299,9.184721
6.1306043,9.095223
3.9496357,9.0865965
4.5985475,9.730608
7.5767837,8.135227
5.756473,11.511665
8.390822,10.266361
8.415814,11.713696
6.271787,10.916733
4.571857,11.200469
4.300798,11.384442
7.4850407,10.801582
8.023547,10.931606
6.2066784,10.88076
7.3430724,11.137513
6.8186603,10.658247
6.0204463,10.946724
7.0743165,10.709483
5.4484673,10.634976
6.6135902,8.823954
8.445417,11.629852
8.532756,12.001063
7.3907104,10.586558
5.8249335,10.644755
6.113481,10.076842
7.013635,10.020591
8.316786,11.350868
8.37204,11.601769
7.196663,10.897897
5.6861672,10.665343
5.635308,10.645228
4.640183,10.736782
3.9940252,10.933319
3.982993,10.76582
5.148999,10.645881
7.141175,8.696186
7.258163,9.919843
6.9225373,10.243915
4.084933,10.151035
4.0568385,11.054462
4.034985,11.2753935
3.7648563,11.62349
4.0852833,10.982814
5.008535,9.343522
8.400847,8.765034
10.191057,9.290743
6.823793,9.614949
6.9677243,10.105223
4.8554354,10.68155
5.702974,10.835061
12.220742,8.189281
12.115796,7.9859385
9.452958,9.180388
7.042034,9.681729
6.31891,9.375817
6.8249345,9.778218
5.6368814,10.104648
8.472228,9.929566
12.993674,7.0012264
14.780206,6.1602454
9.212588,9.539142
6.186952,9.004427
8.770408,3.229944
12.498702,6.6777663
10.959419,4.0991006
11.9433365,7.609675
12.928029,7.0073953
11.662673,4.478683
10.659985,1.383227
7.312549,0.78208184
6.649342,1.4049959
6.728151,1.3999311
5.419918,3.0454779
5.6196923,7.854779
8.344407,8.005073
12.797212,4.3402333
10.292758,5.1556144
7.6098843,3.0685112
10.3572855,0.7520633
11.231341,3.002018
13.260165,5.1678133
14.062408,5.5096564
12.538822,3.7853765
10.827762,1.2958401
7.830193,0.42758086
9.768771,1.0323412
8.285713,0.95692015
7.4028296,4.156077
9.669708,5.7620964
9.835454,0.9424719
7.3127174,0.7901826
9.710079,2.2128568
12.243992,3.845871
10.579285,5.5008717
9.662563,2.5793839
10.409257,2.2648368
11.827512,2.6611464
11.877391,2.4877195
11.804096,2.4100769
10.383843,0.5903813
9.219331,0.019796675
8.103129,0.88112074
10.446218,3.5969727
12.467305,3.693593
11.869391,2.561983
11.408896,1.8428822
10.138647,0.41457713
9.586598,-0.018713262
11.452168,3.2835968
13.118957,5.0494037
15.11785,6.1776137
13.422245,6.2234206
11.373326,4.4869666
8.822773,2.8777828
10.395612,5.6218567
9.834916,1.6485286
8.87793,3.4745321
10.581594,5.071798
11.810265,4.0274982
11.565747,2.4458916
12.65984,6.412905
13.201015,4.9225426
13.995812,3.888175
11.656987,2.0966496
11.210411,1.4594513
9.830116,0.02189529
9.636302,1.0516399
10.852225,1.3006049
8.008872,0.28389964
9.68267,-0.039675225
10.092059,1.6996418
11.518823,4.6639876
14.045367,5.314111
13.409757,4.375919
13.621712,4.816652
11.367778,1.7273568
9.51286,1.702947
8.470843,2.223704
10.842263,1.9036025
15.553178,-0.43463826
14.450362,0.74137497
11.501785,1.6511072
11.012458,1.3793858
10.47629,1.7249936
11.594384,6.0304947
12.911992,3.9690106
12.535889,3.5755816
11.247516,2.6374812
10.050622,4.355701
12.96848,3.6296465
11.70334,2.0289001
11.921158,2.238035
10.657787,0.77460736
9.651383,0.70088583
10.215045,0.96133965
11.551642,2.588405
10.437474,1.0299219
10.82523,2.5229855
11.503193,2.2884371
11.804702,2.1915827
12.331952,2.7062695
12.326359,2.592848
10.689934,1.4938946
8.801255,1.5386666
11.646068,2.1876507
13.265126,4.2505345
12.806949,3.4329176
11.323402,1.1988558
10.268336,0.39516172
9.679315,1.3503609
8.6250725,2.2976158
7.963407,0.722903
8.684798,0.83269876
9.277562,0.3428706
8.514903,0.7756028
7.9469204,1.4879032
11.93264,4.7825847
12.977623,3.538153
12.276586,2.766674
13.180194,4.2494125
13.275341,4.2979665
12.85348,3.6886694
11.666954,2.1466026
10.536353,1.2796452
8.918305,1.5899225
8.347556,1.5749197
10.378234,0.7303033
11.029732,1.3791212
10.876022,2.451974
12.288376,7.6349826
11.049991,6.891241
8.673023,4.9039383
11.534583,2.221216
10.588325,0.92993194
9.700496,0.017226024
9.466656,-0.06845394
9.595929,0.029397825
9.585591,0.98041177
8.002085,1.3286288
8.572202,0.743637
9.399921,0.80733967
9.810058,0.37426665
10.2855425,3.0483983
11.581609,5.8829994
12.602173,3.2673533
12.311779,2.6848948
11.0083,1.1894053
10.906259,0.8976405
11.315651,1.7459011
12.484475,2.8777645
12.947769,3.5791285
11.32783,2.8647802
11.446151,4.9605
12.377647,2.604624
12.430801,2.5294554
11.07505,1.4536262
