UMAP1,UMAP2
10.916963,4.72658
6.2177234,4.4229765
7.7399077,3.0948498
5.7355027,5.329737
3.4087975,4.3622046
3.4641259,3.7368047
3.4129531,4.1669374
5.956263,2.6510618
10.720889,3.8456542
5.69815,5.507023
5.3619843,3.8581688
7.8421726,2.8821003
6.9595513,5.376461
3.862774,5.023658
3.3279827,4.6249537
3.3791075,4.736909
5.665323,2.5452034
10.649971,3.8181298
10.739552,2.6241946
7.930796,3.654837
7.1500397,1.2164826
7.6964803,3.4281995
9.444075,3.7024632
7.558865,4.729135
6.094877,4.3174243
6.307059,3.1767027
10.415888,3.2999487
9.438531,2.9764588
6.252732,4.261807
6.352896,1.7092758
6.0263886,1.3761292
8.451018,4.210053
9.25969,-2.3880317
8.128944,0.726518
6.221644,2.4916794
9.866712,3.8858879
7.997087,4.1509657
9.854189,2.4914489
13.852597,3.1303616
13.282653,3.851362
11.792839,2.0169392
11.219331,1.440513
7.673674,3.0912044
10.280555,0.042726785
7.601827,3.4836082
7.7598767,2.652693
9.609324,1.7852105
11.564327,2.8383377
10.636711,4.450993
10.398761,0.98090625
11.891868,-3.5368888
8.875172,-0.8692122
5.9816346,2.8301365
6.419931,-0.14284717
10.979192,2.1185443
11.218364,-0.4036126
11.474795,-4.1126156
7.8362026,1.129485
9.112181,2.2832415
11.985336,1.2834699
12.099336,1.0210147
12.225655,-2.778903
11.804459,-4.1053357
11.944832,-4.6296616
11.154537,-4.4380245
9.677586,-4.5792527
11.782601,-4.4964085
11.08524,-5.128402
8.405126,1.7141427
10.203327,0.870611
11.757533,-0.22718053
6.905817,0.9478739
6.5087304,1.6653117
7.210674,2.3668628
11.234387,-2.0356781
10.110385,-2.4720669
11.833795,-4.847223
11.1781645,-5.179971
12.148605,-2.8451185
14.379429,1.9146062
12.887363,-0.62300986
11.435265,-4.529591
11.515622,-3.3805516
9.148535,-3.1025183
10.00372,-0.035478283
10.283196,-2.441974
8.710727,2.4206324
8.932338,0.46065447
11.707367,2.4268885
12.255326,-0.26378468
11.821194,-4.7768407
11.080368,-4.6435537
11.700688,-5.0212636
11.361531,-5.206284
11.64497,-4.9912715
7.835856,0.23853876
5.9003234,-0.28253904
5.4424624,-0.20980531
5.383005,-0.21076125
6.102183,0.4350338
10.745322,2.0932305
11.955647,0.31958088
12.4753275,-1.8260407
11.879056,-4.8229
11.665242,-5.174293
11.781215,-5.0322413
10.776723,-4.1555643
8.472926,-0.36613998
12.2637205,-1.9379878
12.49348,-2.107066
11.569789,-1.3690456
10.66827,-0.2530486
12.104988,-0.48369443
10.747586,0.28322354
12.293889,-3.3818505
11.880562,-2.43407
7.326305,-1.1532077
12.094584,-3.871854
10.500413,-2.8842285
6.982269,0.84091455
5.889828,-0.31057027
5.846239,-0.33379427
8.308891,2.125303
11.660217,2.5723388
11.724555,0.7934459
12.321738,-0.3046814
12.299999,-2.114895
12.587468,-3.3662739
13.209138,-3.161705
9.943911,-0.38121855
10.194754,2.161503
10.623482,2.254752
11.439331,-0.22180235
12.382039,-3.9776766
12.212245,-4.3576393
12.505895,-0.9333635
11.140084,2.472043
11.817215,0.6331776
13.0736265,-4.279287
12.701286,-4.448467
11.964553,-3.5787647
12.487003,-3.038062
12.193835,-3.4661787
12.600369,-3.026622
12.055169,-0.90813106
8.498406,2.0756764
7.9437184,2.105741
7.758433,1.2768441
8.718051,-0.4579562
12.026402,-1.2765796
10.624901,-2.0721076
12.733776,-3.4760296
12.928798,-2.2762887
10.506552,-0.9682186
12.6647835,-2.494529
12.286606,-3.4522035
12.758831,-2.93069
12.267295,-3.2619953
13.0835,-2.853175
11.144361,1.9972314
12.389149,-1.5019253
12.150242,-2.4980652
12.27765,-4.314458
10.693624,0.14848702
12.681915,-3.1105893
12.490382,-3.6184394
12.412979,-3.5990086
12.640877,-3.6277173
8.128829,-0.80845004
11.806533,1.8809315
12.301787,0.20172961
12.306915,-2.0211387
11.321225,-2.272795
11.265471,-2.1153271
9.013024,-0.4013169
11.732658,-0.43278924
11.397273,-0.49637493
12.042966,-2.4073799
12.781175,-2.2356112
9.5559435,1.4400682
