UMAP1,UMAP2
11.12556,4.1127753
6.0926876,3.153964
7.47197,4.371836
5.621462,4.232024
3.3714104,3.4536066
3.3276665,3.1458127
3.8542135,2.981272
5.4541297,3.9328887
10.149663,4.5539756
5.484314,4.3860345
5.057059,3.9156752
8.037979,4.117608
6.854097,4.357083
3.5770242,4.0865006
3.1744134,3.6905816
3.1675627,3.7464144
5.581274,4.4324574
10.534963,3.4806097
9.788619,1.7572616
7.7434344,2.1552622
7.2403026,1.0148886
7.6190553,2.4056764
9.446994,4.5781035
7.527802,3.11507
5.487968,2.7842646
5.667748,3.319102
10.927151,3.4224424
9.46281,2.0742157
5.9988885,3.2445946
5.6483817,2.5667849
5.637487,2.6653597
9.606915,2.3381116
11.559841,-4.6906543
8.47997,0.59077615
6.0575986,3.7314756
9.98145,4.477834
8.2797575,2.9238932
8.403821,3.7711716
13.940225,2.8154678
13.297855,3.6102612
12.230606,1.2143296
12.071454,0.49623382
7.48336,2.0582836
8.810231,2.1453745
7.2781377,2.5759103
7.8012376,2.8862524
11.248578,-0.6013853
12.907215,3.3375447
10.022454,3.2668169
10.042598,0.5103185
12.923146,-3.17766
9.614734,-1.4565893
5.190212,3.0029624
6.152311,-0.1687619
11.222126,2.2359054
12.274319,-0.535882
12.873764,-4.032003
7.3779297,1.683866
8.346988,3.379
12.65875,0.77737457
12.78857,-0.062841676
13.269147,-3.5860083
13.63132,-4.2769575
13.655311,-4.4155397
12.691875,-4.2615786
10.644216,-4.8402205
12.923195,-4.2386866
12.806472,-4.8866143
7.624475,3.1210222
11.481097,0.2591832
12.426877,-0.5482308
7.682554,0.5331101
7.686214,-0.6875965
9.266413,0.19603
11.068135,-0.23196797
10.779279,-2.0129664
13.297338,-4.605026
12.796478,-4.911124
13.871429,-2.1071765
12.405575,-0.41998816
11.141899,-4.5594735
13.06396,-4.864781
12.756294,-3.2060897
10.793927,-3.9641445
12.536163,-2.6407695
11.871693,-2.529376
7.86114,3.176566
8.854473,0.10547977
11.241356,1.8933797
12.862432,-0.5755301
13.253445,-4.55908
12.698269,-4.018167
13.251037,-4.0399837
12.919921,-4.7958684
13.514016,-4.212989
7.5293927,1.2426839
6.370645,-0.8335913
6.127524,-0.71688586
6.118471,-0.7691985
6.2263947,-0.2964984
10.911748,1.7293516
12.491586,0.04512858
12.840569,0.04310743
13.488486,-4.706013
13.223808,-5.071135
13.211831,-4.859931
12.466473,-4.026437
7.743635,1.6389478
13.084226,-1.8610898
13.037496,-1.8150605
12.793544,-1.0583681
12.066653,-0.54346436
12.217828,-0.5403549
10.383091,-0.05497497
13.185048,-3.161418
12.260774,-2.438092
6.835897,-1.6506828
13.081276,-3.5611887
10.649252,-2.6492336
6.977141,1.0484055
5.856483,-1.33679
6.2273197,-1.0267856
8.060412,0.369809
12.110299,1.1054595
12.446071,0.07010687
12.959393,-1.054937
13.184456,-2.3566885
13.2371,-3.3680165
13.554077,-2.92729
9.671639,-0.24021761
10.201663,1.7524643
10.374526,1.6744329
10.8112,-0.44230556
13.247365,-3.4861658
13.196285,-3.8938148
10.449324,-1.0000347
9.8188925,1.3682575
12.3479395,0.0869472
13.979728,-3.9458504
13.478343,-4.4370522
13.001195,-3.3131838
13.33025,-2.8812592
13.065724,-3.3427029
13.359736,-3.2191458
12.966557,-0.8984477
8.585963,1.5353976
7.9564233,1.4177507
8.022492,0.23991148
9.154727,-0.97733665
12.864329,-1.4319228
11.788323,-1.9484605
13.401115,-3.2441247
13.617966,-1.5826312
12.219566,-0.34581837
13.164033,-2.0638103
13.153174,-3.0437596
13.320503,-2.8902893
13.130233,-2.7995234
13.621983,-1.993928
11.529858,1.5874327
13.008339,-1.7293104
12.947681,-2.3613522
13.087441,-3.7619011
11.178714,0.28826877
13.373616,-2.3157637
13.302307,-3.25101
13.195025,-3.299876
13.255816,-2.943135
9.332821,-0.52265304
11.668818,1.6888343
12.909125,-0.062308874
13.156868,-2.420506
11.947883,-2.0334558
11.946339,-1.991649
9.397574,-0.93647766
12.596179,-0.60688835
12.510621,-0.55545634
13.0213785,-2.5306678
12.917884,-1.8996066
9.28376,1.1753513
8.897128,1.0340768
11.287602,3.5949488
12.371207,1.1536299
12.406891,0.25070277
12.997237,-1.5122982
12.987699,-2.4210331
13.398633,-2.89205
11.496685,1.6077353
11.804691,1.0388058
11.91101,-1.0054529
11.784894,-0.32649335
8.89902,0.1850849
12.820834,-1.4293689
11.988823,0.20219292
12.350703,-2.731449
7.810765,2.1719732
8.210666,-0.2668637
11.169812,0.618983
10.07673,0.52896124
8.897928,-0.3262954
7.127685,-0.43483225
8.415657,-0.19339378
9.815807,-0.25248668
12.043289,0.23545206
12.727395,-1.3316722
9.274263,0.5249743
11.142201,2.7460997
12.075213,1.1361804
12.024345,0.4949015
9.192587,-1.2378057
7.305426,-3.1344445
6.0550885,-2.6958563
6.476991,-1.0833827
6.5454183,-0.33988324
10.848629,2.3073912
10.923314,0.9617658
7.17681,1.7937471
6.5383554,-2.7859068
5.995708,-2.6883233
6.370171,-0.50269186
10.140424,1.2710487
8.789979,-0.4438072
6.6931934,-1.1022662
10.807481,1.78519
11.417169,-0.30644163
9.890473,0.88629866
9.405506,0.5912242
10.797707,2.3042645
10.55667,1.2510016
8.903987,0.51784164
6.4820957,0.47091565
5.7612534,1.5412917
8.908258,3.8294961
9.501965,1.2374789
6.8466344,0.78203106
7.761341,3.289896
11.4901495,2.5724912
11.019913,2.1489031
11.636237,0.7339302
7.3532844,0.7867153
4.7610908,-1.0668911
6.5070763,1.9096614
10.117213,0.8049783
7.342073,-1.3809443
5.8576026,-1.2498196
6.18529,-1.609733
6.4964747,0.9226442
10.381079,2.7383747
7.333874,1.9511243
5.113129,0.023158848
9.415185,4.460025
7.0266833,2.361396
4.499974,3.1615276
9.233818,4.8942246
10.295781,3.3601398
7.8036666,2.3398788
5.352747,3.6459591
5.7795753,4.4166894
6.9606514,1.9288672
6.174625,3.0334246
11.734538,4.6189637
12.211201,4.3396745
10.889027,3.6075287
7.64988,2.2762759
6.976589,2.360707
6.1448216,2.2450361
4.052123,2.735981
5.4731636,3.9163868
11.80724,4.7868733
11.432877,3.7751963
12.968442,4.184792
10.515185,4.254054
7.8200397,2.5893035
6.882151,3.3189147
7.2513385,3.3248453
6.141027,2.8481734
6.381843,3.3544323
6.31148,2.9586601
6.504371,3.475529
6.9138513,3.321243
4.910639,2.162431
3.374881,3.71745
8.112145,4.503589
8.494515,3.8913233
9.07866,4.3043723
8.354886,3.8578713
8.588159,3.9353926
6.7886434,3.5249798
6.780185,3.598407
6.589363,3.2675178
5.8301244,3.408354
8.734839,4.3467183
7.9283996,3.4127452
7.393669,3.4664776
9.60735,3.6431792
4.9579377,2.7695625
4.31778,3.0438673
4.2624564,2.4900813
3.2584534,2.7580311
9.231481,4.8811164
11.124202,4.1520214
9.905501,4.219449
7.144743,3.1596842
6.8760147,4.2170157
7.102417,3.4901817
7.3653274,3.3055706
5.818739,2.5797224
6.002394,4.193332
7.086183,2.5064702
5.0869327,2.7964847
6.5643506,2.5709035
5.107202,2.668583
9.924343,4.666038
12.183163,3.0799034
7.6152587,2.692669
4.7393603,2.673303
6.86873,4.472668
6.6263127,3.1741915
4.833716,3.080679
4.9620256,2.9870174
3.1913662,2.6053348
3.683142,2.9635725
4.571595,2.8184302
4.799462,2.6680796
8.385682,4.4918103
11.069294,4.394123
5.9384804,3.1687615
3.8576887,2.665024
3.381898,3.373882
8.905646,4.8046417
9.811374,3.7111437
5.4716315,3.1958447
8.668545,4.689339
6.911673,2.8423336
5.7700734,4.016319
6.3105445,3.2731588
4.994518,3.206693
5.8594875,3.5983021
11.008496,5.0607343
11.75064,4.604133
6.9413037,3.3462553
5.070078,3.1475756
5.769081,3.722641
7.037226,2.7724245
10.249957,4.8667836
11.025235,4.5053782
6.983223,3.14266
4.6918254,3.1086438
4.9355497,2.3244293
3.779978,2.6166458
3.0325365,2.6140418
2.9673722,2.6869118
4.101479,3.2710164
6.7386837,3.710922
6.927973,3.3700173
6.333257,2.168585
3.5822067,0.6308183
3.1548672,2.6116757
2.937981,2.9719667
2.5311449,3.0884545
3.3877678,3.1105032
4.2464886,2.390114
7.5643864,4.7510996
8.119771,3.09447
5.7610965,3.0180416
6.3013515,2.9261076
4.068526,2.4015684
4.7570295,4.0633616
10.652482,4.6781816
10.735753,4.3618326
7.73909,3.0526161
5.6511784,2.79525
5.059377,3.4151735
6.057735,3.3439932
4.354564,2.787816
7.6500716,4.682392
11.275388,4.2305274
13.7394705,2.6558094
7.464213,2.7278821
4.939935,2.7271452
6.247446,2.4251099
11.622566,3.3502464
12.577109,0.39166522
10.941833,3.6567144
11.757253,2.3531241
12.238803,-0.044043835
10.369517,-0.6438744
10.404544,-4.6916223
9.809951,-4.569514
9.787485,-4.5324636
5.9195685,-2.7575655
5.2989035,0.7335586
7.496865,3.779066
12.649289,0.05931264
11.336521,-0.16506402
9.42337,-1.4460706
12.587304,-2.7587214
12.123174,-1.0520428
12.760453,0.40352938
12.339009,-0.40666875
12.49125,-0.6564471
12.605591,-2.3252072
9.912007,-4.19044
12.469032,-4.0926895
9.433476,-3.427375
8.911359,-1.2119577
11.909156,-0.98885995
12.660965,-3.0399816
9.914414,-4.334533
12.062909,-2.6350296
11.582021,-0.19583671
12.021751,-0.74120086
11.182174,-1.7503489
11.165238,-0.15147705
11.73973,0.0011049112
12.403819,-0.6361726
12.330563,-0.7903673
13.237214,-3.7631433
13.198525,-5.052565
12.653512,-3.7702744
12.755681,-1.374698
12.7093725,0.07173971
12.9446,-1.4004259
12.531216,-1.4148315
12.80632,-3.4844663
13.322563,-4.5689735
13.421664,-1.1108352
12.472766,-0.30456316
13.071025,1.7428213
11.290524,1.4971966
8.433956,2.7005863
6.890888,2.5574236
11.34475,-0.41755033
11.127231,-1.1929159
7.429073,2.6624272
9.365949,1.7192239
11.432258,1.1183608
12.850579,-1.3662494
13.193778,1.5034674
12.197673,-0.16807985
10.557944,-2.3572564
12.869569,-1.9650367
12.90055,-3.4657485
13.207558,-4.637216
10.854819,-2.750681
13.122777,-1.9901118
10.537721,-4.2646565
13.097301,-4.3313212
12.396336,-2.424011
9.750301,-0.5306047
12.66629,0.8945134
12.625442,-0.08908352
12.320256,0.4933881
12.856013,-2.355863
12.487859,-2.076538
13.263297,-5.128079
13.246441,-3.7404554
12.83603,0.13329591
12.970515,-1.2020563
13.067284,-2.0897715
12.584992,-1.2568519
13.229256,-2.4613807
10.805804,1.8936962
12.675141,0.21622013
12.164098,-0.306132
12.747555,-1.1942496
10.538285,-0.3052998
13.141192,-0.382867
12.915249,-2.0167286
12.896198,-1.4941362
13.223889,-3.6834507
13.307939,-3.6073625
13.5040655,-3.2657993
12.735149,-1.7805039
13.151881,-3.1864831
12.974399,-2.1877742
12.799862,-1.034604
12.89328,-1.5213777
12.855454,-1.0129904
13.02781,-1.9339819
13.132319,-3.1829035
12.607474,-3.3888466
12.899106,-0.96591324
10.242082,3.0535338
12.469437,-0.2247275
13.1455765,-3.7534075
13.244868,-3.831621
13.549924,-3.360838
10.355831,-1.784664
13.151635,-3.986153
12.733638,-3.0855763
13.288442,-3.9628184
13.085851,-3.6901846
13.254279,-3.3978205
11.193915,1.5358915
10.18106,2.8751667
8.948787,1.6431583
11.681008,1.3381848
12.90869,0.6336988
12.422546,-0.34746444
13.202149,-2.4477262
13.286963,-3.7113187
11.746566,-2.2483156
13.003314,-3.7751102
13.07595,-3.419032
13.335782,-3.1346695
13.316279,-1.3555832
11.558366,3.5245552
10.160974,1.5286046
10.684838,-0.9652369
12.063725,-1.6557509
13.366825,-3.3682501
13.247772,-4.2872114
13.162366,-4.401636
13.17944,-4.092236
13.372262,-3.0559423
10.6725,-3.1030123
13.142711,-3.6661663
13.161525,-3.4965785
13.114257,-3.7329416
12.276921,-1.0267769
10.800992,1.4620601
12.509599,-0.65041006
12.439979,-0.8961417
13.183281,-3.2518747
13.085429,-3.8608582
13.328206,-3.0527928
12.902921,-0.5901339
12.784549,-0.3566328
12.598824,-1.7531892
10.248145,-0.7887189
12.598208,-1.2411057
12.641781,-1.4423652
13.284249,-2.404157
13.169274,-2.380327
13.057223,-3.0908883
13.173091,-3.8113449
13.076687,-3.9802058
13.222844,-2.5438588
10.10779,-1.6517736
13.34103,-1.6914134
12.925861,0.7449747
12.804727,0.0314628
12.374737,-0.60730755
12.598034,-1.9334961
12.250077,-1.2067049
11.538133,-1.7209817
9.1179495,-1.0872916
10.793902,-1.5739822
9.426369,0.41151035
11.2565,1.9817516
12.240372,-0.19712484
12.395961,-1.5425096
13.096318,-3.6571496
13.13282,-3.8863666
13.175392,-1.7241659
12.785267,0.023757756
12.857045,-1.9934407
12.14896,-1.8671899
8.43472,0.6752139
10.52793,-0.99066657
12.7734785,-1.4424057
10.872325,0.86024016
12.060936,0.22123362
10.2562685,0.14863153
10.292703,-0.77765423
12.406911,-1.6134015
11.960731,-1.4148726
11.1970825,-2.0567758
8.426415,-0.7030925
7.6660886,0.03724197
9.179187,0.6027886
8.987006,-0.55384374
7.7559147,-0.7083235
8.562549,1.2702878
11.976178,0.3323354
9.114587,-0.233831
10.349537,2.6932707
9.371162,0.8761327
8.542567,-0.29389134
8.379994,-0.5914071
8.096232,-0.30915037
9.273009,0.14237744
11.9865465,0.8624669
11.0186,-0.40728208
6.402422,-2.6741378
5.789762,-2.9623935
5.764567,-2.909458
6.053726,-2.6201513
8.290347,2.9248447
11.56107,3.0151825
11.55217,0.91754675
9.471637,0.3689327
10.654184,1.8031416
10.713665,-0.60057193
6.5786405,-2.1651304
5.775453,-2.5285664
5.916717,-2.0219896
7.080784,0.20482309
9.007762,1.2308707
7.337237,-1.0652581
6.36208,-2.0127823
5.8998775,-2.9538803
6.414663,1.1254344
9.982009,3.5416434
8.272817,3.0161402
6.5450463,2.4247377
2.4755502,4.3485794
5.912426,0.25156814
6.7780266,-0.33078197
10.956612,3.567464
11.834476,1.6724911
8.418667,1.3986012
6.768934,-0.4541063
11.047858,3.7139108
9.00613,2.53843
8.523861,0.5088038
9.029355,-0.46178675
9.065779,-0.5166183
8.892657,0.850862
12.343312,4.2022357
11.621911,3.6096458
9.813564,3.1061952
6.8389688,2.1298344
5.0108824,0.99614316
9.773051,4.7519765
7.7342834,2.7682648
4.5262713,1.6275257
4.0341706,-0.90704226
3.709542,-0.91338223
8.64763,3.9398563
6.6822276,1.7923237
5.7565227,0.57603043
6.3498707,1.7429293
3.84204,0.12502457
5.50897,2.3385048
8.033498,2.7555249
4.6907053,-0.13301294
4.838786,0.68319076
13.954876,2.6591625
10.446736,3.4241543
7.775822,3.9675977
12.09166,4.7579374
11.080238,3.8841932
6.917578,3.1699963
6.773849,3.253465
8.9471245,3.985921
4.9775844,1.9802752
3.9375277,3.2214355
9.964631,4.896544
10.028309,4.3957324
10.875682,3.837323
6.381483,3.010971
5.9891434,3.5231135
11.307598,5.0636797
9.85702,3.5614226
4.7086806,2.3672686
5.7663727,4.009443
10.768402,4.1927934
11.301076,4.170932
7.206495,2.7219865
4.9271035,2.795269
7.74735,4.4524817
9.995762,3.8518698
6.3256307,2.9031837
4.018475,2.6815007
4.235495,3.2935228
4.4928727,3.1451628
6.452591,3.6601903
9.504712,4.522679
