UMAP1,UMAP2
-5.0118957,0.6873596
-3.69616,3.7768602
-4.4964776,1.9672637
-3.5928648,3.8789356
-2.2410853,5.880461
-1.6017691,6.501919
-0.78127223,6.0648727
1.302765,1.3756622
-3.2644355,0.421019
-3.559758,3.9039967
-2.167895,6.2101016
-2.3877895,1.9569498
-3.8153324,1.4269538
-1.8441728,5.8498874
-0.82662636,6.494108
-0.6469353,6.410485
-0.42041287,4.1842446
-1.2795018,-1.0579935
-3.7544954,-0.5296173
-1.9724375,2.3762705
0.6598097,1.845508
0.7446622,0.4381821
-3.5398252,0.6418692
0.18275201,-0.6115661
3.4125261,3.0980642
2.688431,2.7656972
-2.3764675,-0.06096668
-2.7200537,0.32578012
-3.9282262,4.7291017
-0.008492987,2.6393273
1.7282586,2.5453777
0.0982377,-0.5388985
3.2399476,-0.47681296
0.047417413,1.749475
-2.5579588,2.7705767
-2.5255659,-1.9730004
-1.0192057,0.7548978
-2.5494704,1.4110111
-3.583645,-4.351055
-3.2343361,-3.5846462
-3.7649062,-3.842631
-1.741213,1.7742925
-1.5032147,2.338333
-1.7253348,-1.4536594
2.1013436,-1.4631792
3.4015827,-0.5009733
1.0113827,-1.0452207
0.84799474,-1.2927651
-0.582623,-1.6655197
0.9302253,-1.1515166
2.1671576,-1.5190272
3.3684723,-0.24406491
2.6869094,1.458343
0.4221575,2.8457692
-2.477575,-2.7131042
-0.08496758,-2.6467843
3.3304117,-0.81452274
3.1210403,-0.24709678
-2.2933404,0.32628843
-1.7314538,-2.6964684
-2.5170817,-0.33514175
2.475363,-1.5251945
3.4172046,-0.7840318
2.757991,-1.4832879
4.104179,-1.782485
4.349162,-0.8451555
4.9869566,-1.3241907
12.78199,0.7866265
12.805367,0.7841731
12.793339,0.78371507
12.783879,0.78914076
12.797427,0.7913127
12.815545,0.7984311
12.782901,0.7707455
7.765761,-0.4896907
4.043629,-2.7400177
3.8568714,-2.8060713
3.6684687,-0.44492427
1.9050697,-1.3877085
-0.24937469,-1.9989114
2.4915178,-1.6485933
4.320353,-1.3148909
3.8741324,-2.9291553
2.935769,-1.4344455
0.4935541,-2.6794662
3.1148598,-3.3603182
-1.112327,-0.78046817
-0.4315808,-0.4411249
-1.6888732,0.503836
-0.07270207,-3.3653018
2.6697114,-1.8472718
3.277228,-1.7538425
1.097696,0.28239575
1.2388526,2.6380413
2.8356488,-3.6504261
-0.74766326,0.5370181
0.20325983,3.5016954
0.8835039,3.7821639
0.88823193,3.8837433
0.27898538,2.860479
-2.353436,-0.034301158
-0.36630547,-3.7671146
2.5807183,-4.4977016
4.1765313,-4.008779
4.070254,-1.6420789
4.175014,-1.6405444
3.9608066,-0.55761904
0.5133085,0.8209925
-0.18126374,-4.0850215
0.7040916,-3.415457
-0.07836302,-3.4394972
0.69203335,-1.1785997
-0.89160895,-1.040423
-1.9123665,-2.3229167
2.799369,-3.124958
1.3318925,-0.31518897
1.0202122,-1.1009539
1.0856363,-3.2518504
0.891651,-0.41785517
0.759021,1.1718241
1.4199996,1.975711
1.5272955,3.2115738
0.104093194,1.4453074
-0.7149696,-4.071155
-0.83881974,-3.987527
-0.72339493,-4.012186
1.7414595,-4.248284
4.2169175,-4.4264364
3.6984274,-4.268929
2.106596,-2.6669352
-2.1375086,-1.8870777
-2.5137455,-2.3713405
-0.295494,-4.3260293
4.0195723,-4.619039
4.621142,-4.0185905
2.4913,-2.1617067
-2.367131,-1.1382304
-0.59663033,-3.3697283
4.8338017,-4.5022645
6.1668854,-3.249462
2.5579712,-3.1047697
1.5198145,-3.8434076
3.7088296,-3.4099395
4.9816036,-3.8960667
2.621301,-4.1595416
0.32050964,-4.1586432
2.3633454,-3.5445442
0.10499563,0.39312053
-0.59696823,1.4624773
1.8619556,-4.246997
2.1166472,-2.6065662
3.2243211,-4.591998
1.8369211,-4.5503416
-0.04893462,-3.4297278
2.5206177,-4.728362
3.274763,-4.831165
2.5313218,-4.7782083
3.4190214,-4.55656
1.4224325,-2.0469744
-1.0876762,-2.9630165
2.299958,-4.8929424
2.871891,-4.6221766
3.4197948,-2.7509682
1.15178,-1.2323976
2.8128092,-2.926975
2.7429123,-3.1940167
2.7698538,-2.6482809
2.0232618,0.29887977
0.80062336,2.5897937
-1.9543122,-2.2122648
-1.080503,-3.8663266
0.025624746,-3.9442942
2.545675,-2.8733299
2.8964136,-1.5785075
0.3038505,2.4583433
-1.279195,-2.6620667
-0.08055199,-3.9805717
2.2595582,-4.6480737
2.3402731,-3.3966138
-0.07969799,1.0616099
-1.441195,1.1908296
-2.9990299,-1.1579117
-2.4345016,-2.4467742
-2.1056573,-3.0344305
-1.4349557,-2.470915
0.4286745,-4.274872
