UMAP1,UMAP2
5.6084666,5.4599056
1.0319773,1.2133514
3.050791,1.6515007
0.34947607,-0.34272507
-2.0694392,-0.7334001
-1.8255239,-0.50930107
-1.4138871,0.5352955
1.0577153,-0.11883811
5.308312,3.303696
0.67212826,-0.86879516
1.4288827,-0.67120385
3.546423,1.7258793
3.1209052,2.6645267
0.008209556,-0.7944827
-1.8968028,0.048678648
-2.116823,-0.11529564
1.2380733,1.5514561
5.5226097,4.5199957
4.5186386,4.6082425
2.337243,2.623607
2.1177948,0.61019444
3.182393,-0.46682617
4.555037,2.471334
2.4001157,1.4552699
1.5321001,-0.0014139237
2.454034,0.006883795
5.7490005,2.7998855
2.390534,1.5721902
1.0554711,-0.44212976
1.7676133,-0.1788522
0.8138241,1.1996721
3.2386827,2.4124706
3.9480762,-2.570581
2.8347101,-1.713751
2.5150664,0.6640542
5.594279,3.6776116
2.6085744,2.4500787
4.0729246,0.8509392
7.1297283,2.71986
8.254568,2.5887034
6.8377633,0.99143535
4.371348,1.5251188
4.8198857,-0.8620303
5.6978626,1.7105252
3.4822872,-0.8583892
3.35711,-1.0766255
4.9909444,-0.9636259
6.032377,1.7323633
3.8166466,2.475197
4.7824125,-0.042859573
5.6765676,-2.3966482
4.140082,-2.2611573
1.7673898,0.07911915
0.71670514,2.611036
6.485255,2.3919024
6.176151,-0.9463134
4.755033,-2.372997
2.2684433,-1.1924096
4.571153,0.16559964
7.4399047,1.5546986
6.100197,-0.07738641
5.68566,-2.262814
4.5012226,-2.2060935
6.5836034,-3.472811
4.961867,-3.292738
4.163654,-3.3491507
5.783856,-3.630706
5.2748566,-3.0127985
3.834937,-0.5390193
5.7992816,0.108741425
5.747658,-0.6464817
6.387539,0.9172678
3.5655136,-0.566678
2.7754965,1.0434806
3.4228423,0.052649427
4.7445374,-2.415755
6.500536,-3.3430016
5.2781844,-3.5909243
6.4161754,-1.839149
5.874172,0.88937956
5.6464686,-2.5510416
5.9547334,-3.7147977
6.006724,-3.1470547
3.2411592,-1.5938964
