UMAP1,UMAP2
9.754169,-1.1057416
5.1057653,0.20963515
7.964888,0.29283175
5.112489,0.02041848
2.497392,3.2420502
2.0543506,3.596969
2.1314814,4.400484
6.2096562,3.4181917
8.507821,5.1311765
4.415006,0.96448165
4.0794654,2.4906836
7.366926,1.2138168
7.4919643,1.0313802
3.382973,2.9268472
2.4135022,4.4189696
2.8070462,4.3620496
4.1674504,3.3459826
9.9351845,0.32546362
10.1033535,0.6149749
7.6033764,3.2898588
7.548723,4.733772
7.498459,3.4986775
8.378965,0.7122056
5.5076137,-0.08166566
3.778906,2.521846
3.9399288,2.7148035
8.993785,0.39448583
7.222946,1.2379713
4.31871,1.8826417
6.1679916,4.3076005
6.0698915,5.0068707
8.143447,2.5454376
9.448386,7.214128
6.9924846,4.7363834
6.1736965,2.7958698
10.511499,1.4405098
6.471905,0.29073915
7.142245,1.1801455
12.471133,0.10997371
11.513641,-0.87963605
9.95231,1.9474875
8.575095,1.9630641
5.7216496,1.1950746
9.381597,0.7820051
9.423557,4.231677
6.580067,5.1654325
10.366156,6.4777927
10.228101,2.4717157
9.443949,-1.2725732
9.069009,3.9370432
10.196975,5.1747575
9.482978,6.993616
6.550209,5.433162
7.6498027,4.6146913
10.122693,0.5820299
10.155223,3.4165595
8.669475,7.5306067
6.6339684,5.6066375
7.325009,1.6212969
12.600765,1.2325583
9.898846,0.11948061
10.392462,5.899048
8.611301,7.8702636
10.973873,7.130991
10.940293,7.9678063
9.796142,8.098268
10.805144,7.877319
7.440602,6.5153766
7.4145713,3.1330054
10.651697,3.8052568
10.131738,3.2943237
10.948897,1.2681884
10.650012,4.9969206
10.565463,5.7338905
8.312404,3.3530884
8.622943,5.5286183
11.419921,7.984779
9.820396,7.8449078
11.9137,6.89662
12.722531,2.267903
10.444501,5.9098954
8.629898,7.9238706
10.015699,7.265717
6.1234646,5.48908
10.520626,4.531049
11.531785,6.863562
9.162042,2.1242883
9.665343,4.512211
8.983073,2.1087825
10.905534,4.2563815
11.112686,6.939776
12.378567,6.748368
10.607582,5.72352
9.953208,7.0676365
11.5318,7.4061584
8.3667555,5.8368554
6.267765,5.934311
5.794313,6.7675576
6.198356,5.3615594
6.459183,4.827271
7.7994733,0.5730379
9.12041,3.1209545
12.3285055,7.042799
11.957826,7.8528614
11.585644,8.000606
11.9798765,8.058738
12.164538,7.845944
9.724082,3.856101
11.751816,5.0032487
12.313293,5.0777574
10.471576,3.5447598
9.987759,5.9201875
12.149655,5.8680425
9.480725,4.1543
11.793138,7.692274
10.881251,7.0937786
7.795406,6.333916
12.749122,7.1164527
11.647595,7.585745
8.888838,6.0882072
6.789194,5.806885
8.746526,7.2196517
8.405673,3.067911
10.801892,3.3416188
11.187907,3.9846182
12.872405,2.8946962
11.419454,5.8694077
12.142052,7.9316964
12.647611,7.560839
11.683881,6.4360204
8.904381,5.393791
8.655413,5.341006
9.014062,6.0307603
12.173439,7.344395
12.046567,7.2498126
11.195267,6.727976
8.20635,5.314471
9.003355,5.6972694
11.516412,7.4371924
9.057809,6.7210426
12.22125,7.298694
11.868283,7.3333282
11.854899,7.800628
12.147973,7.546063
12.322511,7.1482506
11.269301,6.305025
11.872441,6.858578
8.082109,5.215096
8.992932,6.2381253
11.420424,7.003277
9.060325,6.5190797
12.324215,7.7746196
11.867238,6.8052382
9.525209,5.725744
12.177307,7.509295
12.026036,7.675368
12.334091,7.471494
12.026071,7.581531
12.136455,7.0943227
9.76008,3.9470708
12.270279,7.376534
12.121879,7.5994306
11.523196,7.793745
9.15122,4.6710877
11.883021,7.173696
12.234428,7.708552
11.977631,7.647852
11.47302,7.1811013
7.3760734,5.2539344
10.749092,3.3104544
11.080951,3.1576061
11.581458,5.4662595
11.829303,7.161534
11.214292,6.957393
7.8890014,3.8724868
10.662189,3.0972683
10.968521,4.592323
12.323711,6.8348465
11.923743,6.7420597
8.310518,4.4926476
7.4510875,3.5130603
10.750801,0.42492247
10.853942,1.6564919
11.051276,2.4868135
12.310126,4.610468
12.080037,7.227628
11.667789,6.831617
9.204717,3.1429129
11.293823,4.0936728
12.108696,6.0643754
10.173559,3.5937064
10.636039,6.4029565
11.062295,6.2857647
10.2358,4.158131
11.9005165,7.6514053
11.169557,7.039554
7.416447,4.2262764
9.873424,0.18455671
6.9294295,3.4612615
6.7346015,3.9994166
7.0370345,4.756412
7.3465824,6.269663
7.8146157,4.3316455
10.5115385,4.22108
11.315875,6.859923
6.8523426,3.1737242
11.136271,0.5866922
10.802409,1.5469676
9.117556,2.9958134
7.4908996,5.125791
5.6980205,6.7177067
4.6653132,5.8970757
6.247893,5.034572
7.0092807,4.074393
10.532532,1.8863477
9.027431,3.06195
6.669685,4.448796
4.6654863,6.158827
4.6687922,5.8118043
7.039102,4.171028
8.754873,3.0281575
6.365765,3.709173
