UMAP1,UMAP2
10.753146,4.056703
5.942453,3.4173052
6.7671094,3.7413733
6.450882,3.845206
2.3649704,3.0488865
3.1989136,2.542033
3.7830334,2.1226718
7.790098,1.6218381
10.260234,4.134627
6.7090073,4.207253
4.561103,4.0193343
7.3385577,3.471483
7.62257,3.9460552
3.7807796,3.5615385
2.4726427,2.684352
2.3649943,2.8541167
5.0402193,3.003271
10.615575,3.5663786
8.441617,0.9589847
7.5596967,0.7839064
6.4278545,1.0089753
7.0717072,3.0729935
8.320043,4.45623
7.1626973,3.674594
4.8862877,3.3002145
5.5927024,4.2198124
10.172147,3.8239584
7.371556,3.5389948
5.1378517,4.0620637
5.5337625,2.920984
5.4190497,2.2548149
8.84529,2.5221505
8.107081,-2.8393824
6.0790687,2.5262387
5.2440534,2.874891
10.161163,4.316429
7.986027,3.6257331
7.4263477,2.1058047
12.4346285,-1.1987411
12.554942,3.3542073
10.898285,1.2685105
10.050174,0.3263046
10.862103,-1.6930488
9.561309,4.502274
6.9781227,3.57979
8.129048,1.5871688
12.396808,-0.55456275
12.060365,3.87292
10.836057,4.278106
10.963214,0.8466103
10.808135,-2.627936
10.715495,-2.605056
5.445572,3.224018
5.3349395,0.555542
10.076215,1.4965414
10.082915,0.026996097
11.077289,-2.3308868
10.455431,-0.6577205
7.5626206,3.4712965
11.98977,2.1868267
12.011608,2.1648893
11.086123,-0.5635189
11.459866,0.065084435
11.895761,-1.7998099
9.91742,-2.9915617
8.199581,-3.2504094
11.359944,-3.6315954
10.338063,-2.089882
7.4620585,4.163923
10.683946,1.6731466
11.39201,-0.17611194
10.818684,0.7405026
7.652642,2.8132794
5.9219756,4.1005473
7.050691,3.5097516
9.168061,0.3025699
11.411244,-2.342312
10.923774,-3.369941
12.089569,-2.0454962
13.199429,1.9036735
11.544505,-1.0828514
7.306083,1.167952
7.8430543,1.4383627
8.070187,-1.6332673
9.687551,-0.4524943
10.460373,-1.198269
6.88458,3.001551
8.00874,-0.13192247
10.68171,2.7064505
