UMAP1,UMAP2
11.194721,10.8858185
6.3572745,11.857951
9.103522,10.311593
7.28417,11.62058
3.7249248,11.566735
3.190588,10.986552
4.2256827,10.360135
6.959493,9.436427
10.421415,9.832324
7.348741,11.73776
5.929241,10.515378
7.841247,8.573131
7.8967032,11.778371
3.9967785,11.742134
3.076337,11.160821
3.5420449,11.692145
5.822043,9.266847
10.639465,10.436944
8.82903,9.460291
7.10297,9.960319
7.172322,6.455298
7.474872,9.418426
9.310426,10.118267
7.473261,10.988396
5.776463,8.136943
5.4213214,9.373456
10.033322,10.608367
7.5714207,10.142186
7.0356064,10.61354
7.291296,7.4958816
6.6520023,6.5720963
8.041617,9.2781515
6.4490705,4.86842
7.67325,8.539557
7.713934,8.919171
10.415514,10.60905
8.317899,10.990441
9.281928,5.917956
12.058717,8.812211
11.538768,11.775428
10.721845,5.7020087
10.34825,5.5845466
9.332378,5.4602
10.418882,7.647508
8.1371,6.63695
9.045981,7.42495
10.032078,8.42124
10.326961,9.977649
9.869571,10.974587
10.437495,5.8530307
9.47395,4.1890426
6.702498,7.391666
5.128297,9.604402
5.1872625,7.7286496
10.7596655,8.762381
10.716924,5.6823883
8.871918,6.55455
9.120784,9.873697
9.363585,8.91318
12.126823,6.495684
11.5623865,5.6731315
11.181133,1.7881137
12.079799,1.081454
11.673241,0.8811981
10.755805,0.9391897
9.477381,1.5924783
10.847978,1.2126899
11.043336,0.31790954
7.8238506,10.389581
9.4892845,7.8194556
11.1827345,5.481592
11.415662,5.632595
10.413479,3.7447674
8.34717,5.688095
7.766581,4.2472806
7.7005324,3.1100552
7.6905913,3.5301287
6.8737774,5.3739057
7.9455295,6.6835284
7.4477005,3.4495633
8.066493,3.0326908
8.706358,3.0409877
8.208355,3.4515905
7.966725,4.131458
10.47247,4.6842694
10.67114,3.455162
8.024479,8.229585
8.492051,6.5129056
10.409075,8.052199
11.663689,5.807682
11.104332,1.6086303
10.759109,1.929135
9.544305,4.026117
7.706059,4.096226
10.568151,1.795452
6.93177,7.3846297
4.4169793,6.746763
4.058973,6.777389
4.2035837,6.7689743
5.905748,7.4742846
10.382207,7.933886
11.223464,5.653996
12.148023,3.9574137
11.201703,1.1653965
10.797332,0.6112779
10.93336,0.63964003
8.997042,2.1695378
6.7409954,6.471659
11.882378,4.1300673
12.090786,3.9679286
10.595179,5.568058
8.616676,7.3106856
11.645602,5.0428147
9.019495,7.2608514
11.626979,3.3660965
10.42471,3.5574043
6.219517,5.549476
11.015503,2.0628855
9.841036,2.0931394
6.500086,7.618549
4.466044,6.703201
4.3384223,6.4923077
7.6333613,8.220793
11.890491,6.0407004
11.498345,5.4787555
11.869484,5.709911
11.718352,3.9047697
12.155963,2.8123558
12.173554,3.2654588
8.5240755,6.448562
10.027976,7.9937663
10.595137,7.7646046
10.409988,5.667214
11.416926,2.3344219
10.947357,2.0652077
12.041886,3.77963
9.91157,7.905111
11.851448,6.0084167
11.22108,2.1866252
9.638487,2.8853512
10.097247,2.845166
11.554109,3.2058153
9.47664,3.4272854
11.755923,3.5572424
11.982751,4.388847
11.646861,5.3256826
12.058647,3.3236272
7.8325715,7.276646
8.30622,5.135566
10.991239,4.930019
9.75392,3.8142521
12.127708,2.671587
12.673088,3.2597828
10.761158,5.4706655
12.400517,3.5226545
11.695434,2.7443094
12.168262,2.952596
11.3437605,1.476358
11.37592,4.1359057
11.035827,8.773074
11.664584,4.5471253
11.223029,1.5123106
10.867423,1.9364357
8.91332,10.567888
9.042963,12.702085
9.03959,12.833774
11.506112,2.5072782
10.70639,2.6560895
7.8890033,6.0944057
12.231599,6.5652523
11.844188,5.2643456
11.355079,4.096382
9.043282,3.535759
8.508948,3.7394457
8.169401,6.047358
11.474426,5.0587935
11.419759,4.989388
11.525598,4.08129
11.695172,3.4222605
8.016871,7.510489
8.756958,8.1963
12.827755,9.322147
12.086837,6.918455
11.636605,5.8641644
12.192886,3.6654727
11.553421,3.1012354
12.520935,2.8926342
13.654846,5.373213
12.335975,4.4453487
9.4047365,4.545476
10.754918,5.0940657
8.583543,5.8246875
11.2726555,4.7299714
11.529759,6.143228
9.465067,3.3563902
7.868019,7.219099
8.641429,7.08565
11.597724,6.6899104
10.255837,6.092095
8.397944,5.892437
6.7817473,6.7021127
8.16286,5.48666
9.060886,5.6158257
11.41135,6.1250367
10.826175,5.080405
8.713672,7.666303
11.472064,8.759096
11.957255,7.3379555
11.140316,6.523948
8.833721,5.6910443
4.7556667,5.5227036
4.3653216,6.0094705
5.859592,5.6675677
6.076554,6.497778
10.1389065,9.224601
9.799193,7.849994
7.1573257,8.717442
4.029522,7.9205728
3.597206,7.8457255
3.883571,11.870328
5.1663604,12.012111
6.93654,8.507424
5.669651,6.6357937
8.899028,10.125633
7.849791,9.144147
7.9082026,8.943094
8.175311,9.078526
10.05682,11.429382
8.389842,9.852874
7.274563,9.307988
5.522119,8.32348
5.7793407,7.978911
10.023811,11.465355
8.219868,9.896483
6.316391,7.976923
8.69135,6.7431703
12.097768,8.633124
12.416325,7.028965
10.972527,7.3553557
6.9861083,6.1622815
4.159057,5.593781
6.1492667,7.9516926
10.882118,8.275964
6.8618426,6.1103606
5.252109,6.205384
5.1607723,5.9891906
6.15279,7.4818215
11.103458,10.517822
7.456865,9.783264
5.324475,7.47065
10.429578,9.8677
7.446193,9.852225
5.398936,8.180227
10.115124,9.981357
10.693936,10.612868
7.5610995,11.164256
7.0254455,10.130334
6.4264216,8.582169
6.9056835,11.370849
7.2095723,9.516219
11.726447,10.639413
11.994813,10.860045
11.298343,10.801394
7.3979917,11.258985
7.2252564,10.621179
6.419543,9.661213
5.2398467,8.571729
6.2998347,9.435851
12.308174,11.671654
10.799272,11.944489
13.377536,11.911212
12.970422,12.023227
8.604398,11.278782
7.757878,10.510343
8.566888,11.318566
6.8500366,10.084537
6.680147,9.760732
6.853129,10.191666
6.80598,9.877931
7.4452057,10.683346
5.222461,8.546241
4.5578556,7.7310996
10.10123,10.561036
10.021073,11.773309
11.791016,11.913108
10.34201,11.85778
9.125635,11.701015
7.8059325,10.890762
7.6831746,10.778544
6.9095883,10.957291
6.2297993,10.562303
10.411284,11.233918
7.9608216,10.962856
6.7840953,11.35262
7.871063,11.311627
4.3351855,11.5989275
3.7892897,10.916336
3.7250223,10.84301
3.1161537,10.68492
9.826823,9.444909
11.541805,10.63536
11.231721,11.037381
8.190205,11.558597
7.681274,9.956746
7.382563,11.152595
7.4756927,10.224416
6.0052986,9.826104
6.3030524,9.637133
6.71269,9.184683
5.392708,8.26072
7.0067906,9.467631
5.4005375,8.142378
10.373998,9.800958
11.766345,10.608063
7.327753,11.666405
4.289001,12.339447
7.292139,10.549737
6.222338,12.37832
3.8459337,12.617276
3.856158,12.628301
3.117447,11.834083
3.7418146,11.815048
4.939118,10.740455
4.923011,11.804845
9.008035,9.647342
11.039361,10.94324
5.834568,12.133145
3.5411165,11.760055
2.5251281,11.954686
5.1521096,11.190885
8.364811,10.759803
5.5635414,11.99572
9.008193,10.405095
6.701217,11.538667
5.9382625,10.9724245
6.5779133,11.583745
5.0247526,11.275781
5.5794163,10.04702
11.15202,9.6870775
11.944524,10.393561
6.3686137,12.171365
4.715764,11.997258
6.1106586,10.529969
6.6458817,9.42714
11.135085,10.038474
11.262444,10.851043
6.891377,11.755794
4.698568,11.349361
4.0573606,10.783211
3.287051,10.908413
2.7150736,10.934169
2.7988882,11.140712
4.0673604,11.7469225
7.154656,10.74617
6.9237595,11.096498
5.7654366,10.937419
2.6840096,10.967704
2.4537578,11.179582
2.5446613,11.59722
2.447797,12.02272
3.0460987,11.024985
3.9514892,10.870887
7.9998946,10.05091
7.9467196,11.15102
5.751121,10.466258
6.168822,10.8227
3.7235546,11.044395
4.781199,10.761436
10.587853,10.512125
10.514964,10.680771
8.929912,11.520222
6.2146034,11.845258
6.427017,10.582705
6.686067,10.605622
4.4567056,11.801099
8.176735,10.132116
11.237355,10.557166
11.127316,7.5987782
7.092293,11.593184
4.9419465,11.798622
6.022343,10.540054
10.483152,8.53865
10.401678,8.540562
11.536846,9.186711
11.520005,10.1303
10.222983,7.099182
10.33591,4.3701243
7.261631,3.5195227
6.2778,3.9376583
6.206455,3.9746616
4.338143,6.0934043
6.325276,7.243983
