UMAP1,UMAP2
13.20789,10.570403
9.501599,13.766164
10.079623,11.539945
11.016747,13.411347
8.101283,15.624717
7.564009,14.593825
7.2824116,13.25758
10.054343,9.982158
13.58009,9.013074
11.00291,13.941155
9.034207,13.28678
10.111468,11.111603
11.495004,13.2571945
8.85284,14.385822
7.185395,14.182972
7.6246357,14.57811
8.151288,11.637066
12.264882,9.938186
10.421284,9.298521
9.406981,10.825952
9.145922,10.353577
10.685104,12.218506
12.019405,10.726121
11.395577,12.985341
9.119477,12.9106
9.045859,12.3769655
12.041453,10.0349245
11.558506,11.938571
9.765439,13.4974985
8.413634,11.923999
7.726378,11.143344
11.112743,12.136224
9.250289,5.828947
9.792789,9.857499
8.778074,12.119865
12.323811,10.225315
11.60745,12.841519
10.21852,11.508546
14.382413,8.342139
14.5827265,9.260206
12.299732,7.312577
11.530372,6.3319745
8.463401,10.257236
11.868321,10.948573
10.786403,13.129483
9.717622,12.667188
11.41877,8.676153
12.971723,9.452095
12.753112,10.898961
10.037976,6.9812903
9.687983,5.7991996
9.545751,8.070943
8.737351,12.4468155
7.776478,10.20356
11.432578,8.381126
11.316552,5.9082265
9.078162,2.8974717
9.803514,9.540303
10.769536,10.59862
12.609749,6.610632
12.506141,6.5705495
11.196734,5.104585
10.613992,9.937476
9.148022,3.0031812
9.201978,3.27668
7.589825,4.535812
9.544307,2.5963497
9.950721,4.9807043
10.328458,10.6494
10.874234,7.170919
11.969224,6.014664
11.829135,6.2235293
11.336354,10.538075
9.693721,11.986698
11.101326,11.366406
9.393579,6.593349
9.4875,2.7187023
8.922367,2.9892929
10.603976,3.2493002
11.550786,6.385121
8.162614,4.674641
8.931364,3.0782692
10.172677,3.6911056
10.05798,3.3899353
10.564674,3.7304497
10.630597,5.1701026
9.815885,9.956054
9.615813,8.672234
10.966602,8.103462
11.275664,5.5569215
9.81601,3.2937849
10.506811,3.6008308
10.369615,4.332777
9.460258,2.5129523
11.102394,3.4061477
9.116692,8.525302
6.6695514,10.050726
6.6468716,10.338922
6.6584077,10.316836
7.286429,9.648744
10.355229,7.930809
10.853753,6.8801346
10.944771,5.5888886
9.865975,2.1866653
9.622622,2.2114959
9.742621,2.2902024
9.847953,3.3170278
8.647395,8.527927
11.786157,4.9703474
10.551227,5.532316
10.901042,11.856429
11.092087,11.205662
12.042521,5.606212
9.968583,6.638868
10.007682,2.276985
10.093793,3.2894247
7.732661,7.119764
9.761582,2.3445535
9.680516,4.980756
8.655135,10.15972
7.7718277,7.368973
8.836617,5.544475
9.541925,9.884726
11.601939,4.411874
11.056136,3.4581823
11.757671,4.213463
11.057018,3.7763088
10.282759,2.4336083
10.866585,2.7160892
10.377233,5.1718473
9.500712,7.9134984
9.59444,7.8536453
9.674773,5.4590783
10.109742,2.546171
9.960539,2.3295567
10.515918,4.698647
10.616074,7.478584
11.587424,5.9326816
10.607234,2.5388427
9.074303,1.8884145
9.936531,2.6052163
10.394178,2.8329885
10.29477,2.9311688
10.183154,2.4743922
11.418124,3.955259
11.697449,4.754698
11.278084,4.43562
8.981356,8.983338
8.840375,7.396152
11.1682005,4.5811543
9.401517,5.2483177
10.52138,2.6609185
11.492351,3.2314265
10.968141,4.4991965
11.193573,3.248187
10.760472,3.188926
10.716178,2.8228176
10.5142355,2.8182929
11.243049,3.951931
11.449654,7.02578
10.868861,3.246671
10.637785,3.1843135
10.342799,2.888778
11.0192175,5.151945
11.294239,3.9960082
10.340014,2.668847
10.656213,3.0636022
9.732787,3.6434886
9.200156,7.533201
12.469089,6.3701305
11.880474,5.189383
10.705448,3.4217565
10.048289,2.814346
10.221885,4.028049
9.098836,6.926031
11.860875,5.581875
11.606469,5.112429
11.181066,3.678563
11.067674,3.4374602
9.856431,8.693165
8.849559,9.141399
13.103978,9.099282
12.249837,6.628372
11.646236,5.5389733
10.457372,2.8390229
10.175449,2.7841265
10.853278,3.2775974
12.075535,6.97723
11.4997225,5.2488813
9.966861,3.6602142
10.602244,4.2990885
9.561272,7.6831245
10.712983,4.1815705
11.6307955,5.923574
9.602499,3.5494232
8.384167,9.989349
8.361775,8.372505
11.84708,6.3464375
11.260076,6.388237
8.360295,7.5482993
7.489004,11.075797
9.310643,7.717632
10.464845,4.843428
11.167594,5.742512
10.342919,4.5818186
9.4278965,8.485492
12.679057,9.810548
11.9599085,7.6928287
11.437603,6.2012477
8.561513,6.4718685
7.841442,5.8775496
7.644137,6.071733
7.450315,8.359752
7.894487,8.895509
11.481318,8.598469
11.502759,10.236347
9.459036,12.931342
5.7340865,9.382922
5.8355823,7.8770046
8.077479,8.772958
11.651336,10.10635
9.293889,7.435906
7.146445,8.739113
10.831002,8.123228
10.413435,6.2045445
10.337818,11.465562
9.482034,8.545172
12.922385,9.337416
11.322135,6.7152486
8.046403,7.2979093
6.61214,7.8046765
7.6713715,9.199864
11.640484,7.98887
10.143794,6.1640363
7.6591563,9.761987
10.136812,11.41024
11.793887,8.5557995
12.736365,7.32511
11.508823,6.50746
8.530347,9.0882435
5.5872135,8.549195
7.7506022,9.660306
11.8247795,10.558431
7.3173327,7.918882
5.9071774,8.342841
6.2710586,8.325992
7.8059864,9.169499
11.861655,8.922971
8.781486,9.507379
6.1961417,8.861943
11.498775,10.504304
10.07326,12.648209
7.962799,12.98777
11.666569,10.600154
12.310632,10.805621
11.086972,12.120711
10.335682,13.354027
8.804058,12.651309
9.489191,13.026596
8.585344,11.327358
13.1456375,10.03534
13.431519,9.714595
13.274915,10.285619
10.838328,12.412646
10.021512,12.938609
8.414546,13.065673
8.021885,14.193344
8.342841,12.978982
13.371442,9.583621
12.086001,11.200446
12.74221,8.952297
13.59217,9.77067
9.913447,13.537109
9.25586,12.32193
9.725215,13.255672
8.646761,13.191376
8.89923,12.939492
9.25751,13.419013
8.986293,12.55685
9.5769,13.528123
6.196895,12.952233
6.249758,13.354785
11.346337,10.494174
11.693624,11.923962
12.448321,10.528902
10.973958,11.676726
12.0508995,11.901372
10.20844,12.305072
10.270441,12.296018
9.32327,13.471092
8.672369,13.17128
12.098817,10.679322
10.534595,12.022727
10.400132,12.263202
11.752792,11.120513
8.515178,13.951932
7.9138036,14.085106
7.94332,14.422166
7.189049,14.48236
10.96169,10.760467
12.989877,10.730943
12.026382,10.797932
10.2693205,13.437085
9.221324,12.167346
10.124412,12.622872
10.041579,12.77396
8.403062,13.714032
8.906009,12.63039
9.986143,12.876277
8.393359,12.254604
9.790545,13.050274
8.52551,12.545132
12.075906,10.155145
13.438933,10.432312
10.552862,12.970943
8.259229,14.117
9.238447,12.101424
9.550141,13.844726
8.163491,13.951241
8.188649,13.560071
7.2020183,14.269997
7.1377597,14.011592
9.886483,11.839554
9.314274,13.948941
10.280912,11.232594
13.165637,10.718902
9.172059,13.761468
7.7261753,14.611665
7.434246,14.097992
10.526223,11.448026
11.406306,11.929008
8.906045,14.146062
10.55566,11.707437
10.19657,13.535489
8.801805,12.960533
10.040841,13.47076
8.650882,13.405312
8.620408,11.906575
13.072682,9.699595
13.987742,10.256783
10.21017,13.282628
8.90816,14.132495
8.820529,13.123334
9.696048,12.100001
12.498082,10.366628
13.162885,10.511492
10.043638,13.3724165
8.266323,13.945641
8.268061,13.737201
7.4902954,13.733363
6.5905347,13.978096
6.5989623,14.036693
9.307575,12.5923195
10.818318,11.845254
10.836529,11.872349
8.8534775,11.277913
6.6394997,13.012482
6.6578617,14.338158
6.851277,14.535969
7.10442,14.859803
6.8630123,13.994784
7.5017915,12.906384
9.765388,11.509675
11.450728,12.778653
9.315444,12.9214325
10.051269,13.314026
8.031063,14.524982
8.13086,13.092198
12.737382,10.724056
12.270588,10.692047
11.407182,12.226799
9.546325,13.824387
8.992801,13.235049
9.596664,13.369569
8.7207365,14.285969
10.664392,11.048496
12.821705,10.72553
12.736402,7.1935997
10.454727,10.4165945
8.661157,13.644147
9.366372,8.465443
12.549951,7.0248036
12.095414,7.44745
13.058766,9.465438
12.582306,6.865661
11.9947405,6.081247
10.093478,7.161265
7.361488,4.8198023
7.001162,5.107632
7.116223,5.0469904
6.0997415,7.7363224
7.780763,11.160579
10.165322,10.35431
12.046348,6.374409
11.425063,11.032177
8.827739,8.0698595
9.776306,2.9544795
11.274952,5.885271
12.273675,6.6710887
12.114728,6.366823
11.826623,5.7574086
10.293172,4.4307904
7.7191815,4.7002196
10.165777,3.5874197
8.367185,5.0893054
9.415192,7.136398
9.852107,7.343208
9.439428,3.3576517
7.552673,4.6926103
10.605096,4.791524
11.141328,6.441942
9.076247,6.168049
9.519776,3.9245198
10.68904,4.006683
10.866309,6.885313
11.894501,5.8451705
11.43089,5.39751
9.659439,2.9511602
9.573695,2.6102169
9.254483,3.1141522
11.561053,4.299543
12.085064,6.0880127
11.762269,5.5497303
10.541379,4.342708
9.611415,2.8656948
9.594354,2.5175555
11.8173895,4.3522544
12.01939,6.784071
13.256542,7.299215
12.438026,6.918995
11.875155,8.127844
10.953617,12.10596
10.302004,7.3539577
10.549376,8.585939
9.278173,7.3826385
9.665944,5.272219
11.822422,6.381431
11.378909,4.8630805
12.90508,6.9633784
11.70357,6.2237916
9.436425,5.982493
11.227966,5.7655373
9.937003,2.8535912
9.842595,2.1329386
10.80431,3.710184
11.051213,3.7582934
10.2576065,3.5295346
9.608469,6.3594546
10.733138,4.2083464
10.397704,6.135774
