UMAP1,UMAP2
-3.3733966,1.2552451
-1.355482,3.6739433
0.3404598,6.8772187
0.06623521,6.3379726
2.4552376,8.379933
3.2132206,8.403452
4.7848797,7.6029534
4.3756537,6.983402
0.47958055,4.8939853
-0.2684544,6.158343
2.4522994,8.310184
0.027452132,7.5541186
-2.2164123,8.905186
-0.42450592,9.749509
0.9895672,11.31974
3.5613177,11.026825
4.2879252,7.2100945
3.2277586,6.831272
0.46005532,7.543471
1.1498846,8.501985
3.2950618,7.9176316
1.978357,8.337324
1.5282435,6.3843
-0.16808422,6.6880927
1.3672915,8.653921
4.4045525,8.57038
1.7537813,7.063518
0.23785943,7.7056065
0.32232735,8.85164
0.15082626,10.310697
1.4883932,10.102435
2.377117,9.758241
4.1059833,9.071069
3.591646,9.035611
2.7442636,9.215357
1.1383271,8.581348
2.8111656,8.382031
3.8042545,7.3482285
1.9586655,7.0113673
0.9303498,8.08714
1.4796041,7.9621415
3.2413616,9.501393
6.9634833,9.027556
5.3062987,9.1442
4.8014774,7.800318
5.637399,7.91281
5.2564435,9.222579
2.4575427,7.985769
-0.47931162,8.841631
0.431312,11.351636
2.6680336,12.739179
5.025599,12.816303
7.2812386,11.374099
7.284111,10.369837
5.070455,9.882331
5.558024,10.416111
6.033781,10.1045885
6.575405,10.508501
5.7344646,10.143568
5.1321764,10.518759
5.2793417,10.856308
6.335502,10.972182
7.2081413,11.685944
8.729039,13.166659
9.418662,12.800735
12.372082,11.13783
11.934207,10.927299
11.585954,10.929352
9.194232,11.6888685
7.920653,9.493092
9.19496,8.707601
9.026857,8.894979
8.8239565,8.579788
8.700713,7.925648
9.08529,8.114567
11.279927,11.867497
11.461825,10.747882
12.000758,8.304797
10.601815,7.0923505
8.587628,8.591377
9.452071,8.409976
10.1006155,7.1637154
9.149217,6.6631145
10.043691,5.533798
11.545522,10.037471
11.083032,4.614734
14.146762,6.120302
12.077853,6.157402
10.410205,6.362934
8.812239,6.159309
10.077712,5.5690255
10.669494,5.9365973
9.815513,6.266417
11.5811205,4.6834693
11.442173,5.243247
15.073037,6.459678
12.992623,8.201337
14.937305,6.853749
13.257131,6.2427726
14.531573,6.0211844
13.13963,7.862765
12.530271,8.645959
14.668456,6.2596707
10.798743,4.252229
10.254306,3.3067758
10.300407,3.239033
11.23282,3.8542502
12.198358,4.830113
14.077292,3.3797042
13.4833145,3.0878074
11.841605,1.9797616
10.938298,0.14219351
11.927487,3.20587
12.440375,4.6517425
13.42693,3.29235
14.63371,5.764523
14.718326,3.5464354
14.579254,3.0022202
14.404105,3.1966574
14.995014,6.059013
12.594996,1.7145983
13.851803,2.825592
15.388023,6.4507203
15.13116,3.0472577
15.245152,2.872945
14.804813,3.0481682
13.914554,2.9057162
14.892124,6.285105
15.48128,6.2245965
14.467265,6.3656898
14.774345,6.1931014
13.269561,4.2103686
12.219083,0.81515306
12.819392,-1.1195077
12.971626,-1.2463976
15.750664,6.299583
13.954835,4.731612
12.129547,2.9662068
12.2483,0.86104417
13.107876,1.699759
12.903843,1.5301517
12.612746,0.77683735
12.428322,0.813412
13.302508,2.095598
13.95781,2.5991685
13.668865,2.6578147
13.577793,1.459232
13.880862,3.1250334
14.155277,2.467292
14.353122,1.2584494
14.420127,1.9278766
15.319485,6.43615
14.718155,6.269131
13.030103,3.685549
12.143275,1.2705011
13.2258215,1.669442
14.411731,2.805413
14.420784,2.2936888
15.1783,2.9777582
14.058442,4.8384876
14.026345,2.1364133
13.672546,0.14489347
14.649173,1.0141912
13.905719,4.7894583
13.096438,-0.98623544
13.590941,-1.1921176
13.857112,-1.2630228
14.583992,-0.059973735
13.963054,1.1786199
11.219692,2.052282
9.855296,0.4710276
10.314172,-0.6319663
11.271121,-0.64526033
11.359521,-0.15446615
10.668622,0.071294464
9.831592,0.50047773
10.007503,1.1281883
10.863212,1.7265722
10.967827,0.92516047
14.740673,5.007792
12.254405,5.791986
10.358803,7.6310134
10.637622,9.589655
11.72065,10.394902
12.892872,10.930089
13.924628,11.115188
14.943303,9.980215
14.744254,6.834554
13.417576,10.621739
14.16497,10.852112
14.668343,10.144872
14.279956,7.149897
12.366904,9.532746
11.262093,10.708667
13.278697,10.248244
14.759171,6.3303533
11.693741,5.592916
9.71016,7.86225
11.245086,10.116544
12.902611,9.42947
15.056174,9.012937
14.419238,9.645663
13.455119,10.157969
12.938549,10.946232
13.416099,10.884854
15.385059,6.9976273
7.7611823,13.19971
6.0966535,14.001418
6.7159996,13.388434
8.339757,12.1455965
8.34394,10.540274
9.406273,12.539947
11.475862,13.77904
11.837944,13.300915
7.961218,14.635991
7.0301075,13.824084
9.260594,13.019931
9.832471,13.1858225
11.915065,14.382756
11.98286,14.132412
12.169579,13.96447
9.186949,12.557071
7.8764114,10.536236
6.543446,11.438614
7.4671264,12.72144
8.661962,13.816472
6.391844,14.905693
0.8793306,15.272164
1.1495723,14.907662
1.9832662,14.814026
2.5143821,15.250347
3.1797483,15.207745
1.7854615,14.641364
2.2161562,14.456744
2.6071353,14.30061
2.5117598,13.096428
0.9430577,12.465463
1.5676249,14.605282
2.1172373,14.128806
