UMAP1,UMAP2
-4.3981633,5.844993
-1.8944569,3.0466583
2.6545546,0.9979971
1.329611,1.3167679
3.2016876,1.9540567
3.2477207,2.2662735
5.5871577,4.397816
4.635002,4.3731246
-0.7284396,4.187906
-0.22120492,2.1056023
2.8781576,1.8214259
-0.449597,1.367207
-2.4406707,0.60784215
1.0926524,-1.3242227
2.1205885,-2.2065403
3.5897408,-0.11178491
4.4084635,3.9989502
3.3145666,2.8340676
0.88875,1.2500752
1.8284723,1.5877857
3.9281301,2.8601348
2.460409,2.0130157
0.3058956,3.8766031
0.049560945,1.6439067
2.0534728,1.3704311
4.8749666,2.9395244
1.2828056,3.4188116
0.48368016,1.0487942
1.076052,-0.038654853
2.683574,-1.825955
2.849932,-0.7087949
2.5745912,0.73635435
4.568107,2.1013196
4.714733,1.9456329
4.2875032,1.2240144
1.4409838,0.60242504
3.42679,2.335876
4.1310935,3.8379364
2.5040443,2.5369034
2.3679013,0.28293785
2.4883716,1.1409116
4.3372464,1.4148068
6.7375655,4.234731
5.7100167,2.8812246
5.6282325,4.33024
6.1444345,4.5965548
6.105044,2.1681054
4.550184,0.6773433
2.5935585,-0.5872362
2.1658866,-2.0488994
3.8532794,-2.5294063
6.6700063,-0.6227067
7.939647,2.3116324
7.319531,2.3709211
5.719822,1.4090723
5.5501847,1.7339674
6.592411,1.4711455
7.2790456,1.4339324
5.9181924,1.7113886
5.3794556,1.0400002
5.724997,0.43033043
7.1040916,0.8317811
7.844921,-0.07920668
8.980089,-2.1895735
9.388869,-1.9924439
11.417199,-1.7597324
10.511533,-0.9653039
10.751079,-0.8280055
9.370296,0.07941546
7.9365935,3.6174772
7.705045,6.196051
7.572125,5.7497
7.6252117,5.5503616
8.466827,4.842804
9.505893,1.3618113
9.288928,-1.4911542
11.177845,-0.7994048
12.676025,0.7263499
9.471005,5.345238
7.476545,5.4743857
7.9192605,6.265789
10.0532675,3.3366244
10.158139,1.6074673
11.214512,1.6032187
11.500123,0.29866698
12.853668,2.6790476
15.39981,0.20334858
15.509128,0.3928578
10.473693,2.380099
9.699883,3.0311897
10.288989,4.8493724
10.77441,4.8495245
9.955147,3.9281216
11.382192,5.311175
12.779035,2.91409
16.580343,-0.8423365
13.737063,-1.0575246
16.120098,-0.46144256
15.283488,-0.54098463
15.992622,0.11607746
14.299377,-0.80642253
13.244929,0.34219626
16.183868,-0.6669214
13.132531,2.7073567
12.231652,3.6763456
12.334041,3.7514012
12.56265,4.9651237
11.940856,6.351694
11.86021,7.5117984
11.64793,6.9905887
12.414849,5.1813364
14.584618,3.7804794
15.329945,1.6488738
14.244247,2.0533502
13.572412,5.6828485
15.169128,1.0036784
11.158989,7.8263135
11.910279,8.0407715
12.577842,7.0815697
16.537672,-0.34043026
14.556081,6.9094357
14.043285,7.390251
16.876322,-0.83664966
11.609478,7.9054656
11.503272,8.340568
11.538925,8.124585
11.902912,6.8212376
16.429497,-0.6337032
16.785574,-0.26424992
15.870167,0.25555712
16.084482,-0.1478615
15.463431,1.7280868
14.686313,6.049013
15.569612,5.9039626
15.912033,5.478025
17.4059,-0.162206
12.498168,4.164072
11.968156,5.4909573
13.781509,5.6450768
13.808967,6.9910617
13.37727,6.494129
13.949397,5.957035
14.410029,6.1101804
13.063397,6.9816175
11.949597,7.5995216
11.696663,6.919951
13.479542,6.665817
13.72597,7.854318
12.91989,7.818808
13.140943,7.6321163
13.01268,8.370182
16.785429,-0.76091367
16.355791,-0.58161443
14.469855,5.3706512
13.981896,5.8981023
12.998828,6.8854537
11.997842,7.9879766
12.627315,8.214934
15.162564,5.2276955
14.678962,2.0208988
12.384166,7.274713
13.653884,6.089602
16.467344,3.899662
15.75346,0.7516983
15.612433,6.58163
15.686536,6.786333
15.542531,7.1150403
14.3182535,8.525994
12.657642,7.900247
11.665818,4.96747
12.981326,2.710284
13.882871,3.2353528
15.298416,4.32789
15.043073,4.3398237
