UMAP1,UMAP2
15.199791,3.2692635
12.444772,0.041677106
8.118398,-1.7959541
8.4791765,-1.442143
8.314099,-3.6864312
7.6057315,-3.195922
2.2920716,4.164407
5.1521263,2.29391
14.0146475,-1.2942668
9.176805,-0.97579926
4.573396,0.6335842
9.878731,-1.1547629
9.972428,1.7475592
9.675141,-0.80103344
7.6761804,0.04424031
4.500292,1.1144706
2.8043458,4.241487
9.45868,-2.9537287
7.8808537,0.48630103
9.498414,-3.5547705
8.873282,-3.9700372
9.747628,-3.7210805
11.371665,-2.674925
9.800363,-1.5224867
8.611756,-3.2499726
6.129381,-3.990123
6.7534623,-2.733661
9.287766,-1.3863751
9.303914,-1.741196
8.058719,-0.36291125
7.679278,-1.552749
8.045353,-1.644938
6.4686303,-3.5494258
5.326241,-2.3611267
4.0752325,0.9791546
7.970533,-1.9720985
6.9554977,-2.7308798
3.2798326,3.613391
8.517463,-2.8981807
8.254482,-2.0083578
7.8539214,-2.439368
5.354549,-2.9174137
2.0055585,0.80212307
2.6446352,-0.03774522
2.6587737,2.1530244
2.2110307,4.177053
5.152694,-3.2345607
6.3609443,-2.4274218
8.023019,-0.3727807
7.6158924,0.3660543
6.452419,0.5018711
4.2607427,-0.6142197
3.2362826,1.1087244
3.0410442,-0.0068674088
4.6703553,-3.3607886
4.115063,-3.0272868
3.7001247,-3.3556309
3.451105,-3.1802232
4.4778557,-3.62267
4.654445,-4.0136037
4.0703926,-2.2501223
3.528281,-2.158982
2.1830308,-1.9704207
0.96705717,-1.1469831
0.7785503,-1.0857258
-0.9279871,-1.0535965
-0.5896164,-0.78508925
-0.5069621,-0.745536
1.0266491,0.29191437
0.48052052,2.540807
-0.4366289,4.789428
-0.1279755,4.4626417
-0.15834506,4.3250036
-0.44426763,3.3271198
-0.40045205,1.4454485
0.25842986,-0.9948227
-0.70978194,-0.8961784
-2.689421,-0.2512472
-0.32605535,2.8901932
0.036076214,4.257088
-0.95870256,5.1996617
-1.4895476,3.5048313
-1.062981,1.3665377
-2.1186602,0.5954602
-2.2313378,-0.5816206
-3.5117645,-0.33365193
-4.120064,-1.7409052
-4.5679026,-1.1665256
-1.8109885,0.9505229
-1.0461293,2.1193779
-1.645843,3.1847546
-2.9260213,3.5184116
-1.8352638,2.6045845
-4.1260357,3.4211397
-3.1808574,0.9263336
-5.7452908,-4.5389585
-3.8059103,-2.3954313
-5.7404084,-3.6171067
-4.390552,-2.9517686
-5.902224,-3.148877
-3.5994368,-3.0521317
-4.3633122,-2.0821953
-4.317758,-3.5057375
-3.0204637,-0.207671
-3.1167383,1.7642778
-3.0265036,1.8398776
-4.4297776,2.8085623
-5.474302,3.6119168
-3.2909098,4.408991
-3.1452014,5.2321954
-3.6384442,3.9918077
-4.475619,0.9265671
-5.4354014,-2.8100345
-4.205995,-1.0883129
-4.9864798,2.602828
-5.8274536,-1.8644081
-5.8078995,5.178109
-4.782493,6.0534873
-5.0818267,5.5852814
-6.241142,4.4350104
-6.434696,3.2832792
-6.6710687,3.9231708
-6.115684,-4.6474104
-3.35129,6.10738
-3.2571013,6.535061
-3.3605616,6.359825
-3.634179,5.3154383
-5.852684,-4.5199265
-6.042397,-4.3488436
-6.527681,-0.4210917
-5.6781125,-4.032288
-5.4609833,-2.1650927
-6.575529,2.3011792
-7.038337,2.3071868
-6.9176497,1.8954264
-6.4561105,-4.4256697
-4.5053773,1.6813011
-3.2160952,4.252038
-5.3960705,3.435373
-6.387306,3.7049112
-5.8024526,4.6996045
-5.735893,3.6470592
-6.299971,3.2440765
-4.9912815,4.3828588
-4.445464,5.6931386
-3.577038,5.5890503
-5.446879,0.4837335
-6.2721763,3.2542965
-5.553004,5.233236
-5.347498,5.750874
-6.157285,5.920824
-5.9898663,-4.545054
-6.5714703,-4.5312057
-5.5690885,-1.25629
-5.742859,3.0004647
-5.596678,3.6398954
-5.589964,-3.338248
-5.666408,6.061216
-6.351197,5.4252057
-5.8717017,4.632994
-4.6473145,5.526871
-5.598536,4.8797336
-7.7018075,0.80488175
-5.6454244,-2.8666182
-7.065705,3.0161731
-7.0405765,3.3124268
-7.1602244,3.6694272
-6.4353824,5.225572
-5.5051026,5.650854
-3.6018684,3.836398
-4.1884913,0.7560099
-5.4418006,0.76148033
-6.807447,1.6417261
-6.5208488,1.6952162
-6.1651726,1.0028365
-4.171621,0.74298674
-4.098108,0.8208632
-3.935298,3.2731626
-5.3404427,1.8613852
-6.2797265,-3.3885844
-4.356417,3.2910452
-1.1641209,2.361736
-0.7600979,-0.22853388
-1.5790654,-0.6768303
-5.207936,-4.482672
-1.6850053,-2.964981
-4.967178,-4.2966795
-5.359385,-4.3526506
-2.7722876,-3.210762
-1.9566866,-2.7559245
-1.5000563,-2.7147064
-2.3001258,-2.887862
-2.4347317,-1.2790111
-1.077114,-0.62822634
-2.1781292,-1.6849641
-5.867068,-4.64121
-3.8490305,-1.5313658
-0.6083259,-0.421047
-0.93342113,-0.5230786
-4.4370837,-2.6371956
-4.826574,-4.6056604
-2.617162,-3.0904138
-2.1561706,-2.4683013
-1.6090336,-2.2974503
-1.8969141,-2.4913735
-5.407758,-4.449162
1.8789554,-0.7098348
2.5241213,-0.9908548
2.4159853,-1.0802115
0.6150951,-0.5429107
0.96692115,0.5813735
2.3644342,0.8381949
-1.1024038,-2.8428943
-5.305001,-4.436067
-0.26179624,-1.6431669
2.3604028,-0.84028053
1.7809776,0.019535897
2.338052,0.68807864
0.8593194,-2.443467
0.41366458,-2.6321685
0.352308,-2.2221692
1.4655542,-0.12733962
1.5135256,0.048843842
2.7641544,-1.7121391
2.1833074,-0.58141714
1.8882953,-0.37187037
4.085089,1.7886585
7.770701,3.6567237
7.274866,2.5515196
6.754191,2.1569293
6.512228,1.9238638
5.724821,2.2861044
6.914316,2.3184197
6.563947,1.7672634
6.372509,1.3185424
6.1174054,0.18670182
7.2928214,0.8360931
6.4516673,3.2591093
6.8905196,1.9297878
7.949429,-1.3473638
5.5832705,0.2689419
5.780103,2.2179224
6.904188,2.2905748
6.6260085,2.0175192
6.559172,1.9767962
6.201099,1.6160747
5.7685895,1.0562208
7.2666087,2.9800775
6.6526675,1.8291038
7.595614,-1.7404785
7.338829,-1.8757243
9.291705,-2.195531
7.8390784,0.09801179
14.887,2.0200188
9.735448,1.9962145
9.268404,-0.33025548
9.509998,-1.0070356
8.483636,-2.473376
9.307204,-2.3584785
8.168301,-2.938136
8.9947195,-1.2210457
9.654347,-0.20252424
10.200128,-0.5563337
10.737449,-1.341948
9.892692,-0.5609214
9.722505,-0.28769383
9.617356,-1.298704
8.721947,-2.7727594
9.185097,-3.4295454
11.92026,-3.6883707
14.055733,-2.2857862
15.603646,-0.8418062
12.603208,-1.1210475
9.270921,-2.1062326
10.003941,-1.0369796
10.543277,-2.5570073
10.193959,-2.647036
9.815622,-2.1004584
9.290598,-1.8635573
10.051999,-1.9829826
10.985192,-3.005607
9.914746,-3.3285387
9.275003,-1.3693165
