UMAP1,UMAP2
14.976143,3.0304744
12.73422,-0.55442363
9.599202,-0.5177603
10.330201,-1.4177681
7.2197304,-2.2132626
6.028393,-2.0122812
3.4522178,-0.4525335
5.07406,-0.71209836
13.133397,-1.0856434
10.968911,-1.343276
7.151507,-2.1952364
8.963393,-0.66720533
10.486772,0.8401098
8.44037,-1.8437058
7.5730233,-1.5964409
3.6744711,-1.272384
3.3177087,0.17157738
2.8802853,1.9517283
5.962931,0.55133134
7.7598453,-2.1392963
6.121685,-2.246062
8.131192,-2.3106196
11.637596,-1.6963114
10.967609,-1.6171206
7.678726,-2.0648592
3.3410988,-0.7957817
7.670507,-0.47268176
9.583854,-1.1958973
8.384118,-1.6944637
7.755918,-3.0393527
5.516667,-2.018843
7.8149567,-1.5747285
4.9471135,-1.6429677
4.1979403,-1.1449568
2.277465,1.8293611
8.0394535,-1.272325
6.32819,-1.8883642
3.67266,0.107833765
8.181775,-0.9098051
7.9355187,-1.0066329
7.3497753,-1.4116067
4.5487647,-1.8789588
1.5314469,-0.07048214
3.4690237,-1.2335354
3.2713678,-0.6087458
3.4410188,-0.5815443
3.6970994,-1.5676899
6.4483047,-0.54852253
7.7921615,-1.1153376
7.478333,-1.8087703
5.601112,0.8339865
3.2581406,-1.3009135
2.2398677,0.35335946
2.3583472,-0.36015806
3.9801056,-1.5651566
3.2650182,-1.9239802
2.118579,-1.6518472
1.9622868,-1.7049214
3.432162,-1.0783976
3.686309,-1.6810199
3.1863859,-1.9807892
1.7610594,-1.8858176
0.23424943,-1.7194
-0.600728,-3.0800645
-0.8241455,-3.068262
-2.52027,-2.9435198
-2.262217,-2.4454792
-2.392865,-2.185465
0.117845476,-1.3076676
0.6695861,0.08399547
-0.4036908,1.8060848
-0.13147573,1.5886282
-0.16124994,1.542713
-0.55614775,1.2469747
-1.1949629,-0.6492572
-1.7922621,-2.521282
-2.7991893,-2.367168
-3.1028042,-0.8731335
-1.6775318,2.1656206
0.015736552,1.439777
-0.65966374,2.0811746
-1.3828691,1.1966687
-1.3563337,-0.6185693
-3.038929,-0.40743867
-3.0556173,-1.3369188
-3.6901867,-0.26891598
-3.0951097,2.0466561
-2.434891,2.8449156
-0.90278727,0.10901823
-1.3944426,-0.185723
-2.1911972,1.3622164
-2.680837,2.3032572
-1.9087138,1.0459267
-2.8175488,2.4463036
-3.625332,0.45408478
-3.794566,1.6432706
-4.824131,-3.5670624
-3.8710127,0.76355904
-4.2035875,-0.17471148
-2.4224136,3.769825
-3.7846177,-0.83513325
-3.77948,-1.8730636
-3.1864195,2.025633
-3.8592398,0.18980366
