UMAP1,UMAP2
-3.9190214,6.838698
-1.3400513,5.0241385
1.768128,3.1819184
1.2359802,2.2637653
2.916763,0.7458751
3.3099976,1.0970595
5.111723,3.5790377
4.289191,4.1241593
-0.2689776,5.6113243
0.43414053,2.4536064
2.4895797,0.38503596
0.07429994,1.1082941
-1.3788677,1.5407137
1.4617105,-0.7807664
3.2338133,-2.2921634
6.0332017,-0.32360062
4.533003,3.7673962
2.487321,2.2134886
1.3853077,-0.60948247
1.4488112,0.15072721
2.735115,0.19896998
2.00172,0.62865233
0.6006767,4.153021
0.48570797,2.3833563
1.8137668,0.2936586
4.461237,0.14879212
2.8457117,2.2041461
0.79367185,1.9263514
1.3511881,0.92178434
2.7285035,-2.0997043
3.1048594,-1.1745131
3.0336215,1.0984179
4.449541,0.47728965
4.4399934,0.2915391
3.5778635,-1.1919464
1.7441502,1.310783
3.386175,1.4207197
4.238506,3.8365886
2.20259,3.7689526
1.6975573,1.9801292
2.06703,1.9952637
4.4305334,1.4578996
7.392102,3.1561325
5.7152977,2.6286104
5.1852555,3.3975258
5.5984454,3.7688334
5.1299925,0.8159639
3.8843925,1.5036197
2.4053776,0.93872094
2.2233143,-1.8776721
4.233813,-2.7295077
6.8674226,-0.9352978
8.947982,-0.20011343
8.411098,0.18328436
5.2802424,1.2061015
6.334394,1.1797729
7.498732,1.3808222
8.079563,1.3924603
6.861126,1.7612877
6.245436,2.324035
6.3346114,1.9523064
7.702908,1.6132787
8.256396,0.014102261
9.168311,-1.4402286
9.974268,-0.56733304
11.670682,1.0349013
11.380742,1.9666055
11.075787,1.3968562
10.255075,-0.16135369
8.840912,2.3669198
8.395176,6.6684937
8.060242,6.3764596
8.309647,6.2053337
8.795352,5.5396123
9.356088,3.4810212
10.693504,1.3447918
11.691117,1.0720544
12.95435,2.3272579
11.322553,4.695411
8.023958,5.9853134
8.760634,6.5543003
11.133943,4.5136313
10.226399,3.201788
11.273992,3.694977
11.65228,2.4120743
13.108808,4.2566276
15.1173935,1.800495
14.159091,2.704161
11.481758,3.6521943
9.415004,4.5843115
10.492373,5.7257004
11.273853,5.705913
10.976097,4.6245613
12.567506,5.0894055
13.159778,4.009291
16.71373,1.4878136
13.832904,-0.98405147
16.133776,0.25361404
15.377496,1.6400113
15.847789,2.4249177
14.256967,1.3452555
13.343682,2.2922308
16.35153,1.6187167
12.970825,4.159242
12.112313,5.0812945
12.081574,5.4388223
12.94694,5.7318025
13.345215,5.062927
11.935104,8.036944
11.337131,8.476254
11.989913,7.1261234
14.444612,5.4939866
15.474992,3.3900185
13.768856,3.790804
13.783924,6.607282
15.904656,2.0055072
13.389298,5.5310674
12.322368,8.618762
13.094525,7.716555
16.719732,1.6220455
15.052059,5.1781545
15.513195,5.2504177
16.995474,1.5145308
11.336907,8.815532
11.1685,9.070928
13.109924,5.77681
11.323139,8.243968
16.556147,1.6860185
16.837095,1.8951998
16.105242,2.3015401
16.251022,1.9933745
15.335029,3.1001055
14.084159,6.174497
14.613956,8.063243
14.865987,7.9671764
17.50546,1.7582377
13.956241,4.241138
11.353279,6.778909
13.217709,7.453592
13.7608185,6.9730716
13.084821,7.625915
13.437813,7.442743
13.928119,6.8793187
13.238216,7.4602475
12.110719,8.516486
11.042003,8.333837
13.051788,7.9770465
15.211117,5.3495407
14.107646,6.386831
12.877553,8.950453
13.344811,9.404635
17.036287,1.5693427
16.502394,1.4387511
14.711353,4.120486
13.197575,6.623148
13.404489,7.0974765
14.315562,4.556217
13.105377,8.924635
15.060955,6.7554874
14.770233,3.5218954
12.388139,8.205423
12.958218,8.613437
16.043997,6.6170273
15.77628,2.5829766
14.421403,8.274949
14.235532,8.71289
14.046185,8.960389
13.676791,9.712979
12.372757,9.00131
11.003764,7.5291286
11.84779,5.166698
14.485423,6.059379
14.584031,5.427894
14.499152,5.2823987
13.997094,5.191912
11.906974,5.096401
11.808048,5.3519797
11.598084,7.002892
13.16822,5.838845
16.397457,2.464812
12.555764,4.6339154
11.649587,4.010866
11.415118,2.1443381
11.646831,1.9013567
12.003831,0.45726094
12.227684,-0.20736529
12.852071,-0.35827413
16.096468,1.4855175
12.179202,-0.397065
12.5796175,-0.46599957
13.491403,0.4503738
15.569962,1.0889976
12.659253,1.8566161
11.584531,1.6290466
12.482468,0.83439964
16.283451,1.7107569
13.701885,2.9051151
11.292314,2.1556356
11.953964,1.3612318
13.603162,1.181141
15.836665,1.0882456
13.526872,-0.070871055
13.216029,0.61302584
12.015798,0.37608755
11.987831,-0.45712104
16.335333,0.8650281
8.16642,-1.6435099
6.642425,-2.0126362
7.608759,-1.571053
9.112597,-0.92497134
9.299054,0.07430931
9.827183,-1.9881868
10.396262,-3.166611
10.647871,-3.1343195
7.8648014,-2.8616378
7.744245,-1.7201883
9.747648,-1.4596294
9.910463,-2.1763513
9.2490225,-4.0173106
8.805942,-3.664028
8.664224,-3.548
9.630687,-1.3350636
8.959258,0.29076362
7.4077497,-0.0040340773
8.45222,-1.538527
9.230935,-2.1504958
7.5536866,-3.4509785
2.4625866,-3.917244
2.6226654,-3.409483
3.6119254,-3.4334748
4.2985797,-3.598835
4.470006,-3.2608595
3.3118775,-3.2873993
3.7377408,-3.37638
4.3029532,-3.470026
3.8947754,-2.465531
2.2547638,-1.9436646
3.1768005,-3.2973087
3.6215656,-3.3583632
4.222946,-2.5131853
4.6490283,-2.3857267
4.570837,-2.7237518
3.1535683,-3.3701599
3.8475897,-3.6151488
3.9907074,-3.6794078
4.3420568,-3.451992
4.0131555,-2.7524757
3.1640017,-3.3557186
3.8450706,-3.3947484
3.8228943,-1.7290593
3.0475318,0.9722154
1.8704983,0.019754514
2.6313698,-1.6326346
0.26906902,1.7158049
-0.6580595,3.1496112
0.9040913,-0.9237816
2.8035514,-2.5395896
2.331003,-0.10221705
2.0584667,0.24933243
2.8584936,0.39570656
0.3096514,2.0731666
-1.2643255,3.066618
-1.2725481,3.4386482
-1.1946272,2.3855283
-0.0840225,0.6935797
-0.16812514,0.529918
1.6418217,-0.19538732
2.1525147,0.34994236
1.7455095,3.0979893
1.0628737,4.7625155
0.4459109,7.1776543
-0.3547996,7.8714237
-0.21164118,5.122762
0.6562342,3.2376134
-1.1167322,2.6347141
0.8869789,2.6723611
1.0211642,2.249264
0.74907666,1.9281516
0.21627207,1.7968951
0.4686767,2.510812
1.2982639,1.5465809
1.3440067,0.29342344
-0.11159017,3.1967325
0.09326462,4.183261
0.37449667,4.802948
0.7879465,5.36063
-0.33594012,6.4680347
-1.912826,5.8630586
-3.2686036,5.4403133
-4.130936,4.9370317
-3.5925515,4.38983
-4.024219,6.075823
-2.8303888,5.613586
-3.285881,5.332881
-4.790413,5.307381
-4.423047,4.529642
-4.4607353,4.2985177
-4.7586546,3.0915005
-3.9857605,1.9794283
-3.406483,5.9685235
-3.7897234,6.7197013
-2.046967,6.24015
0.07876115,5.563151
1.1258793,5.144014
1.5538021,5.002774
1.6058912,4.922426
1.5642828,3.293451
0.94931656,3.3060095
-2.110977,2.0226598
-2.8366024,0.97304255
-2.3958094,0.97531193
-2.7027342,1.1882786
-3.3513558,6.0958905
-2.6113808,8.022473
-2.291822,7.256027
-2.9874487,5.8082824
-3.1779459,6.773189
-3.9431627,6.6355195
-3.2629826,5.3309216
-4.2010827,4.6717873
-2.951497,3.0016563
-3.4094124,2.3212707
-4.306559,3.2796543
-3.389085,2.6584642
-1.6963841,4.721889
-3.602148,6.3360553
-1.4844923,5.4842534
0.6715968,4.5451365
1.4693812,4.666798
0.006342361,4.7762094
-3.5826952,3.8505085
-0.74716043,3.403123
-0.6480067,5.3951726
