UMAP1,UMAP2
10.991277,0.7418315
11.957588,3.119048
9.088962,8.522836
9.809833,7.129804
8.670632,6.6079936
8.09242,6.206433
5.971928,5.305348
6.7628098,4.7561474
9.58208,2.4873774
10.260991,6.931919
8.243787,6.76844
10.486025,3.8447511
13.066589,3.0577533
11.963031,7.8253064
8.059352,10.419259
4.486362,9.030995
6.767254,4.934798
8.237206,5.360764
10.260831,6.305736
9.235415,6.0365615
7.9500566,6.0028043
9.053271,6.287119
9.941987,4.603764
11.055219,5.54691
9.241794,6.4432645
6.2637286,6.6432776
7.9390182,8.557532
10.166666,6.613066
10.338918,7.777118
10.7401085,9.001143
8.866849,7.897199
9.004966,7.714481
7.1706977,7.233663
6.901938,7.415502
6.3823247,8.50872
9.16903,7.6126904
8.083464,6.467692
7.31352,4.9781046
8.74751,5.2787375
10.060354,6.9802494
9.241673,7.5060525
7.89096,7.95443
5.5637493,6.135565
6.1784177,8.0212755
5.660408,5.833809
5.6594505,5.541121
5.5739994,7.5127525
7.2839217,9.237751
6.8948245,11.792743
7.5168195,10.9388895
3.9515612,12.049592
3.223272,9.842141
2.0759323,8.766301
2.5082548,8.417421
6.1623197,8.611243
5.5591507,8.686268
4.924072,8.205192
3.8096087,7.93728
5.8695717,9.046762
6.6282306,9.909553
6.622274,9.751237
4.094397,9.017526
2.0498426,9.023522
1.1163645,9.616791
1.0118527,9.450774
-0.21248715,8.184675
0.26925746,7.5544143
0.24119858,7.9446015
0.35131904,7.972305
3.301233,5.4197736
4.181737,4.93555
3.9850132,5.005164
3.8493605,5.147152
3.196077,5.1914086
3.1305096,6.944198
0.47228038,8.389827
-0.3429533,7.8229547
-2.0623915,5.411215
1.4158486,3.8583574
3.9190388,4.9032273
4.0644584,4.4342656
1.5687556,4.0227685
1.5107082,6.1217484
0.6076585,5.962841
0.036158565,7.230049
-0.99588495,5.031203
-3.3605235,5.279099
-2.8565466,4.303863
0.079083465,4.7561793
2.3350632,5.808853
1.9198147,4.807094
0.69572467,3.4915597
1.4713708,4.9475408
-1.2299576,3.689493
-2.2503207,5.752085
-5.5765224,6.2480674
-3.5416968,5.945832
-4.7681665,6.614411
-4.754087,4.9663167
-3.6554358,5.1388226
-3.1069243,5.9820266
-2.0887008,5.5857697
-2.1412609,5.255889
-1.6976203,4.6795735
-0.9262212,3.6639955
-0.47285473,3.847595
-2.4786491,3.4977958
-3.5701237,2.755536
0.99283457,1.9002703
-1.4237962,0.57324964
-0.7300816,1.4103807
-0.25961873,1.3333582
-2.1722624,3.6910403
-2.9917238,3.711255
-2.614372,2.839115
-4.8820763,4.4124055
-3.4800227,3.4398768
1.836826,1.0618185
-3.1391163,0.99633425
-6.1404185,6.161884
-4.3979893,2.0934093
-4.832602,2.8145726
-5.710747,6.289202
1.240646,1.3099777
1.8831935,1.0709838
1.813564,1.0996763
-2.480266,0.18109965
-3.2500384,0.06229912
-6.1622615,6.4556255
-4.7179084,3.016577
-4.5497017,2.5465705
-3.7628968,1.5670333
-2.5945446,0.7394174
-1.1562705,-1.305481
-1.160628,-1.007498
-5.98336,7.014482
-3.1147134,2.9330237
-0.52300054,2.0176067
-2.1763551,0.95791286
-4.17053,1.1519595
-3.294112,0.050393388
-1.7217275,0.10102566
-3.0150316,0.55690676
-4.052943,0.819956
-3.5107276,-0.009981946
-2.2291286,0.33197016
-1.8319055,0.9120756
-4.654911,3.5130212
-4.393809,1.8443979
-4.0972085,-0.6980963
-4.4054885,-0.23938523
-4.529701,0.8226817
-6.111919,5.8847027
-3.7090542,1.4474373
-2.4699879,1.0449382
-3.4929256,1.3557323
-5.5726886,5.373075
-4.330357,-0.3569666
-6.002668,6.421374
-4.489211,1.6697613
-3.5613146,-0.052138463
-3.1426427,-1.1553379
-3.485553,2.1462808
-4.286282,2.0764205
-2.3128746,-2.5271246
-2.3046095,-2.512935
