UMAP1,UMAP2
12.961038,7.038748
11.620456,4.333842
8.335276,2.9154928
8.293796,3.035247
7.0425663,0.78769106
6.4288926,0.32575604
6.2652245,-0.30982658
7.0469017,0.13294725
9.449996,4.2289066
8.823892,3.229847
9.225846,-0.3725131
11.058917,0.9342926
12.874657,3.096257
11.967739,0.72003204
8.559142,-2.5731514
6.558377,-1.965621
7.018331,-0.37255442
9.153983,-0.39262497
12.171254,-0.35201672
10.67347,-0.3785969
8.964987,0.07213635
9.676307,0.3369954
9.340934,2.4734075
10.015961,2.5262744
8.10872,1.0858766
5.5067635,0.25973794
7.82609,2.6147478
9.912578,2.2822487
10.237886,1.2947584
10.344885,-1.9651221
9.611507,-0.91523415
8.050376,2.108717
6.2897944,0.8392746
6.9258027,0.70545155
9.40701,-0.94237655
8.2714405,1.9034119
6.5218225,0.85562754
7.168867,-0.13573687
8.386753,1.7476786
8.359298,2.4268885
7.79238,2.4363182
5.8963184,2.3424997
3.7035325,3.5214736
4.5127816,3.2697506
6.083822,0.24101794
6.216931,-0.14558013
5.4951553,0.931333
6.78,2.5066016
8.529422,2.428056
8.7133,-2.7797327
6.9323177,-3.3572836
4.493998,-1.8027803
4.6366835,-2.7688503
4.561538,-1.3468202
5.100212,2.387717
4.3861732,1.9844828
3.916951,1.5575107
3.8350594,0.7918957
4.7493453,2.5308063
4.7067704,3.5766404
3.3904335,1.8156608
2.961148,1.3624445
2.9475353,-0.23914582
1.64744,-1.0516269
1.4723735,-1.1515299
0.47379032,-1.5149225
0.61939305,-0.6181484
0.7719615,-1.0001827
2.8710048,-2.1858466
3.1871068,1.6770383
2.6450665,5.512487
2.916726,5.3031116
2.8224297,5.112686
2.0042639,4.3012314
1.460816,2.0291464
0.86078715,-0.7780841
0.34055364,-1.3993946
-0.84301394,-0.15753043
2.2009485,3.2092683
3.1982377,4.9045386
2.0941608,5.395634
0.20380841,3.5277965
1.1582992,1.9937296
-0.4161251,1.3101689
-0.29651377,-0.767548
-1.4639058,0.23009527
-3.2210257,-1.5271097
-3.0631683,-1.1631427
-0.034338947,2.0891404
1.2199252,3.012304
0.27463454,3.8720715
-0.28877327,3.9338999
0.04173557,2.8824282
-2.2761295,3.984729
-1.3930203,1.709547
-5.0501356,-2.5351968
-2.3778546,-2.344978
-4.8602357,-1.7876205
-3.889015,-2.784461
-4.7211075,-1.3878298
-2.971556,-2.771717
-2.7938366,-0.7639785
-3.6413078,-2.5276663
-1.5542716,0.79266596
-1.3829607,3.523883
-1.1735508,2.832155
-2.6397474,2.6169977
-3.4746094,1.3171427
-1.4040313,5.1544313
-1.3742386,6.17995
-1.7546419,5.6066723
-2.882844,2.5922499
-4.2029138,-0.4434183
-2.7838087,-0.013446887
-3.4229975,4.1910744
-4.5114646,-2.1100755
-3.5742614,3.5128338
-2.9838152,6.306887
-3.8081868,5.49952
-4.6000237,-1.9713076
-4.871776,0.8968708
-4.9741387,4.4994254
-5.470511,-2.4533474
-1.2066803,6.860317
-1.1227661,7.365969
-1.5706291,7.0540867
-1.7545055,6.6076813
-5.141663,-2.3302886
-5.474085,-2.1569893
-4.7741356,-1.8935986
-4.7787724,-2.3408182
-4.786508,-0.36685857
-5.6164665,5.4156585
-5.9397407,6.1462307
-6.175017,6.6423326
-5.763157,-1.6048902
-2.6871264,1.0404733
-1.6659431,5.6063733
-3.8885434,5.9378505
-4.6107945,5.2422614
-3.742861,6.066484
-4.1391444,6.296688
-4.5565343,5.6578565
-3.0358124,5.1736684
-2.9040864,6.3608184
-1.6561109,6.900841
-4.0419536,3.0683088
-4.5172157,1.0147334
-3.9801178,5.538736
-3.7045002,6.86319
-4.3481774,6.4534
-5.255225,-2.3017027
-5.397425,-1.5621275
-4.7906837,0.24241139
-3.9872017,4.952517
-4.0906167,5.3750534
-4.723495,-1.5707601
-4.0197577,6.348656
-4.4338174,6.329289
-4.2432632,5.338221
-3.096576,6.4005146
-4.0558248,6.8544307
-6.203585,4.8622518
-4.947944,-1.2002748
-5.5826125,6.3626747
-5.491712,6.7179184
-5.359627,6.8431573
-4.9688907,6.719518
-3.4137752,6.8057365
-1.7726203,5.9167237
-2.4567614,3.205987
-4.2891,5.5100646
-6.533973,6.028626
-6.4566326,5.5636153
-6.1071935,5.8709016
-2.4473748,3.12179
-2.4019287,3.3601892
-2.1365743,5.930906
-4.455849,4.4455214
-5.8462358,-0.50442576
-2.2682085,2.121583
0.29311088,2.242079
0.4854333,-0.20225199
-0.18184204,-0.67699337
-4.5638957,-2.6241364
-0.17127962,-3.379802
-4.3026834,-2.218675
-4.7887397,-2.420337
-0.81204945,-3.860937
-0.6394293,-3.4734716
0.07363048,-3.7264872
-0.7023408,-4.1364408
-0.6294727,-1.5570126
0.26145375,-1.0599151
-0.5160015,-2.039701
-5.2556615,-2.6501167
-3.5272915,-1.942636
0.6814262,0.4005992
0.30296004,-1.0166665
-1.2437649,-2.5443542
-1.2102655,-4.4414167
-0.9667258,-4.219086
-0.6716109,-3.5544453
-0.14002441,-3.1047413
0.04546919,-3.4875822
-4.581206,-2.4581537
3.0148017,-3.1747816
4.8439393,-2.77447
2.364588,-1.5362763
1.8460822,-2.4353998
2.9250147,-1.8339766
3.5695088,-4.541188
1.3466552,-5.230318
-4.0753026,-2.7101364
0.08061374,-3.0717137
2.3778117,-2.3547125
2.632137,-3.7110803
3.2837808,-4.6983914
2.0480826,-5.6417136
1.7458267,-4.881623
1.1742567,-3.7273684
2.6180356,-3.134259
3.4001396,-1.6657723
3.0778897,-0.67352676
2.6910467,-2.9233754
1.9803886,-3.647376
4.070253,-4.7732296
9.033088,-4.2247157
8.540589,-4.2095113
8.076541,-4.44113
7.5946183,-4.8281674
7.649034,-4.271952
8.325068,-4.0747585
7.941056,-4.2738714
7.269254,-4.327787
7.3231735,-2.9849303
8.015706,-1.2545706
8.57612,-4.861423
8.038635,-4.0873003
7.8544903,-2.8677492
7.065834,-3.4264717
7.3507247,-3.8938122
8.341781,-4.3891454
7.690666,-4.8668227
7.6466565,-4.8847322
7.275968,-4.7815304
7.4092507,-3.8417747
8.830455,-4.177091
8.036166,-4.3106704
8.581824,-1.3829321
7.8569674,2.1478696
10.344484,0.9561507
8.550591,-2.66317
9.713389,5.2499347
9.048742,4.9892306
9.910491,3.258972
11.494006,0.9539797
9.612538,0.09853857
9.761872,1.6134442
7.7909794,0.91934365
9.490142,2.7408707
10.098084,3.5458872
10.507611,3.4953072
11.059086,2.5040548
11.828678,1.9831527
11.923993,1.8483868
11.396552,0.7713044
9.462968,0.51856357
8.73725,1.4480335
9.542403,1.5989002
9.701562,4.6705027
10.05617,6.487964
10.554175,4.13128
9.07042,2.6084237
10.310492,3.2314136
10.36862,1.850139
10.186347,1.6231824
10.175916,1.8612713
9.530416,1.9708914
10.203891,2.170615
11.5334215,0.369346
10.988004,-0.3077965
9.639108,2.401026
10.607825,2.0552766
10.309655,2.9959366
9.701981,2.2202013
11.009968,4.3405538
11.88895,5.061002
12.588145,6.608811
13.927757,6.0820675
