UMAP1,UMAP2
15.54197,-0.6153875
13.081192,-1.4754567
8.76964,-2.1167233
8.56773,-1.8129674
7.865542,-0.7289319
6.978512,-1.4042802
4.13043,-4.4287105
5.624687,-4.3452578
12.009782,-1.837835
9.1111,-1.5842018
7.128475,-0.21158965
12.15401,0.71116215
12.565946,1.3427473
9.891513,2.2317185
7.653448,3.2053177
4.932717,0.27354428
5.471482,-4.339541
7.5497146,-0.8992119
10.058188,2.1663888
9.297462,1.2290546
8.219644,0.060539763
8.586434,-0.16567086
10.7614975,-1.2499868
9.807391,-1.1423479
8.194409,-0.28520468
4.866736,-1.0939845
7.035753,-2.2943263
9.46079,-1.2781113
9.213168,-0.3706638
8.928092,2.5823066
8.044036,1.8308368
8.104744,-1.0786546
6.1417108,-1.3681711
5.574312,-1.3296851
6.8279386,1.259292
8.083645,-1.0450155
6.6473083,-1.8987569
5.629959,-4.1954665
7.8927245,-2.4938931
8.381612,-1.824757
8.025767,-1.8447647
6.129347,-2.4168875
3.405411,-4.170974
4.0371633,-3.9961967
3.8468888,-4.253205
3.9947064,-4.378992
4.725057,-1.8819728
6.7626853,-2.2866716
9.020464,-1.4321216
7.8323064,3.2022133
6.0626626,3.051542
4.170726,1.0465599
3.9389307,1.7407128
3.9139602,0.3964603
5.106093,-2.7747943
4.4243474,-2.7932446
3.5573366,-2.1494133
3.4231997,-1.5073042
4.615087,-2.4583569
5.169912,-3.8429859
3.0500908,-2.306307
2.538431,-1.7630595
2.2527874,-0.4512551
1.5269126,1.4162083
1.4429966,1.5389136
0.25544214,1.962818
0.109154455,1.1237141
0.36290133,1.2156082
1.9763504,1.1636465
2.2559307,-2.1307437
2.0543926,-4.9960775
2.085756,-5.2449403
2.4266913,-5.022129
2.0253527,-3.805299
1.4035312,-2.1071508
0.50831264,0.9686847
0.35100302,1.6620849
-0.8373487,-0.47584108
0.8662422,-3.8178308
2.5802302,-5.092747
1.0921068,-5.066541
-0.7878249,-2.7649596
0.4256208,-1.6513618
