UMAP1,UMAP2
-0.7917382,8.711532
-2.0307982,5.613317
-0.3951234,1.0275006
0.25887305,0.16805808
0.37613222,-2.604347
1.0966555,-3.8776205
1.8991681,-6.349195
0.71845096,-4.6852193
-1.1872783,3.8323
-0.06467657,1.301094
3.0111024,-0.15965104
1.6744272,2.3310707
0.7651487,3.1458654
0.53760695,0.9835089
2.5736082,-0.038412932
3.689821,-2.8061416
1.3442558,-5.5780983
-1.8734388,-2.0324972
-2.4842346,0.34440163
-1.7800817,-0.51606977
-0.5637749,-2.189436
-1.423604,-0.7645089
-1.7270833,1.7665993
-0.9309938,1.2073951
0.41354546,-1.9121946
3.6866605,-4.3801827
2.5497162,-3.9324777
-0.43338156,0.5357163
-0.54215986,0.32526284
0.6641607,0.38945255
1.4814812,-1.3350836
1.6074394,-2.307988
2.2379534,-3.6877162
2.1685452,-3.7953036
6.52537,1.878225
1.0520378,-1.6234957
2.04934,-4.8548694
0.8786115,-5.53112
0.11576193,-2.7529633
0.7152826,-1.5011444
0.98999566,-2.231869
2.4611406,-4.612126
6.728727,-6.575914
5.9358253,-6.8997493
2.0257413,-6.3908286
1.99886,-6.317346
3.6794357,-5.0226865
2.343678,-2.6808445
0.31721985,1.5657166
1.2346715,0.550054
3.2237835,-0.3240252
4.936178,-2.2389479
5.6925735,-2.1483514
5.715189,-3.12509
4.3744035,-5.4975114
5.1632414,-5.7259316
5.7290387,-5.776486
6.3722806,-5.451858
5.2562504,-6.1121545
5.4475675,-6.939636
5.529625,-5.153218
5.933134,-4.7732415
7.2409673,-3.8001382
8.397233,-2.8864012
8.92035,-2.5419111
10.750386,-0.67627925
10.695912,-1.7971846
10.3709345,-1.9068071
8.930867,-3.3589544
8.728438,-5.578665
9.910042,-7.306029
9.673197,-7.6617618
9.449068,-7.387918
11.278316,-5.199036
11.99226,-3.2599154
10.149925,-2.0160043
10.179925,-1.0069491
11.697532,2.614423
10.499824,0.29955158
9.305272,-7.473475
10.263542,-6.9709907
12.287156,-0.6894369
12.262017,-1.7859755
13.2237625,2.0505643
12.11747,1.3854784
12.701793,3.291234
9.920202,4.0198445
10.729625,3.1703231
12.383048,0.67995316
13.019001,-1.5204483
13.597984,3.1211293
12.7775545,3.3033483
12.929738,0.79773307
12.347935,6.7167454
13.164482,3.9265354
8.150664,5.06005
10.617373,2.8297377
9.111219,5.2838235
9.1592655,4.023397
9.393327,5.4770904
9.341521,2.9998095
10.629645,3.7344828
8.950812,4.0348325
12.494789,3.6520922
14.178833,4.0253673
13.982468,3.889436
12.9470415,5.69318
11.595867,7.261637
12.908615,7.191549
13.500664,7.7473316
14.378867,6.9830594
15.461109,5.609368
11.510983,5.2609186
10.844546,4.7569985
11.797044,7.393032
8.455148,4.918819
11.345447,7.8333592
13.040073,9.327836
12.538709,8.894347
11.025138,8.656696
10.537316,8.613454
11.31969,9.054089
7.9593797,5.40731
14.02248,9.784462
14.255746,10.123078
13.961953,9.631028
13.54996,8.500783
8.196527,5.2592473
8.006007,5.6027904
9.856044,7.1594386
8.471012,5.0119863
8.995493,5.951536
10.262982,9.59609
10.62628,10.726631
10.3438635,11.062595
8.391305,6.027331
10.507112,5.1103187
13.773,6.839124
12.633029,8.807985
11.053913,8.949381
12.401307,9.122491
12.526141,9.256438
11.627285,9.029812
12.56413,7.9704833
13.167804,8.760777
13.694057,8.648095
11.641841,8.217053
10.047814,6.66003
12.266599,9.401091
13.09711,10.516049
12.843296,10.945744
8.111825,5.309684
8.441635,6.074024
9.385194,6.4932704
11.493178,8.689542
12.280079,8.861732
8.60867,5.517122
12.754493,10.4086
12.297484,10.438178
11.829207,8.896184
13.012569,9.264174
12.510589,10.691669
10.662273,10.707288
8.451506,5.7730923
11.283105,10.989804
11.529122,11.384145
11.7907,11.847564
12.230136,11.081752
13.214298,10.061902
14.885362,7.178164
15.401954,5.1335826
14.912786,7.5517926
9.878266,11.181571
9.695705,10.234769
11.580063,8.732535
15.340148,5.0332127
15.221214,5.1917605
