UMAP1,UMAP2
13.261262,3.534364
11.610518,6.009023
7.89848,8.316996
8.274764,8.757985
7.476965,9.59637
7.2472034,9.841995
4.067687,6.895106
5.3445053,6.743318
10.584495,5.8014274
10.175809,8.488027
8.401154,10.538712
10.821288,9.14934
10.377669,10.849992
9.828824,11.265584
7.3449,12.466567
4.2563357,10.929424
5.0366397,7.0709414
7.883119,9.446839
9.622789,12.416722
9.422814,10.378596
8.086194,10.742805
8.773708,9.9865465
9.73921,7.143505
9.893636,8.96816
8.748758,10.3748045
4.2720466,9.821493
6.139763,8.482371
9.515504,9.501094
9.420646,10.261241
8.789201,12.13248
7.7115884,11.833068
6.547975,10.024006
4.5796843,9.742879
5.890724,10.033357
6.231529,12.372432
7.7560706,10.165541
7.0416636,9.2798605
5.359216,7.072782
7.2818027,7.878999
7.7945476,9.08799
7.8373513,9.386792
5.532961,9.036237
2.896262,6.898632
4.153278,8.252923
3.899332,6.970739
3.658446,6.8930182
3.9866354,9.023873
5.4390864,8.825076
8.27597,10.548812
8.234159,12.25695
4.8070655,13.187039
2.809099,11.316681
1.4553155,10.973537
1.7590985,10.386938
4.2612557,8.741303
3.343488,8.985944
2.337567,8.68163
2.0919602,8.704037
3.2057114,8.699813
3.9760597,8.251419
3.7911098,8.614244
2.05504,9.019664
1.6563431,9.776767
0.5055166,11.00892
0.24725865,10.858235
-1.0602983,10.082621
-0.68418056,9.18699
-0.7307363,9.511832
-0.09943547,9.684804
1.4044148,7.3005786
2.084273,4.147739
2.1847417,4.0833645
1.9027392,4.9377875
1.4548903,5.243903
0.16741471,7.5986676
-0.12307718,9.805411
-1.0148247,9.699798
-2.6781876,8.271766
0.1789927,5.682675
2.1899357,4.9982095
1.7085983,3.8232079
-0.42045859,5.5001717
-0.026071558,7.481605
-0.99674827,6.7903996
-1.1571327,8.524771
-2.7405212,6.9264913
-4.2381783,8.456276
-3.956289,7.9718876
-0.70017797,6.858171
0.34947667,6.308821
0.022815121,5.10256
-0.27104896,4.7046666
-0.49839345,6.2243347
-1.5238935,5.3639016
-2.1742966,5.7502456
-5.9025326,9.038376
-3.8680305,9.834336
-5.164292,8.185707
-4.823649,9.375873
-4.868296,8.290159
-3.7090285,9.732236
-2.8995397,8.490559
-5.513943,8.999814
-2.7605999,7.4566865
-2.1756418,5.483183
-2.094858,5.415001
-3.0305798,4.270363
-3.2374666,5.3719068
-0.9060421,2.7894533
-0.8903074,2.6241229
-2.2425954,3.6460354
-3.9479864,5.1367993
-4.285372,7.2978134
-3.3397968,7.0833297
-2.5573118,3.2659738
-4.9644012,7.8310313
-0.77764946,1.5795368
-1.2736754,1.9146274
-1.9335111,1.9787363
-5.9412227,8.496574
-3.931556,2.1870382
-3.481684,1.6142101
-5.843378,8.637303
-1.0460535,2.3152187
-0.9256082,2.000933
-1.1387016,1.9441515
-1.2897879,2.1149247
-5.7292657,8.603353
-5.452043,7.887408
-5.28838,8.220955
-5.474106,8.203889
-5.368133,7.0686893
-4.4864707,3.5382795
-4.7574677,2.6129653
-4.754473,2.9580555
-6.2492833,7.993093
-2.52467,5.004282
-1.5259961,4.038298
-3.2954385,3.1005232
-3.4220955,2.3527706
-2.5951195,2.2677338
-3.4479868,2.9207108
-3.9377248,2.9676743
-2.9376009,2.5938678
-1.48749,2.1596894
-1.3108062,2.3097706
-3.1188993,1.6268605
-3.8254693,1.7043356
-3.0520117,1.7008877
-2.7799385,0.9236253
-2.8487298,0.58944046
-5.8181973,8.602958
-5.979094,9.0941725
-4.798078,5.9131813
-3.2745678,3.4469378
-2.8893163,2.611821
-1.7884547,2.0196888
-2.1546087,1.184698
-3.9165943,2.9315464
-4.3831763,6.861959
-1.8743062,2.2461572
-3.3686936,1.2519754
-5.240709,3.2052405
-5.517048,7.6754804
-4.839481,2.083603
-4.831519,1.6190373
-4.773172,1.317767
-3.3908856,0.17573528
-2.3286026,1.1489478
-1.6380218,4.0611577
-2.9279633,5.0718102
-3.594333,5.019713
-5.1587405,4.5311675
-4.880162,4.304764
-4.7098374,4.9261527
-3.0385008,5.1335974
-2.5209153,5.152345
-2.0220077,4.190639
-3.6733816,4.281358
-5.6909595,7.361777
-0.9704903,4.3607917
-0.66817856,6.0527763
-0.8401482,8.643037
-1.1087283,8.880755
-1.8703423,10.179633
-2.0146353,10.933838
-2.642617,11.167865
-5.063102,9.512353
-2.1675775,10.772454
-2.3245842,11.174525
-2.6572335,9.848247
-5.11451,9.677011
-2.1554778,9.26698
-0.89353085,9.254818
-2.0485456,10.023544
-5.575504,8.854407
-3.0758383,7.2672687
-0.48770848,9.087657
-1.2072868,9.570111
-2.990862,10.073794
-2.7593212,11.847243
-3.1561935,11.453879
-2.653218,10.821462
-1.8878164,10.5200205
-2.1948564,10.940988
-5.489371,8.850995
1.3753686,12.838353
2.205411,12.304436
1.749664,11.992154
-0.50762266,10.47169
0.5795283,10.102569
0.42763838,12.344577
-0.6336426,13.673373
-1.5739437,12.99026
0.9719586,12.922343
1.606928,12.291603
-0.462721,11.268769
0.2204374,12.387946
0.52668196,14.309993
0.78208345,14.026273
1.015457,13.384635
-0.036994573,11.272523
1.2285086,9.837441
2.1224453,10.339873
0.5936964,11.823283
0.86369807,12.576716
2.5431578,14.019156
6.5736446,14.628625
6.0162106,14.52284
5.2845607,14.437695
4.8340144,14.517922
3.7853882,14.317786
5.496195,14.477025
5.0432696,13.910159
4.869019,13.961059
4.9865785,13.359691
6.161283,12.498576
5.6911316,14.481068
5.0998416,13.842744
4.9415817,13.295968
5.007407,13.115867
3.9275138,14.198892
5.6304283,14.567852
4.974606,14.697365
4.854544,14.755679
4.4407225,14.27634
4.199673,13.984562
5.6085687,14.556302
4.9959216,13.954948
6.124025,12.480956
6.6521325,10.297484
9.133591,10.690774
7.5355053,12.267361
8.415871,9.057192
8.725359,9.152675
8.729701,11.497592
7.4833126,12.652982
8.096593,11.035745
8.739186,10.348484
7.575704,10.369623
9.634414,9.025895
11.209336,7.919752
11.76265,7.0774493
11.722232,8.186003
10.180391,10.878315
10.231984,11.01991
9.659072,11.0462885
8.296367,10.695575
8.71898,8.714326
9.308518,7.6926785
9.778142,4.9173737
10.565266,3.648802
10.875058,6.1012673
9.83393,8.333957
11.245857,7.786381
9.771546,9.030608
9.826346,9.266185
