UMAP1,UMAP2
-5.085256,1.0243977
-2.5649848,-1.0909008
0.6803507,-3.4544966
-0.25824437,-2.8599243
2.2563055,-2.853483
3.598386,-3.4135249
6.4756603,-5.21129
4.545657,-5.0783477
-2.4331143,-2.8008928
-1.1993036,-2.2449675
4.341024,0.17756356
2.2186334,1.6641507
-0.512538,1.139773
1.2520324,0.7464047
2.634064,-0.15284464
5.515408,-2.1080897
3.4704382,-5.3422017
0.39536306,-4.073804
0.10174045,0.9304928
0.21417753,-1.3150085
1.2195165,-3.4950008
0.40371582,-2.764777
-0.703029,-3.773096
0.118988015,-2.4115622
1.1293265,-2.3443336
4.9188237,-2.868179
2.3261206,-3.851609
0.77174705,-2.3834527
0.85759693,-2.0994534
1.8134037,0.38447198
2.7052033,-0.68192893
3.3123102,-3.0168617
3.807255,-3.1046197
3.7579281,-3.0207186
5.897671,1.2518915
1.703887,-3.000679
4.204917,-4.1094484
2.3650115,-5.449351
0.5464404,-4.505946
1.3946071,-3.305252
1.5741153,-3.4607456
4.6544166,-4.089534
6.604959,-4.7836576
5.377416,-4.6272273
6.54013,-5.1098313
6.4196153,-5.2267866
4.89053,-3.6092215
3.0085008,-3.6809208
1.4210273,-1.8660609
1.7457312,0.87078047
2.4157276,0.123288505
5.6939697,-0.7388664
8.816732,2.1371338
7.992022,-0.12448434
4.722837,-4.357115
5.0966687,-4.1838484
6.039194,-4.1272945
6.719064,-3.4504375
5.129996,-4.6714377
4.6450663,-4.4439487
5.521007,-3.4037113
6.534063,-3.3770826
8.277023,-2.393642
7.804731,-1.3814917
7.9394703,-1.3446139
11.547904,-3.469617
12.906154,-2.966446
11.960612,-2.6522868
9.293107,-0.74958736
10.9157,0.44162643
11.178608,1.3990088
10.791084,1.1886365
10.886864,1.0974089
11.143074,0.14931498
10.494746,-1.6120386
8.635102,-1.2555254
11.23051,-2.6272278
11.944656,-2.0312984
12.1083,0.5798338
10.7942915,0.93828064
11.619038,1.417613
12.36373,0.14290573
12.087109,-1.7313403
12.814197,-1.8177418
13.496909,-2.3334224
13.956801,0.18569161
11.951581,5.415731
11.781987,3.7910063
11.003514,-0.29499426
11.670352,-1.2704824
12.437688,0.06273682
12.940267,0.6844098
12.182868,-0.45248878
13.82721,0.9117196
13.213876,-1.0097634
11.932946,6.418663
12.490209,-4.490152
13.035924,2.8311117
11.004719,5.19309
12.879834,5.659633
11.094261,2.0669725
12.6624365,0.8199937
11.292805,4.1925783
13.47009,-0.7873984
14.47956,-0.83209634
13.955333,-0.76300025
14.900205,0.6149926
14.589437,1.9835081
13.40591,1.7110786
13.401122,2.2813714
14.506261,1.0331548
15.848945,-1.2138053
13.900276,3.3079598
12.851162,2.6990163
14.714287,2.3567746
11.584583,5.9409523
13.418831,2.8740225
13.866715,2.9579432
14.346611,3.0548277
13.9184675,4.106286
15.432641,2.694719
15.4262495,3.8676007
11.990509,7.104027
13.038013,2.8630292
13.171269,2.7916586
13.10926,2.6796882
13.731407,2.6018155
11.916274,6.597591
12.307847,7.0417085
13.708835,5.023645
11.887367,6.232725
12.769245,4.541958
16.634401,1.1893581
17.565647,0.75812054
17.730598,0.5693215
13.347594,6.4105115
11.396026,3.9562235
13.559241,0.936749
15.76958,1.5586315
15.629696,2.786382
15.786952,2.259816
16.050505,1.6815029
16.478836,1.4005766
15.11102,1.7304543
13.704244,2.2871892
13.5018015,2.0882885
14.958351,2.0928729
15.369744,3.196723
14.614471,3.0117676
15.68185,3.0333138
14.68946,3.3204534
11.803855,6.9481373
14.250815,5.662126
13.403801,3.726432
16.15816,1.1101593
15.445541,2.268398
13.826707,3.7235005
14.214597,3.1751509
15.279019,4.4413743
11.957623,5.33449
13.987178,2.6536968
16.253765,2.1798894
15.520209,5.036673
12.337939,5.352562
17.396158,1.6230685
17.513403,1.8284417
